trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[  39.97471826  139.90485305   49.96563036  269.91280021   39.97471826
  139.90485305   49.96563036   39.97471826  139.90485305   49.96563036]","[ 159.96402175  119.91422771  119.95124366   99.93483715    9.98405135
    9.98795178    0.          209.92715219   39.98519689   49.98650652]","[ 69.97310057   9.98129849  19.97998919  19.96974427  29.97821995
  39.98134192  69.98259042  49.95089689   9.98143112  39.98597267]","[ 59.98363045  19.97494886  29.9731803   29.96066239  19.99171822
  29.98976319  79.95837562  59.96638096  49.97895859   9.9886643 ]","[  29.97945653  169.9054026    39.93283478    9.98364775   49.91685111
   29.97381115  169.92622651   49.9747189    29.97958642   29.96108253]","[ 29.9809775   69.95161047  39.96002988  59.97614771  59.96503894
  99.9414702   39.96457025  29.9772139   39.97724721  19.976143  ]","[  69.95810476  119.96585724   89.92471187   39.96113331   79.92053551
   29.9671609    39.97824253   59.9644769   259.84251119  109.95657342]","[ 109.94387223   29.96109483   49.94761305   29.98173687   49.96523861
   59.97232662   89.95995024   39.9521619     9.9824848     9.98298286]","[  69.95231579   59.94284611   79.93244643  109.88680378  119.95566477
  199.9135248   169.95668893   89.89512058   19.9630733    99.94575232]","[  9.98759492  99.89318376  49.96582901  39.97486825  59.9555848
  59.97617441  19.9763021   19.9827386   69.95318675  59.97497975]"
"[ 249.93260002   39.94115127  239.92055793   59.91193775   39.97753084
  119.97636678   39.95146624   49.98707383  249.93260002   39.94115127]","[  39.96016252  129.93933807   59.96072301   69.90203473  289.87941038
   19.97637548  109.95179601   59.91824255  149.95729187   69.97484619]","[ 39.96923431   9.98650929  39.96685001   9.98994467   9.98222338
  19.96914367  59.9695126   49.96248124  19.98589946  59.96357929]","[  19.97549561   29.98617531  119.9243935     0.           39.98445612
    0.          109.96423708   59.98341479    9.98086668   69.95847626]","[ 239.89594104   49.94476916   59.97213203   59.94129823    9.98481467
    9.9836961   139.95625561  229.87325174  149.89790587   19.97257788]","[ 149.89908172   29.96234564   59.98288598   69.97675037   39.96981103
   39.96838886   19.97662331   19.96564384   39.95391093   59.9720935 ]","[  39.96461873   29.96260391   79.93283145   49.97975162   19.9704056
  119.95962283  169.91513632   69.95230093   49.98777907  159.9095427 ]","[ 59.9694415   29.96241353  19.97325174  29.99107405  29.97287695
  39.9816167   19.98880847   9.98709153  49.95334243  19.97906917]","[  39.96485697   89.94277679   49.97014482  259.8965563     9.98610882
    0.          229.92702142    9.98515863  169.85176247  199.84921196]","[  99.93085305    9.98768974   79.9717259    19.97301943   19.98608775
  149.96642365   29.99115198   39.93834925   19.98666517   39.97883601]"
"[ 249.91913223  239.89838445  249.91913223  239.89838445  139.95199494
   49.95811549   49.94611045   29.97228892    9.98401442   89.9600264 ]","[  49.97587511    9.98538906   69.98051946  119.95336911   59.97441552
   29.96089912  119.96013372   59.95450887  149.92771721   29.9576586 ]","[ 69.97295396  99.95597212  29.9641435   59.9673152   59.96845128
  19.97549209   9.98260227  29.98960414  49.97250182  29.9899516 ]","[  69.94953916   39.96449065   29.9847143   129.92914188  139.95790637
   19.96970771   59.96962705   19.98314671   69.97161867   49.96875704]","[  9.98971713  89.96522663  19.98051622   9.97954617  79.95719322
  39.94679582   9.98073072  49.97034613  59.97293461  69.97042752]","[  19.99216715   19.96662682   49.96921716   59.98396585   89.96324336
   99.9541957    39.95454691   39.98155014  119.94419957   29.98478704]","[  89.9444873     9.98359162   39.95841156   39.95162492   69.88720407
   39.96504339   29.98570071   19.98165291  119.93932051  139.94432508]","[  39.96067756   19.97086785    9.98070383   49.97252686   49.97081477
   29.9762564    59.92702916   29.97857726   19.97428171  229.93973247]","[  59.96694914   39.94250288  129.94363028  199.85364051   29.96104772
   29.96170413   39.93649116   49.9698437    69.93257647   49.97427654]","[ 199.95000188  149.94689637   59.967964    139.9270865    49.97447078
   29.97220258   39.97514828   19.97111892   39.96304911   19.97384623]"
"[ 219.91665542   39.98810995   29.98047241   29.97609389   19.97342474
   49.95546181   79.93792588   79.91809433  219.91665542   39.98810995]","[   9.98242747  119.93114589  129.92989354  109.87576139   69.96025455
  269.81926515   39.98722072   69.94895009   19.96991971  319.78904209]","[ 59.98322993  39.97341316  49.97992824   9.98743187   9.98625199
  39.96540386  19.97039826  39.98993837  39.99075379  39.98414094]","[  19.97143929   39.97673495   29.95173099  109.92532962   59.97162266
   49.97513996   29.98429594    9.98553622   49.97845567   59.96042516]","[ 69.92599809  19.9679501    9.98298916  39.97457166  69.95469283
  89.90889447  79.9543072   69.95546315  79.98446563   9.98704678]","[  49.96621736    0.          149.95790087   69.93852965   29.98081963
   49.97552153   89.97727029   49.96151583   69.95742803   79.97115799]","[  79.94477887   19.98253065   59.96327849   39.97546399   89.97361887
   19.97147749   49.95588456   19.97095411  109.91412248   39.95937425]","[ 59.97776878  29.98394792  29.9667821   49.96813613  59.95395533
  59.97388177  19.96734595  39.98505234  49.97921587  29.96694063]","[  99.97841196   79.95906444   59.93095091   39.95561751  259.86298779
   79.92410704  209.88031808   39.9674981    59.95043416   19.96670187]","[  19.97625907  159.83843071  109.93454623   49.96608207  109.94742546
   29.9667082    29.96741798   19.97738295   89.93768084   19.97639062]"
"[  29.98039854   89.94941465   59.97296026  129.94588036   89.94941464
   59.97296026  129.94588036   99.94617496   49.93257373   39.9779412 ]","[  39.96296025   29.95485438  169.8678435    29.95027481   99.95143481
    9.98291354   69.93425923   59.94036656   99.95365507    9.98483447]","[ 69.96118751  29.97636079  59.96611283  39.97961997  49.97281372
  39.95069294  29.96996269  39.98872206  39.97278297  29.99121092]","[ 79.96114779  39.94937622  29.98921431  49.97464686   9.98275629
  49.97723766  39.97014206  29.98501425  39.94422236  39.95169477]","[ 139.96305511   29.98984905    9.98705699   49.97026937   59.97151302
    0.           39.96294636   29.95641075  109.92667822  219.88658917]","[ 99.96148947  89.93461372  39.97829197  19.97469729   9.98229979
  19.96900689  49.96802546   9.97964992  29.95730909  29.98345017]","[  29.96599813   49.9783502    39.98078838   99.8498935   109.95621118
   19.96860371   29.96711537   49.92844343   29.98159892   69.95083797]","[  19.97818736   49.93731635   39.97362263   29.9878037    39.97019408
   29.97779894  159.9356378    49.97879735   49.97982275   29.97207004]","[  89.92484679  259.89413978   19.9690419    29.97389728  169.83348616
   89.92971833  219.85776047  139.91945822  399.86841049   89.96048386]","[ 159.90010265   79.96803999    0.          109.90845886   99.93736861
   79.9359799    19.97694418   49.98523475   39.98354947   19.98402728]"
"[  79.93831452   49.96925127   79.91365638   19.97477204   69.95675507
    9.98207464  139.95633591    9.98705726    9.98207464  139.95633595]","[  39.96789011  109.95245303   59.95501388  149.89843155  109.93198428
   99.96311769  229.90348138   49.96617582   29.97029167   19.96044115]","[ 69.95144643  49.97143813  29.97492768   0.          29.99113882
  19.98011733  29.98835902  19.9758095   49.97389329   9.98221991]","[ 19.99080818  89.95284738  29.98943234  49.97483972  59.95966815
  39.96499255  19.96718371  39.97444643  69.96082977  49.98207724]","[  49.97288164   19.97394127   69.96905598   69.97879884   29.97142888
  149.89478527   69.96710339   39.95311734   39.96717387    9.98382495]","[ 39.96416557  19.97259217  89.96601744   9.98494463  29.97766881
  99.9551389   19.97044997  79.96141487  39.96763966  39.98681396]","[ 69.96640993  79.88647188   9.98315281  19.97289874  89.89057674
  69.98214154  29.97165245   0.          49.93302204  19.97678726]","[ 189.93263986   49.97412155   19.96690461   39.97699835   59.98532839
   59.94986449   99.95492607   59.97560105   59.96575924   49.9843717 ]","[ 309.89164094   29.95800163  379.81128094   19.97040647  239.89517599
    9.98331298   89.95071211   89.90801491   59.92153449    0.        ]","[ 369.91153575   99.97535769   79.96585954   89.95128511   49.97648153
   29.96564293   59.94436205  109.92801225  189.8893638    99.92740217]"
"[  59.95129016   49.93925566   89.92368237   59.97259531   29.95637527
   39.95010498  129.95439665   29.95637527   39.95010498  129.95439665]","[  29.95299096   49.9666685    59.90571625    9.98342101   79.91978988
  189.87497804  379.82761453   19.97015192  179.89800227  209.92390569]","[  19.97716156    9.98743402   19.97781048   49.98398185    9.98220901
   29.96661458    9.98539229  119.95517373    9.98178605   29.98851228]","[  59.93144959   19.97902758   29.94725156   39.95821011   49.96150243
   29.96800453   69.96508719   39.97280994  119.96027175   39.97698536]","[ 29.99102591   9.98567028  69.92890807  29.95374516  59.95650693
  79.98055161  29.9703732   19.98055111  29.96833311   9.98445571]","[ 59.96073515   9.98503959  39.9887953   29.98965542  49.97793751
   9.98448686  49.94381847  29.99057943  49.98724584  39.9841144 ]","[  89.94897702   49.95346002   69.9539716   169.91020761   69.97747733
   49.95810456   49.92570473   19.99046392  109.8705396   159.95468388]","[   9.9826933    59.97564786   69.95097857   39.98724809   29.99094074
   89.98279263   49.96406782    9.9817935     9.98453178  159.9146476 ]","[ 239.8881092   129.8936043   109.88164766    0.          149.90780859
   49.96310802   79.92279033  139.88691033   69.93579446   59.97974416]","[  49.98360614  119.83917988   69.96078198  149.92319792   89.95071241
   59.96484099   89.97864197  119.94156993   89.95961568   39.98467064]"
"[ 119.95739254   19.97825376    9.9851631    89.95308346   89.95308346
   29.96225405    9.98673281   79.96744042   79.9443146   119.95739254]","[  49.95057767   79.97334287   59.97333693   29.953816     69.93362683
   19.96846951   39.98136439  119.94062827   49.93353216   29.97518529]","[  9.98439573   0.          79.95572081  39.98031854  29.99066232
  99.96405999  29.96095521   9.97968632  29.97632091   9.98460073]","[  79.97942182   79.96747612    9.98186457  109.9386619    59.96698643
   59.97097604   59.94761032   19.97357975   19.99324699   19.96136741]","[ 109.97345612  219.95823479   19.98420773   39.93047666   29.96142477
   49.97030606   39.97138966   29.97384621   39.96939515    9.98276485]","[  19.98990091   89.96803375   49.98652678   29.99277697   29.9678129
  109.97128536   19.97398112   59.96033706   59.96485885   39.9266197 ]","[ 119.83463386    9.98272537  119.96534566   69.91673568   49.93332693
    9.98540696   29.96803647   59.94197973    9.98618205  119.94109526]","[  59.93255711  139.95771691   29.98898363   49.98187958   89.9646344
   19.96835714   39.96179197   89.97119051   39.94632417   39.97312526]","[ 169.90116188   69.94020427  159.91838589   39.98490004  179.94566047
    9.98269555   59.95784751  109.91348951   59.96736098   19.96027951]","[ 149.9380546    29.96961797    9.98500828   49.98337071   39.93617803
  219.85528476  139.90434323   49.978376     19.9934859    89.95143993]"
"[  9.98515895  89.95301114  29.96225392   9.98673281  29.96225392
   9.98673281  79.96744082  79.94442398  29.95103428  29.95990088]","[  69.94549432    0.           79.94098772  119.95815924   89.95730566
   39.96782566  129.93251711   59.97020152   89.93208873  139.92462008]","[  9.9892346   49.97471244  49.95978582  19.99010134  59.97813152
  79.96316978   9.98778634  29.96561272  89.98464823  19.97650629]","[  29.9750014    29.95380672   19.98417744   59.9429228    59.96323021
   39.96171985  129.95404987   59.96791775   29.95258664   19.98819621]","[  49.97188575   89.95038757   99.9443648     0.          109.92569612
    0.           29.97881183   79.9549054    29.96359841   19.96864029]","[ 109.97954446    9.98717194   39.97265757   29.98251987   89.94570243
   49.95932636   39.97698659    9.98293086   29.95890967   49.98728326]","[  99.96187084  109.91391702  129.87302368   19.96363562   69.95519918
  149.87379695  369.83012889   39.95614093  329.83825138   99.93696254]","[ 89.94942057  49.96861822  49.98085254  29.98969148  39.96900124
  29.97282263   9.98020166  39.95103862  99.93727297  29.98402156]","[  89.87419452   29.96525281  129.8739012    29.96322184   29.9651958
  109.8939448   139.91673055  229.88315819   49.94586266   99.97357331]","[  39.97657432  209.95821568  349.87951927   79.94212342   69.96597693
  109.93389512   39.98142055    9.97974967   89.90000703   39.98579915]"
"[ 19.97824873   9.98515411  89.95291419  29.96225518  79.96740808
  79.94450036  29.95107518  29.95107517  29.9599773   49.96939218]","[ 219.81250557   39.95699887    9.98527188    9.98577033   39.94547026
  339.87102942   39.96249363   69.97191505   49.96922629  189.91068295]","[ 49.97265759  19.98256733  39.97703308   0.          49.97659023
  79.94359175  49.97222173   9.98742288  59.95630834  89.96311905]","[  39.97030523    9.98591753   59.9463349    39.99214168   69.96405448
    0.          109.92844994   39.9643613    29.97678479    9.98340319]","[ 109.95621953   19.97607126   19.97646329  169.82378129   79.95919453
   59.93531712   69.91470968  119.95421557   69.9426599    59.93356382]","[  39.97894382   19.98963027   69.9603755    89.94604538    9.98222769
  129.93977756    9.98015928   29.98189094   29.9838843    89.96535409]","[  59.97672975   49.94562079   89.94466637  139.88616772    9.98276773
  159.92124222   39.97667807   89.97694622   29.98960146  139.95689351]","[ 39.98054477   9.98046023  29.98758977  19.99320436  89.94676263
  39.94000628  49.95225377  19.97122148  59.96936172  29.96969623]","[   9.97946844  219.9384351   199.88740449   29.97746056  179.83639071
   29.95606814   19.96167311  149.91047717   29.96220359  109.93761572]","[  49.98393341   49.96324026  289.76071255  119.95132584   59.95851237
   69.97741944   29.97254088   39.9691884   189.97166474    9.97989041]"
"[ 189.8827816    59.9297391    69.96463161    9.98673281   79.96737259
   79.94457212   29.95111351   99.95391744   39.94446434   59.97476402]","[ 129.97214999   69.92304214  139.95786229  139.9334943    99.92161767
    9.98182937   79.95329431  139.92692424    0.           29.96610173]","[   9.98422927   69.97350812   29.95065302   59.96323162  119.96340742
    9.97981828   29.98460986  109.94171989   59.95190501   29.99109218]","[ 29.99120602  79.9623877   59.95657322  39.95598743  19.97416297
  69.96525135  99.91834951  49.9752551   39.97404614  19.9763126 ]","[  49.97599758  119.93408465    9.98381833   89.90280692  219.8790618
   99.96343612   49.93510492    0.           59.97217715   29.97435024]","[  89.96476997   39.97808991   69.95668281  169.92993488   39.98271869
  139.95854713   19.97751624   49.96195775   39.98294144   89.91102209]","[  59.9552396    79.96499931  119.84043901   29.95620945   39.96908918
   29.97093074  229.86903592   29.95729524   79.95944322   19.98505076]","[  39.98603759   19.97330014   39.97824358  109.90074519    9.98136313
   79.97424349   39.96041562    0.           19.97564798   29.96931265]","[  29.95068917   49.97148507  179.90270667   19.97235438   29.95504338
   69.93438115   79.95248059  149.93661177  379.86428177   79.95796484]","[ 79.97555123  59.94924841  49.92051372  49.97541098  59.97298132
  49.96676338  79.96571656   9.99212266   9.98503181  19.98872997]"
"[  29.96012447   49.96982082  189.88399963   59.92975061   69.96483353
   99.95365455   39.94443113   29.95152665  149.88130759  209.91943593]","[  29.96647851   89.88824015  119.91382911  299.82678916   19.97569848
   39.95659563  159.95138416  189.90350804   59.96847866    9.98985572]","[ 49.9751143   79.96621505  29.98858175  29.97505853  79.9004335
  29.97631999  19.9852993   29.98266943  79.95062588  39.98710433]","[ 139.85282884  139.94647429   49.97398208   39.97322795   19.98741871
   29.97169099    9.98830134   29.97155943    9.98247455   39.97171976]","[  69.94910283   59.95908867   69.96951388   19.97616735   49.94638778
    9.98950709   39.98823718  129.9479895    19.98505261   19.98037758]","[  69.97825994  109.94492948   49.97377163   49.97227543   79.96027761
   39.97188564   39.9857097    79.95258196   19.97549045   19.97265023]","[  79.92134351   89.94886342   49.95640387  229.93728931  149.91449217
   49.95875755   89.89134242   69.9808187   139.94976048   49.94243569]","[   9.98744884   29.99140632   49.9628854    59.97962048   29.98201751
  119.89073504   59.95336509   19.9694572    19.98074861   19.98595943]","[ 119.95654678  249.88808898   59.9593149   139.90830767   89.89693411
    9.98173471  149.94927195   49.9596512    99.96344892   19.97657608]","[  19.97594352   29.9773443    39.98299297   59.9736138    79.96720011
    0.           89.90311906   89.95133154  129.94186809   39.96312499]"
"[  89.92914658   69.96210415  139.92461093   59.9298058    69.96497988
   99.9535783    39.93156673    9.98245482  179.83853307   59.97497705]","[ 89.94003688  49.94051383  49.97332181  69.90024921  69.96621041
  49.97868583  99.90754619  69.88799395  99.90389341  19.97832889]","[ 39.9776545   39.98811171  49.98377204  69.93610478  19.99384385
  29.98548814  49.96777475  79.97492772  59.97161889  39.97742898]","[  49.96888281   29.96188001   99.94173538   79.96849956   29.97633176
   39.98268925   39.96602688   59.93966382  109.97728603    9.98353866]","[  69.91188862   99.97392523  109.92088997   29.98485325   69.92977509
   19.97080437   39.94999635  109.95292469   69.91174424   19.97401318]","[ 59.95864688   9.98026831  19.96937011  79.95397983  49.97682874
  49.96724789  59.94432453  39.98432644  79.98261802  49.98251219]","[  59.96526652   19.97276595   29.95839144    9.9865891    59.96950163
   69.92915872   79.96193346   49.9747298   259.82062521  289.82975463]","[ 59.95807685  29.97599606  29.98229761  19.96645645  49.96187926
  79.96715201  19.97610474  89.9768858   49.97203892  29.97589446]","[ 119.96146858   29.97345294  249.93278926  109.9241798    19.96522184
    9.98849434   59.97633321  149.90626272  139.90300057  379.8130493 ]","[  29.9685681     9.98034479   39.97155716   49.9732524    49.97813953
   59.96360491  159.9417281   169.95386208   59.97622857  169.95051738]"
