nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
8.0,3.0,10.0,10.0,2.0,6.0,16.0,8.0,7.0,2
5.0,8.0,4.0,5.0,5.0,9.0,19.0,13.0,8.0,2
5.0,10.0,5.0,4.0,9.0,6.0,11.0,17.0,13.0,3
6.0,6.0,3.0,14.0,7.0,12.0,10.0,7.0,7.0,3
7.0,12.0,2.0,2.0,2.0,4.0,9.0,3.0,12.0,6
10.0,5.0,3.0,4.0,5.0,4.0,9.0,3.0,5.0,3
4.0,8.0,5.0,9.0,5.0,3.0,,5.0,5.0,8
5.0,9.0,8.0,7.0,4.0,4.0,,5.0,10.0,2
3.0,8.0,6.0,3.0,3.0,6.0,,8.0,6.0,3
10.0,11.0,9.0,8.0,4.0,4.0,,4.0,11.0,4
3.0,13.0,6.0,6.0,3.0,3.0,,7.0,7.0,2
4.0,12.0,7.0,4.0,6.0,4.0,,17.0,3.0,7
11.0,18.0,8.0,4.0,12.0,7.0,,19.0,7.0,4
3.0,5.0,12.0,11.0,11.0,4.0,,4.0,6.0,4
3.0,3.0,8.0,6.0,7.0,4.0,,11.0,6.0,4
2.0,4.0,5.0,4.0,3.0,10.0,,10.0,6.0,6
6.0,3.0,3.0,13.0,8.0,6.0,,6.0,3.0,6
9.0,4.0,8.0,13.0,3.0,5.0,,6.0,7.0,3
18.0,3.0,9.0,14.0,9.0,4.0,,12.0,12.0,4
16.0,3.0,11.0,11.0,4.0,3.0,,6.0,44.0,2
12.0,8.0,11.0,6.0,9.0,3.0,,6.0,10.0,2
12.0,35.0,12.0,8.0,19.0,5.0,,7.0,7.0,3
7.0,13.0,4.0,5.0,5.0,14.0,,8.0,7.0,4
4.0,13.0,5.0,5.0,4.0,2.0,,6.0,6.0,8
6.0,9.0,4.0,4.0,4.0,3.0,,6.0,2.0,4
10.0,11.0,7.0,3.0,3.0,6.0,,11.0,,3
2.0,8.0,7.0,4.0,7.0,8.0,,4.0,,3
,7.0,6.0,4.0,3.0,6.0,,11.0,,4
,5.0,5.0,21.0,12.0,5.0,,,,10
,,5.0,9.0,1.0,3.0,,,,5
,,3.0,7.0,,2.0,,,,5
,,4.0,8.0,,2.0,,,,4
,,5.0,4.0,,4.0,,,,3
,,10.0,6.0,,6.0,,,,4
,,,22.0,,6.0,,,,4
,,,,,8.0,,,,4
,,,,,8.0,,,,3
,,,,,,,,,4
,,,,,,,,,6
,,,,,,,,,5
,,,,,,,,,3
,,,,,,,,,6
,,,,,,,,,7
,,,,,,,,,8
,,,,,,,,,2
,,,,,,,,,1
,,,,,,,,,2
