,diffLr0,diffLr1,diffLr2,diffLr3,diffLr4,diffLr5,diffLr6,diffLr7,diffLr8,diffLr9
0,2.302446877711137e-06,6.897995647909813e-06,4.641779665628264e-06,4.4340292715495145e-06,7.033143071493796e-06,1.4581063946562809e-05,1.615562593248122e-05,4.815186045860015e-06,5.590406667626986e-06,5.470569826126736e-06
1,5.378209119198578e-06,8.26597150915002e-06,6.523559013517727e-06,4.296190946321433e-06,1.2169590355464419e-05,1.3395904968407875e-05,4.584848745874818e-06,7.76745516513111e-06,6.073161363313046e-06,5.530947966867823e-06
2,6.495264183364417e-06,7.170162133752005e-06,4.632996764374485e-06,6.241491302317756e-06,1.0487628516640242e-05,2.5215636495587754e-05,1.3543318833061717e-05,6.382672043148789e-06,5.555558141086971e-06,7.176164950146009e-06
3,1.2170235553850488e-05,6.3725027979265925e-06,4.248233445710558e-06,5.289793181943667e-06,7.376372407388138e-06,1.8572982050696444e-05,2.1724831517581665e-05,8.310857343821672e-06,6.439061609009126e-06,5.8286162469607e-06
4,6.859744008155962e-06,7.275500064404675e-06,7.3173298191759254e-06,3.1140131009437622e-06,6.6480151889277e-06,1.6866976508497077e-05,1.3394132884717265e-05,1.0801424524101843e-05,7.207817660318739e-06,6.369082396067943e-06
5,8.012652491978537e-06,8.692654734936949e-06,6.473051355627828e-06,4.972138256141837e-06,8.096582343405826e-06,1.0015400473709358e-05,1.6848650964193003e-05,8.425308125495779e-06,6.074959129814848e-06,5.826098436676721e-06
6,6.326916665585941e-06,8.793922671207355e-06,5.42933039385495e-06,3.975798675635763e-06,1.5094673552164477e-05,1.9365239411718137e-05,1.4058603182044788e-05,1.0875746480767895e-05,8.435804984666352e-06,6.213720200379256e-06
7,8.908860587229112e-06,1.077694100383929e-05,6.619960426440794e-06,5.327572481902905e-06,1.0571973047022654e-05,1.311989029437002e-05,2.033471855019294e-05,8.097952752208742e-06,7.076003012534561e-06,7.776346086459089e-06
8,9.879672003353774e-06,8.853970003822319e-06,6.470592662347891e-06,5.485069526433311e-06,7.969639136254536e-06,1.9348594675767175e-05,1.557731653361866e-05,8.2491467983895e-06,6.57042368265937e-06,6.274913784054305e-06
9,1.2827393744138029e-05,7.615266682526818e-06,8.752038345318725e-06,5.609421899199904e-06,7.434519901926938e-06,1.6845526346604243e-05,1.8777462713905806e-05,6.523481274117757e-06,6.967445330758407e-06,7.266935743651311e-06
