rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 109.963972     69.97329724  349.64614586  149.94804328  389.86985612
   69.97329724  349.64614608   29.96308792    0.           29.94861829]","[ 169.79577274  299.90233304  109.89054478  179.93806013   59.96160626
   29.95101745   29.9527625   159.88838136  139.95589027   69.94488492]","[ 169.9142419   349.8603399   119.95151936   49.94207601   79.94079484
   49.9544096    69.9588737     9.97911267  109.89809532  139.84237188]","[ 109.91416353  359.88658607   49.96242085   19.97364652  179.91951162
   99.9078508   169.89351718  209.94487011   39.96393835  259.89376352]","[ 29.96892799  39.98073374  79.93101364  89.91932068  19.97129811
  19.98990703  59.94572474  19.96158242  29.98679859  39.95623785]"
"[  59.94228071  109.95318319   19.9644211     9.98513103   79.96210475
    9.98160565  119.90111155   49.96995472    9.98410039   39.95323971]","[  79.95948196  109.95510933    9.99013611   59.90838334    9.98307036
    9.98310046   49.96708071  129.87509954    9.9803557    29.99118602]","[ 179.83458024  239.89113541   59.96206071  139.93537957  119.89204063
  199.88435049   59.9213981    19.97785064  109.8892173    69.97616915]","[  19.97118903  119.84295879  149.92097791   79.95756281  109.9650759
  289.88084904  199.93376319  399.8302807   219.92082317  129.83058512]","[   9.98352372   19.9836653     9.98077714  149.954905      9.98540407
   69.96696265   29.98251677   19.97138387  109.93883319   49.96228675]"
"[ 189.92228645   89.93076412   89.96063725   99.96645238  169.90172493
  219.89114859   19.96469071  189.92228645   89.93076412   89.96063725]","[  39.98468764   69.93885147    9.9816961   459.78795044   49.95876837
  149.95112353  109.93604148   69.97697206  109.93949274   59.96416265]","[ 139.87314339   79.95620263   69.93844708   39.95490461  109.93036426
  159.90779871  229.87668146   89.97159839  159.84058039  229.92139137]","[ 139.92290444  119.92394535  179.84765268  259.76939014  129.94183674
  339.85890791   49.95922818  359.88647154  309.88013896  179.86346206]","[ 279.88522257   29.96950146    9.98336594  139.92692514   49.9500138
  169.95141209   49.96364922  239.90686116   39.98259836   29.97492244]"
"[  89.9860188    39.96970143  199.83299925   19.95942125  319.81021997
   59.97810204   89.94752231  359.80724437   29.955072     29.96721108]","[ 139.95103851   79.93843233  419.90367408  129.85496783   49.92529206
   19.97334484   39.96360351   59.90890053   59.92668739    0.        ]","[  29.96685105   29.95590247   29.96299959  109.91859804   39.95589534
  349.82321993  139.93702447   89.86218551   89.89705695  109.90133581]","[   9.98125052    9.98020385  269.8894648    89.92463007   79.95999154
   79.92089297  199.91177845   69.89165914    0.          159.89820081]","[  29.97003224   19.98438835   29.96095868   49.98023542  159.88707782
   29.9813294    69.89222313  289.90220665   69.98365914   49.9297875 ]"
"[   9.98054235  339.86017232    9.98412853  269.8413632   509.74519121
  259.88053439   39.95006952   29.95788509  289.87574873   19.98050456]","[  39.95641668  109.92925152  149.8697943    89.97144702  129.89195958
  269.9062431   339.9000258    79.94438911    9.98085435    0.        ]","[  79.88596813   99.89067042  149.91107553  259.92019911  249.91185619
   29.95940662   69.93523567   29.94981544   19.96848288   19.96842884]","[  29.96180324  189.91001759  139.91410944  239.91154676   99.85951949
  129.90734363  159.94619868  259.79638499  259.91424026  269.73787467]","[   9.98049563  159.91293622  129.96681057    9.98027349   39.96678856
   19.97763587  109.93730988  159.91290143  109.97575773   19.97640298]"
"[  29.95634137   39.9682688   319.76293622  119.94683384   89.8980574
   49.9579847    69.9678452   119.88658762  139.9446459    49.9613225 ]","[  59.92652964    9.9824836    19.97447478  129.88453487    9.98385259
  289.88737389   49.9563135    99.90730521   89.93710718   39.97364648]","[ 179.88812967   79.96214606  219.80062859   49.92522874   69.90417217
   19.97848458   99.89838621  159.9529264   399.86834853  149.8279509 ]","[ 219.86861075   49.92052414   29.96736013  189.84295456    9.98845661
  169.9320734    89.93166455  149.83941691  129.92081311  249.88277607]","[  79.97514575   69.96817275   29.97591258  439.80497534   59.96840458
   59.94871955   19.97003716   49.97419808   29.975862    109.89545972]"
"[  29.96470905  119.97682451  209.93420612  429.88161326  219.90907768
  249.80430365  329.87784227   19.97235046  109.95117419    9.98782523]","[ 119.93642257   59.96954353   49.95686599  109.84567467    9.98180242
  159.89373614    9.99018077   79.96138653   69.93390656  109.94926988]","[  99.90182738   69.91471531  219.85013802  169.85249443  279.85728563
  219.86781524  169.88826179  259.8618561   119.90344241  149.85728641]","[ 259.8320674   139.90854648  199.92460527    9.98163063  189.81739436
   59.92832181   59.9369709   169.87351232  129.88636598   99.9055696 ]","[ 109.96912179   29.97298489    9.98777948   19.97515399   29.95581456
   29.98457201  189.94648713   19.97965672   59.90685979  189.89694067]"
"[  69.89655646  129.9075657   349.80951513   39.95801396  169.91292984
  169.72690245   79.91371076  169.88488531    9.98060855  409.8206267 ]","[ 139.96018006    9.98115506   49.93345861   99.88305507   49.96445378
  129.86617821   39.95416383   49.95463894  219.83652298   59.95026175]","[  19.97252823  169.86556618  169.84567999  629.73622065  129.91349775
   79.9583141   149.85020177  199.82230646   49.96524051  579.87475761]","[  19.96600792   29.95722594   39.9659948    69.90795499  159.90296346
  139.85674562  149.94026216  109.9208762   269.77631274  289.89684238]","[ 209.8821735   149.90065818  179.91978556  229.7977061   459.82219997
   79.89339726   89.9535481   219.90619601   69.90190074  279.83681233]"
"[  69.95217839  169.82802412  379.77460784   69.95453517  399.67297627
  609.77062306   69.95217839  169.82802412  379.77460784   69.95453517]","[  19.96543009  139.88050273  119.88799664  119.94150404  259.881984
   39.94859978  169.84949129  189.89295967  119.9427064   149.91574484]","[ 139.95724731  389.80860962  339.80522367   19.96829656  109.94361718
  389.86728822   29.95443754  149.89480352  369.88552015  219.83885313]","[ 369.89070233  489.8769733    39.96340624   39.94297868  539.85691354
   99.82431722  239.84325718  559.69664634  479.79243624  469.65491809]","[ 129.94307836   59.97056189  209.86660278   39.96802301   99.96957891
   19.96808249  129.96656308   69.89202533   39.94236995   19.97960568]"
"[ 179.94666511   69.92533706  229.7816768   439.77612845  249.87248071
  319.66117126  149.84920047  749.76528093   69.94655088  199.80883398]","[ 139.81316213  179.92775828   99.9481194   249.91306587   89.89760778
    9.97982582   69.93460198   69.95472629  229.8865926   199.92499598]","[ 219.73554323   19.962999    139.81498625  149.9393565    39.9273822     0.
  609.82209403  129.90058875  219.79617829  189.83692955]","[  29.94700158  199.91897922  449.79545738    9.98154304  449.75454236
  279.84479671  289.72031788  149.88713966   89.90240711  409.91866759]","[ 379.82182739  129.91415152   59.94478691  189.87982643  119.95230253
   59.95340868  109.89979433  169.89250012  129.93771386  299.88228178]"
