nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4
11.0,27.0,5.0,11,12.0
16.0,6.0,17.0,6,7.0
19.0,20.0,31.0,15,13.0
49.0,5.0,6.0,2,6.0
1.0,6.0,6.0,8,11.0
9.0,8.0,4.0,21,21.0
36.0,15.0,20.0,9,13.0
15.0,1.0,29.0,3,9.0
5.0,23.0,6.0,1,12.0
1.0,5.0,17.0,6,16.0
1.0,1.0,29.0,1,6.0
1.0,2.0,10.0,14,32.0
6.0,17.0,44.0,10,4.0
2.0,7.0,3.0,3,7.0
2.0,25.0,1.0,1,2.0
3.0,1.0,1.0,5,2.0
4.0,1.0,2.0,1,7.0
14.0,4.0,4.0,14,2.0
1.0,9.0,1.0,9,4.0
5.0,5.0,3.0,3,1.0
1.0,1.0,2.0,5,1.0
1.0,4.0,3.0,1,1.0
1.0,4.0,1.0,1,2.0
13.0,1.0,10.0,5,1.0
4.0,1.0,5.0,1,8.0
1.0,1.0,4.0,1,4.0
1.0,4.0,1.0,7,18.0
14.0,2.0,5.0,1,1.0
1.0,2.0,1.0,1,7.0
16.0,2.0,2.0,1,1.0
21.0,3.0,49.0,1,9.0
1.0,1.0,1.0,49,6.0
6.0,7.0,2.0,1,1.0
3.0,1.0,2.0,1,10.0
4.0,6.0,2.0,9,1.0
5.0,5.0,3.0,11,29.0
1.0,1.0,2.0,3,2.0
11.0,11.0,3.0,2,2.0
8.0,1.0,2.0,12,4.0
1.0,2.0,1.0,3,1.0
1.0,2.0,1.0,5,3.0
49.0,18.0,8.0,12,20.0
3.0,1.0,3.0,1,2.0
7.0,1.0,10.0,20,6.0
1.0,6.0,15.0,4,1.0
5.0,15.0,7.0,1,1.0
1.0,3.0,1.0,2,6.0
1.0,1.0,1.0,4,7.0
9.0,5.0,6.0,1,5.0
8.0,15.0,2.0,36,6.0
49.0,1.0,1.0,3,5.0
24.0,1.0,1.0,1,5.0
13.0,1.0,2.0,1,7.0
16.0,4.0,5.0,7,6.0
1.0,10.0,1.0,2,1.0
1.0,6.0,4.0,9,3.0
1.0,1.0,1.0,49,1.0
1.0,9.0,2.0,4,2.0
2.0,1.0,7.0,1,1.0
1.0,1.0,3.0,49,13.0
2.0,49.0,9.0,6,8.0
7.0,3.0,4.0,2,2.0
1.0,5.0,1.0,14,6.0
2.0,1.0,1.0,8,32.0
27.0,5.0,5.0,1,4.0
7.0,2.0,4.0,1,11.0
2.0,1.0,1.0,1,13.0
