rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  89.96337557   89.95866824   19.96785929   59.97485537    9.98681838
  119.90068615   99.92022777   49.98224882  199.8068044    29.97050753
  149.95145071   59.9696928   259.820805  ]","[ 149.9468938    89.90307869  189.80383246  149.90821861  109.93893953
   89.91289388   79.93313154  289.93236528  129.87734003   79.97311136
   69.91245909   59.96987203  129.85104929]","[   0.          199.94811376   99.95031392   39.94477227   79.92019055
  169.90973225  159.92582791  139.86637399  149.96658313  149.91267634
  109.95540347   19.97517263   99.90005515]","[ 119.90500072   69.95327007    9.98222807   59.95587191   29.97495636
   99.90836399   49.95422879   49.97761633   99.97644285  209.92832522
   49.9606044    89.95199728   29.97352862]","[  79.95897689   79.96708557   49.96001745  229.92426444   59.97747283
  309.842148      9.98079214   79.93479565  199.88516599  179.92342464
    9.98202283   39.95120111  229.8378376 ]"
"[ 209.8679364    59.93813282    0.           29.95095533   79.95074922
   49.975082     89.94368383   59.96547515  319.853237    149.83542079
   49.94520716   69.96138825   49.94520716]","[  79.95637228   49.971478     39.97583873  179.94252229  199.92810122
   39.96980769   89.94827977  249.9016207    19.97462008  219.94662416
  239.91501413  229.87249682  279.90891979]","[  39.9473964    79.89261278   59.95900864   49.93865759   19.97401766
  149.94393646  139.87959401    9.98501437    0.          179.8699397
   79.93464248   19.96039058  219.92127074]","[ 109.9302992    39.9552908     0.          399.79937403  219.82697528
  139.8098993   239.90845611   89.95507116   49.95496273   69.9215305
   99.91232502  199.90625698  219.88052625]","[  89.96086476  329.79883777   99.93025168  129.95753046    0.           59.9696764
  379.8850113   339.86635338  369.81310776  109.92103674   39.96308992
  109.87031117   89.91686917]"
"[  19.97688599  209.92535901    0.           69.96668461   89.960797
   79.96077444   89.96079699   79.96077443  179.8441505    19.97874639
  149.9323108    39.96789516  169.90948201]","[  89.9510476   249.90925189    9.9916549   149.92456193   59.95874061
   59.9594413    49.93712186  209.83353641  289.91617714   39.9608226
   39.96315075   79.91865145  249.86529996]","[  79.92353878   59.95360697  349.8839669    29.95183998  149.80954887
  219.90328471  199.85231889   69.88754853  179.90164995   49.95316913
  119.93289919    9.97971976   69.94188245]","[  79.90760843    9.98166924  109.94811846   49.95863824   29.98387904
   49.95359382   39.9639308    29.97442058  259.90392333  129.8288541
  179.84333695   99.92796393  349.83978301]","[  49.96320265    0.          219.92135782   89.91330479  309.91652563
   69.92040946   39.94126893  119.93044981  199.93485882   79.93126643
   79.9586102   209.87416765  159.93946653]"
"[ 239.86136269   19.980849    209.83264952   79.93837932  179.8775393
  289.83474408  289.83474395   69.96477682    9.98049962  429.83842168
  129.88884906   39.97280547  329.83044873]","[  69.9543522    69.94291663   89.95438961  129.91090784    9.99229143
  149.87428175   89.94730661  189.92656016  149.92279676   99.93550363
  109.8803379    69.93336139   69.9713623 ]","[ 109.89931031   79.91782816  109.94815529  229.96307827  229.94084025
  129.93666759   19.96987321  139.88446774  229.92116528  269.80027195
  209.93617566  129.82209938   99.93551793]","[  89.94044498   39.97299707  149.91338909    0.           79.9723941
  429.82208779    9.98336479   19.9656757    99.87394293   29.9730573     0.
   69.95169645  259.85000489]","[ 269.91118946  269.84356566   29.97442942    9.98006088  149.96026512
  389.82508522  809.6870822     9.98131733   69.94679792  109.96712741
   89.97703722   39.95091209  249.9164181 ]"
"[  79.94342194  139.9209446     9.98219064   69.91450296    9.98172826
  169.91935732  559.81189594    0.          569.67955923  119.93773264
  419.73964997  149.92914585  109.95521138]","[ 149.82054208   89.91854597   69.95704908   39.93520274   79.92850091
   49.94570084   19.96531442  489.62400537  149.93565483   29.97040673
  129.87008755  109.93976795  319.82369032]","[ 179.91388201   99.90932615   69.94943082  179.84180372  229.85821913
  159.86870868  139.92243152  149.91831093   39.95784945   99.92646283
   19.97027741   69.93920704]","[ 289.84479337  379.86740665  269.69963681   69.95782752   59.97502151
  399.79045752  359.78639431  379.86069996  139.87251689    0.
   59.93898057    9.98656851  289.74540816]","[ 149.89189988  509.79481231  149.94093418   59.97095324  249.8601821
  129.90775947   39.96347349   89.97115557   39.95292902  109.93132616
  129.92752012   29.95708409  189.87039   ]"
"[  39.94904968  189.93125476  359.9050732    19.97049193  339.84621789
  409.84195692   49.9347251   229.94441878   39.95050372    0.
   39.95976438    9.98089822   59.95260715]","[ 139.91877151   19.96431078  259.85237804  209.90158148    0.          399.9122921
  189.82470671   29.95914227   19.9683548   179.92331031  239.84240517
   49.96512123   39.95671241]","[  19.96947526  199.91678328   49.92854895  259.85982987  149.90570612
   39.94378436  129.91436448   39.95494181  109.91593404  169.93885984
  349.8204781   159.91040384   59.9507508 ]","[ 149.95513955   79.96529418   19.96417693   69.91693585   19.97752922
  239.9243655    69.97539084   49.9772752   149.89082448  119.95981847
  289.81619221   99.89499404  269.80447703]","[  99.93214046  199.87227669   29.96835348    0.          379.77907605
  239.78491431   39.93771072   59.94958415   59.96270453  139.91995814
   39.9526684   179.91089715  259.94743902]"
"[ 199.86329825   49.92438939   99.85219055   39.95776747   99.92343843
   79.92995346    9.98110399  119.91598249   99.91528537  249.8833707
   69.9573696    49.9242369   369.76409134]","[ 109.91235465  359.83684705   69.93177516   49.92991454  179.91748891
  239.93629087   99.929111      0.          189.91942014   29.95999127
  159.92593568   69.96178821   29.96289692]","[  99.94905364  159.89984934  149.81823973   19.96618236   59.95909518
    9.97958511  189.89986029   49.95881275   69.94897913   99.92630311
  319.93286196  359.8028012   199.89445567]","[  29.96518772  669.8318396   319.89507254  109.90124463   89.8981968
  269.83561312   49.95101607  159.89381617  109.9273969   639.52784388
   79.93576989  379.8145191   119.95132181]","[ 229.88301545  519.78762453  169.80631614   19.98063652   59.96265968
  239.86118724  169.81827785   79.89973669   69.87638814  409.73797754
  189.75359259  319.91392624  189.93267682]"
"[  29.95564111   99.93386397  169.89263816   99.96842793  469.74671504
   29.97469269  149.8875761    19.96194938  269.88067815   59.95471214
   59.92777727   19.97270849  309.89008373]","[  39.95516161   89.95176589  109.94907245  129.9584927   199.90281728
  129.83240818   99.90677558   59.95017195  149.82485275  219.87319885
  119.94534777  129.93261844  179.78460952]","[ 339.78020605   29.95544425   49.95110986   29.94981769   19.97935409
  519.84673627   29.96916339  129.91170951  269.91482477  119.91409102
  179.89229598   69.926605    569.82095692]","[ 129.87022957   59.92521205  199.88148291  109.89637487    0.
   49.93369745   89.89744312  399.81914142  159.92116997  329.87847423
  489.79341389]","[ 339.80527152   79.94478249  179.8690091    49.9506663   119.94717971
   39.95727472  109.8404299    79.92799159    0.          139.95533938
   99.92809812    9.98127781  199.91230657]"
"[ 159.81316642   99.86167683  569.76540703  369.76294346   39.93167848
  129.9141222    99.88673848   99.89355027    9.97910336  249.85172206
  199.90444184  289.82553052  309.93259445]","[ 209.85608933  159.89670221  229.83481741  209.94016503   19.97019736
  429.83309747  129.87819635  289.87954046  129.83965914  119.84782765
   49.96008998  149.8729373   219.9232176 ]","[ 239.94110252   89.92397677  299.75502696   19.98180622  269.94490623
   89.89480455  239.77978761    9.98161547  399.81961392  189.91623294
   19.96599774   59.90384855  449.78063099]","[ 139.91849961   29.96874916  139.8057955    69.94739176  149.92763936
  209.89263105    0.           39.93558751  169.92233505  159.92659093
   69.93679684  109.88540001  189.75979104]","[ 249.86857475   69.93158272  159.86230522   39.9682732   489.79938814
  479.72576247  299.91188071   29.96350219  479.8426208    79.94228995
  219.90563354  539.78146663  219.91853126]"
"[ 239.87061035  109.96297196   39.95756751   49.91881653   19.96315198
  139.91235113   79.95789216  209.93227964  339.87088556  179.87375155
  149.80066165  149.92847744   19.96310821]","[ 169.88129734  149.94868061   59.97054897  149.89967343   59.91577479
   29.95898414  199.92928259  419.81250292  109.86402102  149.87356758
  109.93226907  229.89130667  149.94113212]","[  69.94259071   79.96590637   89.89883637   79.91846467  209.86270924
   19.96507621  119.90305439  259.91532525  199.75404454  159.91350125
  169.89772376  199.91881598  179.81252102]","[ 319.84071034   49.93933205  189.91774407   19.96909177  259.91044387
   29.95239451  249.80928501   39.94919401  369.62438467  239.90513082
    9.98181557   89.91547237  529.88391341]","[ 339.77321587  299.82653818  109.88419223  449.79947329  119.85030735
   39.95751241    0.            9.98119367  339.75864289  319.82478813
   29.9650665    29.97527194  449.77178234]"
