rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[  4.97999368  47.90734317   4.97999368  47.90734317   2.08088108
  50.29523798   2.08088108  50.29523798   4.97999368  47.90734317
  47.90734317   2.08088108  47.90734317   4.97999368  47.90734317
  47.90734317   2.08088108   2.08088108  50.29523798]","[ 21.49417854 -13.90633634  16.04003097  49.1187278   16.04003097
  49.1187278   50.87445985  27.32672828  49.20858108 -11.51327879
   8.99131112  59.96652384  59.43748517  19.98114562  35.19629886
  57.94444582  26.4405514   19.98114562  35.19629886]","[ 55.61638852 -19.01477143  43.48790578   3.74197634  10.46771944
  46.87624532  43.48790578   3.74197634  49.65632801  36.31549133
  50.73245313  62.42874085  29.663639    20.24976571  -4.59259807
  67.48734465  27.37935686  36.19469096  47.67490883]"
"[ 68.94643868  68.94643868  42.25873509  68.94643868  42.25873509
  68.94643868  42.25873509  68.94643868  42.25873509  42.25873509
  11.73385417  42.25873509  11.73385417  11.73385417  56.16136606
  11.73385417  56.16136606  11.73385417  56.16136606]","[  4.81832865  14.24699656  22.956918    37.90211943  52.24400906
  34.50082026  22.956918    37.90211943  34.15898071  -7.16742848
  73.36103233  52.24400906  37.16954179  28.90155671  45.29396578
  48.56206885  41.89553209   3.9669063   73.36103233]","[ 78.77549239  25.8772417   83.73997181  11.24984672  78.77549239
  25.8772417   59.67358456  22.63167289  44.95966265  -1.92608888
  29.28442913  57.76540444   7.99186367  51.5364284   43.25345052
  50.93492876  62.17702337  48.59066345  32.48528061]"
"[ 37.77363972  83.88510901  83.88510901  53.07439904  47.76920604
  75.88879139  83.88510901  53.07439904  53.07439904  47.76920604
  83.88510901  53.07439904  83.88510901  53.07439904  47.76920604
  75.88879139  47.76920604  53.07439904  47.76920604]","[ 39.44260747  19.90339453  83.30133773  62.10827982  39.44260747
  19.90339453   1.16661577  28.23144681  65.80805725  48.53079978
  48.53079978   1.16661577  47.36379299   3.24268979  18.93839954
  39.71072139  95.80794552  75.38073358   9.19274009]","[ 36.93724126  -0.13325972  31.25067962  49.37281953  31.25067962
  49.37281953  54.98241654  84.86265818  24.70624649  64.26124764
  46.79802311  38.67656479  58.12250685  40.97910905  80.9300542
  65.70829122  58.63675205  88.05571719  47.38172769]"
"[ 63.46234128  64.10199057  63.46234128  64.10199057  72.97306841
  63.46234128  64.10199057  77.99907957  72.97306841  63.46234128
  64.10199057  77.99907957  84.17222927  72.97306841  63.46234128
  72.97306841  63.46234128  72.97306841  63.46234128]","[ 41.21161183  71.44939351  51.40873193  59.80231299  96.3165434
  50.62559535  49.1154554   36.49126721  79.90113026  16.2263486
  40.19088868  28.78204272  64.84896043  41.21161183  71.44939351
  59.80231299  87.61337204  25.76563242  16.67810987]","[  54.25066712    6.77416358  107.65317021  103.33424815   25.45364549
   69.78427572   38.83060877   82.5364693    33.11934611   99.55524018
   52.37974246   19.98145079   35.98396332   64.10871746  107.65317021
  103.33424815   33.03617771   71.81747078   79.7219266 ]"
"[  73.21537535   27.062578     73.21537535   27.062578     73.21537535
   27.062578     73.21537535   27.062578     94.31250009  106.8838298
   73.21537535   27.062578     74.2354898    73.21537535   94.31250009
  106.8838298    27.062578     27.062578     94.31250009]","[ 103.00433264   41.8695712    -0.27291774   75.7475781   107.50248683
   26.98553841   89.939313     51.43214098   57.44565481   43.25183514
   15.69807697   64.23499379   24.36788196   10.14436586   48.35693796
   43.25183514   15.69807697   24.36788196   69.18941226]","[  41.97289334   82.1456094    57.59463288   29.46432394   80.29001933
   65.17248604   35.73404248  106.22916039   45.52998018   73.00464089
  145.23996555   83.81772168   61.04312834   71.21334783   74.70783103
   86.92460713   57.59463288   29.46432394   70.40967872]"
"[  58.12202224  117.51369247   58.12202224  117.51369247  117.51369247
  101.87498771   60.10473981   58.12202224  101.87498771   73.11191576
   58.12202224  117.51369247   58.12202224  117.51369247  101.87498771
   73.11191576   58.12202224  117.51369247   58.12202224]","[  77.12038124   42.94028714   62.84908782   58.43355608   28.72656383
  115.18836731   78.58716953   45.39143063   62.84908782   58.43355608
   28.363348     30.08167838   53.36616105   43.47530976   52.30480126
   65.36811756   49.8808147    89.95616      57.82783608]","[ 120.42783272   77.73525826  111.74796064   89.91081733   40.23824576
   53.84405333   62.23748465   92.59255189   73.3805564    70.12473202
  119.46759908   71.45931033   56.05277875   85.22067169   79.02578177
   87.21254824   38.96754747  111.74796064   89.91081733]"
"[  96.35453304   99.11476991  123.99680427   90.24948524  123.99680427
   90.24948524   73.75102062   96.35453304   99.11476991   90.24948524
   73.75102062   90.24948524   73.75102062   73.75102062   96.35453304
   90.24948524   73.75102062   90.24948524   73.75102062]","[ 58.08109676  46.12188625  74.94692364  55.03197811  80.93935835
  74.78156123  33.93789819  61.12783359  54.20145867  20.2883235
  60.90848652  58.38361816  51.19538843  58.08109676  71.8466199
  16.92646178  57.1169934   60.90848652  58.38361816]","[ 103.66557687   80.359626     41.78315647   78.46007333  116.82248262
   83.85873771  132.62616058  109.93342086   60.62212383  104.23756769
  103.00618654   83.85873771  132.62616058   73.35517935    4.62247014
  123.28258011   91.06519461   34.79416476   98.74016393]"
"[ 76.61731755  96.51726732  79.61866218  48.29845664  90.88642189
  46.08550312  90.88642189  46.08550312  90.88642189  46.08550312
  90.88642189  46.08550312  96.51726732  46.08550312  79.61866218
  90.88642189  46.08550312  79.61866218  48.29845664]","[ 91.84054195  67.70965972  79.83132042  92.23648734  68.90912392
  87.30325919  68.05407763  69.36982231  69.63309994  36.12986058
  95.13076101  61.91479618  30.05160243  60.44954783  69.63309994
  79.73417246  79.70571885  61.91479618  30.05160243]","[  91.15819654   55.67915822   62.76779454   89.92268504  113.7947803
  114.85886129  103.7601237    35.68146817   82.801891    113.36126129
  107.80358665  103.7601237    35.68146817   95.07182879  103.97318962
   82.94732111   98.6414048   118.8992617   125.5047683 ]"
"[ 45.18847684  59.33688997  80.55695931  82.87968767  80.55695931
  82.87968767  80.55695931  82.87968767  80.55695931  80.55695931
  82.87968767  45.18847684  59.33688997  75.47337088  86.62269373
  75.47337088  86.62269373  82.87968767  75.47337088]","[  93.76037664   54.66835002   89.74851175   37.07321315   77.22422791
   88.12822522   56.50695345   67.36441301   93.76037664   54.66835002
   71.29139064  137.39209033   67.36441301   28.12361665   60.17574529
   66.7495489    85.01791214   57.77636675   64.04801127]","[  64.99917746   94.31679911  119.3835172    92.22316535  122.02879391
  123.70475732  104.23963099  107.43259994  144.71768508  123.10251579
   85.65315764  122.45841116  151.33488775  128.29576492  123.77251621
  108.60339225  118.91172869   25.57329854  122.02879391]"
"[ 110.7305739    57.21493072   86.04318674   66.87029331   86.04318674
   66.87029331   57.21493072  108.78186013   57.21493072  108.78186013
   98.00086408   96.12963289   98.00086408   96.12963289   86.04318674
   66.87029331   57.21493072   57.21493072  108.78186013]","[  36.49241711   13.11527428   52.17433946   56.79796027   80.98566867
   77.9338537    99.333625    121.06444447   36.12133692   92.45892885
   36.49241711   13.11527428  118.78476385   84.98294563   57.65592439
   61.42936729   36.12133692   55.05970625   93.21647425]","[ 136.5212538   152.64753075   90.87887722   91.44817425  144.3493494
   51.9529109   115.23705204   80.94100275  109.68342326  125.89538466
  136.5212538    63.20609193  136.27182064   53.66187633  165.03665906
  152.64753075  111.81893215   85.2244729 ]"
