nSubIter0,nSubIter1,nSubIter2
9.0,8.0,29
22.0,7.0,9
10.0,23.0,10
22.0,5.0,3
11.0,8.0,4
6.0,11.0,6
13.0,5.0,3
5.0,5.0,7
6.0,12.0,5
3.0,4.0,2
3.0,3.0,5
14.0,4.0,3
9.0,6.0,3
4.0,5.0,3
6.0,9.0,2
7.0,3.0,3
6.0,2.0,3
3.0,7.0,3
4.0,10.0,3
4.0,3.0,4
6.0,3.0,4
5.0,1.0,4
16.0,5.0,2
9.0,5.0,4
15.0,4.0,3
6.0,5.0,15
8.0,18.0,3
13.0,15.0,3
4.0,12.0,5
5.0,13.0,3
8.0,8.0,9
3.0,22.0,3
7.0,4.0,8
11.0,6.0,4
4.0,4.0,10
7.0,5.0,6
4.0,6.0,4
5.0,6.0,2
9.0,7.0,5
6.0,5.0,5
4.0,9.0,6
4.0,5.0,6
9.0,8.0,6
10.0,8.0,4
9.0,20.0,3
12.0,59.0,4
8.0,34.0,5
7.0,44.0,5
4.0,23.0,6
10.0,28.0,6
5.0,50.0,7
4.0,51.0,8
23.0,27.0,17
22.0,37.0,6
6.0,29.0,5
16.0,37.0,5
6.0,32.0,6
6.0,78.0,15
4.0,12.0,5
4.0,13.0,3
7.0,11.0,6
15.0,8.0,7
12.0,16.0,6
6.0,23.0,3
6.0,17.0,8
8.0,13.0,5
13.0,14.0,4
11.0,18.0,2
4.0,93.0,3
12.0,46.0,3
8.0,22.0,6
6.0,21.0,3
13.0,16.0,3
10.0,14.0,3
10.0,19.0,2
19.0,,3
2.0,,6
13.0,,2
5.0,,9
5.0,,5
5.0,,8
16.0,,3
7.0,,14
6.0,,11
9.0,,4
4.0,,5
4.0,,8
5.0,,4
3.0,,9
4.0,,5
3.0,,11
5.0,,6
5.0,,5
4.0,,8
4.0,,8
5.0,,4
3.0,,3
6.0,,6
3.0,,7
11.0,,4
11.0,,7
15.0,,6
12.0,,3
11.0,,7
11.0,,3
6.0,,9
11.0,,17
12.0,,3
10.0,,7
11.0,,3
,,7
,,6
,,8
,,10
,,2
,,2
,,6
,,6
,,1
,,1
,,3
,,4
,,11
,,2
,,5
,,13
,,6
