rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[   9.98047484  479.80720165  389.75354117  409.75629674    9.98028363
  479.81651074  589.73504581  809.72639565  929.74581847  509.80838133
  529.82361823  699.75552833  519.84132192]","[ 1179.8016003   1279.79129854  1439.76899263  1109.8375003   1239.82743529
  1249.81112378  1309.7524396   1199.80979211  1399.73718333  1289.80586227
  1399.793817    1059.82656134  1159.81384851]","[ 4999.06349066  4998.55688405  4998.58383588     9.97919712  4998.64983331
  4998.9814299   4998.74045929  4999.12371388  4998.920158    4998.98292333
  4998.99136481  4999.06403766  4999.10617398]","[ 19.97374122   0.          19.98738657  39.9688478   29.97997046
  29.98451196  19.99196515  29.98834447  19.98658783  19.98750536
   9.98087805  29.98848936]","[ 1949.53211966  1609.65415762  1369.68982942  1979.50555592     9.98050651
   209.88291119  1179.78260892  2059.43162775  1269.7050155   1059.74736584
  1959.61364063  1569.67766327]"
"[ 419.77583643  369.69211837  489.78729477    0.          459.76898879
  609.77121103  479.80434316  469.7808447   599.76586454  499.81740016
  669.75730292  739.82602737  549.78619659]","[ 1509.77513709  1219.76931193  1069.79103993  1249.79559253  1199.81660858
  1609.76455632  1519.73772635  1309.80876348  1269.81510636  1669.65711076
  1119.82522222  1329.78943741]","[ 4999.03295703  4998.89461169  4998.58851124  4998.67166807  4998.87996769
  4998.9644234   4998.77111297  4999.0173052   4999.03953337  4998.91001495
  4998.88631528  4998.59732738  4998.85380989]","[ 119.91205658   19.97319666   39.97361979    9.98137794   19.99363166
   19.97124144   29.97658437    9.99036781   19.97255621   29.98794557
   49.97782311   29.98625275   19.99205585]","[  979.75781167  1849.53890091  1249.69821511  1929.52902906  1229.74495385
    79.94686442   369.87088663  1299.67163772  1239.74194296  1659.68833402
  1509.63245222  1429.67690458  1209.76816723]"
"[   0.          489.81397352  709.71579035  579.78063441  589.79008355
  579.79741409  599.7514385   459.79487921  609.79039347  459.77324225
  519.80555293  479.83300909  639.75745568]","[ 1709.67048327  1179.8069687   1129.77485732  1249.81001878  1179.82042601
  1239.79236923  1629.76177262  1089.82252372  1059.77199351  1079.8189543
  1009.81437827  1769.71930887  1589.72850624]","[ 4998.61222627  4998.88093584  4998.83848876  4998.76051656  4998.60550182
  4998.91051886  4998.50785823  4998.84741703  4999.01644091  4998.94456949
  4998.71348313  4998.90174811  4998.56951532]","[  9.9864667    9.98978863  19.9851611   29.99123023  29.98741496
  29.98985578  29.98727305   9.97931302  29.98575454   9.99247899
  39.97087852  19.98647399  29.97993199]","[   49.9672758   1429.58942415  1579.73205601  1419.73167404     0.
  1459.62071207  1489.711769    1939.65197351  1499.53689643  1349.67537195
  1749.7411527   2189.57206421  1449.6507977 ]"
"[ 439.7807724   679.75622082  639.71902983  509.81467451  449.77558935
  469.80048892  529.8075946   499.79242728  539.78818733  409.74195795
  529.78161753  489.80551759]","[ 1049.82412743     0.          1279.78652257  1109.87120589  1339.79294633
  1159.82703543  1319.80802814  1289.80829335  1389.79930729  1069.78426128
  1469.80444173  1189.82045899]","[ 4998.16237009  4999.09996522  4998.48323174     9.98112331  4998.77300775
  4998.7966776   4998.85319173  4999.0428533   4998.94370355  4998.58384079
  4998.82583857  4998.81926684  4998.31523092]","[ 29.98427104  29.99014538  29.97593602  29.9877269    9.9815494
  29.9767376   29.96997324  19.97574509  29.97038919  29.98673059
  29.98881031   0.          69.9191239 ]","[ 1599.6303615    749.76982427  1719.57650489  1899.59040637     0.
  2359.51600391     0.          1409.67464379  1489.67410035  2229.62149109
  1539.71189373  1889.5858147   2269.55621175]"
"[ 449.78929297  709.71961573  539.81634773  389.73306019  429.74140237
  499.80667183  529.8046493   399.73156334  599.80707783  439.78339239
  429.77594228  609.78439509  529.72851561]","[ 1339.78886985  1109.77702165  1059.76079526  1119.78101142  1229.79233732
  1249.76348555  1379.76820467  1449.80306318  1519.74856688  1149.81258672
  1519.75656055  1209.82623935  1199.79159772]","[ 4998.72262504  4999.01174859  4998.93875646  4998.89760821     0.
  4998.88574722  4999.01241488  4998.99249043  4998.95816403  4998.77604062
  4998.90535296     9.98017991  4998.96151316]","[  29.99076421   19.9815699    29.98879338   29.98441142   29.98851823
  169.87264644   19.9905872     0.           29.98748961    9.9903594
   19.98774079   39.97498838]","[ 1709.6119002    869.75023132   939.74791268   849.77723552   469.87748739
  1699.58239653  1719.67133989   119.91609852   329.81500369    59.97370116
  1619.65619133  1419.71653007  1039.80117881]"
"[ 689.65975651  419.70294661  419.77002728  579.72075996  519.76603121
  399.71665258  559.75491779  609.7397205   619.7648318   389.70407856
    0.          389.71468792  589.81682347]","[ 1409.74439799  1169.77737887  1259.78515908  1569.68193134  1069.81243173
  1179.82376998  1469.779706    1319.79388735  1379.80072866  1339.7929073
  1439.74792456  1769.60951303  1409.76198662]","[ 4998.55026916  4998.81152623  4998.95451687  4998.95783493     9.98220481
  4998.69098641  4998.91091193  4998.80149525  4998.88175975     0.
  4998.87278923  4998.464689    4998.93328011]","[  39.96752828   19.98819282   29.98999915   29.98863248   39.9724047
   29.98640433   29.99028532   29.97257996  179.89197464    9.99076578
   29.98580804   39.96258623]","[ 2639.44055624   779.76383852  1779.72683791  1739.56733597  1899.51641249
  2699.3666839    699.79827453  1639.47896073  2219.44949083  2569.44937575
  2209.46492734  1329.73585661  2709.33819623]"
"[ 599.83386665  499.80766766  569.80384832  529.80642038  439.79161492
  509.80103997  489.79290174  479.79733443  559.77768661  449.73733362
  409.70626315  479.79723429  429.77708545]","[ 1409.78140155  1729.63669026  2049.6610581   1379.79670108  1289.7505515
  1439.82114695  1469.787167    1559.77499661  1299.82616622  1479.77000721
  1299.79690098     0.          1219.80633867]","[ 4999.07934947  4998.99482642  4998.86119939  4998.91696222  4998.81860993
  4998.85912781  4998.61428404  4998.5970949   4999.01122957  4998.4408919
  4998.7438757   4998.93962545  4998.79713458]","[   9.98299428   39.97598766  169.85348059   29.98618809   39.97232142
   89.91465555   29.98763308   29.98752664   29.98715225    0.
   39.97183737   39.97916701  259.82884951]","[  399.93493998  3099.23392421  2619.49460599     0.          3119.21485054
   579.79279935  2539.37470858  2399.43526624  2019.49399795   409.84872848
  2429.45687535     0.          2709.41549902]"
"[ 499.79285099  739.70438763  389.72247327  439.74868012    0.
  439.75113361  619.74859584    0.          459.76929177  559.80342626
  569.74134357   29.95131447  489.7736339 ]","[ 1529.74221405  1339.78225255  1719.73323517  1709.67082034  1319.83545061
  1509.79112159  1649.77046598  1399.78903806  1369.80259418  1639.77806483
  1339.79382034  1519.77516668  1519.7872103 ]","[ 4998.92063773  4998.80291463  4998.69242358  4998.79342215  4998.74425497
  4998.8824989   4998.50969228  4998.76558438  4998.70936261  4998.75413675
  4998.20615302  4998.66198984  4998.81620436]","[    9.9801019   3119.15466158    39.9700128     39.97330603   719.80369015
  1219.60243194  1479.59265252     9.98181052    29.97489285  1219.75215653
    49.96052315    59.96198882  1669.56307812]","[ 3119.27449341  2649.50720835  2499.5093329   2509.51195481  3069.31821553
  1659.62918455  2159.52254841  2419.33563844  2839.40151353  2079.4247654
  2069.45511676  1959.38729615  2439.573877  ]"
"[ 589.76967697    9.9815141     0.           29.94406209  599.72468685
  499.75086467  689.73394084  489.77905733  419.74927162  649.71596193
  549.70258174  459.78928179  549.75580607]","[ 1369.80651426  1329.82278529  1649.76212683  1349.77606926  1599.72819727
  1449.77440471  1809.60217839  1259.75320621  1129.8375674   1499.7950188
  1539.78118491  1499.7826236   1239.74790144]","[ 4999.11200107  4998.4850103   4999.10770688  4998.67371273     0.
  4998.85517882  4998.93281145  4998.89472824  4998.86881324  4998.96288002
  4998.69620442  4998.9647459   4999.0347941 ]","[   29.96209827  2529.22910415    29.98034297   539.7639863   2549.34272959
    49.95450153    39.96692614    49.95729573  2549.57631193   169.89415099
    49.95565341    39.97931881   989.81170722]","[ 4238.86419229  4998.87136216   349.88952842  2619.44051702   609.76265776
  3809.23875463  4708.89183387  1349.65500054  2079.63447628  3389.19667672
  2929.4113335   3478.99993929  4998.6668819 ]"
"[ 439.73797972  429.72562555  499.80731204  479.7804621   439.73636883
  529.76078366  489.77770413  499.82234348  439.76058943  529.74464559
    0.          639.65861105]","[ 1509.76580711  1319.82332286  1579.73449653  1589.73870587  1799.69701681
  1329.75176073     0.          1419.76235941  1839.65177102  1429.77522168
  1479.80266393  1639.76456693  1389.7971579 ]","[ 4998.91394538  4999.07052852  4999.02217781  4999.07745879     0.             0.
  4998.6690447      9.9818579   4999.00473545  4999.04764964  4998.72305741
  4999.11123219  4998.89840308]","[ 4329.13218311  2489.31678036  1559.6611676   1829.52435626  4669.06967258
  3169.24022433   909.76715267    29.9849577   4998.98751532    39.97712624
  2759.08453584  3259.19840656  4169.11387309]","[ 4318.9113093   4998.73552218   609.83927788   719.8561899   4828.93527929
  4998.87263939  1529.65503436  1389.71860051   309.90934894  4998.93495284
  3729.16402033  4998.89925156  4998.92959798]"
