trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 29.98039686  29.95374685  39.95330579  49.96149221  29.98039686
  29.95374685  39.95330579  49.96149221  29.98039686  29.95374685]","[  49.96733543   79.96235171  239.9114431   119.9598852   139.8673105
   59.95954948   69.90876139   29.97473232   19.97612122   39.96513064]","[   9.97972241   49.97253805    9.98095372   49.97199044   99.97283705
  109.96613159   19.98397513   19.97561064   39.98522594   19.98070317]","[  39.97578125   79.97210161   49.96772119   69.94445633   99.96557263
   39.98571059   19.97310495   59.97647231   79.97938518  119.90802274]","[ 19.97329317  69.92661068  39.96257962  69.93730479  49.98374851
  19.9782741   49.97092379  59.96745274  49.94155391   9.98679035]","[ 79.96456253  69.95891842  19.97220701  29.96388603  79.95201951
  49.95950044  69.9498878   39.98419667  29.98176024  19.96923286]","[ 179.8928071   139.86145652   49.97811731  119.97728448    9.98228839
  199.83616509  139.95648768  129.98120704   99.88686719  139.96058755]","[  29.97701999   39.98741826   49.93083898  119.93711157   29.95843136
   69.95063551    9.98433168   39.96244899   39.9808319    39.97620057]","[ 229.90254855  199.91928097   79.9580313    39.95107351   59.93809779
  149.92334907  139.89506291   59.91801227  229.85810915  239.88879159]","[  39.97941421   79.96448097  109.92427025   19.9809562    79.94051032
   29.98047657    9.97934187   49.96744025   19.97941992   29.96105004]"
"[  39.95654545   69.93076137   39.97853773   59.92131154   69.95252271
  169.93027052   69.96215961   69.93076136   39.97853773   59.92131154]","[  99.91875784    9.98726212   69.94997561   59.92017865   19.97296228
  259.91852605   19.98254947   19.96594958  129.93712116   69.96473115]","[ 29.97913566  49.97720149  19.97041147  59.96702274  39.97969859
  39.96705266  29.95982917  49.98526871  29.97303442  29.98179203]","[ 39.97272004  99.9335818   39.96607974  49.98085037  89.92603998
  79.91958007  59.96274097  59.97227214  39.95118316   9.97929702]","[ 29.98126086  39.96996993  29.97118666  39.96724075  59.96359158
  19.97304046  29.97370015  39.96622044  99.94821239  59.95168759]","[   9.98170017   79.97310758  109.9337548    19.98166966   79.94372215
   29.96291259   89.95001026   59.96885055   59.97467507   29.95317845]","[  89.94758336   89.98509367   79.98015936   39.95578474   19.97389692
   39.98377507  179.95447822    9.98393857   19.97537466  159.83760427]","[ 119.94533495   29.98388845   29.98401723   29.98224818   29.98600347
   49.96350309   59.98069949   19.96846175   69.96294503   59.97600596]","[  79.96054819  199.93200269    0.           99.9463512   109.92229809
   49.97388683  159.96893926   59.97289038   89.92902004  119.84417638]","[ 109.97350218   19.96768641  159.90110973  199.89899537   89.94904875
   39.94934355   29.97918524   79.95955517   49.97302447   49.96418081]"
"[  19.9703711    49.96634445   99.90793117  199.92287917    0.
  119.90212033   69.92224756   19.9703711    49.96634445   99.90793117]","[  29.95458847   59.97383801   79.90574221    9.98843662  149.88127736
  189.88905325    0.           49.95485712   19.96668281    9.98124426]","[  19.98477316    9.98011478   19.9907027    29.98801635   29.97367243
   19.99133159  109.97272826   39.98311898   29.97141656   39.98613529]","[  49.97241656   19.98362117   59.96912943   29.98549538   39.96551808
  119.96740223    9.98297143   39.97042232   49.98399679   29.97159091]","[  19.98597581  109.88060246   49.96171117    0.           39.95275113
   49.97438391  209.96039309  129.91705282   29.97675413   59.94313426]","[ 179.92782325   29.98049586   19.98232093  129.93047524   29.97105139
   39.96708511   19.97548303   39.97119183   19.97641621   49.95873966]","[   9.9846859    49.96740141  219.93069727   49.96297596   99.94903747
  109.95194995   99.94485672   59.94206067   89.96116859  269.79753829]","[ 29.9604529    9.98370925  29.98801812  89.95799215  59.98577228
  29.95165228  49.98350834  39.96033851  79.96319911  99.94668499]","[ 149.95135114  249.85430022  119.92864693  309.89020366  129.95606152
   69.94046998  279.86737716  229.88557663  239.9339867   149.83038364]","[  19.97178601   59.97522507   19.97754469   39.97311501   59.97215994
   69.96546823    9.98341733   49.96414225   79.94509942  249.85326169]"
"[  69.94596189   59.95074375   99.97684017  139.95440839  209.91310424
   39.97010804   19.97137505   69.94596189   59.95074375   99.97684017]","[  79.95043906   69.94613644   19.97327779  109.97141943   59.91271716
  179.91334242   99.96139763   49.98117336  259.82095844   99.9694719 ]","[ 19.97441364  29.97959605  19.9760778   19.97520186  39.98311865
  29.97200575  29.98179723  59.95578161  49.96493908  19.97537907]","[  49.96451068   39.96830744   79.94081614   69.949929     39.98248876
   29.97946602  119.96431213   49.97640018  119.92351784   29.97649368]","[  39.96475553  149.88866205   69.98078173   69.97915817    9.98251184
   19.97043574   19.97167175   69.96977752   49.96703769   39.96682752]","[  39.96606175   29.9883805    99.96661464   59.90732651   49.97099608
   49.97332336  109.95975705   69.96139963   29.98791405    9.98693658]","[  19.97317149   99.95967932   19.97650893  139.92394311   99.96137585
   89.94741981   89.98516939    9.98526627  109.95723363  339.7535291 ]","[ 89.94840145  89.94947113  29.98836077  69.96990556  79.95480431
  39.98327931  59.96079033  79.97206704  89.94558539  69.96180899]","[  59.92182243  159.91979047  129.88971805   69.92575275   99.91891775
   59.93238908  119.92485875   49.97938955  109.93829767   49.97614815]","[   9.98174624  359.86582509   59.98209488  109.94869931   49.98532883
    9.9855375    99.95388165   59.97047198   89.96323495  139.91911421]"
"[ 139.95416994  119.90341685   29.99124136  239.91937962  139.95416994
  119.90341685   19.98864469  119.90341685   29.99124136  239.91937962]","[  59.9717466    59.97085432  159.96481457   19.96753641   49.96288016
  269.85766154    9.98590993  169.86635375   89.91188801   39.95993051]","[  9.98675026  39.97929393  19.98402856  49.97129047  19.97392087
  39.98041004  29.97046733  49.99035911   9.98112123  49.97671789]","[ 99.93599147  29.97007248  19.98827838  59.97180458  19.98364212
   9.98126596  29.96786685  79.96980521  59.98592652  79.94870829]","[  69.93454211   49.93636198   59.96205476   99.93174471   39.95659184
   49.95073267   99.94803807  109.87405156   29.96474325   69.95441147]","[ 69.97776765  19.97413476  19.9833129   49.96317406  39.97156307
  59.98324019  19.97818003  49.97394317  39.98697748  39.97158547]","[ 169.83162739   59.98187242   99.96204597   29.96349927   59.94433051
   29.98778378   89.89168343   79.9806572     9.98468323   49.96777793]","[ 29.96989441  29.9773146   59.96890233   0.          69.96716716
  49.97282539  99.97075702  29.98546995  19.98328269  29.98551018]","[  79.93720222   29.9832547    99.92854279   59.96924084  169.93934868
  129.91972221   39.95019114    9.98722085  139.85485116  269.88881065]","[  69.95676501    9.98571196   59.9580302     9.98073601   49.97074904
  129.96796445  119.93999517   69.96559967   39.97219451   39.94727918]"
"[  39.97246894   99.94474483  109.92883296  189.96508144   69.94546933
   69.95549822    9.9818512   159.91269916   69.94546933   69.95549822]","[  79.92915428  129.9293639    29.97495608   49.95850673  149.91351407
   29.96934123   49.95455032   19.98306088  339.81943123  119.96953621]","[ 39.94456434   9.98231707   9.98915691  59.96054472  19.98113898
  39.98330487  29.98557988  89.90818961  59.96720614  19.98568051]","[  39.98174554  109.96117217  149.9571981    59.97696668   89.97393529
   49.94817447   49.97832294   29.96620377   29.98197168   19.96868942]","[  69.90870839  159.92857193  119.92178719   59.98255317  109.9642209
   69.95091923   49.95630761   99.95357676  149.92928312   59.92057592]","[ 49.96721701   9.98304369  99.97448428  19.98338635  39.96429753
  19.97893373  69.97382393  59.95454261  49.97673473  89.95415871]","[ 219.93200586   49.96358176   99.94955295    9.98935888   79.97323873
   49.92463234   99.93826831   69.95844985  149.90151345   19.97662531]","[  9.98654988  29.97201346  49.94466151  39.98187568  89.92627641
  39.98108745  99.9704133   49.9625121   99.98242521  49.97799043]","[  99.94088261    9.98451379   79.95715018   59.95739121  119.95842685
  139.85255201  179.87040313   59.96860661  179.87040331   59.96860661]","[  59.95156763  139.89431142  129.93299236   49.97370689   69.95115666
   19.97753409    9.9853687    59.96610746   29.97259674   29.96903501]"
"[ 149.89837411  199.9563632    59.95512279  199.86807273    9.9818512
  149.89837413  199.95636318   59.95512279  129.9351983    19.97415329]","[  79.94067281   89.95075827  189.86632182   59.96176087   79.95450296
   89.92775148   79.90755019   49.93269582  179.85656116   99.95829007]","[ 29.98621132  59.96089667   9.98603101  49.97120996   9.98484701
  89.95970747  29.99275163  79.97492491  19.97546365  29.9792647 ]","[ 49.97305824  39.98540566  29.98173703   9.99145731  39.97544934
  99.89272766  79.92881379  39.97426381  19.97415366  49.97881041]","[  19.9638794    89.91402724  119.94678934   49.96393995   79.92128303
   29.97560842    9.98202059   19.98521654   89.9565034    49.97500186]","[  89.90952333   89.95716089   59.97923481   39.96510861    0.
   19.97698499  149.87791467    9.98924329   19.9791754    19.97766622]","[   9.9852703   109.95852018  339.76226976  139.97280411   59.95069164
  129.90812204   29.98300098  199.93785397   99.92519973   59.95485108]","[ 39.98355887  19.98537146  69.92444556  79.9484522    9.98383801
  29.99055846  89.97408586  59.95902911   0.          29.97751781]","[   9.98391551   39.96532926   69.94625586  129.95067499   79.94754985
   69.89432877  239.89436038   89.88865974   19.96351062    9.97942253]","[  89.94616108  159.93767312   69.93779952  129.94023603   29.99174545
   19.97305608   29.98600619  159.94794516  109.9656994    49.96664354]"
"[  69.95979014  189.94891519   69.92430002   49.96133272   59.95944444
  219.89258622   39.96527499  219.89258617   39.96527499   79.93305846]","[ 149.93068699   59.9474172     9.98049188   69.96989357   79.90483408
   39.96159888   39.95302301  159.95875376   49.9382829   189.85682561]","[ 19.98651596  19.97056073  49.97781163  59.9725138   19.97526002
  39.98997278  39.98592385  59.97591074  19.98817006  69.98340076]","[ 39.97059794   9.98651271  59.9612932   39.97981386  19.98288159
  39.9723498   89.96716114  49.96586893  39.97974274  79.95652637]","[  19.98270866   19.97736983    9.9832776    29.97645464   29.97104915
   59.95658381  119.93832503   29.96412024   49.95446494   39.96407843]","[   9.98555144   39.97716355   69.942531     29.96304984   99.96180764
   59.98240791   39.97216917   19.97563269   49.97517261  139.90919429]","[  79.93133191   69.95263299   89.97948957   39.95569838   99.9330957
   29.96273687  259.83824281   89.96131121   19.96551774  219.90471928]","[ 129.94654532   49.95318617   19.98314436   39.97533685   59.98156632
   69.93337635   59.9618736    89.96730075   19.97349178   59.9769045 ]","[ 169.91143317  229.82058984  149.86047618    9.98479787  199.94435594
   99.97157522   19.97032167  229.82058984  149.86047618   39.96412186]","[  39.95813012   99.95630504   39.97841197    0.          109.94927148
  289.89673609   59.96839656   49.9305692   189.93377204    9.99058909]"
"[ 119.94928673  249.93030034  139.913624     49.94939608  129.90512275
   39.94443299   79.93728069  139.91362402   49.94939609  129.90512285]","[  19.98114182   59.95538313   79.96177181    0.           79.90096806
    0.           19.97620177  129.95216367    9.98101154   79.9719345 ]","[ 49.97534195  29.95253631  49.97633767  39.9697476   29.9685383
  39.98671879  99.96830737  29.97458777  39.96230573  19.99010642]","[  49.97314525   29.95376428   59.9622638    29.98507394   39.97858159
  119.93469933   19.96866593   79.9490941    39.98392462   19.96830763]","[  29.95944726   39.95364142   39.97521094  229.87436379   79.94984168
  379.84614633  139.9478167    19.96886613   39.94189428   69.95637869]","[  69.95194309   19.99067471   49.97000328   49.97293778   39.98806121
   69.92926638  109.95547216   39.98013931    9.98223858   19.99122553]","[  39.95859562   39.95453492  159.91006607   79.96522656  109.95921135
  129.90927955   29.95856281   59.95219242    9.98730245   19.99198813]","[  19.97110445   99.9367283     9.98704191   29.9631981    19.97884193
  109.9554271    19.96898905   39.9878721    19.98925109   59.9754833 ]","[  29.95755758   69.92528802  249.92367969   49.94807563   39.94085147
   99.9395649   279.9581607     0.          309.95521972  239.91569351]","[ 179.92535359    9.98589372   29.98184905   19.96460539   39.95702671
   19.97848416   49.98132049  139.94072883   99.97049896   29.9902682 ]"
"[  19.9667451    79.96190278   49.92722899  119.92855031   59.96424273
  199.92209325  159.88861541   39.93840695   99.90532169  129.93433204]","[  89.96733037    9.97998222  319.933414     89.92984146   49.95253855
  149.8824802    79.97732702   39.96320426   29.97792098   29.97046198]","[  39.97946383  109.93978905   79.94911251   19.97712069   59.91746338
   19.97235734   19.98341472   19.98027361    9.98579639   49.95719405]","[ 19.9718879   39.9469944   59.96188153  79.96015098  59.97059715
  99.9418372   59.96125381  79.96603236  49.96992744  19.97225754]","[  49.98185758    9.98130164   99.96885049  139.93124955   79.96190268
   19.97461825   79.94364513  109.97217711   39.96439186   59.97089592]","[  9.98382599  29.98393618  49.97289625  79.95874756  79.96655128
  69.93577842  69.92614875  49.97955015  89.95756812  29.98282936]","[  59.95806565  179.90668643  169.91461227  209.95556333  159.90435278
   19.98064112    9.98080189   59.94717193   99.97624962   39.98488762]","[ 19.97777903  39.97154466  79.96144582  29.95745222  19.96730928
  29.98970979   9.98141348  59.97527874  39.97816496   9.98213154]","[ 99.92835371  29.96753824  39.95068344  59.94119044  39.92272247
  19.96502804  99.93398701   0.          99.92835371  29.96753824]","[  39.92692135   19.98212646  169.93151676   49.9859195    69.95497753
  109.96792623  189.92589427  169.84287227   39.9643602    89.96385606]"
