varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
258.6564571475344,698.7681904506778,493.96260672699003,455.1766922784906,491.64812938076005,366.8571686260007,429.9367370106322,628.0663427888031,552.5940537089004,475.1985367519659
842.199646539045,957.1130050021189,498.8973213781196,475.2344986475473,436.34419266259346,311.32910700694634,804.250166947291,1279.7328446968488,721.8713138590928,253.27581145016813
425.7813030505437,368.8336507076462,848.5100922253052,294.4565069701588,652.8634176033871,236.82712323934706,695.2526664019653,587.487079260788,409.4612111011966,336.35024360417844
413.02059471518896,436.95876817317406,452.13492375592955,773.1385466857852,427.1478563633949,252.24781111024416,430.677699527251,457.20957802863745,428.8228234998928,305.0733159453417
274.88368188987204,478.9254628089372,699.197253601119,588.6059941762751,419.047411431558,362.62063303414465,460.2209240665131,551.5356287701443,585.9165966095741,1073.858240847716
254.43619242723113,487.89036404957403,618.9776849199752,698.3711673405933,456.3469251001035,312.02089407728056,381.4003021859264,558.6271975190259,409.06120144158086,562.1194208165128
300.85541829138174,4004.355455893592,1485.9580097226396,421.1668971273642,449.26295201258284,502.4247709800443,634.0612585728584,651.9065530358793,416.3705700132576,452.7008773185007
315.8618510117506,433.77793486102246,580.1258450810036,395.7612246614211,430.8897524270536,200.44213632114673,718.7377633005818,640.5682170886286,482.1781457678,780.1551506692844
462.9713980087877,1406.535694319854,505.7811340474542,536.7592224909832,817.2845837712193,1262.0986279153708,587.1627217943401,556.5536367700596,569.7054932705228,408.7936263423028
509.59670805198397,797.3361139022146,548.4306264660279,336.9063042256604,514.4225565839231,246.1260274417071,423.4162701351547,644.1940002939057,549.8270343299309,437.9320309687522
2819.4998261016085,778.9248457927731,785.5848463910756,423.87748064988773,476.447531765528,294.21057847774443,430.93095651017154,700.093243312495,388.09689325327525,339.8889601917338
274.37625701976117,1804.0283775358744,833.750670635914,909.4303101102001,642.9343334640397,305.91316845058,820.2231919076456,517.7090601287855,411.1057286707602,491.5376709611366
654.0077572063011,598.9717794895452,906.9405931265542,601.6866797398613,797.0897675082605,353.5099258841171,485.84119371674154,685.3064715066723,569.2698545023525,344.3928319143734
368.0726616082179,997.165469486744,983.4598696015805,515.3666909914105,620.6675763748306,648.8118251398585,537.6835140292267,426.1811138577908,363.2843224012784,382.36029972000483
329.2307440697763,575.4311823298949,694.2282021327526,614.204867016029,297.1939337781664,499.731956029009,624.6095308390588,899.1886493752083,1572.6076703838032,419.18497991513436
596.6583828039948,353.9331253483102,592.8514206632233,974.9884333046359,347.8524167791907,293.70230731020763,610.2373972241111,242.22321751723325,535.766279844029,389.0925653550499
293.38220423895916,404.3445909450242,602.2887163088088,509.1512876561447,938.7838601324561,257.7558337839616,519.4461592462158,869.7837871818042,604.3069523550298,438.0793334596307
887.3554371998637,300.48690195438326,392.0455082627544,304.2870756280544,766.1156387278727,284.22259104159707,897.9740626573865,236.86786035388545,418.61096968568853,283.3762834110555
301.9385294829102,555.8885692543121,430.4246578463227,800.7430536356753,463.72651091954424,428.7278122749602,1073.0379904996303,257.86247975563504,441.0300551513965,304.73395542680987
338.41470143496684,955.6517462199984,651.0820027806016,439.9259947720619,380.12586346912065,267.0318629471705,722.2568698418229,581.5907767230117,472.30938900302766,377.13400255165925
407.5538728731843,220.24703178721796,312.61010046259173,595.7595868160865,325.37595319858343,305.2882727225235,715.4608200805015,232.00496233188153,1069.4432100203107,262.81356960414115
237.2208567975502,568.5650142393556,378.3507465969406,437.00028717926716,610.4068543360597,181.66580430623043,650.8007392359751,354.99516491951044,478.7662207656484,642.2212637804655
485.55466956358435,336.1649122260188,744.6069374029228,510.4927832606224,1569.3375869315923,529.2909873667248,1979.1983482948158,980.5072296596196,375.4280658908683,512.1148114975197
265.5707094958351,489.71070767449703,244.1894709248075,597.3597328786993,469.0422999068409,1078.553259514034,648.1668021809976,244.384231022979,664.998365012733,439.2733409753086
599.9499511035033,320.5809258845091,1009.242039104605,353.95764945482244,755.6985511046764,681.7575460341743,936.423716775563,679.128827187912,328.33214643113405,363.3342529489712
389.08255457747396,459.504913333109,496.4322098085075,448.66005564260496,502.0973953809223,503.5586755334498,5343.112620611822,323.59182296460096,437.04199060434246,1160.355708777107
493.269554205167,352.4937155730225,427.44969773045955,788.1385754655549,676.488120893114,266.5808076085193,742.530186735864,330.8312559796021,314.26281556244885,449.41236675661014
3398.82834861726,240.01873103387155,478.4675499481271,370.59716660828906,1394.7026466523932,481.2388162664826,628.6889152350817,498.73210140877137,1185.589289283208,413.67621800778363
698.3530591058836,359.6330926185443,711.2655557633889,591.5603069980862,517.5265510777347,485.12519664492686,318.99646741757397,390.6113953958014,365.9130313893687,257.8964453825283
1425.442107620629,290.4314680898275,717.6009085024369,538.2067068989455,1766.8418396374564,881.5751148211322,338.61067248193126,535.2610138153723,1181.1149495177112,448.1839949582952
339.5696316548853,392.32051627899614,1017.7577301746584,1653.345692265588,812.7159164360245,506.37621778645894,1090.4019782999508,267.97400804787964,541.5707723836747,472.45041038672105
1209.4672417705249,430.48026100736,414.1500743944983,412.2760770142664,777.0011192630635,495.0244976416735,346.07484214377376,476.8400757823596,1260.8362563463868,562.2228097537331
