rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[-189.03207902 -300.25753974 -189.03207902 -300.25753974 -246.61968218
 -189.03207902 -189.03207902 -300.25753974 -189.03207902 -300.25753974
 -189.03207902 -300.25753974 -189.03207902 -300.25753974 -189.03207902
 -246.61968218 -189.03207902 -300.25753974    5.02851191]","[-100.79863517 -148.14487529 -410.76454469 -310.10668982 -450.23560354
  -74.48486784  -60.83332104 -410.17683266 -321.76540527 -364.56286069
 -198.24656517 -163.93163892 -447.16642324 -285.09682804 -168.43223747
  -34.48917858 -146.96975878 -201.71560547  -70.67856213]","[-355.97992254 -384.10510854 -207.64698861 -199.48144852 -147.50487109
 -201.64642321 -348.45124078 -289.1873432  -338.30068069 -210.28314265
 -173.33067609 -141.27413251 -133.80595144  -71.0998065  -315.53268326
 -232.49136023 -150.96052513 -315.53268326  -77.451701  ]"
"[-227.88298411 -258.60642567 -258.60642567 -105.95852401 -258.60642567
 -105.95852401 -227.88298411 -258.60642567 -258.60642567 -105.95852401
 -258.60642567 -105.95852401 -227.88298411 -258.60642567 -105.95852401
 -258.60642567 -105.95852401 -105.95852401 -176.23106447]","[-138.22420527 -161.28545604 -208.06554592 -101.97586115  -38.13174643
 -287.04572135 -302.27866101 -181.64635164  -44.07727106 -183.81702614
 -325.77909309 -233.69894349 -202.87843423 -175.37164891 -169.85918068
 -174.79238003 -137.82593723 -176.87182709  -79.12741392]","[-344.81629626 -424.98944502 -284.85047166 -180.76482179 -210.98385663
  -82.16862223   -4.79960378 -298.11336772 -154.60204736 -374.53799443
  -97.36394008 -219.88019124 -252.31669709 -192.99155553 -386.43494189
 -440.63565552  -63.93944402   38.69195086  -63.93944402]"
"[-386.47603781 -192.108032   -386.47603781 -192.108032   -207.70112392
 -386.47603781 -215.21261276 -207.70112392 -386.47603781 -192.108032
 -386.47603781 -192.108032   -207.70112392 -386.47603781 -386.47603781
 -192.108032   -386.47603781 -192.108032   -270.61215763]","[-224.92673115 -243.82969844   26.67098491 -244.03126912 -229.42063886
 -295.60079242 -103.18531613 -188.1793091   -76.32685388 -195.59851479
 -149.08023981 -294.40811706 -268.51259163 -161.55110191 -375.03203355
 -170.93523046 -334.9296754   -51.40534445 -168.46992772]","[-406.13667345 -149.29348459 -209.44767236 -256.40780419 -201.53395396
 -240.47567751 -406.13667345 -149.29348459 -323.83195396  -92.7301947
   -4.88097653 -158.71223564 -142.54856953 -100.22503869    4.8770899
 -210.82144547  -78.15274733 -400.47582932 -256.73841661]"
"[-440.00806617 -236.9775603  -236.9775603  -192.06623273 -236.9775603
 -192.06623273 -236.9775603  -192.06623273 -440.00806617 -236.9775603
 -236.9775603  -192.06623273 -192.06623273 -136.68280646 -236.9775603
 -192.06623273 -440.00806617 -236.9775603  -419.0241931 ]","[-303.01781377  -95.2550385  -315.62896627 -119.63191965 -442.03205995
  -44.48487475 -375.88614018 -166.03587056 -135.20726    -166.79185077
   80.33508611 -195.0745254  -195.89703951 -179.95923188 -226.6498039
 -143.09761527  -48.98505782 -204.84404918 -249.17261239]","[ -24.85019434   68.576035   -113.82413681  -99.04943336  -33.61704954
 -249.50774251   21.46507459 -113.82413681  -99.04943336  -50.18682082
  -98.60081775 -109.1595428  -103.980454   -146.72224468 -198.76525627
 -155.42370354   44.74403717  -76.47983902  -23.13987834]"
"[-190.84178866 -422.54262323 -329.84567164 -283.33180303 -283.33180303
 -164.58917541 -329.84567164 -283.33180303 -283.33180303 -164.58917541
 -283.33180303 -164.58917541 -329.84567164 -283.33180303 -283.33180303
 -164.58917541 -283.33180303 -164.58917541 -150.7876681 ]","[-110.06666813 -218.65731384 -249.74761133 -199.29200167  -43.72017053
  -23.48695912  -37.50419489 -150.9730916  -229.46040874 -222.01319538
 -175.65485712   36.92426313 -146.21917997  -11.13156645 -234.17492654
  -60.96510493 -166.05804943 -150.28239137 -305.90874834]","[-227.73744775 -252.57560491 -224.10467438 -172.30445103   -8.54246318
 -141.66935866   34.05230974 -164.37027918 -340.22245052 -220.49932158
 -112.71969531 -224.10467438 -172.30445103  -54.78245668  -86.88159164
 -471.04925072 -196.94154644 -199.74400451]"
"[-393.02782497 -258.96057902 -208.15080978 -319.06234623 -393.02782497
 -258.96057902 -258.96057902 -275.97851891 -258.96057902 -275.97851891
 -258.96057902 -275.97851891 -393.02782497 -258.96057902 -275.97851891
 -393.02782497 -258.96057902 -275.97851891 -180.61611508]","[-167.88874986 -306.93471378    1.1777847  -304.76828006 -232.8110767
 -240.2934703   -41.47858345 -160.78294218  -84.83460809 -160.8746382
 -375.19673732   10.73405948  -51.38286186  -53.57898478  -91.40134592
 -204.87883822  -74.83443402 -172.45769304   23.11555551]","[-385.39113411 -274.96112934 -385.39113411 -104.05397223 -113.52881255
 -152.85705622 -268.58717194 -254.56634186 -245.86706744   10.59059591
  -24.51146131 -185.73290183   19.47251094 -254.56634186 -245.86706744
 -115.73953249 -100.32429546  -22.40632934 -102.08972706]"
"[-225.0473316  -390.06640347 -168.20296337 -225.0473316  -355.96624517
 -273.18460881 -390.06640347 -355.96624517 -355.96624517 -355.96624517
 -273.18460881 -355.96624517 -273.18460881 -390.06640347 -355.96624517
 -273.18460881 -578.37189653 -390.06640347 -355.96624517]","[-113.88750829  -26.28005478 -176.82135221 -264.78092089  -90.20518743
 -107.75147875    7.13611426  -42.21654114 -237.76153317 -163.8351169
  -99.11659695  -46.28159417 -128.36039113   29.77559236   55.91233382
 -103.12989953 -175.99788426  101.20770381    8.96650912]","[  81.93580276  -94.31756738 -332.82825878 -478.71438251 -257.42092947
 -297.99592724 -126.95154561  -37.02047586   81.93580276  -94.31756738
  -57.70383878  257.44236791 -257.42092947 -297.99592724 -231.12025686
  -96.38248864 -284.66247689  -70.65065945   -7.45633805]"
"[-220.93136087  -92.3870915   -92.3870915  -284.85062669  -92.3870915
 -284.85062669 -284.85062669 -400.4730858  -400.4730858  -328.29715595
  -92.3870915  -284.85062669 -214.31195852  -92.3870915  -284.85062669
 -284.85062669 -400.4730858  -284.85062669 -400.4730858 ]","[  20.232414   -194.55173057 -122.71912265 -219.48528158  -98.79092754
 -228.45767843 -221.81539905  -14.80056848 -162.23394713  -39.09626473
  -97.57885749  111.72158102 -326.07707984   -7.32375451  -42.57241913
 -281.77296682   -2.62519072 -213.0602436  -383.40058071]","[ -98.88661062  -76.19874835 -176.91801406 -182.27536724  -31.05177415
 -234.59678714 -132.19251558   61.04829748 -183.9973156   -38.87234321
  -61.18560056   37.4771167   -31.05177415 -234.59678714 -190.54545373
 -262.16515177 -190.54545373 -262.16515177   25.27729941]"
"[-206.75618799 -392.78700154 -422.29072955 -206.75618799 -422.29072955
 -206.75618799 -206.75618799 -392.78700154 -422.29072955 -206.75618799
 -206.75618799 -392.78700154 -283.01939499 -422.29072955 -206.75618799
 -352.43329405 -422.29072955 -392.78700154 -222.86876144]","[  25.18475353   21.00561465  -95.48881881 -212.5383899  -351.03202839
 -252.99550415 -208.68172878  -65.51378944  -68.40042488  -82.77648418
  -62.29248657 -107.71622321  -46.24871742 -108.65612394 -161.45566637
  -34.07115891 -265.29769193  -34.93985927 -186.95600278]","[-223.45419228   43.41273785   56.66663692  -19.55089375  -34.52007177
  -69.52598208  235.72469943 -133.81331574  -53.12852671 -143.21399456
  -36.87667529  106.18928784  -34.52007177  -69.52598208  235.72469943
 -133.81331574  -79.97865739  393.06248369 -220.93040565]"
"[-328.89566889 -495.89494681 -278.27337782 -328.89566889 -328.89566889
 -495.89494681 -278.27337782 -328.89566889 -149.34791398 -278.27337782
 -278.27337782 -328.89566889 -434.68012666 -454.73556606 -278.27337782
 -328.89566889 -495.89494681 -495.89494681 -205.30828589]","[-116.15090089  -92.26463027 -194.26273931 -121.76456281   44.04380995
 -107.01754817  -87.97631079 -221.97121727 -159.79845039 -196.37587624
   15.2925387    17.9361921   -37.29959472   63.35947129 -108.02418112
  -96.35992861  171.18798198   29.81271098 -227.13714518]","[ -26.40406997 -160.8974769   -40.74953447   30.7360853  -135.20363303
 -113.78827911 -103.32474788 -100.7486692   -31.09984056 -241.60347881
   11.45355941 -241.60347881   11.45355941 -103.32474788 -100.7486692
  -90.40536232 -148.80900222 -228.54628272    5.51734469]"
