,diffLr3,diffLr4,diffLr5,diffLr6,diffLr7,diffLr8,diffLr9
0,1.0203359148434326e-05,1.1200760090537214e-05,3.3694706733720536e-06,1.0728812086819474e-05,1.4491392586071286e-05,1.100924747414405e-05,1.388780094132003e-05
1,1.4184667747474974e-05,1.3566035397859386e-05,9.259292136880048e-06,1.5719181846773103e-05,2.3077849763154824e-05,1.347591683307526e-05,1.7187244992040984e-05
2,1.0379823718735704e-05,9.140811267433505e-06,1.4351356123959898e-05,1.9257540833969672e-05,5.821102889773574e-06,2.0223003333458786e-05,2.4924284202174043e-05
3,1.1542270322505143e-05,1.1189214804795842e-05,3.1088808160853808e-06,1.650175669602007e-05,1.3360760363526475e-05,1.7757687413071004e-05,1.117801595071996e-05
4,1.1865293365660668e-05,1.20230022530409e-05,1.1029046993547756e-05,1.5851549503948042e-05,1.3168350745696381e-05,2.0371294477058737e-05,2.4507909574910522e-05
5,9.422139899303915e-06,1.0025445065680497e-05,1.7023815980137736e-05,1.4902814910673649e-05,1.7696316585301182e-05,1.5546113216772894e-05,2.102760684201969e-05
6,1.2694429316296849e-05,1.3741939378194798e-05,1.44730179444836e-05,2.1801494975933074e-05,1.5728676457121955e-05,2.0490288816571206e-05,1.8277998826713363e-05
7,9.672484111411435e-06,1.1565062392141745e-05,1.1431751151276597e-05,1.2106760365718167e-05,1.867535700856848e-05,1.9818125993081933e-05,2.2164884632312187e-05
8,9.25461962940862e-06,8.81143834204219e-06,9.425660881220785e-06,2.209633526042321e-05,1.9614869424062928e-05,1.6310619412863047e-05,2.0509038850956187e-05
9,1.3910301211886492e-05,7.285855171959579e-06,1.805056002191944e-05,1.1923102442465978e-05,1.623867771867785e-05,2.1440103207557976e-05,1.63507721518048e-05
10,1.2512431809748384e-05,1.2312325507506854e-05,1.934586287003138e-05,2.0048359322827977e-05,1.2501516439723854e-05,1.7894177028148334e-05,1.192149855303274e-05
11,4.5581586950313026e-06,1.1400592080795958e-05,2.3726436521366244e-05,1.598038476468573e-05,1.656548709552589e-05,1.7841559504451512e-05,1.2648066467746663e-05
12,5.125829244242449e-06,1.2810224821693913e-05,1.6897185052502318e-05,1.1085463082475149e-05,4.609483074381594e-06,1.6135134904506783e-05,1.8332211874209055e-05
13,6.939583209767039e-06,9.13762588400724e-06,1.5394371063699958e-05,1.3019419095690484e-05,9.549688169614028e-06,2.348496675805384e-05,2.091010829844452e-05
14,1.051097683227708e-05,1.0052038110950998e-05,1.5934615040115225e-05,1.1526242828211467e-05,7.581659645296118e-06,1.718634494796904e-05,9.868270275203857e-06
15,6.627641894336738e-06,1.4420670172343216e-05,1.2407103173344959e-05,1.2126468365425227e-05,1.400753446989113e-05,1.1873143178004356e-05,1.84640879667469e-05
