,diffLr3,diffLr4,diffLr5,diffLr6,diffLr7,diffLr8,diffLr9
16,8.167382178400798e-07,1.5100443861623262e-05,7.055567152454738e-06,1.3596193362939025e-05,1.1436746299118206e-05,2.5411173820880593e-05,1.5088526068009984e-05
17,5.1422360940365015e-06,1.0648105434389833e-05,1.9901421708641096e-05,1.0922007781175816e-05,1.4587037811294866e-05,1.77360666030154e-05,1.5492231262248653e-05
18,6.5520777988951585e-06,1.349083349433474e-05,1.2162468420940272e-05,1.2313827963905818e-05,1.8123498112960203e-05,1.1079925061089824e-05,1.4377560318825166e-05
19,1.0649875284778965e-05,1.5908920056773993e-05,1.5430154556269367e-05,1.4704474099910457e-05,1.6610913792749983e-05,1.9937497716311374e-05,1.4790484637714392e-05
20,5.8014501444588156e-06,1.0494782226419266e-05,1.2265988797994694e-05,1.0310882653734612e-05,9.648372242789295e-06,1.647704882014368e-05,8.661743448392544e-06
21,7.98745212135317e-06,1.5382115514053942e-05,1.3828927325109686e-05,1.1871693930115181e-05,7.922744861303096e-06,1.8381498194406968e-05,1.9395808061359907e-05
22,9.186379266455752e-06,1.113302511630281e-05,8.257201889091954e-06,1.606912861763367e-05,1.8078548382290863e-05,1.4714601317622504e-05,1.655923086109916e-05
23,9.691807488204444e-06,5.852810045335586e-06,1.0004679648188096e-05,1.2533102677598764e-05,1.2543885575417908e-05,1.674844462938477e-05,9.961931402890996e-06
24,1.432680469925261e-05,9.738871425756554e-06,1.1785007600534592e-05,1.3094757103366908e-05,1.0928944012881269e-05,1.4237372820056896e-05,1.386566407835298e-05
25,1.2542738137770568e-05,9.950184881092093e-06,1.5015399017141391e-05,1.2492883603933594e-05,1.2840118988483706e-05,1.9000241122356532e-05,1.6091746419725374e-05
26,7.168074266119439e-06,9.015011643682875e-06,6.839684319040737e-06,1.3439258045342314e-05,1.7411558397260986e-05,9.152371094420655e-06,2.1091289421726587e-05
27,1.3319661499748321e-05,9.22818852898983e-06,1.078361905623235e-05,1.7592451652377008e-05,1.4469932643092832e-05,1.401695730857059e-05,1.4682681985218101e-05
28,1.62315728335856e-05,1.492747801399221e-05,6.7528955503798455e-06,1.1508214828833937e-05,8.96000109147572e-06,2.230010022399254e-05,1.036493763147911e-05
29,6.589028892879542e-06,7.07246769099459e-06,3.5358259547200932e-06,1.7138437960342296e-05,1.4384195410401281e-05,1.8196048339588615e-05,1.5898807604813905e-05
30,1.0859576488601494e-05,8.52315989809733e-06,1.3435720216883039e-05,1.0036360241438154e-05,9.061683521196988e-06,1.808118689849082e-05,1.7486359364008157e-05
31,9.885920684297841e-06,1.2993244415244648e-05,1.532437414206817e-05,1.1095133593704924e-05,1.244928903209661e-05,1.4000128603441225e-05,1.8348194659331756e-05
32,1.4107960565786027e-05,9.405161634683122e-06,8.018533091997266e-06,1.1228621373058982e-05,1.2807325044231473e-05,2.2646484265299027e-05,8.551764216820844e-06
33,1.221159697204287e-05,1.6667360449183886e-05,1.2381995879818652e-05,1.377616140367773e-05,1.2254177336280426e-05,1.543489833197157e-05,1.5189526130507115e-05
34,1.0820289852556177e-05,1.5177886765253116e-05,9.020029176993604e-06,1.1558885398245894e-05,1.2324054316407621e-05,1.1208690057743214e-05,1.5542608255447543e-05
35,1.2782248605020227e-05,1.4949939640704646e-05,9.936820658280733e-06,1.2012724483535883e-05,9.738659279059455e-06,1.2464979145267115e-05,1.190228285740578e-05
36,1.2468165832876578e-05,9.421715811719133e-06,1.000931385210441e-05,1.4221928642952868e-05,1.1055611094950406e-05,1.3504361586424842e-05,1.2441722944955784e-05
37,1.4526538012104973e-05,1.69126956005703e-05,8.494171536085592e-06,1.3638220311965798e-05,9.113946489633475e-06,1.3997289984226307e-05,9.24960196639686e-06
38,6.627294872990274e-06,8.208089615105348e-06,1.220404759189827e-05,5.413207017959121e-06,8.835688796675139e-06,1.2945485923834398e-05,1.320671126170752e-05
39,1.581853517273343e-05,2.029816918757558e-05,8.50709879356444e-06,9.31643204622485e-06,9.571523776853622e-06,1.1401875544039314e-05,1.4515356662622914e-05
40,1.1092101422105049e-05,1.4552183990979826e-05,6.858025901308351e-06,1.3577442534367673e-05,6.585754113907918e-06,9.611344931059093e-06,1.0814591292118443e-05
41,8.84678110727187e-06,5.607583101405562e-06,6.008713113772359e-06,6.396034874457783e-06,8.837267505519753e-06,1.193985196449051e-05,6.927462366389702e-06
42,1.0035157753477663e-05,7.1434692076496345e-06,7.755362426297438e-06,6.261188993463366e-06,1.1211506397883453e-05,1.243839916474622e-05,2.6880869151567314e-06
43,1.1350004729522912e-05,7.163447875772299e-06,6.75157702885671e-06,1.2343259570989357e-05,8.935273630286003e-06,1.0284627669453186e-05,8.747299144702546e-06
44,1.2727826156897058e-05,6.565811306605433e-06,4.606453387890844e-06,1.8423202294645766e-05,8.340925119292873e-06,6.140541815760891e-06,1.3910244442511894e-06
45,8.160557999595116e-06,9.016435862881472e-06,4.03224047110026e-06,1.2178399607071352e-05,6.780087332943214e-06,1.3051289080525677e-05,8.495343248481927e-06
46,1.314806263183068e-05,4.6396929123815785e-06,3.5185892451225567e-06,9.605467635276765e-06,6.642742301017876e-06,5.438961392183935e-06,8.3813023811235e-06
47,1.212479158818924e-05,6.975291471458809e-06,1.1590821541112245e-05,1.7611855674017574e-05,7.99214649751294e-06,1.5076526890186389e-05,1.067934482513688e-05
48,1.2294986010585747e-05,5.484306124818298e-06,8.714820516299336e-06,7.762536402257669e-06,7.985491474658594e-06,1.4237727514842681e-05,5.898758113747628e-06
49,8.056274810006877e-06,4.497372360270264e-06,7.575489825291121e-06,1.558828629679202e-05,1.0380545367026836e-05,9.055012049073967e-06,1.60669372619658e-05
50,1.1225481340462538e-05,1.3173936587271427e-05,7.1290474382697895e-06,1.4386600442775989e-05,9.356742875467782e-06,9.291690603343183e-06,5.969685261038197e-06
51,1.0677802190471027e-05,6.681726222476231e-06,8.294236708888505e-06,1.3925386628433258e-05,7.602116378520474e-06,1.323547645848451e-05,7.656287216726188e-06
52,1.4530114732130714e-05,1.2003473377398332e-05,8.139958308207227e-06,1.539043162191475e-05,1.2835626572912561e-05,1.1931532586681415e-05,1.6496322138092554e-06
53,1.3166769926032245e-05,7.371364277329002e-06,8.30327468231867e-06,7.366796055040116e-06,8.845880988449063e-06,1.5206032132335443e-05,7.369150505287971e-06
54,1.6266125340021358e-05,5.315688625901845e-06,6.376898802843128e-06,7.989864804694603e-06,6.505495873963383e-06,1.4298484032103978e-05,1.7158925197002765e-05
55,1.7337183484882548e-05,2.989006035552454e-06,4.980117078734555e-06,1.3229004376967062e-05,5.7329062992405504e-06,1.604037116164437e-05,5.223641212764892e-06
56,1.2568394992391626e-05,1.0116341648953102e-05,1.4130364467125556e-06,1.0586466583094812e-05,7.860224174267212e-06,1.2928190621339765e-05,1.0195086835888293e-05
57,8.795685829684408e-06,7.4418971680395765e-06,5.643147510615436e-06,9.158415512319653e-06,6.879352534226434e-06,1.754742137532832e-05,1.2310556372386585e-05
58,1.5520120607630217e-05,7.392258407208578e-06,6.380576239897935e-06,1.0747594957073327e-05,5.02649239077504e-06,1.0484886921775384e-05,1.4646771680591751e-05
59,8.866293637865992e-06,6.584429427087889e-06,3.5949910470813284e-06,1.0730834983634153e-05,8.839610403072019e-06,7.094826386947999e-06,1.3631098466625953e-05
60,1.5556872722622435e-05,1.0659999350191549e-05,2.8215014443856665e-06,9.602372715090776e-06,1.1597291608133492e-05,1.570491758636202e-05,1.0716878876813986e-05
61,1.5540162420804616e-05,9.026177951303105e-06,3.7321696775551416e-06,9.218653239832295e-06,8.511200186239442e-06,1.627543053773627e-05,1.1148103354152508e-05
62,1.7617839866272216e-05,7.064233398665024e-06,1.0092190546862391e-05,1.1184934968600554e-05,9.123948557810753e-06,1.2077411252284019e-05,8.589532451289687e-06
63,1.3133255229162303e-05,8.529213195538747e-06,6.347862803797825e-06,1.1074073566616885e-05,1.179940824958628e-05,6.829729735407772e-06,1.1902772170076588e-05
64,8.998282798878493e-06,3.4004791875444235e-06,6.3226083210073694e-06,8.559352091106901e-06,8.59107358511809e-06,1.4710369801567313e-05,4.977409237263731e-06
65,1.714309916157251e-05,1.2000788249747887e-05,2.642293602320466e-06,9.774651280441729e-06,9.859774303997295e-06,1.733554498113396e-05,7.735745695467917e-06
66,1.5253030629960666e-05,5.758816603540492e-06,7.659489485452424e-06,6.709658730808421e-06,1.573065652550593e-05,8.182304108176831e-06,1.2391742836807327e-05
67,1.8895593673681085e-05,3.731631873817966e-06,3.8020575610908893e-06,9.090015805380468e-06,4.613882052083803e-06,2.3288786255321434e-05,1.0356441116030407e-05
68,7.2806680546891705e-06,7.2491073925191316e-06,6.99371693911356e-06,7.589457059485224e-06,1.054952804043548e-05,2.1965399132313792e-05,1.2875418051232838e-05
69,1.1080216586763548e-05,4.861599807095914e-06,4.868302183907765e-06,1.4935012783149693e-05,1.1146822091390349e-05,9.195639648321094e-06,1.3382473755885006e-05
70,1.3154622598714459e-05,1.1944474352254907e-05,5.2718032581921425e-06,1.0215749597714097e-05,9.616468745231426e-06,6.112769069077336e-06,8.599521581365678e-06
71,1.3429115403254393e-05,4.5167940163085555e-06,8.828653433462752e-06,1.4263383363019802e-05,8.963212244784768e-06,1.3099116615715578e-05,1.4433135531485646e-05
72,1.2725509732588906e-05,8.511391964746136e-06,5.164447325153557e-06,1.0594378031434878e-05,1.0694871716050505e-05,1.3592967657225513e-05,6.3744903683289795e-06
73,1.3087634377460171e-05,1.2409279048044978e-05,4.9575887797749714e-06,1.2222347144016504e-05,6.504045806112081e-06,1.0234218606026326e-05,8.278234179237528e-06
74,6.189904704605e-06,9.245249898573064e-06,4.517680034171883e-06,1.6488220472736078e-05,7.695836882053023e-06,1.1329790485409143e-05,1.4709493565757213e-05
75,1.4295300885949275e-05,2.9786195725609484e-06,7.83021530641264e-06,1.0496961178112541e-05,8.677022061058823e-06,1.6853451613312762e-05,1.0204224290238757e-05
76,8.35222907572455e-06,8.31544794096465e-06,4.096961855263516e-06,1.414891434354832e-05,8.149970386899002e-06,1.0904462824445257e-05,9.609351468648785e-06
77,8.003814152154603e-06,1.0833130906299614e-05,5.3032848982909505e-06,9.830977398060562e-06,6.4304457045800025e-06,9.962771731896404e-06,1.2109259648548658e-05
78,8.448944173001682e-06,7.588130206478416e-06,5.275096717327205e-06,8.250762745948276e-06,8.644307101576408e-06,1.5209414992398858e-05,1.1116461905080568e-05
79,9.736065230243956e-06,1.3581830183931802e-05,8.470423992766019e-06,1.3472379558359078e-05,6.740615757863818e-06,7.88315601570677e-06,8.439201239882099e-06
80,9.99496549714351e-06,1.0085121197755143e-05,6.539421046818022e-06,2.1572661609552384e-05,1.0725225108626055e-05,1.4545307726802094e-05,5.1754438480749745e-06
81,1.5073231533541979e-05,9.943158454326921e-06,5.675870322281991e-06,7.32987438537955e-06,9.52560542844403e-06,1.3851347118731862e-05,1.0583680170775285e-05
82,4.345781036152249e-06,9.14523898423807e-06,6.633379504960985e-06,5.831106753453507e-06,1.0754651239714884e-05,1.0827344981819151e-05,7.480574688448044e-06
83,1.210077579078056e-05,1.10770482229918e-05,7.087525037645433e-06,1.087164126611477e-05,1.1911763100250695e-05,1.0177221252948518e-05,9.582277814105538e-06
84,4.2968281382399105e-06,8.428744834892046e-06,7.402450542202855e-06,6.718552722765429e-06,1.0041033131685347e-05,1.3343040520224175e-05,1.2480274250006288e-05
85,1.4071380101692283e-05,8.873666620242301e-06,8.321013098685487e-06,1.830789644342335e-05,9.543372913715573e-06,1.3567069706076203e-05,1.144509981989465e-05
86,9.475097912445333e-06,9.00931963300915e-06,8.88781453264715e-06,7.965037074271517e-06,9.576100859387964e-06,1.1561474611293702e-05,7.734986842986301e-06
87,6.620295805439608e-06,9.298809157466689e-06,9.211802394701698e-06,1.193673748081667e-05,8.074800346794099e-06,1.0933429736955992e-05,1.345145616003133e-05
88,1.2774292138018529e-05,8.621105557083503e-06,8.841482449224134e-06,5.271849140622043e-06,8.860661121370915e-06,8.864863458119373e-06,1.3605287731021952e-05
89,5.86726953305286e-06,8.297934100977695e-06,7.270541210565368e-06,1.109144544868051e-05,9.79750697582685e-06,1.1131174020251812e-05,9.404275732440283e-06
90,1.2512364604039626e-05,1.0625286778453624e-05,8.452830210842364e-06,6.465621510734416e-06,9.22115479997733e-06,9.087388972529053e-06,7.6946584784496e-06
91,8.610642729572947e-06,6.201109735911337e-06,8.47259072048365e-06,1.0461221865005668e-05,7.878349361367175e-06,1.1325764440851463e-05,9.877215300784354e-06
92,1.0992590153603147e-05,5.025458809148302e-06,6.377379751523163e-06,8.731467193048415e-06,1.4632697543163694e-05,1.6760740828778635e-05,6.174558220269571e-06
93,9.715335944655748e-06,9.501635027898678e-06,6.6220448983078375e-06,2.8832227295976126e-06,1.0918760106074856e-05,1.6867891321837667e-05,9.096849495456754e-06
94,6.991669900326226e-06,8.792626350311482e-06,8.219411321315204e-06,7.986754986831634e-06,8.501916032711868e-06,1.1919849794949758e-05,8.755252348018483e-06
95,5.801182746857735e-06,9.051247668658214e-06,2.325719441842756e-06,2.768696620622029e-06,9.145266824588701e-06,8.554705489019696e-06,5.46607505599017e-06
96,8.022136138052551e-06,6.6378820492961515e-06,4.895737264547162e-06,1.1334483428388385e-05,8.282372964415936e-06,1.461045990864233e-05,1.1808991279480424e-05
97,1.4620933593132078e-05,8.748042951681933e-06,5.430426289739194e-06,7.5861055146780266e-06,6.777309197151945e-06,1.2594675216472758e-05,9.405636857270008e-06
98,3.064164627103486e-06,9.87454202101612e-06,5.021210997170531e-06,6.800334035495197e-06,7.831688804099113e-06,7.5661770583381585e-06,7.2258695000116395e-06
99,7.697687643006102e-06,8.297679414309882e-06,5.486971374841731e-06,2.8513803433464524e-06,6.7640920373901976e-06,9.031126717445331e-06,9.501812779621954e-06
100,3.839046086274021e-06,9.892835769148807e-06,7.074598297172026e-06,9.96477167357277e-06,1.0014703311144488e-05,3.6614693288918792e-06,1.0189638871330735e-05
101,1.947084072417115e-06,7.286617225432648e-06,4.4778193661533255e-06,8.24143875147131e-06,1.4936575062302679e-05,1.0588364868293639e-05,1.3809287660113382e-05
102,2.2424098515842784e-06,7.266432570920456e-06,5.664953974544027e-06,7.430881758478549e-06,1.0369702717318886e-05,7.359122873200482e-06,8.174700444008325e-06
103,3.0935532666554595e-06,5.1369424895739175e-06,4.635787839407472e-06,9.377683578348133e-06,7.468348824652804e-06,7.872370742972712e-06,8.293049944619775e-06
104,6.292358741402926e-06,5.123309807772165e-06,5.619222058730141e-06,4.6907334623227664e-06,6.564912079771261e-06,1.1079434510122783e-05,9.215502114424679e-06
105,9.414359877372682e-06,7.403820543413847e-06,4.140747789601302e-06,3.0568804891992206e-06,1.472652249207512e-05,9.534880538304725e-06,6.821608716866695e-06
106,1.0749222604470313e-05,8.204103542388054e-06,3.881948946974716e-06,1.1779852533331091e-05,8.89922392717294e-06,1.589114923337462e-05,1.27128855009398e-05
107,6.958057810494306e-06,7.93769516915956e-06,4.0319339841528275e-06,7.4219256123082355e-06,1.0258317300030698e-05,9.175034364106976e-06,6.791241176695468e-06
108,8.310179628386005e-06,6.035779929473979e-06,4.729243476412697e-06,1.0508391316429027e-05,9.519408418906562e-06,9.295233504147414e-06,6.663523176394558e-06
109,8.09442651002368e-06,7.463667603074028e-06,4.768435676962014e-06,4.513982334358341e-06,1.5542808054684686e-05,1.0300921126648442e-05,8.978390709844272e-06
110,5.986550616499792e-06,5.940705428967129e-06,6.761631974327291e-06,6.444513777053439e-06,5.389370891367815e-06,9.561268985211966e-06,8.688350044981486e-06
111,4.816808609016603e-06,9.37212525247509e-06,6.645093750993881e-06,5.216193534682654e-06,6.3911597059443026e-06,1.0056564746100977e-05,1.2210080264389883e-05
112,1.2896257303767394e-05,8.13361641350619e-06,4.689474351087544e-06,9.11626565992398e-06,4.372528457877457e-06,1.1193712346099264e-05,6.8793874698472565e-06
113,8.979665057246243e-06,7.85600441842931e-06,6.370165308208433e-06,8.563512859446737e-06,1.1431020048441053e-05,8.696077036807175e-06,5.8022421609704615e-06
114,4.935531919405579e-06,6.022363058130894e-06,3.225406951905137e-06,6.02195430982682e-06,8.518820726362657e-06,6.855650402704933e-06,1.1300410332490002e-05
115,9.525238549026955e-06,2.1812625192450617e-06,4.489073621917397e-06,7.435690402891363e-06,6.790304339564178e-06,1.0436874897036106e-05,1.1803668102731384e-05
116,9.738497185808019e-06,7.928184952344563e-06,5.137448498815784e-06,7.977918668941322e-06,6.3694650342984425e-06,8.994454992591201e-06,7.88732108393842e-06
117,8.833536817877568e-06,7.351490268440182e-06,6.133597034432538e-06,1.050398114303733e-05,8.919207177164671e-06,4.911576635799806e-06,9.76707856968361e-06
118,7.533025886291377e-06,1.065185827905536e-05,5.840624481480307e-06,6.3012282534335545e-06,7.767728630697499e-06,5.153905378894963e-06,6.414093684487764e-06
119,1.1602658482373967e-05,8.079258177927864e-06,5.621742069773328e-06,8.109325865908913e-06,9.139271706867993e-06,1.0476856338306148e-05,3.6940356945217975e-06
120,8.526245682899168e-06,1.1882699687058633e-05,5.120846262341087e-06,8.691406655901846e-06,1.0212293048061272e-05,9.075277669549041e-06,3.2232263062198697e-06
121,8.470411783788098e-06,9.413905167817496e-06,4.7426664654865545e-06,9.225468351412564e-06,1.0382362628278811e-05,1.121430340358623e-05,1.0178087372005003e-05
122,6.90095033107223e-06,9.874358624642052e-06,5.1808943256054535e-06,7.384725761402077e-06,1.1940589192227385e-05,6.072041660252732e-06,7.850663497843924e-06
123,6.482549269087785e-06,9.205363652420974e-06,4.323899710156757e-06,7.218059783178784e-06,6.515264606281008e-06,4.559034624547588e-06,1.04629178499712e-05
124,7.4215139858726746e-06,9.487228472075734e-06,5.535670802853772e-06,8.717951517003381e-06,6.597721891642014e-06,7.288528777240754e-06,6.44299241173147e-06
125,7.405587683044247e-06,7.618727289042788e-06,6.1897162110226935e-06,1.0875453023877167e-05,6.49338895196357e-06,7.200817203045241e-06,2.831520895143384e-06
126,5.371847888638054e-06,8.468308699820354e-06,6.122219333045549e-06,8.994752773531598e-06,6.9772963356731625e-06,1.0781774288020163e-05,2.2177440935673763e-06
127,8.62594067075466e-06,1.0402130129776278e-05,6.408276580226753e-06,7.5185250573312626e-06,8.709557710897454e-06,5.133109841450556e-06,3.4681905194768585e-06
128,7.958830268244609e-06,1.0622681382583468e-05,6.80773647679195e-06,6.487617346616998e-06,4.749795132789094e-06,4.3707919891236314e-06,9.00765799187111e-06
129,6.858131155261493e-06,6.865711557785947e-06,5.75218032086371e-06,9.518392159229595e-06,8.096427277349293e-06,5.296787157005786e-06,9.290959867220034e-06
130,7.958766633319007e-06,1.2729041061261636e-05,7.040292516043211e-06,4.229945386538263e-06,8.300514053309929e-06,8.87206778543102e-06,5.7739718960460945e-06
131,7.573447376822932e-06,1.0271862318488922e-05,7.0976755050771946e-06,7.422395595465686e-06,5.492902476946697e-06,5.5385699420087645e-06,8.630412598033319e-06
132,7.865770047191985e-06,1.0668669289132718e-05,5.338082689796271e-06,8.206030793322067e-06,8.861967896030892e-06,4.994082505776284e-06,8.226148102965827e-06
133,5.9400614808071344e-06,9.684924401478767e-06,3.3576841275461154e-06,1.066435606711011e-05,5.731400123238094e-06,1.4964845915502787e-05,8.421577325916341e-06
134,4.287205812524257e-06,8.305062015958994e-06,3.452028816535646e-06,4.246500394511698e-06,6.221956516160899e-06,1.185933689006325e-05,7.9919642647458e-06
135,5.82055372256068e-06,7.250775554465362e-06,5.206762648472065e-06,4.3572096364295255e-06,7.92366384578304e-06,1.1320492715955763e-05,7.625803214987603e-06
136,6.897565104766259e-06,6.6026748214363375e-06,4.422747506223867e-06,9.387370102022193e-06,4.692980736928867e-06,9.676919732087426e-06,9.736912939158247e-06
137,7.475503422779967e-06,7.5841833910164965e-06,5.066205994708782e-06,6.942646319615217e-06,8.215133635581388e-06,1.1463183010257134e-05,6.396986804645342e-06
138,6.524161355616378e-06,8.495062738241608e-06,4.312059000091193e-06,6.9952833264292175e-06,6.76627834314374e-06,8.270105240731108e-06,5.247629440329052e-06
139,4.468248376718865e-06,1.0650461659404947e-05,3.366947461129543e-06,4.929397471290076e-06,5.455051176915039e-06,1.044536892129761e-05,9.241615938542981e-06
140,3.8234418984142786e-06,7.758863548016327e-06,5.361193157195747e-06,5.464961412100866e-06,3.5729234175254936e-06,1.0550842888405966e-05,5.122951808652579e-06
141,5.545057278526749e-06,5.031432144131995e-06,3.706393938894931e-06,5.908991965911447e-06,5.542984879653864e-06,5.7025860860801284e-06,6.971558642328833e-06
142,5.3109533243881665e-06,4.198550878050405e-06,5.372852196050647e-06,6.758617822240923e-06,4.334568523390972e-06,1.1834272880936094e-05,7.737571643238552e-06
143,8.542803253143949e-06,5.3921761779558065e-06,3.7637606357026446e-06,1.0511771194272154e-05,6.265256179397728e-06,7.67526581418085e-06,4.432111523429095e-06
144,6.484867588129831e-06,8.956787079823309e-06,3.480639348266865e-06,1.0686482597337468e-05,5.538680577461112e-06,8.948018064996926e-06,6.639505772274724e-06
145,8.450159421247334e-06,6.513831012394757e-06,5.06193307752917e-06,1.0410101806123031e-05,6.373032555767328e-06,9.326485960537881e-06,1.0577657658284661e-05
146,4.432151173777637e-06,9.610476795666675e-06,4.59238814637496e-06,1.072377742465939e-05,4.439904894939932e-06,9.06872491105216e-06,5.372771709841219e-06
147,6.525603614332547e-06,6.902557181532642e-06,3.7511878071999918e-06,6.899353615104959e-06,6.808422867153035e-06,9.221661531746017e-06,9.173906411464508e-06
148,7.549008285468048e-06,7.54752171336314e-06,2.7014553513765792e-06,8.574578391478378e-06,3.860225638530499e-06,4.3702164681068576e-06,8.783634163296683e-06
149,9.317055253233028e-06,9.821799177608344e-06,3.3406937293510122e-06,8.837955500934346e-06,5.544462353928772e-06,4.828693223866013e-06,7.044253424746392e-06
150,8.105507500462584e-06,5.1737721132720385e-06,3.0622098717956964e-06,8.756990101176314e-06,5.191153277459325e-06,8.306236828285601e-06,5.5526875483613726e-06
151,7.333569306562516e-06,8.104730825084642e-06,5.0025309107079125e-06,8.089217424843817e-06,6.074800880165371e-06,8.654585764667086e-06,7.885913517306347e-06
152,5.878403241349441e-06,5.920550417778194e-06,2.7690326108834922e-06,5.888718304038461e-06,5.801522259397608e-06,5.593501951456365e-06,7.746990141046869e-06
153,6.933559778045123e-06,4.1600129115655985e-06,3.48764889526497e-06,6.012585783407589e-06,5.851551990840989e-06,4.304294161889262e-06,6.1768972697552385e-06
154,7.986823569846398e-06,4.851934125085015e-06,5.48794236584315e-06,3.611426839415155e-06,7.694842241846056e-06,8.662417123622643e-06,6.219827526942305e-06
155,9.246039989990243e-06,5.661924722843547e-06,4.2377172812806716e-06,5.685455543470861e-06,7.5213046610804564e-06,9.70678178181566e-06,6.039362903966329e-06
156,8.771205532995701e-06,6.297150891916959e-06,3.611835084796285e-06,2.437293449876402e-06,7.873259617316978e-06,1.0519944651294971e-05,6.058428496072975e-06
157,5.88193343658201e-06,5.535600255861769e-06,5.010925559567643e-06,5.647085594697424e-06,3.986896963815426e-06,4.100014174879629e-06,6.953998785567376e-06
158,6.087550694045299e-06,4.91274428472263e-06,3.320125917520781e-06,4.130548934511705e-06,5.367436881728337e-06,8.152004577208711e-06,4.413961255974607e-06
159,8.619956818696846e-06,6.039335516665239e-06,4.4761315692370615e-06,6.051818997086483e-06,2.4004989192053493e-06,8.26982503272806e-06,4.840667989825235e-06
160,8.076079977773238e-06,5.220153367157512e-06,3.4160549981947733e-06,6.998760631478873e-06,6.009674773092902e-06,1.400798894389013e-05,6.096435922991388e-06
161,7.783872745603712e-06,7.723349081383632e-06,3.0652833956132113e-06,7.393921671664904e-06,4.782881175112365e-06,8.023956329363811e-06,6.184281230142778e-06
162,1.0395307335821839e-05,7.62889400453042e-06,4.805859141504907e-06,9.065103931618701e-06,7.588563605440746e-06,1.0024343248659941e-05,4.630948451066325e-06
163,4.549040756816548e-06,5.291163842481015e-06,3.6182107507371293e-06,9.7793085755999e-06,3.91803648060362e-06,7.947329156930675e-06,7.595751429385857e-06
164,8.528403079435005e-06,9.513011918097614e-06,6.350937352253495e-06,4.334484237800099e-06,4.614790228657387e-06,9.219675164973179e-06,9.579159620973583e-06
165,8.435448636201116e-06,6.863606285118141e-06,3.963433403127918e-06,7.183298739717551e-06,6.700223335320989e-06,1.1360093140838415e-05,5.40226728814223e-06
166,8.182595859547705e-06,7.715317332472562e-06,4.887382360311192e-06,8.402152743481222e-06,2.5755354507695695e-06,8.966154759956181e-06,7.889440122135048e-06
167,4.948164675447468e-06,5.532132664935964e-06,2.6335937000990996e-06,1.0632184952349557e-05,4.641217878129845e-06,8.092694563849895e-06,8.27993422130508e-06
168,8.099562310580047e-06,6.1552327713560845e-06,4.6850665435104014e-06,7.434683641893352e-06,5.065132449871764e-06,8.170258629512603e-06,5.860478190084789e-06
169,8.675723030731928e-06,6.387410000772049e-06,4.823704160107172e-06,7.1581427556399e-06,4.808574789046771e-06,7.019916338069596e-06,7.874738331059827e-06
