,diffLr0,diffLr1,diffLr2
0,2.7770194890136806e-06,5.074777225389452e-06,4.512380801103851e-06
1,2.9254394585297363e-06,9.973811882047723e-06,5.242268449345635e-06
2,1.427514316554232e-06,7.0343353026198215e-06,4.6156576833560575e-06
3,2.6923406433887544e-06,6.36210655445052e-06,6.833442288665396e-06
4,3.815060963525914e-06,9.089022069204199e-06,5.83262320245318e-06
5,2.350521989260467e-06,6.447853621152303e-06,3.802705541623233e-06
6,3.102970848886061e-06,9.192201101266247e-06,4.333554967690752e-06
7,4.203895725428857e-06,7.009778378811902e-06,4.537207796543856e-06
8,2.4469234572585404e-06,8.029285808332422e-06,6.7691420554553665e-06
9,3.4725486573360624e-06,1.3430704933851542e-05,8.588774190078617e-06
10,5.3320839675217555e-06,7.953418302377657e-06,1.015593175614431e-05
11,2.7747458475161644e-06,9.517071381591126e-06,7.689279409538374e-06
12,5.175280033515452e-06,9.463882254656627e-06,6.064797482315468e-06
13,6.665221700630581e-06,1.2012282752373066e-05,6.244413876172989e-06
14,5.81770664646101e-06,8.974872028539526e-06,9.699484025893159e-06
15,2.4544794438368555e-06,1.0068501721751729e-05,5.969421321834234e-06
16,4.055439109095579e-06,9.291856090857244e-06,4.561026708627403e-06
17,1.930843419192998e-06,1.1256114945754804e-05,9.201772452381489e-06
18,3.792174237192161e-06,1.2019552265461198e-05,9.903825372810191e-06
19,2.089314615297057e-06,1.3484400696582222e-05,1.0665922477227086e-05
20,3.644151216676388e-06,1.2749995181799994e-05,5.4526302406130635e-06
21,3.445143359256836e-06,6.701534746690977e-06,1.158583342720018e-05
22,3.8156834265622075e-06,8.999107303426723e-06,5.07475327495299e-06
23,5.018721335017559e-06,8.798873724666344e-06,4.09450437425393e-06
24,3.7842366980830135e-06,9.219840089257275e-06,6.500826308442402e-06
25,2.6460759450434734e-06,9.967331075299135e-06,9.306914083259384e-06
26,2.6598804545681518e-06,5.592330558415812e-06,7.448649997602683e-06
27,5.027121506297041e-06,7.175594047300441e-06,9.074366480502678e-06
28,4.2340646897540075e-06,8.664276622655805e-06,3.489361110446437e-06
29,3.6353866359183665e-06,1.0152972723536674e-05,8.610642210235394e-06
30,3.790394221914757e-06,1.0749650404540567e-05,5.138500139497808e-06
31,3.0660067816165026e-06,7.491440715165394e-06,5.4779352788486575e-06
32,5.7611482828754e-06,7.828017894756112e-06,4.777362025356895e-06
33,5.218538920068397e-06,9.062456238782697e-06,2.796732827951438e-06
34,5.497497198706468e-06,6.8919251596198624e-06,5.8363005263770355e-06
35,5.833277298278767e-06,6.208048042125479e-06,4.707293782125702e-06
36,6.295481856517882e-06,3.727478173998069e-06,1.18488122763711e-05
37,5.04108450597787e-06,3.4630354793169786e-06,8.977234268038015e-06
38,1.9250783437422633e-06,5.8935471558880036e-06,3.718095177695467e-06
39,3.4353413248202616e-06,8.314538193040244e-06,7.580305209529858e-06
40,3.5629870466008045e-06,8.138383000116935e-06,8.764489050218036e-06
41,3.5187503101380283e-06,6.344676101293797e-06,8.289713815303342e-06
42,4.539086671812107e-06,5.518231643787863e-06,8.935783789470489e-06
43,3.665491576047285e-06,7.868918429028211e-06,9.117576699362653e-06
44,4.324781956909693e-06,4.141404748270466e-06,1.1146274361859252e-05
45,5.409506243467762e-06,1.3733482909431022e-06,7.39860998596791e-06
46,6.101388252693011e-06,5.500129583313702e-06,6.648270905160479e-06
47,6.5105370781302286e-06,4.073794998220609e-06,7.6166306887896376e-06
48,4.794452663797693e-06,4.133482561305689e-06,7.3037791713960305e-06
49,6.196969940628276e-06,3.3792170308701747e-06,7.506213050818793e-06
50,6.525628380808412e-06,1.8502163366139156e-06,8.15331968337471e-06
51,7.032225880717239e-06,3.938255009788353e-06,9.893232323793272e-06
