variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
153135.76627635612,178809.09904728679,743826.8330720781,495790.7238142552,270501.52059101616,489220.2391805755,385654.47507730464
108443.1813512641,174520.2543217152,348170.1715251552,136434.63865688874,199709.16800297727,472876.3724267796,321733.2456649075
204123.79281747484,460861.1796122524,259980.74939986883,165389.3140932923,482990.1154769809,231444.22313157812,207016.24092390214
119747.22087683502,277167.75686493167,590127.4223644967,219573.4412712548,411208.80528871866,281983.2840345346,609794.1881275473
146497.90862669252,233838.9299993377,363765.6733852418,258550.42703514715,548145.7640403995,303420.811250737,172337.3892431347
180616.10672648688,463054.6180377835,273641.7225071298,176932.1790039612,271131.2438822521,344134.8133605254,307923.6747871615
99523.14126481063,255737.41814211852,232975.98564538674,115863.70919494158,174975.42613473558,205271.10405045643,492959.4460570673
177115.30392507656,457221.13338095794,435456.6779274151,341632.08074406395,204935.3523582661,218968.41751249097,259680.86065287865
249613.73055666802,580572.9434884333,316147.9453634305,115748.30930104427,332623.73593477195,284599.98739177815,213700.81175736635
121185.08810979003,397253.2107579645,226382.76121448108,304592.1542136945,144042.10907923884,145183.15949746978,377891.75901019305
96739.54701088258,265765.0420209484,243780.3342686951,218598.6560087988,265402.7898830136,296145.0514542541,546055.255887473
384259.82091628574,547974.3048797303,160963.0161101904,283342.563200286,221303.77399759172,288914.28358358506,378218.23553553724
440012.3492938203,496924.92563039507,182695.73889400702,362596.0769653495,437412.6513211031,275745.89766577806,325754.5485184616
274428.3089669201,617832.1337777947,170037.5876884193,343116.3106348324,235288.95996277028,201810.8638416825,262729.0533620297
189736.8537166009,385048.74772618606,225433.57947628445,441705.52283719135,349902.27212142054,228750.3631682571,491298.5676913331
519157.0430207851,272030.5795495864,276697.36075786623,367112.31023691496,250860.69817067357,347390.4108654838,277218.4086278679
1798878.8675778536,384832.0174139427,509925.300883012,416284.08312228345,286067.0358976043,173267.61411260156,434944.02486389945
961990.6858612775,503193.7910661064,170704.0054383027,569779.8273553231,262722.2058131561,336083.0191139283,264972.28679910896
500981.9317645116,440000.82758000016,430256.6627812264,621429.1607000327,284446.3464001515,520868.399805823,338704.5893198661
224835.51466005333,327274.06246640434,470495.5767629252,446453.4514208001,334392.9778720628,257194.6107676374,162571.0508108687
534146.7828138337,585655.3842462206,384945.11148663406,704165.5209675304,497175.5484990171,251602.25237017352,271689.7388483072
280241.7071996019,412757.1677851742,427729.34537090216,546450.5498388279,637579.6725918293,243444.36101804848,271025.2615927148
