trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 279.8805624    59.97097773  109.95866971   99.8889592    19.98971855
   39.96823966   59.96374398   49.97033217  109.94887661   39.94941291]","[  99.94486118   59.9583037    99.87034417    0.           59.95599624
  109.89106011    9.98792741   69.97874069   39.98054187    9.98916592]","[  69.95505399   59.94202292  109.90583459    9.98123132   89.96441864
   69.9468237    39.96695185  129.93808049  199.86433491   79.89431864]","[  29.97013694  159.92950459   79.94477001   29.96443209   19.97541187
   39.97535483   89.93690046    9.98018291   89.91135799   79.95821644]","[  89.95629224   99.93990283   39.94907283    9.98743171  169.93403164
   49.95274283  149.83998736    9.98586967   19.97561294   39.97001612]","[ 129.90393896   29.98133714   59.97189709  149.92698572  139.89480506
  169.91405685   89.93597873    9.98154571   49.97648312   29.98828254]","[  29.95469391   49.95832922   39.96145704   49.93000936  119.91165993
   39.96764236   49.97009592   69.9609183    29.97129188   59.97752678]","[ 209.9204312    79.95275893    0.          119.93039645   79.95341652
   59.97151288   79.96270215   19.97282789   39.97018404    9.98207624]","[ 39.96922331  39.95283399  79.93375968  89.94678992  69.95562289
  89.95204418   9.98612659  49.93571293  39.98831223  49.93965525]","[ 229.89785777    9.98676738   39.97252861  219.86119569  109.9583789
   19.96550128   19.96718795  159.88235712   79.97284636   39.94638823]"
"[ 109.94495762  369.81424192   59.93903069  149.91491397   59.97342615
  119.88975658   59.92153841   39.97936895   59.93987888   59.91105774]","[  69.96616995   19.97701164  259.90808254   79.97582034  229.89665993
   49.97788336   39.96051415   29.97955812    9.98114861  199.80056285]","[ 139.9152425    49.92510301   89.95137066   59.97007198   39.95844017
   59.93147373   39.97969027   69.94942792  119.90174372  359.7843367 ]","[ 269.83427893   69.92486413   59.96707665   59.9750656    69.94874257
   79.9395163    19.97367218    9.9801205   219.88556231   49.92509353]","[  59.97960389    9.99167739  159.92402448   49.94710038   69.9528765
   19.98196205   19.9710756    19.97975228   79.9372727    19.9710421 ]","[  59.94284585   99.9660383    69.96989171  259.88745323  179.93413011
   39.9660533    69.95454613   39.98272294   59.96380778   59.97445024]","[ 119.91132722   29.97958623   69.98306128  149.94153176   39.96071262
  119.95380108   79.91822612   59.95493434  119.91447642   89.94807845]","[  59.97877843   39.95262039  139.93042069   29.95848199   59.9592171
   89.93955224   89.89393237    9.98086367   69.96033064   49.95744971]","[  69.96752361   49.97637673   29.9643823    59.95783692   79.88150507
  309.79959246   69.93439759   69.97948559  119.93970601   79.94351633]","[  29.95932377  189.79259092   19.96878072   29.96676006   59.97472189
   49.93934572   19.97773016   29.97912323  109.97807268    9.98150105]"
"[ 129.94757587  139.9531129    89.96113869  119.95329061    9.98588151
  119.95547161  129.9459872    19.98293117   69.94544217   19.97705969]","[  19.97421563   59.97021518  109.96705538   49.96205412   79.9636205
   79.95319532  249.85300841   29.9551224    99.86989549   49.95461645]","[ 229.90013376   29.98219055   19.96844068   29.97029908   99.9463973
   39.94441854   89.97262118   49.96864999   29.97253329  109.94390295]","[  99.95467438   99.91287159   79.97148761    9.98204178  209.91734118
  109.88998785   39.95034067   89.9641588   119.92398769  169.93128195]","[  59.95500998   79.96786743    9.98206793  129.95901652  119.96105099
   49.94406263   89.90517733   29.98143094   49.97934673  179.88582876]","[   9.98558781   19.9861853    29.97660531  159.9365408    99.95713301
  299.90660976  219.94515626   79.93510922  199.85144826   69.94053984]","[  29.96304809   29.98767083  219.85879399  219.91860639   99.95986167
   89.92279138   49.96824717   19.97448049  139.94741065   49.97901036]","[  29.9789319    89.95235387   19.97345366   69.94566355   49.97275677
  169.93332207   89.95506327  279.80765686  109.93799059   19.97924193]","[ 189.89588987   89.95928614   69.98069721  169.94782115   29.9567916
   19.97511097   59.9284922    19.98359904   89.95292531    9.98743258]","[  99.96596488   39.98358383   59.9544938   269.89388414   29.96320396
   59.96438259  139.94226822   69.9590901    99.93157305  169.91290972]"
"[  99.97019165   59.94986669   29.95897079   59.95541908  169.93211677
   59.92261353   79.96945246   69.92914428   39.95939931   69.93308123]","[  49.97474495  329.82999555  239.87100376   69.97468357  209.91148226
   39.9721978    39.95764581   59.97009294  119.90596779  139.9710408 ]","[  99.91502304  169.9017434    29.98303135  109.88308042  189.87903695
   69.97364096   39.94333542   89.9628829   139.95894503   79.92057116]","[   9.98264637    9.98148742   49.97358082   69.95336055   29.96400903
   29.97033874  239.86934825  169.97055025  169.80426506    0.        ]","[ 79.91331873  99.88746268  49.93661908  69.95053173  19.96533658
  59.92741504  59.9041062   49.96517115  79.97567635  39.94031849]","[   9.9824338    39.95855572  229.94695151    9.98338654  119.91335275
   39.94491217   19.97020451   29.96857602  229.78534205  199.95407027]","[  59.97526237   29.97430612  119.96335866  129.90333271  259.82331884
   69.9357856    19.97067171   29.98412808   79.96027053  129.95416009]","[  49.96728707   29.98924311   49.97519861  179.87392843   19.97814939
  229.87119566  229.92956541   59.96765926   29.98228075  119.9368242 ]","[  69.95459778   39.98460913   39.95844609   39.98312485  139.89969617
  109.92353706  159.86156551   39.96285338   69.94120545  159.95150578]","[ 149.92672073  149.94062834  129.92403583   29.96239648  159.85448418
    0.          189.90033479  299.80546643   49.98043601   39.97568494]"
"[  49.96272331   59.98100427   29.97364898  159.93741907  239.91277078
   79.90030799   39.95602194   59.95358618   49.93487145   99.96082879]","[ 19.98019359   9.98545572  89.92598359  69.95523717  99.94131499
  99.94757264  29.96990994   9.98385974  29.973088    89.97522194]","[  19.97420379   79.97050193  349.89657651   49.98115189  209.91148219
   79.97865261   49.94863614  159.91188525    9.98178967   39.96735141]","[  39.95353098  119.91930911   39.95815335   29.96427483  109.93461973
   59.96057896  209.81741667  179.89670628   79.91216886   29.96996891]","[  79.96742044   89.9699419   179.85272894   49.97091352   69.93640646
  149.8689051    79.97474236   59.91855552   19.96288289   39.96761853]","[  19.98894165   19.96878672  189.86515158  149.90914554  419.86017892
   49.9616921    89.92363185   29.96511196   29.96797612   49.97367756]","[   9.98497684   19.98433188    9.98050627  139.92234266    9.98906647
    9.9848303   279.84215739   49.97862903   39.95451842   59.96818918]","[   0.           89.9452735    59.92995604  109.92225491   49.92963869
   49.95591765   59.94192196   49.95626811   39.97794385   79.93660188]","[  69.96260925  209.90067902   99.88647106  379.87747887    9.9824055
  109.94823063    9.98327316  119.94069607   39.9810955    39.93673499]","[  69.9492129   249.84801584   39.95085124   69.94835757  129.93421729
   59.97233517  159.91251609   79.91926657   49.96400643   79.95419963]"
"[ 149.91544034   59.93704453   49.97780786    9.97975931  299.83612014
    9.98398171  289.89228265   79.9547017    49.9543025    19.9696847 ]","[  69.96501894   39.95302988  159.94424176  109.95972839   49.94469716
  159.93176793   29.99237256   39.97740731   49.95899182   19.96948937]","[  69.94398012   29.98168695  249.9270583     9.98017904   59.92415495
  209.92282134   89.93943103  279.82392577  139.92153863   39.97161968]","[  49.97927199  249.8493119    49.94770951   39.93802516   69.94210174
    9.98781144   29.96757117  149.89474079   39.98952194    9.98556641]","[  69.98451062   39.95857316   59.96181161   79.96464253  159.88323882
   39.97234692   39.93029777   69.96904524  119.94837995  249.83562649]","[  19.96814572   59.90001275  159.95406542   19.98019114   29.9565885
   39.96999404   79.95791054   79.95247487  249.90064865   49.95971924]","[  29.9524377    49.94765365  189.81346358  109.92472555   79.95858038
  109.91157908   29.96011956   79.95202901   19.97193631  249.94068932]","[  59.93903799  149.93242146  149.92272868   39.96019885  129.94155932
  269.82172921    9.98702086  139.95696353  249.95711499   59.95506691]","[ 219.92203406   49.96938276   19.97364264   59.94111862   39.98618661
   69.97933995  159.95348765  139.96619701   49.93843616  119.95639721]","[ 259.92713538   19.9811399   259.91689175   59.98094651    9.98007317
   79.96636888   79.93595363  259.82501853   19.9687127     0.        ]"
"[  39.98275398    9.98001534   29.96573926   29.96070572  139.9193003
   19.9702943   129.93943586  259.88300624   59.92886985  129.95198115]","[  89.95434694   19.96317923  229.77739316   29.95669045   49.96495134
    9.98430074  169.87837674   59.96515866   79.95000529   19.96786206]","[ 229.93769901  149.92565354   29.9712006    59.96134788  159.94476947
  249.85557451  159.87052158  159.83778028  209.87577654   59.94452455]","[ 149.94948539  219.84595962   29.98451621   59.95452734   99.88447778
  139.9324406    39.94398445   39.96290343   19.97878052   39.95383002]","[  89.96681802  229.87182655   39.9776393    49.97227083   29.97927926
  139.9730301   249.90628115   19.9686475   279.79965028   29.9817857 ]","[ 169.90625702   89.95018838    9.98227888   69.96664558    0.
  169.94319632   19.97658852   59.95997961   49.95525498  179.86677795]","[  89.96409519  249.91594751  159.95219847   49.97193436  139.92762556
   29.96669234   29.97185233   59.97065091   79.95772369   39.98721603]","[  59.97195893  149.90807799   89.91768723   99.90467577   39.9611975     0.
   49.96335759   19.97618903    9.98409483   49.95482313]","[  29.95638053   69.97096197   79.93523251   99.93854448   19.98372471
   59.94899477   29.95848379  129.92148303   99.93409085   39.98076502]","[ 109.94815124   19.97264249   39.98381631   69.94623414   19.96480011
  149.93505202  229.88676038  109.9335957    29.95491947    0.        ]"
"[  49.97048198   39.97643129   69.96307121   79.94566518  119.92442763
   89.95536728   59.93155074   89.96442354  149.89749492  159.89709655]","[ 89.96897215  39.97625753  29.95258851  49.97995449  59.96925267
  29.96827055  89.87555187  29.95331533  59.98105596   0.        ]","[  69.97142626   59.96930758   49.95505865   49.94085549   79.96572929
   89.92681215  199.94602585  139.94285319   59.95883805   29.96760131]","[ 109.87586669   59.95332596  139.93070063  129.924752    179.89357322
  209.8877966    39.94899444   49.93470171  229.88588841   39.97384748]","[ 169.89668017   39.97472709   39.94190049   69.94945041   79.92768233
    9.98344188   19.98032553    9.98294651   29.98493446   49.98203164]","[  19.97840573  139.94593604   69.96155056   59.94634637   99.94852647
   79.9195604     0.          169.80245395   89.97526255   49.97487445]","[   9.98912598   69.93167474   79.93935751   29.96800559  359.7802195
    9.97970397    9.98790203  129.8957784   149.7889762    99.95918567]","[ 109.96201395   79.96442813   89.94934725   69.93023906  149.9417077
   39.96046556   29.9637325    59.96351873   79.87796892    0.        ]","[  99.95958845   79.96005468   29.95125729   19.97936276   89.89051587
    9.98258601   69.96694329  169.95657025  139.95932649  149.86014216]","[  39.95447924   89.90385654   19.96887063   79.9325551    49.97340792
   29.98402431  169.84338945   69.96281583  219.9296359   309.86842452]"
"[ 129.96354585   29.96675553   99.92087727   19.97783263  199.9389426
   99.95126339  139.96089536  109.85314016    9.98702726   89.927808  ]","[ 129.94862683   29.97462902   29.9624554   389.82894044   49.96118833
    0.          159.90845047  139.89892698   49.9638052   129.94413017]","[  89.94291637  159.91958289   69.95657599  109.92207006   19.97790141
   39.98402663   29.96429374   39.94942046  109.9376607    29.98558568]","[  79.9780341   169.91349414   19.97192516   49.91943167   59.92294583
  239.85737475   49.94086745   49.97410927   79.96271125  299.91280781]","[ 539.71664772   19.97813624   79.96782756   59.97140232   19.96832747
  109.94880349   19.96947234   39.96380795  149.93121811   19.9701447 ]","[  59.96124846   69.95215381  139.9421556    29.97779923  149.87268448
   49.95705395  279.9432412    29.97852395   89.95298641  159.92800439]","[  99.9461588    29.94710594  129.9356412   129.90129675  159.86188366
  109.8975236    19.97139456   29.96353299   39.97465534  169.93880896]","[  59.96094641   39.95667375    9.98869878    9.9885036   149.9190919
   19.98007393   99.97658071   59.97456928  139.91899442   29.97767719]","[  49.92230707  119.95570099  109.85908067   39.9413129    39.97207316
   49.96405668  249.80745539   39.94068611  149.9280018   129.90369773]","[  59.97428787   19.97125568  189.89504472   29.94700353   39.97795013
   19.98066529   89.94363036  119.96168084   59.94929935   89.9196031 ]"
"[  29.96710583  119.92980138  189.861364      0.           59.96836666
   19.97961216   29.98324786   39.9513983   259.81835762  119.91656895]","[  89.92778726   39.96494181  149.94381469   99.89882118   89.94581931
   39.97630516  209.86516114  109.88533691   69.91236832   19.99105786]","[   9.98743872   39.96125692  139.95139412  109.94047703  179.92347984
    9.98782414  159.91736219  219.8622977   169.93912317  139.91985809]","[  59.95936082   49.96750748    9.98453587    0.          159.94530828
   89.94380646   99.94228285   99.91749096   19.97051335   59.94381003]","[  59.96589663   49.97349516   19.96723939   39.95731205   69.96493299
   39.96337411   69.96239766  109.94714808   19.96915461  169.94118914]","[  69.9721951   119.94966321   89.90259275  159.93992942  299.94744281
   59.96445054   59.96115388  319.92644702   49.95390845  139.93822538]","[  29.97540925   19.97331238   49.95915282   79.95743267   69.9554207
   39.96576938   59.94453985    9.98613115  109.91937451    9.98214939]","[  89.9688776    39.95446316   19.97028983  119.9463467    39.98369253
   69.94759349   69.89745857  199.87956256   79.97307532   69.9397379 ]","[  39.95772635   79.96734697   59.97254059   59.9598579   449.84385465
   29.95865294  229.79297183   39.9469152   199.94179493   49.94281559]","[  79.95648398   69.9613735    69.88585414   29.96399505   29.98130978
    9.98129212  109.9372856    49.97187449  149.93298509   89.94602919]"
