trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[  39.95491162   89.91892491   39.94876165  139.87953935   19.97606605
   29.98291677   69.97926805   29.9896794    69.97771671   39.94999688]","[  69.9380778   129.89636816  109.96071707   79.95994076   39.97485103
   39.97339193   39.95452632   69.95315      19.97249402    9.98347655]","[ 279.82922221  189.92905958   19.97138768  149.91766684   29.97066251
   19.97212812    9.98559268   39.97423698   39.95993577   89.95519684]","[  59.97481422  249.78585729   49.93082531   89.97401025  159.92276117
  139.93912376   69.96664055   99.95465439  129.91037063   19.97575358]","[  49.93427069  279.91612152   69.97933117   49.9723971    29.97964053
  299.9071586     9.99069595   99.85719402   49.97636844  129.96585311]","[  69.96042647   59.95932033  109.88244503   49.98554422   19.97184466
   39.97047421   49.96879931   19.9665624     9.98783119   69.95516334]","[  49.97301863   79.94651465   89.85495312  169.94074947   49.97367953
   79.94635029   59.95999486  189.93357302   79.9542328    69.95572513]","[ 189.92418703   49.95033308   59.96900864   59.97534433  119.91774459
   59.95432684  259.8532273    59.9324318   109.96601321  229.92942825]","[  49.94685419    9.98076784   29.97565193  259.92496684   79.89834612
   79.95721876    0.           99.96976994   79.91633143    9.98888322]","[  89.88629826  109.95286852  179.88362933  129.80344086  149.91296778
  159.8928114   279.94497414   39.9843643    69.94881373  159.87904958]"
"[  59.96311254   99.97434581   79.96412973  189.97025565  119.88139282
    9.9825419    39.97625721   69.95681395   79.91179012   39.97323936]","[  39.97010117   99.9292682    89.95408328  119.94129686   29.94798656
   19.96557918   69.96799398  109.94155935   89.95698756  189.91569589]","[  69.96002546   39.97933579   69.96133631   89.94602529   59.97469114
    9.98444891  239.83978736   29.95003436   59.96843949   69.92177709]","[ 239.94053606   69.97452655  129.89468069   39.95901204   89.94421651
   69.96775669   59.93626238  219.83543922   29.98018854   89.97643298]","[  99.88695291   39.9800376    69.96570575  149.94769449  159.84371433
   89.96483827  129.8782537     9.98050395   19.98524928  109.95892895]","[ 219.87910031  119.95292787  159.84398746   39.98414856   89.95670548
   49.93378102  179.85523699  159.95403534   29.95304176   29.96038111]","[   9.99030496  249.78746294    9.9809384    49.96049273  179.86608266
  199.94940175   59.97890875    9.98711812   29.97743965  109.98249583]","[  49.97410853   49.94411538   19.9822649   179.93602241   39.95487987
  239.91477282   19.98314416  309.90165732  229.91915251   79.87919771]","[  29.95201444  329.77120554   29.97522051   29.96827567   89.96461952
  139.90321775   29.97999506   59.96691933  119.93214866  109.95483337]","[  59.97505327  129.90838084    9.99019706  249.89525407    9.98923801
   89.97536957   49.97371537   69.94339101    9.97952222    9.99053566]"
"[  39.94234958  119.95647993   89.92891661   49.96950107   89.93307124
  109.95772833   89.92693997   19.97196532  229.8202842    59.97787783]","[  19.9651016    29.95976116   29.98572327  179.92478516   19.9759311
   19.97708856   29.97880162   19.9620944    59.94427562   29.96505647]","[  39.96640471    9.98000181   79.97488766  109.96765897   19.96179582
  199.8429348    49.97678502  129.92242206   39.95335988   79.96992241]","[ 299.88066316  149.97024323   99.95364849  169.90934667   19.97748183
   59.94475094   49.98384864   99.96401868   79.95666931   19.97537043]","[  49.95966198   19.97661513   49.96925025  189.91512412   79.96994747
  169.90700514  189.88840764   59.92514111   19.97660159    0.        ]","[   9.98430169   79.96896308   19.98075227   49.95147668  109.95036486
  109.91284814   19.98161557  179.83837924   89.96332151   89.95481488]","[ 139.92828164  189.95783589    9.98797598   19.98034952   39.95091627
  139.91945459   49.96004905  189.88416146   39.97028827   59.94639824]","[ 269.87479816   49.9639798    79.91049735    9.9859562   259.89368787
    9.98641567   69.96314493  109.94007262   19.97168693   69.95602217]","[ 159.92242635    9.98071341   19.98396457   39.98599486   59.94013201
  169.93492896   59.97437983   69.9285764   239.90112361   19.98363092]","[  39.96160522   59.96304192   59.96060938   59.95969381  219.93108438
  279.87817845  139.91920673    9.98469184   79.93300565   49.93302849]"
"[  99.93747917   59.94103838   59.95152154   49.97486572   89.9616338
   99.95772791  259.85424747   69.9139164    29.96030092   69.91993014]","[  69.96407563   99.96474344   59.94998822   19.96630166  169.92668398
   39.97158317   69.96563237   19.96948137   49.92493911  229.88103986]","[ 79.96757924  69.97194203  59.9824263   19.97102264  39.97531963
  59.97401754  79.95959598  59.96455481  29.96981177  39.97140969]","[ 159.89956893   19.98231988   49.96068284  189.89314285   69.97192649
  119.94145133   59.96445111   79.92998977   59.9838468    39.95887052]","[   0.           29.96952528   19.99120039  109.93076337   19.97261954
    9.9883411   119.96933489   99.95377875  129.8774779    59.97086103]","[ 169.9500549    79.95559624   49.96727078   49.91757144   99.95149876
  149.88663506  139.90314319   79.9765239   149.95698251   59.94790388]","[  29.95418221  119.91673624  179.93485039  169.93152385   59.96510537
   79.9387618   139.92962288   29.96363468   99.94691876   49.97431618]","[  59.9702533     9.98540608  109.84500757    9.98540708   79.95721014
   59.98003523   49.96267611   49.97771871   79.97085425  119.95163599]","[  89.95676262  109.93934857   89.93230908   29.98239405  159.88341777
   19.97038767   39.98222655   19.9683946    79.93011755    9.9795449 ]","[ 109.94766791   89.90452593   59.93789471  289.88801515   49.98730401
   69.96293555    9.98323267   39.97340062  119.94744138   29.95311813]"
"[  99.96567141    0.           49.96154903  139.93235385  169.94981874
  139.95283824   19.97346781   49.93916473  119.93751222  189.92753299]","[  19.98528044   29.95634151  189.85843982   19.97160659  159.90798717
   69.97302794  149.88296688  139.94210596   29.95828399   59.95716518]","[  29.9583237    99.95253609   39.97638963   59.96897054  209.8309671
   59.96005451  209.91176974   19.98142037  239.87042484  249.8868814 ]","[  89.94869183   49.97863766   89.95508606   39.97305407  169.91206687
  129.90800059   89.95289501   59.90992706  439.79471581   79.96244066]","[ 109.88618808   79.93196026   39.96121484   89.93465115   39.95269556
   29.99282142   29.96443459   29.96247109  119.94984637   79.93890866]","[ 149.94657989   49.96753538   49.93136472    9.99052137   59.96425611
   69.96260166   49.96845257   69.95429022  109.95043899   29.96301316]","[   9.98438837   49.92993544    9.98169465   99.93270847    9.98156122
   29.95884791    9.98313101  169.94010256   39.95691813    0.        ]","[  19.96474806  479.80718638   49.91840391   29.97604873   29.96531471
  169.83476413   19.96474296   49.94645019    9.98790847   39.96468464]","[  19.98085782  119.94146225    9.98338979   39.97946877  149.91203498
  129.95136649   49.95462949  149.94677141   29.98025191   89.98074885]","[  49.93401895  179.95533516   49.97312199   89.94647212   99.9762287
  169.92766136  119.94355783   79.91647667    9.99039735  319.92211952]"
"[ 139.94034567  129.9506706    19.96615635   29.95633333  119.9048761
    9.98345931   49.96177986  109.96850075   49.96100961   19.96967751]","[ 109.95797104   59.94089409    9.98170107   99.9407633    49.95544684
   19.96777256  119.92906055   29.974974     39.96741354   49.97039176]","[  29.97550818   79.88758494   29.9492815    69.97088409    0.
   19.96566786   29.94981805   59.95307077  119.96781888   79.94756515]","[  79.96103712   19.97044957  129.92201631   49.97429959   19.97336839
  159.9581599    39.97864539   29.95812227  109.96072402  209.85013594]","[ 239.88699738   29.95362531   69.95288921  119.94901943  109.95631246
    9.98455661  199.92406851   29.96178427  349.88497409    9.98662981]","[  39.93881205  149.9448363   199.93294094   39.96342501   59.94844178
  109.96627903  349.78707809   39.9786925    49.93936975   49.96710672]","[  59.95934637  149.94201219   29.98213041    9.98158052   49.9881388
  189.88774953   89.88161526   19.98241744   49.97095974   39.98695387]","[  39.94654828    9.98282971   89.97732014   19.97074978   59.97951704
   99.87873077   29.98535654    0.           19.96971678  149.95373297]","[  69.97890939  189.92132412   59.97120683  229.88606652  279.72799928
  129.92562074   19.97065864   99.94043697   39.93155335   59.9726919 ]","[ 59.96815849  19.97435209  29.96840631  19.97174351   9.98120932
  39.92781209  39.97947261  39.95939507  49.96268339  19.97371704]"
"[  49.98223486  109.86438342   39.95867342   69.89500652   89.96295125
   19.97188922   39.95814058   99.90559025   79.96653721  149.90199029]","[   9.98003051   49.9604537    79.94156261    9.98292835  149.89288223
    9.9866783    49.97451843   79.96273499   39.95821467   29.96235072]","[ 189.86365957   19.97148642   49.97249394   19.97267451   29.96664177
  119.9543976   109.93117616   19.98199329   69.92254834   99.94011736]","[  39.93892252  149.958328     79.95026773  119.95897171  119.88419537
   49.95703764   29.98000793   19.97381876  109.92228517   99.93154918]","[  59.94818157  139.94284114   69.95906929  129.84416033   99.953699
   69.95231384   99.960318    159.9698324    49.96393792   19.96582   ]","[  69.97956406   69.97400772   69.95267104   59.9178617    59.93286129
    0.           49.93733138  169.91137624   29.96846599   39.97386034]","[ 19.97440835  19.98301869  59.94195566   9.98285765  49.97116638
  29.94954335  39.9549984   59.97352648  29.94691146  59.97855981]","[   9.98522407   79.95825027   99.8880297   149.89585504  109.88493818
   49.95522774  129.88220488   69.93179928    9.98471524   49.94366464]","[ 299.85299606   59.94276167   19.97024837  189.91637533   19.97994743
   59.95808558  139.94188209   79.96633979  199.95055025   49.96362866]","[  39.96392841   39.965461    169.92283877   29.9696193   239.9035141
   99.85237696   49.95405247   99.92079548   69.93667991  289.8673623 ]"
"[  19.97731449  109.97197868   29.95868928  119.95837892  109.94563663
  319.8099417   249.94951655   29.96176313   99.93904577   59.95969145]","[  9.9879528   49.94827031  99.92660465  39.95069347  79.95801752
  69.95486931  99.94774642  29.9817362   29.96162968  29.97364539]","[  89.94759002  129.96875329  229.85008385  129.83047067   29.97473404
  159.82961062  269.92369369    9.98194523   29.94998963   69.98603339]","[ 229.80625446   89.94310478   49.94383095    9.98716314   49.98019308
  159.95276412    9.98175139  129.93872374  199.7937301    29.97268024]","[ 199.96955911    0.           69.95088214   39.94466434  109.87033734
  169.88050006   29.97451484   29.97171855  109.94739222   29.97954534]","[  69.96235121   39.95116381    0.          189.85294623   79.95880211
  109.92449339  109.8980365    59.92419537   29.97399064   39.97752546]","[  29.9741122    79.9568613    69.95945824   19.96642477  139.96384566
   59.9546196    59.92929316   79.94387721   89.97022163   79.97053029]","[  9.98005826   9.98516495  99.88280558  69.94310212  79.92055243
  79.93648294   9.98244913  49.96783956  59.93197877  79.90677516]","[  69.90327469   59.94843378  209.90253073   69.96435197  219.86131703
  109.90880757   39.9325642   119.93265761   49.95791287   49.95226372]","[ 259.82565652    9.98585319  249.90426119  149.85509146   29.96140686
  179.85200898   69.97929184   19.97951095  189.83533694   69.91746445]"
"[  19.97084302  129.91877534    9.98243967   99.95076775   29.95897676
  109.96848386   79.88568003   59.93150367    0.           49.97467464]","[   0.          109.95871081   39.95481895    0.           69.89892888
   99.93800555  199.9445517    29.97107256   89.9534078   109.96502445]","[  29.97765027    9.98377318   49.9379586    19.98469501   39.95402987
   59.94793938   19.97393908   89.86633227   79.94813177  119.868378  ]","[  19.96266382   19.97731873   19.97800387   89.96819419  199.93176321
   49.95357609   99.92422679  159.95743669    9.98074233  159.88669457]","[  69.9177736   129.88485086    9.98014777  279.91353181  219.89357904
   69.89295875   89.95274829  129.84229354   39.95504131  269.89584377]","[ 159.93010237   59.96130637   49.98465262  129.89674334   59.97064839
   69.94923116   29.98261071   69.94522822   79.96866116   89.94212095]","[ 119.92060502   19.96500049   29.94432519   19.981328    129.95086691
   19.98156561    9.9847914     9.97939999   69.92091625   89.9151923 ]","[  39.95405692   29.95553335   99.93702559  129.9056471   169.9656623
   69.93903091  189.94443181  229.86045691   79.96974855   99.95919859]","[  69.9755067   199.91220561   39.96492917    9.98676022  229.88937644
   79.97216013    0.          249.87178046   29.97863691   49.94626903]","[  49.97284429  189.94416617   99.94339236   59.93048581   39.96105734
  179.91985149   79.94316248   49.94387241   69.94318273   49.92438159]"
"[ 119.96655391  139.97189846  129.92508404   49.98332136  229.89214796
   79.91171153  209.91291755  149.88795796   89.93180625    0.        ]","[  69.96678724   89.9581862   159.87109622   29.97985376   99.94836833
   49.97066441   49.96854101   59.94463205    9.98596217   59.97126396]","[  49.97473169   19.96561756   79.91487205   59.92311568  169.92367468
  169.9420719    89.93842843   89.9475123    39.95284188   49.9749062 ]","[ 279.86802548   79.95497383   59.95331969    9.98119575   49.97053036
   79.89637895   79.95930089   99.92697175   79.96422082   79.96399347]","[  99.96407424   29.95685514   69.97160394   89.91009306   49.97076461
   39.96555045  149.91765096  129.92360867   39.99208095  119.93481152]","[ 129.94243643   39.97956653    0.           59.97058858    9.98556888
   69.96164235   39.94961621   39.97429308  119.87833534  159.95591921]","[ 109.92698388   29.9739646    29.95863497  169.78909947    0.
   19.97092327  179.87315649   99.92848452   29.9552886   159.94875917]","[ 119.93767757   99.94374407   59.92172648   79.93777784    9.98512555
   89.95268078   49.96186658   99.96337867   89.91430682   29.97209962]","[  39.94952172   39.92565592   39.95935111   39.97735158  139.97210421
   39.95540608  109.96899403   69.97123591  229.97038368   29.97084326]","[ 179.92206428   79.97233753    9.98513697  419.85092787   89.92764849
  179.78503512   29.96263734  119.92116034  139.95426378  179.94007329]"
