nSubIter0,nSubIter1,nSubIter2
4.0,10,22.0
3.0,4,6.0
9.0,4,11.0
14.0,8,10.0
6.0,2,6.0
5.0,4,13.0
8.0,3,7.0
9.0,2,8.0
7.0,12,7.0
7.0,6,8.0
8.0,3,7.0
5.0,6,17.0
9.0,6,6.0
7.0,2,14.0
5.0,2,13.0
5.0,10,7.0
3.0,9,19.0
5.0,6,7.0
5.0,5,10.0
4.0,3,7.0
8.0,6,12.0
5.0,7,4.0
17.0,8,8.0
42.0,5,5.0
3.0,2,4.0
5.0,3,6.0
9.0,6,4.0
6.0,22,7.0
13.0,5,4.0
3.0,4,5.0
5.0,3,4.0
4.0,2,9.0
6.0,3,6.0
5.0,4,6.0
3.0,4,6.0
6.0,5,3.0
6.0,4,15.0
4.0,3,4.0
9.0,2,4.0
5.0,3,5.0
3.0,3,2.0
10.0,3,6.0
4.0,5,7.0
11.0,7,10.0
3.0,9,4.0
6.0,12,8.0
5.0,7,6.0
11.0,10,5.0
5.0,4,5.0
6.0,8,3.0
5.0,12,5.0
9.0,21,8.0
6.0,4,3.0
18.0,3,5.0
9.0,7,5.0
10.0,9,10.0
13.0,6,10.0
3.0,12,16.0
7.0,6,11.0
5.0,5,5.0
10.0,5,7.0
11.0,9,3.0
5.0,4,8.0
10.0,4,11.0
9.0,5,28.0
22.0,5,4.0
8.0,5,10.0
9.0,10,10.0
11.0,10,8.0
8.0,12,5.0
3.0,11,7.0
12.0,5,4.0
7.0,3,4.0
18.0,21,12.0
10.0,5,11.0
8.0,3,8.0
5.0,13,8.0
25.0,7,11.0
8.0,3,8.0
7.0,7,7.0
4.0,5,12.0
6.0,3,7.0
8.0,1,5.0
5.0,4,5.0
7.0,5,3.0
13.0,3,5.0
3.0,4,6.0
4.0,5,15.0
8.0,7,8.0
7.0,7,6.0
4.0,8,8.0
13.0,5,6.0
8.0,6,10.0
14.0,2,6.0
7.0,2,11.0
41.0,3,6.0
13.0,2,9.0
9.0,1,4.0
12.0,3,3.0
8.0,3,3.0
4.0,3,3.0
3.0,3,5.0
3.0,3,7.0
5.0,3,13.0
4.0,2,17.0
4.0,2,5.0
4.0,6,5.0
5.0,10,10.0
10.0,7,7.0
4.0,8,11.0
2.0,15,8.0
,19,7.0
,3,
,4,
,5,
,6,
,8,
,4,
,7,
,8,
,7,
,11,
,5,
,4,
,4,
