rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[ 307.63586633  302.3996656   306.98309655  288.72457149  301.61218936
  297.89028209  293.76566978  302.81059629  297.97116878  305.24595028]","[ 323.93419335  331.4716863   320.8240917   314.88440203  328.1401998
  331.95084943  320.65470105  320.89714287  332.46336226  302.68878251]","[ 274.49353005  280.36899568  296.10425785  280.86966054  277.89003448
  285.9967392   295.46152487  282.21958696  286.66302351  296.53569748]","[ 233.44739692  261.26489651  218.65426367  226.61300316  238.8970498
  248.02626496  263.86516568  229.42467472  237.54465499  247.36551662]","[ 258.15656808  263.44645579  253.35685005  251.14510694  244.11542381
  277.46017517  267.28290625  255.44768855  276.29148148  252.03281487]","[ 272.39917739  281.14813895  256.92706481  259.21916908  291.38571314
  278.54553246  275.18564217  274.87820988  272.95026204  272.97104779]","[ 249.0012278   257.7350853   257.67596945  245.42548751  272.77814748
  261.10486191  246.40728685  257.00539261  250.63771236  268.07727038]","[ 294.57038109  290.99769111  311.23409019  287.53544565  274.58041277
  294.48421489  309.15775188  297.33679626  283.05174853  292.21097717]","[ 331.83096796  327.10389814  309.33308194  319.78157686  316.24687918
  320.23468511  323.1837697   322.55521758  308.43488578  333.84387593]","[ 231.87334667  235.93263215  233.80063447  246.6751626   232.92784718
  231.74330401  250.07386252  232.16192058  228.47709422  235.68910603]"
"[ 314.34139611  294.47952506  296.24843841  283.2197251   295.63501866
  298.93325556  299.13314157  289.99155225  289.70126864  286.10271405]","[ 318.77384777  320.53298083  320.56033875  315.61656559  327.93786399
  327.06961058  318.27780701  316.46377567  326.24365439  323.92528994]","[ 277.66970574  278.5514073   284.50846287  286.86881549  274.18705877
  269.99866863  275.84928632  281.07905799  246.52402801  275.38903468]","[ 243.37238136  240.54106104  245.73793371  223.54493425  239.08990232
  238.55755219  258.05230497  240.63258907  238.13274143  221.65525294]","[ 256.27178691  266.08021174  252.6236961   259.78242392  249.6129967
  249.00314446  274.16954451  248.23002122  253.42549505  258.27071921]","[ 273.27104467  246.53300944  260.1191166   282.05858707  276.91499068
  282.16131683  268.46702564  285.85800032  266.76773979  255.6851788 ]","[ 242.33165017  252.04382218  250.45046848  266.94352689  248.81239824
  247.46462287  251.25890527  249.17803957  236.55816856  259.29609314]","[ 295.30693947  293.87425792  298.93561697  281.42092249  302.64027127
  293.18625576  280.80401364  312.52707146  300.84926643  283.23735606]","[ 330.63268584  320.16561029  323.32824393  320.58368435  313.25494144
  305.45769376  310.56853721  315.35993635  329.52561981  319.28024635]","[ 233.70969807  250.63634069  228.84518595  234.9760218   255.37554621
  237.77998486  242.25380657  240.41455917  245.10042827  238.49897284]"
"[ 304.97801379  310.47587199  306.1731049   293.434011    291.79810831
  307.08757604  297.52745517  299.16299416  305.19059906  306.44037925]","[ 334.67022076  320.96992895  319.45788591  316.50744213  317.02802859
  325.33475075  324.9088948   322.23766189  336.41602658  326.7407441 ]","[ 271.91842636  290.39211176  298.185982    289.19304236  293.91838483
  286.4141605   292.40474738  278.79546968  301.50595729  276.76496323]","[ 241.74038591  248.79043999  229.44044028  232.40072127  238.45166563
  239.804143    245.99658184  239.54906199  223.97252723  217.06483491]","[ 268.05969883  250.05796358  249.52042998  234.28774532  230.77975062
  275.75446189  254.35143939  260.77702425  253.47524317  269.9067451 ]","[ 269.48650393  279.17099252  262.53745108  257.43884556  274.28893537
  269.58598977  264.86180634  280.27401023  269.92203853  279.00017567]","[ 260.92605624  243.19293132  252.16986867  246.3766912   256.86829068
  253.93783147  244.06414244  234.57136901  249.96139326  250.42538178]","[ 289.77915142  286.31395327  295.98934041  292.5169287   294.87659584
  288.29796788  291.09276324  293.21877946  293.22644408  287.48339565]","[ 328.49052324  311.87041774  325.12784852  317.72480045  322.41948815
  303.41779616  324.27410915  305.55396159  299.51442402  317.4506946 ]","[ 237.30314881  230.46654009  240.02644221  235.13486732  246.63088434
  246.84613655  236.11118466  248.80954976  241.39715585  254.11864776]"
"[ 299.06346324  292.09147015  290.50029988  302.22502746  298.06613143
  294.68798825  301.6644116   291.29836481  308.84660946  307.07725368]","[ 334.89785519  335.30576215  317.01950906  324.18704521  321.49746658
  317.51113702  340.09566994  331.36502516  336.89512654  329.78455127]","[ 278.93371591  298.1191      288.13262551  283.28427401  281.25953217
  280.54396891  279.56045669  279.27069375  280.28892993  288.38920831]","[ 241.10479227  238.9562076   247.99421731  241.52192873  242.19834672
  207.02338732  243.47382266  222.90765277  240.25580944  228.12695053]","[ 249.98863097  249.32926925  256.86094341  259.49860003  253.61853832
  244.89250122  255.29019542  254.77870928  248.13379111  252.47195884]","[ 253.69762399  249.35018016  255.58915867  262.70316037  248.35739565
  259.33689964  271.35801886  266.985152    255.35353465  252.31279715]","[ 254.31836619  255.48827373  256.48543644  235.49800839  230.92315783
  259.79932063  259.67425275  235.11933075  246.53699702  247.83484092]","[ 280.26854859  290.95275876  291.08970138  296.34190179  298.95301477
  290.42910995  279.8449447   302.20406539  286.30898425  298.06068002]","[ 327.78178182  309.89182754  327.77352983  306.18153004  322.62758428
  320.5439665   344.60131338  319.77363516  321.24057316  311.29971135]","[ 231.61955636  233.12258874  234.27292708  247.52981901  239.86306469
  240.80751542  226.72422067  239.11132983  245.08259277  246.54612083]"
"[ 309.78770893  309.94208646  289.60620844  311.33635163  282.72244888
  297.90040116  300.18364428  297.10097237  298.85237408  296.52677216]","[ 333.99903909  327.72958669  327.44453912  321.26193891  322.35078672
  323.34453506  327.40918257  326.94736859  328.16854949  317.52051909]","[ 296.72237926  281.37300295  294.08836067  298.14473249  281.44632004
  278.76740781  286.35418474  287.44926152  304.43277482  287.23939472]","[ 230.04621569  227.72665267  254.71839102  256.10507917  220.27684396
  240.12487695  244.95162553  235.88139099  251.04978116  234.18446857]","[ 241.37068668  261.74669498  263.32797535  259.78539613  250.04033839
  261.16571117  258.58452596  245.54316058  259.16553734  244.43377408]","[ 272.05318353  264.21464783  249.61176216  248.94575769  260.78902432
  272.64011704  256.21212425  266.32992438  261.83263493  259.43661281]","[ 261.00204113  260.39641362  253.72659998  253.79727137  244.45829849
  232.69206652  270.65902866  240.07145877  239.06373983  250.0361664 ]","[ 279.86034591  297.51106891  290.77685511  295.62069768  297.81955308
  311.89408032  279.64022718  289.50598555  303.86777866  284.79842396]","[ 321.49718213  318.35302331  325.87507334  322.78439708  323.21772991
  307.5288431   302.15896618  314.29647427  320.47719912  325.37017206]","[ 247.83116808  230.04814734  237.91363625  231.68965719  231.37638332
  245.65164542  243.31925356  238.79292201  245.86829002  241.19466723]"
"[ 297.44372352  289.50104855  292.81478714  293.23865074  302.60369489
  284.04390854  290.62105697  280.33777882  297.13949846  291.86018488]","[ 330.23084031  328.01246116  328.41301018  312.39948971  326.50722302
  327.59803917  328.99045483  310.17972009  318.9443925   312.43689439]","[ 295.13734602  275.56988578  285.44972146  286.60097651  272.39475591
  286.11257254  300.50072761  290.41382371  278.06984451  256.3420369 ]","[ 249.65189739  213.23270291  234.08936686  226.29200787  251.34053193
  245.17476553  219.20666884  251.7170277   221.38549056  221.02012677]","[ 254.62772313  240.76802384  244.74738996  255.23010426  247.37387547
  242.70312086  271.94922872  249.75732072  266.06385203  266.6497157 ]","[ 262.78119629  262.08496375  261.75813056  261.16780161  252.03367905
  262.9257933   264.18769758  259.82280142  256.96144651  243.24330313]","[ 253.06405081  248.86490963  251.88467564  251.91307099  239.6112845
  240.86294545  275.66258852  254.00667277  252.2901859   238.97342743]","[ 295.05179258  306.05397159  304.5581424   292.00054603  287.96034905
  300.2187724   280.32318928  288.03669797  293.78097163  293.16271372]","[ 324.24054833  320.61222951  329.0482256   313.8913493   308.968437
  294.56981785  331.61669225  308.84484093  313.94691549  318.41599555]","[ 240.13217962  234.0315626   232.39778068  247.27314572  237.93561266
  246.89689715  241.69606066  234.43198179  247.9152395   247.72415208]"
"[ 289.39550332  286.26687283  287.60329927  292.26604636  294.48671228
  279.91181585  307.06117081  283.38360081  279.59545776  285.63816958]","[ 323.98550845  333.12757426  324.8041563   322.49029265  337.44742918
  313.96175915  317.88851838  326.86637735  330.7262747   331.53592249]","[ 282.966546    234.81027178  281.78107627  286.41105424  281.43075195
  277.74987891  303.67761552  296.81816015  289.82555188  294.54921764]","[ 231.41516565  242.77542557  216.16078547  239.60551431  213.20174027
  230.0203281   228.74996918  243.65486781  243.706836    258.54284745]","[ 254.03020575  261.91071349  244.13406919  235.84466414  242.6852781
  262.59927691  269.65611833  253.15383237  252.30854093  266.84605442]","[ 267.9655125   266.5910919   271.17894012  232.77085606  244.4730782
  248.26896428  250.2313347   263.68150805  252.23966566  247.51162864]","[ 269.18495135  257.59781351  242.46872522  245.10803438  262.83149337
  268.60347334  248.11806502  270.28483394  240.13232159  247.83754248]","[ 312.71517395  289.15599302  304.05653229  298.80384424  288.60919276
  287.17670168  318.50808434  296.65099135  293.13082784  299.95491289]","[ 309.72096847  325.43609587  320.18123844  316.0692722   320.19461051
  329.21072266  323.47464074  326.95127789  306.68599593  311.57778548]","[ 246.75008708  245.24585869  241.58084241  252.3441758   241.01435123
  245.74333797  248.18068593  236.71589566  247.71592145  248.35292387]"
"[ 283.54118873  307.41367154  297.51955716  299.97137006  272.54625255
  307.36701632  291.53083421  288.52980184  291.37866288  284.47898156]","[ 332.62351967  317.92381107  325.46814936  323.25716411  329.68796639
  332.81668189  326.25599627  333.98432548  325.18223826  319.76780168]","[ 276.21441512  279.27259218  286.70662174  281.8819067   300.75651163
  290.22594042  275.87653104  286.25646832  287.18163376  287.47080567]","[ 241.18000185  220.17594332  193.17201167  241.62423756  222.64288254
  244.03160655  260.30512362  245.7256148   222.10769949  222.70667802]","[ 241.93991541  249.62455141  222.48707425  228.71415695  245.16500714
  225.07013204  239.23177758  248.16204401  249.41668541  249.33011717]","[ 278.90555372  229.19250222  251.41700174  251.40295887  225.9692195
  248.13669056  231.43665092  248.96084014  255.09625663  239.13020191]","[ 256.24914042  258.14382718  258.03519555  248.75554336  246.05598901
  248.48261257  229.59920033  276.03423561  250.93149664  258.2420233 ]","[ 310.27294485  315.96661954  304.01498217  290.90930352  309.45687489
  291.46874836  304.11833825  297.28243779  299.21371821  280.43394213]","[ 316.94132872  322.21620077  330.47780046  319.97129871  323.87572841
  325.51562708  328.52450557  332.66789731  335.12740288  309.79055483]","[ 237.88403573  241.54886285  234.93321814  235.44433922  246.46927363
  237.7505706   235.19106192  240.89418318  207.84911408  237.91410367]"
"[ 285.43123374  291.98809672  308.15914168  291.36362213  288.97442979
  296.85902742  287.0240912   301.25720016  296.92075232  285.19342231]","[ 323.46352392  327.8789686   325.19228737  323.38000506  323.18505729
  327.23694115  324.8601489   304.92170305  312.84617765  324.09883933]","[ 278.61851922  269.83276814  280.7903057   296.28804178  291.34830827
  295.46986432  279.84615554  272.38266949  285.99143244  303.76361641]","[ 233.35682699  264.02265058  247.90415595  238.00091596  247.25602156
  237.96005805  232.9308609   230.18286231  267.53003408  217.17403948]","[ 224.45965252  246.4486073   248.76252878  251.06338855  250.86544574
  261.10213153  247.17389209  260.78257647  248.46869648  250.92547035]","[ 210.53990758  234.39475441  248.20322073  255.98002651  233.33246885
  252.34681724  250.19556194  233.31547442  248.63326812  248.66017364]","[ 240.22246766  274.26953475  255.76081197  244.90006601  255.1517261
  260.54806765  251.169024    247.32619085  257.41577898  247.37961938]","[ 281.85764356  293.69725669  284.31974614  293.35083195  304.17155492
  305.89730567  296.66400572  293.30365321  284.7669717   301.67890258]","[ 341.26788884  335.14000987  316.80780283  319.38765114  315.93144591
  329.93901937  332.24622192  319.01772306  323.54438245  325.41241957]","[ 240.65331974  233.32634407  237.16237926  233.51840096  242.16462122
  232.21582241  236.81765489  245.92411522  233.45712247  228.53906104]"
"[ 299.59221393  296.90947937  292.24163628  290.09076854  282.86763245
  291.49320451  282.62458893  284.01531506  294.61876054  297.83541918]","[ 319.6557821   328.38985689  323.40241452  329.05198016  319.15185645
  333.75656462  321.6933927   322.21660582  320.85171718  326.37399667]","[ 307.75898682  286.36998771  285.82533969  262.82047416  274.58557917
  277.43889681  276.71862663  279.75508589  293.61739565  272.30655605]","[ 223.05412298  220.74720986  242.21068745  232.50169431  217.49106865
  209.89731177  236.92243627  236.6545488   226.25169342  219.07907878]","[ 258.21092423  259.9752369   243.05607634  262.74644061  246.69919859
  253.45096231  249.23159977  256.46764191  245.90002296  253.10660444]","[ 258.73412945  237.01929992  257.44833568  229.07984729  255.80798586
  264.46875583  243.53488384  250.67089786  251.21603428  251.38140896]","[ 241.94111129  264.16874196  248.5008662   253.02275085  260.87856329
  248.26881706  246.61044306  253.11803441  257.58908757  245.48598075]","[ 277.43118298  306.56253722  281.56978906  319.06117503  290.53617295
  294.74639242  296.50852795  288.81301766  303.70752614  307.90035131]","[ 320.21045216  322.60965533  314.85092454  313.82071945  323.0264818
  322.03264215  331.70851387  319.16041145  316.89682069  307.17940938]","[ 234.34218349  232.75274856  240.77257437  236.65258243  244.89963988
  237.43551142  239.17469642  238.62016867  244.68218894  245.91285642]"
