,alfaT0
0,0.0002749609407788367
1,0.00038470124499048367
2,0.0003490807470011516
3,0.00036939372350427595
4,0.0002815318920704623
5,0.000307717512616031
6,0.0004063231678976581
7,0.0004445625124456713
8,0.0002715767231512672
9,0.00048710435632543306
10,0.00038026057638383286
11,0.00031975983898017426
12,0.0004196585663664479
13,0.00035350013820189445
14,0.00029356781994184777
15,0.00022462987921226528
16,0.00034968639542986766
17,0.00043894541615483926
18,0.00026896214599836404
19,0.0002208988854710224
20,0.00027095928862854774
21,0.00017350346350289487
22,0.0003735953521930042
23,0.0003233438017645805
24,0.0003042000601501623
25,0.00012725366922298592
26,0.00022721498008186744
27,0.00020722869230601097
28,0.00015224611170140605
29,0.0002047818642385343
30,0.0003406881647296562
31,0.0004064931322882494
32,0.00028897441052819336
33,0.00033769376381597837
34,0.00025146203287401746
35,0.00028210983324981334
36,0.00020854529710427478
37,0.00021302081170271198
38,0.00036144735412633154
39,0.0002464598341311707
40,0.00031343552382298015
41,0.00019916469884984154
42,0.0002925497385535569
43,0.00019373299459627763
44,0.0002909874016380824
45,0.00017867238663871199
46,0.0001790686323923606
47,0.00023242163281334872
48,0.00018841921429653386
49,0.0002486065334393866
50,0.00014419203233421106
51,0.00039053457506547077
52,0.00023336089822910338
53,0.00042663288096434296
54,0.00030364151762216285
55,0.00014207848405985006
56,0.00018064761621280627
57,0.00023140836744443068
58,0.0002565364186267318
59,0.0001946467607385775
60,0.00015421250459037177
61,0.0001653607844392556
62,0.00016234786698726266
63,0.0001837503049273751
64,0.00022650168951749344
65,0.00020814753045571074
66,0.00016883132211707649
67,0.00020814032998950124
68,0.00021311412074727913
69,0.0002454836543593479
70,0.00016009479357929345
71,0.00013595308675979227
72,0.00012874467857460053
73,0.0001427536937518225
74,0.00020499988259570885
75,0.00015485107106250317
76,0.00026848958947590213
77,0.00016346277054344856
78,0.00016509911268473287
79,0.00013974619170309947
80,0.00015530958100675203
81,0.00017351705209816577
82,0.00018488850486165752
83,0.00013314214044682308
84,0.0003107728787316421
85,0.0003516700776512087
86,0.0003366181945620655
87,0.000219022026817949
88,0.0003013557242060182
89,0.0001734878013985424
90,0.00012200820876474799
91,0.0001410693317097173
92,0.00020243442096734736
93,0.00021860983485454054
94,0.00022494291716663312
95,0.0001934288892227434
96,0.0002814739058431206
97,0.00034075158804085367
98,0.00025710359693874286
99,0.0002835304375453129
100,0.00020907648715572227
101,0.00016647944845036834
102,0.000253069763435496
103,0.00014593370302576082
104,0.00020082941831770816
105,0.00013739105713628548
106,0.00020864629411104362
107,0.00020214138645570218
108,0.0001473255980338235
109,0.00015073900042164497
110,0.00016527706592976203
111,0.00014878714757945094
112,0.00019803214687898438
113,9.999412421410355e-05
114,0.00015618817258591003
115,8.978586990516423e-05
116,0.00020977552101046824
117,0.00014807796121482238
118,0.00016560811267837534
119,0.00015847807271361108
120,0.0001697858399537027
121,0.00024399874233755394
122,0.00018100234886017272
123,0.0003522714211920635
124,0.0002777350844616816
125,0.00020932043668029894
126,0.0001332700883146646
127,0.00013911852361058916
128,0.00017677442865172199
129,0.00013975866559916414
130,0.0002438488717365074
131,0.0001637387465182816
132,0.00019717972649262996
133,7.784067330919253e-05
134,0.0001636040724529314
135,0.00020182667727806734
136,0.00016455081115317397
137,0.0002585141692000554
138,0.00011687564035825897
139,0.00021082904183396123
140,0.00016140185254045228
141,0.0002006515018107662
142,0.00020106416895824376
143,0.0001277593591609872
144,0.0001706804813799269
145,0.0001746397736615726
146,0.0001717455107918324
147,0.00020789532811147193
148,0.00015090520572771395
149,0.0001496840134449763
150,0.0001986345453240885
151,0.00016407855660669098
152,0.0001766624058880966
153,0.00020040336340731575
154,0.00014329232646710134
155,0.0001212322389605078
156,0.00019495068147112912
157,0.00013419018193203784
158,0.00012550985941899714
159,0.00015074196844889806
160,0.00013827239982128854
161,0.000165279438134976
162,8.511878858212844e-05
163,0.0002642635624115299
164,0.00016287038399103986
165,8.494249671380351e-05
166,0.00013920822285943667
167,0.00010856329302347508
168,0.00022056101024781681
169,0.00014443860837217668
170,0.000153445557258804
171,0.00018212669421709934
172,8.259040134798259e-05
173,0.00011549484262917403
174,0.00011321039735684228
175,0.00017404856741956833
176,0.0001328404494847152
177,0.00014153776806784986
178,0.00013656619189892957
179,8.84600648698183e-05
180,0.00012079389637497443
181,0.00013493430058280533
182,6.14025552089909e-05
183,0.00021363837381927422
184,0.0002169321420376896
185,0.00012774304165802372
186,8.338617037384877e-05
187,6.515891021676232e-05
188,0.00023030765816687827
189,0.00010497786213231623
190,9.567721052359376e-05
191,0.00012294910101017073
192,0.00013420674722388235
193,0.00010527886447907213
194,0.00014094304298822052
195,9.651957732646582e-05
196,0.00011839896785721804
197,0.000167888784426222
198,0.0001494279182656553
199,0.00017824209718635844
200,0.00011319367220991764
201,7.86735503930514e-05
202,7.677075981352599e-05
203,0.00012287909682346908
204,0.00015437747837732723
205,0.00010406048429993065
206,7.82130484193937e-05
207,9.141334924344833e-05
208,0.00013956014622083148
209,0.00014521971426488759
210,8.461510335327966e-05
211,0.0001267923377649016
212,8.243858164601538e-05
213,0.0001071002842087935
214,0.00012589445866644192
215,0.00011262524063792282
216,0.00011081891594919203
217,0.00010143571539991401
218,0.00014805680613647266
219,0.00010624058937416904
220,8.72945741295222e-05
221,0.00016723354193355774
222,0.0001171373400522693
223,0.00014769459810459339
224,7.292610729128739e-05
225,0.00010188202056089959
226,0.00013237780768473792
227,9.033666177861612e-05
228,0.00010946227035219082
