rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  59.96864238   49.96759534  119.92384773   89.9662403    69.95789761
  109.94866669   19.96866273   29.97828614   89.98561242   19.9839685 ]","[  69.98324258   59.95766586   29.97533627    9.987629     69.9799532
  119.93574949  139.96276133    9.98484217   59.95015508    9.98331727]","[  39.96523552  109.96152623  129.82981537   19.97387776   29.9721267
  119.92265676    9.98151658    9.98459865   69.95391796   29.95937179]","[ 129.95303851   39.98789795   39.97002644   29.99296036   39.97900954
    9.98314275   29.98801304   59.96786313   19.97942656   29.9688651 ]","[ 89.94600761  59.93866068  59.95356815  19.98013521  59.96187949
  79.87678305  49.96979544  99.93166317   9.98218061  99.91727365]"
"[  19.97564473   89.95486617   49.97852769   49.97484284   49.9289754
   29.95693073   49.92123785    9.99008453    9.98356669  219.92549557]","[ 29.9748079   29.98036413  29.99055283   9.99158655  59.95210084
  79.96899089  79.96534933  59.97963189  79.95505625  29.98883051]","[ 349.77135846  149.91192543  159.91773461   29.96590607   99.9596938
   49.97443959  109.95822663   89.93691191   69.961773     49.95704638]","[  39.94637997   49.98425831   19.98513001    9.98769259   29.98732011
   19.98742552  139.9473148    69.9512191     9.98209469    9.98303165]","[ 19.98001575   9.9791536   19.97827931  79.97103447  29.94994948
  19.96529661  79.95787837  69.97921721   9.9818875   99.91703319]"
"[   9.9901456     9.98361752  119.94239098    9.98387608  119.96232455
   79.94141013   29.94954981   49.98364301   69.92550433   59.96460856]","[ 29.97361493  29.981984    29.96158784  49.97573504  39.98208397
  29.98752562  29.97732651  29.98845155  39.9650104   39.98992592]","[  89.93590381  129.96036125   59.95428481  149.94898994   69.96613579
   19.96070549   29.95401395   39.95923096   79.95832682  299.89390271]","[ 19.97733961  59.9633907   19.9780687   19.9740635   29.98541763
  79.9523913   29.99175821  49.96059492  19.98924944  99.93600374]","[ 59.94962458  29.96830912   0.          49.96447982   9.98774411
  39.98776947  89.97165712  19.986368    49.96605998  19.97616551]"
"[   0.           49.98293757   39.97590885  159.90546762    9.98392948
   89.96953005   49.94680353   19.97304633   69.98481868  199.78414084]","[ 299.76893962   79.97203578    9.98159397   19.98956393   49.98263913
   59.95915135   19.98319344   49.96988898   69.96914532   39.98113607]","[  39.96808515  219.9059895    29.97967705   19.96330449   19.9819824
   79.9689062   179.9686584    79.97741535  119.89751886   99.89725968]","[  29.97943874   39.9891569   119.95223571   29.97814246   19.97458658
   19.98223383   99.9208303    29.99153367   89.92935931   49.96211184]","[  19.983867     29.96749866   39.95526114   69.9596403    59.97827821
   59.96089685   49.94816393    9.98239613  139.89272585   69.97844734]"
"[ 149.87779905  109.93448159   59.98128592    9.98503176   49.93432932
    9.98691124   49.95957769   39.97126246   39.97722844  119.94623902]","[  9.98153663  29.94785376   9.98268793  79.94797594  39.98135966
  29.97988436  29.98592963  19.97062661  49.92735104  49.97876422]","[ 139.92230073   59.98072363   49.92006378    9.99047578   39.97090553
   99.95961944  119.90428217   79.95880692  109.9087512    69.9487249 ]","[ 89.96271369  29.99245014   9.98493412  19.9679631   39.97066424
   9.98329141  29.99026115  29.98112754  49.98856776  39.97708072]","[  29.98597108   39.96174844   19.97151882   49.95811442   29.99026689
  109.96066379   29.95547635   49.98450413   39.95431234   39.97399347]"
"[  69.97587755   69.95795207   19.97139449   19.97177751   39.96784765
   19.98402348  199.8983743    89.95631256  139.94571882   99.93115042]","[ 19.97363101  49.97401418  29.98282777  19.97208231  79.98029358
  29.99045766  29.96849913  79.89766568  59.97984491  59.99010418]","[  29.98043659  259.84326452   79.95147735  239.93010612  129.95292658
   59.96164786  109.94247475   39.95358295   49.96760518   89.96721633]","[  29.9809542    49.93017962   29.98868815   19.96898865   49.98882839
  129.96515297   59.95978089   19.9942889    29.95118942   49.98697982]","[  29.96540867    9.98680348   89.96331858   39.92227155   49.97533921
    9.98186384  139.90333315   29.99202733    9.98458155   19.97140783]"
"[ 119.95241371   59.96610741   19.9866227   109.93842223   19.9866227
  109.93842223  129.93928109   89.9529496   119.89264208   69.96588485]","[  19.97329637   29.9637564   129.97854487    0.           19.98613935
   49.94942644   19.99050841    9.98768202   19.97262413   39.989421  ]","[ 199.89507581   29.96205929  139.92160153   29.95476659    9.98195758
   39.97809738  239.78773183  119.95905315   89.97341216  299.86778097]","[   9.9874191    49.97617617  109.97468413   39.96561824   39.97023439
   69.97304925   19.98241028    9.99119355   19.9774035    59.96072366]","[  19.9699303    49.9467192    19.97344272  159.88664354   49.97818312
   79.98622377    0.           79.94953881   79.9319973    89.96857527]"
"[  29.97343139  179.92355932   49.97623953   69.95945559  279.84653344
   69.97159997   19.96745526   19.98527108  279.86848948  119.95354868]","[ 39.987732    89.91866039  19.98533884  29.95624287  19.99296959
   9.98884603  29.97109954  49.96572573   9.98307053   9.98328143]","[ 119.92927126   69.93662907   19.97358943   59.95560975   29.95980344
   49.97839715  139.9275767   119.90773716  209.83624217  139.90425477]","[  9.98460256   9.98929143  39.98027122  49.97133594  19.97519611
  19.98035437  39.95412144  89.97918709   9.98100085  29.97073835]","[ 59.95550275  59.96140047  29.98673968  39.97661405  59.96831814
  19.99285491  19.98981773  29.98638876  99.9687447   19.98833703]"
"[ 119.88611093  109.94427416   69.96507793   29.95691979    0.
   49.98431079   79.90919834   39.96391064   39.95330326   29.9717653 ]","[ 39.98588977  39.98860513   9.9848026    9.98700371  39.97598338
  59.97052842  39.98466266  49.91082679  29.98167826  59.97351475]","[ 119.92217147   79.93257034  119.96512496  179.94690667  139.91837083
   69.96368587  349.88288298   19.97596943   89.95531479    9.98709321]","[   9.98568446  139.94796164   29.96316858   49.96975394   49.98992582
   79.95977112   19.97927897  129.95639858   19.97873658   29.97898741]","[  0.          49.96616012  29.97213556   9.9796517   49.96814196
  39.9873712   29.95771588  39.97716933  19.97899548  49.95557506]"
"[  19.96254546  169.91336357   19.97190337   29.9868669    29.97700704
   19.96254546  169.91336357   19.97190337   29.9868669    19.96254546]","[  19.97480792    9.98504401  129.85964297    9.98793766   19.96932904
    9.98269391   29.97787358   39.9846684    29.97935405   39.95090466]","[ 139.80920799   69.97737279   29.96351368   59.91755412   39.96399263
   99.89131367  129.87692279  159.9016671   199.83959832   39.95156658]","[ 119.91193829    9.98633781    9.97936796   49.98115812   29.97116421
   19.99244361   19.98994634   19.98663868   19.98018041   29.97950266]","[ 29.98592745  19.98513757  69.95067631   9.98000759  49.9844101
  39.97905966  29.96740624  59.94990248  19.97734695  49.97969122]"
