variancceSgd0,variancceSgd1,variancceSgd2
43967.510291926,104981.67779557142,80125.99692153945
57553.89368017419,171793.28405385907,99151.63008783635
212323.45377113903,136069.82227801625,128384.5032216935
144224.75169417704,105072.34681914354,180303.79023884027
155261.4732163133,107165.62590631982,173322.62077590634
57710.09874909497,125944.0286116697,115201.4692802121
94491.68493060656,172853.64060231487,82642.09657454456
127398.27305000016,293809.2671478823,149419.3981319811
317586.2796924097,191367.822842721,80095.17680128904
84400.24338394142,201019.0934191101,197107.99776134058
224801.94975589262,178013.55881610102,127558.86679404206
266407.1702851503,271632.67996621586,158344.67530473502
281145.3737402016,200749.67756781413,85948.46712040261
148256.25018082693,242345.0665916344,141126.33117283904
291031.6823370435,245685.9785011581,128315.95175549996
252227.82683284723,220508.29971432599,113461.56822297763
251369.95862468248,267086.9366247891,193006.38742007263
408166.91083920014,286095.4840609011,137702.04848923296
439645.38649380876,182563.103915421,108535.55774165725
275941.75479150075,473089.6101998132,137868.05498253705
163841.2726576947,423732.62517842493,135315.80994145398
355529.65712138,361195.7027035883,187849.2930732894
326296.2839816951,332604.93423724687,159637.97952746946
250683.99560620205,285968.628039818,267884.80444489117
396575.8861624149,519379.8120958021,177395.51690561353
320920.6566843516,463694.65275735967,190406.33518587326
331673.33405111416,641111.2120889795,144917.39320109115
266448.2893126848,497424.8852597307,173002.26783556884
305645.21255176584,513360.4504074723,209523.2341207166
450424.36111197737,443407.8879034282,178392.7003522837
427609.3903551947,593374.7850795945,268327.1057692684
437964.38388695556,385544.7805445652,361487.1486364353
427651.50510076404,554877.8849695188,243549.0454982659
337426.7524467586,387637.3535223218,428694.4116475977
801763.9792447282,450179.2120493615,390839.7137876769
438034.4624876526,492188.9270150013,344059.3296823688
265855.87071596907,733185.5641746966,368245.0171477127
444345.98980612785,802704.5046467213,333969.49215483875
618697.4655515272,543753.3082031251,468305.57917220716
320356.7336164053,505522.9180298323,340501.1613963725
535308.5252091107,646262.1640097073,550867.6729684456
390937.4377743211,588501.7860732725,501327.44709306763
511777.07023041835,509674.0068106704,366700.7453257781
618556.4642664833,671073.54235077,340396.2576969032
435404.6100179652,426099.88034119667,405879.4057368089
476441.7924567915,413993.9248015613,626622.6562616725
723690.1739604685,596688.4933753448,683629.6575019725
843011.2587535266,662930.3399134965,613121.0552932951
552070.2622809361,719540.9719106273,375884.25327654096
609093.7457824383,531482.4147835698,686894.271681022
453899.8831567762,585048.9653864196,433868.21672710177
730041.4965878869,336704.2953892817,558458.7430669569
859948.2341502708,529861.08691896,901098.8843840009
915714.2727094667,666953.3443018656,563631.5523111351
647344.004236461,694336.4832997139,652199.9049915833
522900.7342869035,599604.0684255857,432511.4162452222
648304.9982692605,532564.0712549108,498656.05212797923
697867.2891840283,572238.539705891,629085.7288715865
481286.945720189,587252.4928880743,839115.8357647277
466647.0779552801,413076.913967444,376246.02418237453
897886.929793071,436580.51495648164,519356.0113672507
860840.9081767278,568188.2330327529,586361.6447292891
804221.6669541247,590918.8427136284,421154.2720723384
508064.34876374307,627600.7959273341,710070.3801364631
752737.4036280769,460277.2465484747,752343.0028516478
835287.8393378231,495936.8182364204,804083.5604462372
1338109.4242538842,445537.76161298406,623140.2876537323
1093650.9759761745,573246.7913733678,660324.7275788782
974181.4995556204,570726.801150599,597584.2529122167
955346.4731425152,640776.4898563465,559311.498860859
854295.1183020573,611889.6997436171,490414.5361081928
916860.2517302422,594751.4305323376,520423.74003315426
1028193.3833005383,589169.8971342526,690771.3654812941
1272492.1574210115,544657.2331942358,804294.3303324474
959634.5897575034,312492.9182203243,493173.2487453512
1246653.2378435933,497200.0258542242,553593.6745729672
827408.9186670529,709302.7600566116,689607.4914745204
658485.2425625789,647838.7134902696,771841.4854213705
999365.0394374541,655963.5009218918,523998.0444625452
677914.0202642294,779537.4347172454,359485.11415088555
897236.4338469093,689075.002039418,426601.9879610152
