policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.04470573 -0.33217827  0.17668057 ...,  0.          0.          0.        ]","[ 0.10089482  0.02756087 -0.07831221 ...,  0.          0.          0.        ]","[ 0.27108647  0.19553725  0.0350746  ...,  0.          0.          0.        ]","[ 0.34497116  0.01003675 -0.3480927  ...,  0.          0.          0.        ]","[-0.09601167 -0.25895643 -0.02253534 ...,  0.          0.          0.        ]","[ 0.03800438 -0.31857924 -0.09400994 ...,  0.          0.          0.        ]","[-0.07746846  0.00303574  0.33660511 ...,  0.          0.          0.        ]","[ 0.13032041  0.35021597  0.24268843 ...,  0.          0.          0.        ]","[-0.255044    0.32831439  0.04556369 ...,  0.          0.          0.        ]","[ 0.11116293  0.10804297  0.10898903 ...,  0.          0.          0.        ]"
"[-0.04370574 -0.33317826  0.17568058 ..., -0.001      -0.001       0.001     ]","[ 0.10189482  0.02856087 -0.07931221 ..., -0.001       0.001       0.001     ]","[ 0.27208647  0.19653725  0.03607459 ..., -0.001      -0.001       0.001     ]","[ 0.34397116  0.00903675 -0.3470927  ..., -0.001      -0.001       0.001     ]","[-0.09701167 -0.25795644 -0.02153534 ..., -0.001       0.00099999  0.001     ]","[ 0.03900437 -0.31957924 -0.09500994 ..., -0.001      -0.001       0.001     ]","[-0.07846846  0.00203577  0.33760508 ..., -0.001      -0.001      -0.001     ]","[ 0.13132041  0.35121587  0.24168843 ..., -0.001       0.001       0.001     ]","[-0.25404401  0.32731439  0.04656369 ..., -0.001       0.001      -0.001     ]","[ 0.11016293  0.10704298  0.10798903 ..., -0.001       0.001       0.001     ]"
"[-0.04370572 -0.33117827  0.17568058 ...,  0.001      -0.005       0.003     ]","[  1.01894822e-01   2.85608666e-02  -7.93122110e-02 ...,  -9.99999821e-04
   1.99999999e-03  -2.39246329e-11]","[ 0.27208647  0.19453725  0.03507459 ..., -0.002      -0.002       0.003     ]","[ 0.34197116  0.00703675 -0.3460927  ..., -0.001      -0.002       0.002     ]","[ -9.70116673e-02  -2.57956437e-01  -2.25353388e-02 ...,  -9.99999795e-04
  -7.22068897e-09   9.99999962e-04]","[ 0.04000437 -0.31857924 -0.09900993 ..., -0.004      -0.003       0.003     ]","[-0.07746846  0.00403577  0.33960508 ..., -0.002      -0.002      -0.003     ]","[ 0.13282041  0.35271587  0.23918843 ..., -0.0025     -0.0005      0.0025    ]","[-0.25504401  0.32531439  0.04556368 ..., -0.002       0.003      -0.001     ]","[ 0.10866293  0.10554298  0.10748903 ...,  0.0005      0.0005      0.0005    ]"
"[-0.04170572 -0.33317827  0.17568058 ..., -0.001      -0.007       0.004     ]","[ 0.10139482  0.02806087 -0.07981221 ..., -0.0035      0.0015      0.0025    ]","[ 0.27208645  0.19153726  0.03607439 ..., -0.004      -0.005       0.004     ]","[ 0.34047117  0.00553675 -0.3445927  ..., -0.0005     -0.0005      0.0015    ]","[-0.09451167 -0.25945644 -0.02503534 ..., -0.0025     -0.00250001  0.0025    ]","[ 0.03950437 -0.31707924 -0.10050993 ..., -0.0045     -0.0045      0.0045    ]","[-0.08046845  0.00103578  0.33760513 ..., -0.001      -0.001      -0.003     ]","[ 0.1353204   0.35121587  0.23668843 ..., -0.004       0.002       0.005     ]","[-0.25704399  0.32331439  0.0435637  ..., -0.003       0.003      -0.003     ]","[ 0.10516294  0.10404298  0.1049894  ..., -0.002       0.003      -0.002     ]"
"[-0.04370572 -0.33117827  0.17768058 ..., -0.002      -0.007       0.006     ]","[ 0.10089482  0.02856086 -0.07831221 ..., -0.007       0.001       0.003     ]","[ 0.27408645  0.19053727  0.0350744  ..., -0.003      -0.007       0.003     ]","[ 0.34197116  0.00703675 -0.3470927  ..., -0.003       0.001       0.004     ]","[-0.09701166 -0.25995643 -0.02253534 ..., -0.002      -0.00500001  0.001     ]","[ 0.04100437 -0.31857923 -0.09900993 ..., -0.004      -0.005       0.006     ]","[-0.08096845  0.00153577  0.34010512 ...,  0.0005      0.0005      0.0005    ]","[ 0.1358204   0.35171587  0.23618843 ..., -0.0045      0.0025      0.0055    ]","[-0.25904398  0.32131439  0.0435637  ..., -0.005       0.003      -0.004     ]","[ 0.10416294  0.10304298  0.1039894  ..., -0.003       0.004      -0.001     ]"
"[-0.04670571 -0.32817827  0.17668058 ..., -0.003      -0.002       0.007     ]","[ 0.10039482  0.02806086 -0.07781221 ..., -0.0075      0.0005      0.0035    ]","[ 0.27358645  0.19003727  0.0355744  ..., -0.0035     -0.0075      0.0045    ]","[ 0.34197116  0.00503677 -0.34509271 ..., -0.002       0.001       0.004     ]","[-0.09601167 -0.25895643 -0.02353533 ..., -0.001      -0.00600001  0.002     ]","[ 0.04150437 -0.32007923 -0.09550993 ..., -0.0045     -0.0055      0.0065    ]","[-0.08146844  0.00103585  0.33960521 ..., -0.001      -0.001      -0.001     ]","[  1.37320396e-01   3.49215875e-01   2.35688471e-01 ...,  -6.00000010e-03
  -3.31212077e-10   6.99999982e-03]","[-0.25854399  0.31881439  0.0430637  ..., -0.0065     -0.0005     -0.0045    ]","[ 0.10416294  0.10404297  0.10398942 ..., -0.002       0.001      -0.002     ]"
"[-0.04820571 -0.32667827  0.17818058 ..., -0.0015     -0.0005      0.0055    ]","[ 0.09989482  0.02856086 -0.07631221 ..., -0.007       0.001       0.002     ]","[ 0.27308647  0.18753727  0.03807436 ..., -0.006      -0.011       0.004     ]","[ 0.34497115  0.00603677 -0.34409271 ...,  0.001      -0.001       0.007     ]","[-0.09601167 -0.25695643 -0.02353533 ...,  0.001      -0.00700001  0.003     ]","[ 0.04200437 -0.32057923 -0.09600992 ..., -0.006      -0.005       0.005     ]","[-0.08246844  0.00203585  0.3396052  ..., -0.003      -0.003      -0.003     ]","[ 0.13732033  0.35121586  0.23868847 ..., -0.007      -0.001       0.006     ]","[-0.25604399  0.3163144   0.0455637  ..., -0.004       0.001      -0.002     ]","[ 0.10216294  0.10504297  0.10198943 ..., -0.004      -0.001      -0.004     ]"
"[-0.05170571 -0.32317827  0.17968072 ...,  0.002       0.003       0.004     ]","[  9.78948221e-02   2.75608650e-02  -7.73122131e-02 ...,  -6.99999984e-03
   3.00000018e-03  -1.25577669e-11]","[ 0.27208647  0.18353727  0.03807436 ..., -0.009      -0.01        0.003     ]","[ 0.34747115  0.00653677 -0.3435927  ...,  0.0045     -0.0025      0.0105    ]","[-0.09501168 -0.25795643 -0.02453533 ...,  0.004      -0.01100001  0.004     ]","[ 0.04200437 -0.32157923 -0.09500992 ..., -0.004      -0.003       0.004     ]","[-0.08246844  0.00303585  0.3406052  ..., -0.003      -0.003      -0.006     ]","[ 0.13632034  0.35021586  0.23968847 ..., -0.006      -0.002       0.005     ]","[-0.25504399  0.3153144   0.0465637  ..., -0.003       0.001      -0.003     ]","[ 0.10266294  0.10554297  0.10248942 ..., -0.0045     -0.0025     -0.0045    ]"
"[ -5.57057089e-02  -3.19178272e-01   1.77680722e-01 ...,   6.00000014e-03
   4.00000010e-03  -1.42006309e-09]","[ 0.09589482  0.02656087 -0.07831221 ..., -0.004       0.004      -0.001     ]","[ 0.27208647  0.18353727  0.03807436 ..., -0.009      -0.011       0.003     ]","[ 0.34897115  0.00803677 -0.3460927  ...,  0.002      -0.001       0.012     ]","[-0.09351168 -0.25845643 -0.02603533 ...,  0.0065     -0.01350001  0.0065    ]","[ 0.04150437 -0.32107924 -0.09650992 ..., -0.0055     -0.0035      0.0035    ]","[-0.08046845  0.00203585  0.33960675 ..., -0.001      -0.004      -0.005     ]","[ 0.13682034  0.35071586  0.23918847 ..., -0.0055     -0.0025      0.0035    ]","[-0.254044    0.3123144   0.04656369 ..., -0.002       0.001      -0.003     ]","[ 0.10116295  0.10604297  0.10198943 ..., -0.006      -0.004      -0.004     ]"
"[-0.05370571 -0.31717827  0.17568072 ...,  0.008       0.006      -0.002     ]","[ 0.09339482  0.02406087 -0.07981221 ..., -0.0035      0.0065     -0.0015    ]","[ 0.27308645  0.18253727  0.03907438 ..., -0.006      -0.011       0.003     ]","[ 0.34797115  0.00703678 -0.3450927  ...,  0.003      -0.002       0.011     ]","[-0.09651168 -0.25945643 -0.02303533 ...,  0.0075     -0.01650001  0.0065    ]","[ 0.04300437 -0.32257922 -0.09800992 ..., -0.007      -0.005       0.002     ]","[-0.08096845  0.00153585  0.33910675 ..., -0.0005     -0.0045     -0.0055    ]","[ 0.13532034  0.34921586  0.24068846 ..., -0.005      -0.003       0.004     ]","[ -2.51043996e-01   3.11314400e-01   4.95636930e-02 ...,  -3.70168837e-10
  -1.99999950e-03  -9.99998770e-04]","[ 0.10116296  0.10704297  0.10198946 ..., -0.006      -0.004      -0.005     ]"
"[-0.05670571 -0.31417828  0.17468071 ...,  0.012       0.01        0.002     ]","[ 0.09189482  0.02356086 -0.08231219 ..., -0.005       0.007      -0.005     ]","[ 0.27308645  0.18253727  0.04007438 ..., -0.005      -0.012       0.003     ]","[ 0.34747115  0.00553678 -0.3435927  ...,  0.0045     -0.0035      0.0115    ]","[-0.09701167 -0.26095642 -0.02253533 ...,  0.009      -0.01800001  0.008     ]","[ 0.04300437 -0.32257922 -0.09800992 ..., -0.007      -0.006       0.002     ]","[ -7.94684499e-02   3.03583976e-03   3.41606744e-01 ...,   2.35072089e-10
  -6.99999927e-03  -9.99999988e-03]","[ 0.13432034  0.34821586  0.24268846 ..., -0.004      -0.003       0.003     ]","[-0.251544   0.3118144  0.0490637 ..., -0.0005    -0.0015    -0.0015   ]","[ 0.10216245  0.10804297  0.10098948 ..., -0.007      -0.005      -0.004     ]"
"[-0.05970571 -0.30917828  0.17468071 ...,  0.016       0.011       0.003     ]","[ 0.09189482  0.02356086 -0.08131219 ..., -0.005       0.007      -0.006     ]","[ 0.27108645  0.17953727  0.03907438 ..., -0.002      -0.009       0.002     ]","[ 0.34897115  0.00703677 -0.3450927  ...,  0.003      -0.003       0.011     ]","[-0.10201167 -0.25995642 -0.01753533 ...,  0.011      -0.01900001  0.01      ]","[ 0.04150437 -0.32107922 -0.09850992 ..., -0.0065     -0.0075      0.0025    ]","[-0.07846845  0.00403584  0.34260673 ...,  0.001      -0.006      -0.011     ]","[ 0.13632033  0.35121586  0.24468846 ..., -0.006      -0.003       0.005     ]","[-0.25254399  0.31381439  0.05006368 ..., -0.0035     -0.0005     -0.0035    ]","[ 0.10316245  0.10704297  0.10198947 ..., -0.008      -0.005      -0.004     ]"
"[-0.06120571 -0.30767828  0.17618071 ...,  0.0175      0.0105      0.0035    ]","[ 0.09439482  0.02506086 -0.0798122  ..., -0.0035      0.0075     -0.0045    ]","[ 0.27008645  0.17753727  0.03707438 ..., -0.002      -0.008       0.003     ]","[ 0.34747115  0.00553678 -0.3435927  ...,  0.0015     -0.0045      0.0105    ]","[-0.10601167 -0.26195642 -0.01353533 ...,  0.012      -0.02100001  0.012     ]","[  4.10043602e-02  -3.20579213e-01  -9.90098296e-02 ...,  -4.99999982e-03
  -4.99999860e-03  -7.32298801e-10]","[-0.07846845  0.00503584  0.34360673 ...,  0.001      -0.005      -0.013     ]","[ 0.13682033  0.35171586  0.24518846 ..., -0.0065     -0.0035      0.0055    ]","[-0.25004399  0.3113144   0.05156368 ..., -0.004       0.001      -0.004     ]","[ 0.10216245  0.10604297  0.09998948 ..., -0.007      -0.006      -0.004     ]"
"[ -6.47057069e-02  -3.09178272e-01   1.77680706e-01 ...,   1.70000003e-02
   1.50000000e-02  -1.38755732e-09]","[ 0.09389481  0.02456085 -0.0773122  ..., -0.003       0.006      -0.004     ]","[ 0.27308645  0.17653728  0.03807441 ..., -0.002      -0.007       0.001     ]","[ 0.34797115  0.00803677 -0.3450927  ...,  0.004      -0.006       0.00899999]","[-0.10751154 -0.26345642 -0.01403533 ...,  0.0105     -0.02050001  0.0125    ]","[ 0.04000436 -0.32057921 -0.10000983 ..., -0.004      -0.005      -0.002     ]","[-0.07896845  0.00453584  0.34310673 ...,  0.0015     -0.0045     -0.0125    ]","[ 0.13832032  0.35121596  0.24468847 ..., -0.009      -0.004       0.003     ]","[-0.25004399  0.3113144   0.05256368 ..., -0.004       0.001      -0.005     ]","[ 0.10116246  0.10604297  0.09898948 ..., -0.007      -0.005      -0.004     ]"
"[ -6.87057062e-02  -3.09178272e-01   1.79680706e-01 ...,   1.70000003e-02
   1.90000000e-02  -1.43692154e-09]","[ 0.09289481  0.02356085 -0.0763122  ..., -0.003       0.006      -0.003     ]","[  2.77086448e-01   1.77537278e-01   4.10744071e-02 ...,   2.50519128e-09
  -3.99999914e-03   2.00000067e-03]","[ 0.34997116  0.01103677 -0.3480927  ...,  0.004      -0.008       0.00899999]","[-0.10801154 -0.26495642 -0.01353533 ...,  0.009      -0.02200001  0.011     ]","[ 0.04200436 -0.32157921 -0.10000983 ..., -0.003      -0.003      -0.003     ]","[-0.07646845  0.00403583  0.34260672 ...,  0.001      -0.004      -0.011     ]","[ 0.13932032  0.35421595  0.24468847 ..., -0.01       -0.003       0.003     ]","[-0.25204399  0.31331439  0.05056368 ..., -0.006       0.002      -0.004     ]","[ 0.10016246  0.10604297  0.09798948 ..., -0.008      -0.006      -0.003     ]"
"[-0.07070571 -0.30717827  0.17968071 ...,  0.019       0.021      -0.001     ]","[  9.68948117e-02   2.55608484e-02  -7.23122037e-02 ...,  -1.91136128e-09
   6.99999830e-03  -2.00000053e-03]","[ 0.27758645  0.17803728  0.04157441 ..., -0.0005     -0.0035      0.0035    ]","[ 0.35097115  0.01203677 -0.3490927  ...,  0.006      -0.009       0.00999999]","[-0.10801154 -0.26595642 -0.01453533 ...,  0.008      -0.02200001  0.011     ]","[ 0.04200436 -0.32157921 -0.09800983 ..., -0.003      -0.001      -0.003     ]","[-0.07446845  0.00603583  0.34460672 ..., -0.001      -0.002      -0.012     ]","[ 0.13832032  0.35321596  0.24568846 ..., -0.011      -0.004       0.004     ]","[ -2.54043990e-01   3.14314393e-01   5.05637114e-02 ...,  -4.99999968e-03
   2.10125112e-10  -5.99999835e-03]","[ 0.09966247  0.10654297  0.09748949 ..., -0.0075     -0.0065     -0.0015    ]"
"[-0.0757057  -0.30217827  0.18168071 ...,  0.024       0.026      -0.005     ]","[ 0.09789481  0.02656084 -0.07131221 ...,  0.001       0.006      -0.001     ]","[ 0.27708646  0.17853727  0.04107441 ..., -0.001      -0.002       0.001     ]","[ 0.35097115  0.01203677 -0.34709271 ...,  0.007      -0.011       0.00899999]","[-0.11101154 -0.26595643 -0.01253533 ...,  0.008      -0.023       0.007     ]","[  4.30043597e-02  -3.23579206e-01  -9.90098267e-02 ...,  -2.99999976e-03
   1.23007745e-09  -1.00000156e-03]","[ -7.44684528e-02   6.03583324e-03   3.44606718e-01 ...,   2.55872818e-10
  -1.99999997e-03  -1.29999996e-02]","[ 0.13832031  0.34921596  0.24468847 ..., -0.009      -0.001       0.006     ]","[-0.25404399  0.31431439  0.05056371 ..., -0.004       0.002      -0.004     ]","[ 0.10116245  0.10704296  0.09698949 ..., -0.006      -0.006      -0.003     ]"
"[-0.0782057  -0.29967827  0.18118071 ...,  0.0255      0.0275     -0.0055    ]","[ 0.09739481  0.02606084 -0.07181221 ...,  0.0015      0.0075      0.0005    ]","[  2.79086457e-01   1.77537269e-01   4.30744065e-02 ...,  -9.99997384e-04
  -3.99999899e-03   9.06994051e-10]","[ 0.34997115  0.01103677 -0.34609272 ...,  0.008      -0.012       0.00999999]","[-0.11001154 -0.26595642 -0.01253533 ...,  0.007      -0.023       0.006     ]","[ 0.04400436 -0.3245792  -0.10000982 ..., -0.004       0.001      -0.002     ]","[-0.07146845  0.00703584  0.34560673 ...,  0.001      -0.002      -0.011     ]","[ 0.13582032  0.34571597  0.24518847 ..., -0.0085     -0.0025      0.0055    ]","[-0.252044    0.31431439  0.05056371 ..., -0.002       0.003      -0.003     ]","[ 0.10216245  0.10804296  0.09798949 ..., -0.005      -0.007      -0.004     ]"
"[-0.0817057  -0.29717828  0.18168071 ...,  0.022       0.027      -0.009     ]","[  9.48948290e-02   2.35608623e-02  -7.43122086e-02 ...,  -3.00309702e-09
   8.99999849e-03  -9.65783566e-10]","[ 0.28108646  0.17453727  0.04407441 ..., -0.002      -0.009       0.001     ]","[ 0.34897114  0.01003677 -0.34509272 ...,  0.01       -0.012       0.00999999]","[-0.10701156 -0.26595644 -0.01253533 ...,  0.009      -0.023       0.007     ]","[ 0.04550436 -0.3220792  -0.10250982 ..., -0.0045      0.0025     -0.0015    ]","[-0.06996845  0.00853584  0.34610673 ...,  0.0005     -0.0025     -0.0115    ]","[ 0.13532032  0.34421597  0.24668846 ..., -0.007      -0.003       0.004     ]","[-0.250544    0.31281439  0.05206371 ..., -0.0015      0.0015     -0.0045    ]","[ 0.10366245  0.10954296  0.09948948 ..., -0.0035     -0.0065     -0.0045    ]"
"[-0.0847057  -0.29517828  0.17868071 ...,  0.02        0.027      -0.009     ]","[ 0.09389483  0.02256086 -0.07431221 ..., -0.001       0.009      -0.001     ]","[ 0.28258646  0.17303727  0.04457441 ...,  0.0005     -0.0105      0.0005    ]","[ 0.34697115  0.00803684 -0.3460927  ...,  0.008      -0.013       0.00899999]","[-0.10801154 -0.26695643 -0.01353532 ...,  0.008      -0.024       0.008     ]","[ 0.04600436 -0.3235792  -0.10300982 ..., -0.003       0.002      -0.003     ]","[-0.06846846  0.00803586  0.34860668 ..., -0.002      -0.002      -0.013     ]","[ 0.13632032  0.34421597  0.24768846 ..., -0.007      -0.002       0.005     ]","[-0.249544    0.31081439  0.05306371 ...,  0.0005      0.0005     -0.0025    ]","[ 0.10516243  0.11204296  0.09998947 ..., -0.003      -0.009      -0.006     ]"
