policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[ 0.27162669  0.22889733  0.1084131  ..., -0.08522811  0.02280117
 -0.05433169]","[ 0.32820316  0.24466353 -0.10417495 ..., -0.00702891 -0.0109262
  0.01802293]","[ 0.17994962 -0.05638435  0.32114186 ...,  0.00109464 -0.00059065
 -0.01016778]","[ 0.26613261  0.27152545  0.1341797  ...,  0.00349226 -0.0052557
 -0.01696332]","[-0.3686206   0.14350137 -0.2393471  ..., -0.0102168  -0.00679992
  0.00862951]","[ 0.14740963  0.20581058  0.17098236 ...,  0.00266373 -0.00036192
 -0.01612962]","[ 0.31954408 -0.25992109  0.10158019 ..., -0.02082519  0.00764351
 -0.01638446]","[-0.2094317  -0.10690601 -0.03165292 ..., -0.00566957  0.00476079
 -0.00043876]","[ 0.08031573  0.27657583 -0.19877519 ...,  0.00360837 -0.02743618
 -0.01169469]","[ 0.12179485 -0.12984627  0.2125174  ..., -0.0086352   0.00448018
  0.00317387]"
"[ 0.28030878  0.22856373  0.10581766 ..., -0.08381389  0.02723199
 -0.04856495]","[ 0.32839935  0.24278549 -0.10765031 ..., -0.00867296 -0.01107437
  0.01860956]","[  1.79531208e-01  -5.19664392e-02   3.20620550e-01 ...,   1.10448025e-04
  -1.73041658e-03  -9.77610359e-03]","[ 0.26622395  0.27179253  0.1342188  ...,  0.00347094 -0.00376396
 -0.01901493]","[-0.37431606  0.14952749 -0.23911711 ..., -0.01017283 -0.0054641
  0.00920366]","[ 0.14697974  0.20589269  0.17030751 ...,  0.00292031  0.00038867
 -0.01845448]","[ 0.32049041 -0.25983124  0.09971492 ..., -0.02080395  0.00882828
 -0.01715431]","[-0.20915275 -0.10721704 -0.02995665 ..., -0.00707437  0.00570659
  0.00057385]","[ 0.07871402  0.27359972 -0.19801868 ...,  0.00388204 -0.02996365
 -0.01241228]","[ 0.12092543 -0.13176283  0.21174246 ..., -0.01004708  0.00439979
  0.00349057]"
"[ 0.28056269  0.23255151  0.10603659 ..., -0.08417212  0.0336047
 -0.04575333]","[ 0.32826326  0.2418384  -0.11249932 ..., -0.01039245 -0.01134651
  0.01957409]","[ 0.17739879 -0.04790289  0.32034071 ..., -0.00143885 -0.00245364
 -0.0084005 ]","[ 0.26571522  0.27188664  0.13388718 ...,  0.00197257 -0.00104421
 -0.01958653]","[-0.38058931  0.16115417 -0.24118098 ..., -0.0096754  -0.00392752
  0.01099964]","[ 0.14675069  0.20751809  0.17027075 ...,  0.00361793  0.00025182
 -0.01900212]","[ 0.32181783 -0.25984833  0.09791156 ..., -0.02199478  0.01140491
 -0.01948382]","[-0.20905325 -0.10770989 -0.02817316 ..., -0.00684207  0.00692188
  0.00023911]","[ 0.07730162  0.26947087 -0.19569596 ...,  0.00432823 -0.03164203
 -0.01201191]","[ 0.12028271 -0.13288827  0.21195073 ..., -0.01038938  0.00495508
  0.00406605]"
"[ 0.27515967  0.23510596  0.10612077 ..., -0.08760437  0.03895027
 -0.04404564]","[ 0.32838313  0.24071993 -0.1176563  ..., -0.01159828 -0.01168986
  0.02048167]","[ 0.17597235 -0.0465235   0.31973145 ..., -0.00262187 -0.00237927
 -0.00819182]","[ 0.26494566  0.27264669  0.13368622 ...,  0.00083706  0.00250288
 -0.01936447]","[-0.38634827  0.16870826 -0.24456512 ..., -0.00848415 -0.00277329
  0.01253313]","[ 0.14506419  0.20796041  0.16889608 ...,  0.00311879  0.00073389
 -0.01718169]","[ 0.32209218 -0.26019648  0.09625623 ..., -0.02383535  0.01236332
 -0.02222876]","[-0.2088731  -0.10866566 -0.02614436 ..., -0.00625844  0.00668316
 -0.00024325]","[ 0.07671913  0.26434521 -0.19329699 ...,  0.00546121 -0.03052446
 -0.00972487]","[ 0.12008274 -0.13351954  0.21339453 ..., -0.01040867  0.0054798
  0.00527539]"
"[ 0.27187054  0.23320669  0.1060158  ..., -0.09096212  0.03970473
 -0.04360621]","[ 0.32858133  0.24021112 -0.11991182 ..., -0.0133562  -0.01196525
  0.02104775]","[ 0.17615337 -0.04365632  0.31950348 ..., -0.00331265 -0.00048262
 -0.00916464]","[  2.64044515e-01   2.74136576e-01   1.34915856e-01 ...,  -2.70196696e-04
   3.44351327e-03  -1.88957706e-02]","[-0.39613583  0.17342563 -0.24884361 ..., -0.01006536 -0.0017103
  0.01557964]","[ 0.14401928  0.20790557  0.16786695 ...,  0.00298455 -0.00113343
 -0.0163285 ]","[ 0.32302159 -0.25992932  0.09547145 ..., -0.02648939  0.01268307
 -0.02288165]","[-0.2083735  -0.10863491 -0.02549455 ..., -0.00546582  0.00746189
  0.00092203]","[ 0.07638765  0.25986453 -0.19191644 ...,  0.00653405 -0.03195748
 -0.00993438]","[ 0.12045751 -0.1338751   0.21445444 ..., -0.0108404   0.00423529
  0.00529304]"
"[ 0.27255779  0.22907634  0.10681233 ..., -0.09095425  0.03412771
 -0.0484636 ]","[ 0.32869925  0.24030274 -0.12222148 ..., -0.01465849 -0.01245563
  0.02154243]","[  1.75812558e-01  -4.19906988e-02   3.19527023e-01 ...,  -5.15737167e-03
   2.77096676e-04  -8.31002643e-03]","[ 0.2634721   0.27547696  0.13589825 ..., -0.00067907  0.00291992
 -0.01893883]","[-0.40737429  0.17646953 -0.25285883 ..., -0.01357089  0.0010286
  0.01768115]","[  1.42285987e-01   2.07186685e-01   1.67582539e-01 ...,  -5.86649896e-05
  -2.92375750e-03  -1.83789386e-02]","[ 0.32350615 -0.25984155  0.09392251 ..., -0.02660363  0.01422109
 -0.02232916]","[-0.20832477 -0.1097331  -0.02549059 ..., -0.00666109  0.00921217
  0.00062652]","[ 0.07436195  0.25514066 -0.19081277 ...,  0.00957861 -0.03379191
 -0.0111757 ]","[ 0.12094184 -0.1336117   0.21622076 ..., -0.0110742   0.00351735
  0.00461567]"
"[ 0.27412107  0.22810286  0.10689698 ..., -0.08906348  0.02661815
 -0.04940857]","[ 0.32874913  0.24024681 -0.12207216 ..., -0.01680211 -0.01230372
  0.02294293]","[ 0.17524944 -0.04051233  0.3199224  ..., -0.0067438  -0.001357   -0.00831575]","[ 0.26278763  0.27634696  0.13652739 ...,  0.00033124  0.00317751
 -0.01940094]","[-0.41355287  0.17944385 -0.25297973 ..., -0.01582186  0.00283208
  0.01912865]","[ 0.1406241   0.20818122  0.16601634 ..., -0.00134797 -0.00303257
 -0.01955013]","[ 0.32351373 -0.26019363  0.09257521 ..., -0.02724543  0.01725467
 -0.02264939]","[-0.20835577 -0.11109515 -0.02576096 ..., -0.00829327  0.01143687
  0.00180803]","[ 0.0721725   0.25438446 -0.18886895 ...,  0.01102664 -0.03409568
 -0.01035464]","[ 0.12023302 -0.13376461  0.2172126  ..., -0.01185287  0.00599707
  0.00456024]"
"[ 0.27441756  0.22802824  0.10707336 ..., -0.08577571  0.0252813
 -0.04409906]","[ 0.32910944  0.24124168 -0.12298888 ..., -0.01958377 -0.01193775
  0.02422458]","[ 0.17462433 -0.03961065  0.31993715 ..., -0.00895253 -0.00348553
 -0.00924302]","[  2.62186694e-01   2.76746486e-01   1.36698098e-01 ...,  -9.04808134e-05
   3.13063580e-03  -2.08426974e-02]","[-0.41457296  0.18130024 -0.24937184 ..., -0.01577581  0.00393142
  0.01925189]","[ 0.14158497  0.20870724  0.16447    ..., -0.00236703 -0.00432877
 -0.01900809]","[ 0.32388081 -0.25980616  0.09217058 ..., -0.03145291  0.01689649
 -0.02464869]","[-0.2080082  -0.11151464 -0.02642106 ..., -0.01317633  0.01123718
  0.00159863]","[ 0.07007347  0.25707486 -0.18903464 ...,  0.00978286 -0.0358985
 -0.01213325]","[ 0.12093834 -0.13402926  0.21897167 ..., -0.01221708  0.00568894
  0.00540994]"
"[ 0.27210404  0.23095116  0.10976317 ..., -0.08332155  0.02771436
 -0.0377206 ]","[ 0.32930519  0.23990424 -0.12491883 ..., -0.02317152 -0.01190803
  0.02512793]","[ 0.17481691 -0.03618468  0.31994864 ..., -0.01100107 -0.00504961
 -0.00892212]","[  2.61660214e-01   2.76965429e-01   1.35279567e-01 ...,  -2.46806230e-04
   2.68274613e-03  -2.30530640e-02]","[-0.41647493  0.18608563 -0.24583166 ..., -0.01818504  0.00297515
  0.02149239]","[ 0.14166572  0.20989371  0.16373959 ..., -0.00366113 -0.00326599
 -0.01757944]","[ 0.3248396  -0.25945908  0.0915304  ..., -0.03697899  0.0162696
 -0.02478402]","[-0.20734471 -0.11118566 -0.0273605  ..., -0.01706472  0.01000954
 -0.00109665]","[ 0.06817227  0.25863839 -0.18862577 ...,  0.01081115 -0.03762042
 -0.01101841]","[ 0.12456873 -0.13412375  0.22173323 ..., -0.01145153  0.00573399
  0.00851583]"
"[ 0.2690601   0.2357781   0.11531515 ..., -0.08052178  0.03117379
 -0.03379972]","[ 0.33024073  0.23839978 -0.12898994 ..., -0.02754077 -0.01180601
  0.02382001]","[ 0.17420642 -0.03253222  0.32012014 ..., -0.01400251 -0.00426793
 -0.00916133]","[  2.60753183e-01   2.77052400e-01   1.34062506e-01 ...,   2.05974071e-04
   2.98931652e-03  -2.48471022e-02]","[-0.41978354  0.19288257 -0.2480697  ..., -0.01926144  0.00286584
  0.02473852]","[ 0.1430251   0.21270578  0.16311671 ..., -0.00677053 -0.00429062
 -0.01672437]","[ 0.32513404 -0.26064763  0.09152882 ..., -0.03937163  0.01364101
 -0.02600578]","[-0.20732594 -0.10981254 -0.02670623 ..., -0.02038356  0.00684335
 -0.00487972]","[ 0.06771296  0.25538241 -0.18894832 ...,  0.01370891 -0.0386867  -0.0091794 ]","[ 0.12776682 -0.13340867  0.22362354 ..., -0.01133749  0.00741459
  0.00866512]"
"[ 0.26598254  0.24030196  0.11829529 ..., -0.07621114  0.03074106
 -0.03128329]","[ 0.3319049   0.23931307 -0.13202235 ..., -0.03087181 -0.01394226  0.021671  ]","[ 0.17402441 -0.03388403  0.32002613 ..., -0.01419109 -0.00433264
 -0.01118755]","[  2.58864032e-01   2.77263843e-01   1.33428997e-01 ...,  -1.01333032e-04
   2.95998576e-03  -2.56404370e-02]","[-0.41981863  0.19634241 -0.24899501 ..., -0.01839731  0.00424742
  0.02869529]","[ 0.14309043  0.21326975  0.16293759 ..., -0.01067846 -0.00706595
 -0.01723514]","[ 0.32558503 -0.2618188   0.09261123 ..., -0.03984853  0.01204834
 -0.03011954]","[-0.2081726  -0.10928965 -0.02693047 ..., -0.02418926  0.00528764
 -0.0089852 ]","[ 0.06472945  0.24707261 -0.19015017 ...,  0.01437026 -0.04113604
 -0.01492485]","[ 0.12972828 -0.13272102  0.2260992  ..., -0.01126902  0.00902733
  0.00861049]"
"[ 0.26489413  0.24237546  0.12188826 ..., -0.07179047  0.02861365
 -0.03315389]","[ 0.33332458  0.23688798 -0.13469778 ..., -0.0331167  -0.01556685
  0.02018628]","[ 0.17559252 -0.03226172  0.31962036 ..., -0.01043143 -0.00447321
 -0.01381341]","[ 0.25773003  0.27785232  0.13348062 ..., -0.00153207  0.00314605
 -0.02509987]","[-0.42074018  0.19565495 -0.24668228 ..., -0.01823725  0.00765085
  0.03405927]","[ 0.14209067  0.21450067  0.164633   ..., -0.01356404 -0.01128702
 -0.01889205]","[ 0.32492917 -0.26288937  0.09194918 ..., -0.04156153  0.01250062
 -0.03457668]","[-0.20954749 -0.10810965 -0.02826991 ..., -0.02563585  0.00717149
 -0.00964013]","[ 0.06308189  0.24478136 -0.19174583 ...,  0.01652737 -0.04238578
 -0.0185221 ]","[ 0.1297966  -0.13247895  0.22766197 ..., -0.01275609  0.01383161
  0.00976107]"
"[ 0.26406475  0.24130162  0.12101815 ..., -0.07299479  0.02589144
 -0.03640108]","[ 0.33383317  0.2351276  -0.14016285 ..., -0.03455138 -0.02011199
  0.01846528]","[ 0.17689069 -0.03164413  0.31964123 ..., -0.00820322 -0.00330225
 -0.01403451]","[ 0.25689124  0.27836493  0.13332223 ..., -0.00278511  0.00386189
 -0.02419788]","[-0.42475161  0.19645571 -0.24580421 ..., -0.018929    0.0110075
  0.03595021]","[ 0.14355953  0.2156986   0.16596124 ..., -0.0171397  -0.01447154
 -0.02186281]","[ 0.32386667 -0.26336988  0.08995474 ..., -0.04384758  0.01180415
 -0.03796988]","[-0.2100893  -0.10649621 -0.02808204 ..., -0.02844252  0.00793609
 -0.00675671]","[ 0.05993649  0.24340788 -0.19395064 ...,  0.01806087 -0.0473948
 -0.02020497]","[ 0.12973705 -0.13151554  0.22754555 ..., -0.01386093  0.01543039
  0.01025041]"
"[ 0.26001158  0.24234084  0.11530529 ..., -0.0803081   0.02936478
 -0.04084397]","[ 0.33395488  0.23262795 -0.14433149 ..., -0.03590233 -0.02260673
  0.01771879]","[ 0.17759006 -0.03023591  0.31947743 ..., -0.00675528 -0.00414264
 -0.01407742]","[ 0.2556646   0.27790289  0.13303465 ..., -0.00317322  0.00521531
 -0.02441608]","[-0.42477277  0.19541989 -0.24093325 ..., -0.01855904  0.01619852
  0.03536625]","[ 0.14519137  0.21604287  0.16634606 ..., -0.02024635 -0.01554017
 -0.02282158]","[ 0.3240408  -0.26266898  0.08918302 ..., -0.04533029  0.01314282
 -0.04007132]","[-0.21060562 -0.10461464 -0.02704151 ..., -0.03331335  0.00917094
 -0.00706551]","[ 0.05676015  0.24457018 -0.19691083 ...,  0.01304608 -0.0534385
 -0.02485603]","[ 0.12833487 -0.1310026   0.22951359 ..., -0.01586506  0.01465781
  0.01080431]"
"[ 0.25755451  0.24335293  0.11209439 ..., -0.0871305   0.02530838
 -0.04056737]","[ 0.3352077   0.2316505  -0.14809166 ..., -0.03744223 -0.0263154
  0.01777942]","[ 0.17803474 -0.03006946  0.3191838  ..., -0.00481409 -0.00200209
 -0.01348379]","[ 0.25415589  0.27756647  0.13307934 ..., -0.00395654  0.00659574
 -0.02441182]","[-0.42445841  0.19141554 -0.23730642 ..., -0.01652007  0.01781137
  0.03393594]","[ 0.14525477  0.21476627  0.16737095 ..., -0.02054743 -0.01535421
 -0.02364644]","[ 0.32416793 -0.26309294  0.08850843 ..., -0.04645124  0.01308241
 -0.04223444]","[-0.2113748  -0.10345671 -0.02599946 ..., -0.04041604  0.00756992
 -0.00850838]","[ 0.05867997  0.24900014 -0.19800381 ...,  0.01145196 -0.05276641
 -0.02478319]","[ 0.13032762 -0.13104565  0.22848827 ..., -0.01826797  0.01499758
  0.00852292]"
"[ 0.25745357  0.24543791  0.10625912 ..., -0.09201629  0.020241   -0.04238192]","[ 0.33515513  0.23208167 -0.15187853 ..., -0.03811961 -0.02794001
  0.01840394]","[ 0.17900568 -0.02821629  0.31878553 ..., -0.00329702  0.00060417
 -0.01264316]","[ 0.25384724  0.27706102  0.13328588 ..., -0.00559394  0.00564631
 -0.02473465]","[-0.43493139  0.19152517 -0.24059873 ..., -0.0142254   0.01841985
  0.03374424]","[ 0.14574522  0.21464499  0.16854665 ..., -0.02252522 -0.01886973
 -0.02473663]","[ 0.3235858  -0.26408958  0.08751856 ..., -0.04864046  0.014443   -0.04558264]","[-0.2123613  -0.10408144 -0.02534073 ..., -0.04734865  0.00814251
 -0.01182287]","[ 0.05770673  0.24697694 -0.19727175 ...,  0.00872095 -0.05335022
 -0.02709103]","[ 0.13323746 -0.12998116  0.22824664 ..., -0.02131766  0.01574753
  0.00748447]"
"[ 0.25450581  0.24487108  0.10143668 ..., -0.09989098  0.01339291
 -0.0428983 ]","[ 0.33481105  0.23066403 -0.1544422  ..., -0.03846131 -0.03060472
  0.01744362]","[ 0.17838383 -0.0246111   0.31845989 ..., -0.00343147  0.0007271
 -0.01304947]","[ 0.25373892  0.27705439  0.13314085 ..., -0.0082591   0.00504369
 -0.02436486]","[-0.44452997  0.19231135 -0.24322706 ..., -0.01361226  0.01950925
  0.03564123]","[ 0.14650808  0.21527462  0.16960127 ..., -0.02242415 -0.02283934
 -0.02535612]","[ 0.32379363 -0.26633183  0.0878216  ..., -0.05291277  0.01520238
 -0.04830429]","[-0.21268997 -0.10347931 -0.02596734 ..., -0.04836077  0.0094415
 -0.01721504]","[ 0.05680721  0.24834751 -0.19646693 ...,  0.00769673 -0.05513118
 -0.03009424]","[ 0.13337114 -0.13011122  0.22823429 ..., -0.02229421  0.017022    0.01159101]"
"[ 0.25551886  0.24655605  0.09888185 ..., -0.10614396  0.01122211
 -0.04207696]","[ 0.33303474  0.2326354  -0.15471646 ..., -0.04041819 -0.03166542
  0.01669924]","[ 0.1770191  -0.02467929  0.31792519 ..., -0.00397829  0.00156876
 -0.01384682]","[ 0.25378725  0.27753967  0.13334952 ..., -0.01019799  0.00674719
 -0.02437831]","[-0.45397135  0.19971743 -0.24526755 ..., -0.01125199  0.02138965
  0.03613135]","[ 0.14577189  0.21717425  0.16861517 ..., -0.01976611 -0.02298095
 -0.02504409]","[ 0.32461601 -0.26713285  0.09011567 ..., -0.05528947  0.01624897
 -0.0470893 ]","[-0.21226016 -0.10058032 -0.02672977 ..., -0.04639233  0.01173284
 -0.01916211]","[ 0.05279388  0.24577038 -0.19484397 ...,  0.00707532 -0.05257659
 -0.03388655]","[ 0.13097333 -0.13172497  0.22849562 ..., -0.02263522  0.01665416
  0.01227888]"
"[ 0.25587164  0.24906013  0.09811098 ..., -0.10709381  0.01040143
 -0.03407374]","[ 0.33130118  0.23247237 -0.15451572 ..., -0.03925234 -0.03471854
  0.0152948 ]","[ 0.17450794 -0.02549987  0.31762237 ..., -0.00354844  0.00303693
 -0.01464902]","[ 0.25326408  0.27746542  0.13369948 ..., -0.01219741  0.00761275
 -0.02387316]","[-0.46467226  0.20629445 -0.2481505  ..., -0.00719331  0.02291956
  0.03655703]","[ 0.14652384  0.22043719  0.16779149 ..., -0.01854086 -0.02270432
 -0.02408834]","[ 0.32473783 -0.2677577   0.09071201 ..., -0.05628309  0.0168423
 -0.04542294]","[-0.21176103 -0.09874612 -0.02816496 ..., -0.04523112  0.01018783
 -0.02174684]","[ 0.051961    0.24060324 -0.19322851 ...,  0.00737873 -0.05106145 -0.040922  ]","[ 0.1291359  -0.1327916   0.22785972 ..., -0.02289317  0.01692006
  0.00976303]"
"[ 0.25625601  0.24937735  0.10101616 ..., -0.10356717  0.0057454
 -0.02184241]","[ 0.33010327  0.23187314 -0.15971122 ..., -0.03584959 -0.03665428
  0.01367268]","[ 0.17332469 -0.02548179  0.31782968 ..., -0.00274336  0.00522503
 -0.0166938 ]","[ 0.25305076  0.2766357   0.13435563 ..., -0.01498004  0.0079723
 -0.02387239]","[-0.47960436  0.21348588 -0.25100299 ..., -0.00668571  0.02641411
  0.03775743]","[ 0.14665389  0.22360995  0.16717565 ..., -0.0147713  -0.02437207
 -0.0246032 ]","[ 0.32582783 -0.2674513   0.09258817 ..., -0.05766115  0.01488431
 -0.04652334]","[-0.21137029 -0.09698252 -0.0278003  ..., -0.0463967   0.00855471
 -0.02256676]","[ 0.05131963  0.23778086 -0.19130215 ...,  0.00867539 -0.0490811
 -0.04861968]","[ 0.13096316 -0.13228208  0.2281052  ..., -0.02287567  0.0173921
  0.00735003]"
"[ 0.25690008  0.2509343   0.10457762 ..., -0.09748987  0.00514679
 -0.01370129]","[ 0.33289505  0.23173493 -0.17118961 ..., -0.03171744 -0.04138073
  0.01208699]","[ 0.17157364 -0.02519684  0.31781303 ..., -0.00135557  0.00632404
 -0.0192602 ]","[ 0.25298019  0.27557378  0.13526286 ..., -0.0182352   0.00729616
 -0.02460331]","[-0.48831804  0.21596201 -0.25201742 ..., -0.00907383  0.02940497
  0.03880924]","[ 0.14757598  0.22589413  0.16539958 ..., -0.01649221 -0.02557033
 -0.02474551]","[ 0.32767706 -0.26956701  0.09424542 ..., -0.05892565  0.01393538
 -0.04668933]","[-0.21091625 -0.09477035 -0.0332335  ..., -0.05221987  0.00548264
 -0.02281024]","[ 0.04862571  0.23855549 -0.18958844 ...,  0.00435126 -0.04794978
 -0.05345452]","[ 0.13077719 -0.13212627  0.22842849 ..., -0.02591585  0.01903097
  0.00346798]"
"[ 0.25518675  0.25121605  0.11345085 ..., -0.09164998  0.00169947
 -0.0126036 ]","[ 0.33371395  0.23121886 -0.17573113 ..., -0.0315582  -0.04396995
  0.01439321]","[ 0.16922238 -0.02510807  0.3181145  ...,  0.00041949  0.0066509
 -0.01970347]","[ 0.25358838  0.27532224  0.1367192  ..., -0.02026115  0.0067732  -0.0262214 ]","[-0.49490449  0.21903521 -0.25539871 ..., -0.00815827  0.03213552
  0.03967997]","[ 0.14527406  0.22841883  0.16521563 ..., -0.01752562 -0.03199584
 -0.0250481 ]","[ 0.32846982 -0.2712664   0.09507346 ..., -0.06295104  0.01346892
 -0.04421558]","[-0.21073935 -0.09214222 -0.03476095 ..., -0.05829998  0.00512789
 -0.02504372]","[ 0.04603803  0.23846149 -0.18975317 ..., -0.00240063 -0.04904777
 -0.05412568]","[ 0.12988012 -0.13276263  0.22739126 ..., -0.02989677  0.0174394
  0.00112419]"
"[ 0.25616327  0.25222578  0.11917591 ..., -0.08704332  0.00661296
 -0.0092262 ]","[ 0.3340117   0.23098156 -0.17224761 ..., -0.0307467  -0.04693774
  0.01678023]","[  1.68424918e-01  -2.39893461e-02   3.18070890e-01 ...,  -3.98508915e-05
   6.81693846e-03  -1.91270227e-02]","[ 0.25399605  0.27615736  0.13764473 ..., -0.02146174  0.00684142
 -0.02737767]","[-0.49740738  0.21255034 -0.25876058 ..., -0.00633133  0.03529298
  0.04277919]","[ 0.14690581  0.23053042  0.16464702 ..., -0.01525635 -0.03707388
 -0.02889584]","[ 0.32790441 -0.2713425   0.09353971 ..., -0.06377978  0.013919   -0.04180354]","[-0.21109778 -0.08809811 -0.03181795 ..., -0.06290569  0.0037233
 -0.02956296]","[ 0.04313939  0.23653533 -0.18961864 ..., -0.0051067  -0.04779752
 -0.05137668]","[ 0.12767204 -0.13401738  0.22783103 ..., -0.03323303  0.01557682
  0.00236936]"
"[ 0.25545463  0.24922373  0.12325904 ..., -0.08140728  0.01002418
 -0.00522591]","[ 0.33248919  0.23443645 -0.16654241 ..., -0.03111601 -0.05093205
  0.01949581]","[ 0.16882441 -0.02185947  0.31845491 ..., -0.00283595  0.00550019
 -0.01788078]","[ 0.25334399  0.27735058  0.13745285 ..., -0.02357959  0.00579339
 -0.02957462]","[-0.50142562  0.20392046 -0.26444927 ..., -0.00365994  0.03562987
  0.04509456]","[ 0.14792249  0.23173289  0.16410905 ..., -0.01339798 -0.04264491
 -0.0328255 ]","[ 0.32718104 -0.27142002  0.09239345 ..., -0.0643349   0.01329682
 -0.04198034]","[-0.21159041 -0.08560459 -0.03284633 ..., -0.06608204  0.00585919
 -0.03368568]","[ 0.04324114  0.23119663 -0.19032468 ..., -0.0075303  -0.04815196
 -0.05185401]","[ 0.12772349 -0.13463267  0.22701837 ..., -0.03662444  0.01463084
  0.00132403]"
"[ 0.25594122  0.24355086  0.12585667 ..., -0.08085664  0.01170713
  0.00447889]","[ 0.33033357  0.24017496 -0.15997349 ..., -0.03090582 -0.05224877
  0.02176879]","[ 0.17021245 -0.02054397  0.31888506 ..., -0.00529255  0.0050845
 -0.01602987]","[ 0.25240383  0.27798523  0.13727265 ..., -0.02508625  0.00511563
 -0.03280638]","[-0.50263705  0.19356132 -0.2697454  ..., -0.00121775  0.03779264
  0.04628984]","[ 0.14538813  0.23325781  0.16320007 ..., -0.01300651 -0.04741013
 -0.03572687]","[ 0.3264472  -0.27230555  0.09358185 ..., -0.06603781  0.01281508
 -0.04416522]","[-0.21209597 -0.08512702 -0.03319187 ..., -0.06630803  0.01271313
 -0.03446137]","[ 0.04322895  0.22798731 -0.19140273 ..., -0.01165641 -0.05163831
 -0.05635183]","[ 0.12922447 -0.13452137  0.22533353 ..., -0.04015565  0.01419061
  0.00161665]"
"[ 0.25340803  0.23765918  0.12682601 ..., -0.08066164  0.01259969
  0.0123873 ]","[ 0.32979334  0.24419646 -0.15377338 ..., -0.03058791 -0.05216418
  0.0243044 ]","[ 0.17124038 -0.02350163  0.31867053 ..., -0.00632216  0.00540171
 -0.01567469]","[ 0.25182625  0.27883382  0.13724995 ..., -0.02618552  0.00432764
 -0.03491959]","[ -5.03974819e-01   1.94763640e-01  -2.71318285e-01 ...,   3.30903848e-04
   4.27805460e-02   4.81897404e-02]","[ 0.14377604  0.2330495   0.16298749 ..., -0.01305338 -0.04937872
 -0.03451512]","[ 0.32434533 -0.27321175  0.09565334 ..., -0.07049367  0.01530513
 -0.04593954]","[-0.21239913 -0.08327854 -0.03217566 ..., -0.06503466  0.01634472
 -0.03181188]","[ 0.0424094   0.22908002 -0.19226035 ..., -0.01361486 -0.05960035
 -0.05870002]","[ 0.12917398 -0.1348738   0.22483135 ..., -0.04324407  0.01288502
  0.00107674]"
"[ 0.2547491   0.23692391  0.12681139 ..., -0.0832702   0.01278216
  0.01946138]","[ 0.32950738  0.24535241 -0.15679236 ..., -0.03017011 -0.05182034
  0.02871496]","[ 0.17189567 -0.02355866  0.31842151 ..., -0.00621735  0.0042981
 -0.01476824]","[ 0.25182177  0.27934267  0.13601718 ..., -0.0277484   0.00364003
 -0.03647055]","[-0.50792127  0.20255524 -0.27886003 ...,  0.003121    0.04783981
  0.04873108]","[ 0.1409106   0.2318697   0.1648933  ..., -0.01557156 -0.05129923
 -0.03308336]","[ 0.32174974 -0.27201104  0.09630886 ..., -0.07253326  0.01677541
 -0.04559564]","[-0.21252406 -0.08285506 -0.03408413 ..., -0.06464788  0.01853887
 -0.03204725]","[ 0.03945424  0.2333442  -0.19431712 ..., -0.01404708 -0.06307713
 -0.06128582]","[ 0.12657961 -0.13676321  0.22741962 ..., -0.04737672  0.01251134
  0.00027503]"
"[ 0.25446664  0.23620181  0.12757648 ..., -0.08604328  0.01166624
  0.02443017]","[ 0.32805473  0.24412961 -0.15695935 ..., -0.02921551 -0.05185349
  0.03195652]","[ 0.17145119 -0.02237696  0.31769827 ..., -0.00652017  0.0041974
 -0.01301102]","[ 0.25186109  0.28064141  0.13521605 ..., -0.02874629  0.00301115
 -0.03838482]","[-0.50978943  0.20697312 -0.28402171 ...,  0.0077878   0.05181341
  0.04640954]","[ 0.14044166  0.23374014  0.16560568 ..., -0.02065391 -0.0589066
 -0.03617184]","[ 0.31918967 -0.2714637   0.09478527 ..., -0.07290834  0.0188475
 -0.04537904]","[-0.21231387 -0.08215769 -0.03171917 ..., -0.06635496  0.02090338
 -0.03102153]","[ 0.03829844  0.23331183 -0.19561755 ..., -0.0200852  -0.0652664
 -0.06483124]","[ 0.12484315 -0.13778351  0.23287638 ..., -0.05196391  0.01043051
 -0.00060304]"
"[ 0.25727061  0.23940479  0.13159006 ..., -0.09128301  0.00939819
  0.02393614]","[ 0.32482668  0.24445571 -0.15851148 ..., -0.03153129 -0.05058688
  0.03194173]","[ 0.17038191 -0.01805364  0.31771093 ..., -0.00782345  0.00404461
 -0.01015459]","[ 0.25248969  0.28134854  0.13525307 ..., -0.02941933  0.00300607
 -0.03869408]","[-0.50905584  0.21095932 -0.28551933 ...,  0.01394606  0.05649201
  0.04542418]","[ 0.1409343   0.23716485  0.16522576 ..., -0.02882248 -0.06696143
 -0.04289708]","[ 0.32001057 -0.27116477  0.09403755 ..., -0.07285787  0.01693388
 -0.04268797]","[-0.2122951  -0.08154779 -0.02722967 ..., -0.07248369  0.02572717
 -0.03110681]","[ 0.038967    0.22975653 -0.19412222 ..., -0.02513682 -0.06822494
 -0.0661145 ]","[ 0.12497343 -0.13753428  0.23640831 ..., -0.05486189  0.0119385
 -0.00311597]"
