policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[ 0.24497554  0.22912337  0.10077562 ..., -0.01910372 -0.01475999
 -0.02043779]","[  3.28792086e-01   2.71279332e-01  -9.39081946e-02 ...,  -2.60295386e-04
  -7.62927879e-03   1.22338346e-02]","[ 0.17782812 -0.06573427  0.32177542 ...,  0.00454906 -0.00153888
 -0.00370203]","[ 0.272576    0.26243607  0.12563214 ...,  0.0042597  -0.00759695
 -0.00295305]","[ -3.32471026e-01   1.07258897e-01  -2.37170030e-01 ...,   2.48252446e-03
  -7.16889992e-03   1.24753393e-04]","[ 0.13953078  0.19595333  0.17218662 ...,  0.00491967 -0.00105247
 -0.01005079]","[ 0.32286319 -0.25787317  0.11412927 ..., -0.00397395  0.00193039
 -0.00984816]","[-0.20967077 -0.10391268 -0.03891749 ...,  0.0008929   0.00143001
 -0.00106603]","[  8.78979717e-02   2.93907724e-01  -2.15021503e-01 ...,  -1.96963493e-04
  -8.43397247e-03   9.63997097e-04]","[ 0.11846869 -0.12499449  0.20850523 ..., -0.00498102  0.00574079
 -0.00562686]"
"[ 0.24472644  0.23362214  0.09779993 ..., -0.02294471 -0.00882104
 -0.0292247 ]","[  3.28432802e-01   2.71665845e-01  -9.41822962e-02 ...,  -1.23151023e-04
  -7.83445076e-03   1.23339700e-02]","[ 0.17829485 -0.06585555  0.32176056 ...,  0.00341339 -0.00117829
 -0.00394158]","[ 0.27159873  0.26353713  0.12603835 ...,  0.00462955 -0.00761115
 -0.00202161]","[-0.33524317  0.10824309 -0.23751573 ...,  0.00242517 -0.00688689
  0.00086271]","[ 0.14018958  0.1960958   0.17278624 ...,  0.00414381 -0.00126364
 -0.01028946]","[ 0.32299437 -0.25795823  0.11370297 ..., -0.00552941  0.00345245
 -0.00991502]","[-0.20970429 -0.10441673 -0.03890988 ...,  0.00124689  0.00177395
 -0.00170516]","[ 0.08764458  0.29257532 -0.21297599 ..., -0.00114457 -0.00912866
 -0.00107102]","[ 0.11779831 -0.12547503  0.21068357 ..., -0.0042202   0.00522984
 -0.0053174 ]"
"[ 0.2466632   0.23837309  0.09447546 ..., -0.0303431  -0.00189783
 -0.03742051]","[ 0.32811644  0.2708788  -0.09512393 ..., -0.00043004 -0.00816297
  0.01289678]","[  1.78527745e-01  -6.46857114e-02   3.21745427e-01 ...,   2.71996179e-03
  -3.00272174e-04  -5.20572086e-03]","[ 0.27065767  0.26533633  0.12653362 ...,  0.00415    -0.00710062
 -0.00179029]","[-0.33725228  0.1089612  -0.23752596 ...,  0.00260793 -0.00677508
  0.00274207]","[ 0.14026891  0.19605955  0.1727935  ...,  0.00423013 -0.001168   -0.01139709]","[ 0.32278971 -0.25830244  0.11257218 ..., -0.00725065  0.00435101
 -0.01001241]","[-0.20971147 -0.10469307 -0.03886565 ...,  0.0024013   0.00363726
 -0.00272889]","[ 0.08769884  0.29352028 -0.21180896 ..., -0.00080246 -0.00982885
 -0.00186339]","[ 0.11836423 -0.125357    0.21269748 ..., -0.00401477  0.00503625
 -0.00458571]"
"[ 0.24796085  0.23970621  0.09293717 ..., -0.0394116   0.00703804
 -0.04314261]","[ 0.32825101  0.27003489 -0.0959849  ..., -0.00098246 -0.00860315
  0.01387499]","[ 0.17909808 -0.06337712  0.32195396 ...,  0.00219434 -0.00061582
 -0.00584094]","[ 0.26983105  0.26657634  0.12672082 ...,  0.00366359 -0.00659364
 -0.0013452 ]","[-0.33918266  0.11038127 -0.23773967 ...,  0.00295347 -0.00708509
  0.00358872]","[ 0.14074132  0.19717321  0.17215715 ...,  0.00376855 -0.00126912
 -0.01313717]","[ 0.32212381 -0.25814669  0.11216312 ..., -0.00916969  0.00554092
 -0.00949701]","[-0.20982689 -0.10486116 -0.03884503 ...,  0.0030669   0.00475979
 -0.00286947]","[ 0.08826519  0.29414884 -0.2115837  ..., -0.00053001 -0.01034895
 -0.00241755]","[ 0.11926168 -0.12532983  0.21372954 ..., -0.00457372  0.0053139
 -0.00397252]"
"[ 0.25024388  0.24119649  0.09906216 ..., -0.04565707  0.00726389
 -0.04793424]","[ 0.32869401  0.26847076 -0.0970809  ..., -0.00127622 -0.00877234
  0.01480645]","[ 0.17841722 -0.06235943  0.32211333 ...,  0.002097   -0.00066978
 -0.00542999]","[ 0.26965819  0.26738115  0.12792271 ...,  0.00289116 -0.00699974
 -0.00186505]","[-0.34068489  0.11334613 -0.23858931 ...,  0.00235364 -0.00827892
  0.00398416]","[ 0.14166775  0.19902371  0.17188809 ...,  0.00438646 -0.00054754
 -0.01416237]","[ 0.32123014 -0.25799563  0.11157847 ..., -0.01069643  0.00695585
 -0.00948202]","[-0.20993936 -0.10540932 -0.03805628 ...,  0.00260993  0.00568688
 -0.00305879]","[  8.83677727e-02   2.93377638e-01  -2.08349489e-01 ...,  -2.58858502e-04
  -1.20957119e-02  -4.11191306e-03]","[ 0.11975695 -0.12602654  0.21405534 ..., -0.00525544  0.00495847
 -0.00291506]"
"[ 0.25344512  0.24034494  0.10291133 ..., -0.04299181  0.00679161
 -0.04809822]","[ 0.32922532  0.2660118  -0.09800046 ..., -0.0017211  -0.00899547
  0.01498042]","[  1.77189521e-01  -6.17282933e-02   3.22119870e-01 ...,   8.17188993e-04
  -1.89973088e-04  -5.19468626e-03]","[ 0.26933776  0.26813864  0.12922022 ...,  0.00311807 -0.00608658
 -0.00312112]","[-0.344864    0.11822341 -0.2384565  ...,  0.00098845 -0.00859126
  0.00348479]","[  1.43112987e-01   2.01136500e-01   1.71815588e-01 ...,   4.98274791e-03
   8.55777572e-05  -1.41183905e-02]","[ 0.32011417 -0.25859085  0.10997191 ..., -0.01135692  0.00682071
 -0.00975871]","[-0.2100481  -0.10596978 -0.0364793  ...,  0.00132101  0.00601934
 -0.00276033]","[ 0.08776097  0.29388303 -0.20546414 ...,  0.00066382 -0.01254497
 -0.0057022 ]","[ 0.11935566 -0.12679851  0.21341786 ..., -0.00591522  0.00490274
 -0.00106124]"
"[ 0.25655279  0.23707289  0.10483528 ..., -0.04668101  0.00434881
 -0.04959979]","[ 0.3294504   0.26144564 -0.0985584  ..., -0.00194466 -0.0091889
  0.01544746]","[ 0.17707417 -0.06221876  0.32209096 ...,  0.00034772  0.00043406
 -0.00574167]","[ 0.26887349  0.26878151  0.13015564 ...,  0.00273884 -0.00529927
 -0.00461828]","[ -3.50442638e-01   1.23338657e-01  -2.39128109e-01 ...,   9.06445729e-05
  -7.85064171e-03   5.52911567e-03]","[ 0.14421297  0.20231055  0.17192248 ...,  0.00411363 -0.00059634
 -0.01382326]","[ 0.31960659 -0.25923739  0.10832734 ..., -0.01286384  0.00745996
 -0.0105353 ]","[ -2.10180410e-01  -1.06693602e-01  -3.57241804e-02 ...,   1.86837311e-04
   5.22174556e-03  -2.44266790e-03]","[ 0.08706759  0.29050351 -0.20335154 ...,  0.00104211 -0.01473617
 -0.00659076]","[ 0.11987717 -0.12770464  0.21238498 ..., -0.00667426  0.00484882
  0.00118886]"
"[ 0.2576282   0.23500301  0.10686278 ..., -0.05448465  0.00442139
 -0.04987436]","[ 0.32941324  0.25728668 -0.09920979 ..., -0.00278317 -0.00966384
  0.01609389]","[  1.76436038e-01  -6.29866682e-02   3.21789064e-01 ...,   1.06674466e-03
   2.65385187e-04  -6.58411855e-03]","[ 0.26857655  0.26936632  0.13084587 ...,  0.00255349 -0.00585744
 -0.00702508]","[-0.35350945  0.12630196 -0.24141773 ..., -0.00138557 -0.00765155
  0.00681929]","[ 0.14648188  0.20282694  0.17222638 ...,  0.00432414 -0.00107024
 -0.01376131]","[ 0.319547   -0.25965069  0.10702667 ..., -0.01394722  0.00850862
 -0.0124945 ]","[-0.21025254 -0.10725175 -0.03524911 ..., -0.00086628  0.00468867
 -0.00323736]","[ 0.08799122  0.28859187 -0.20228715 ...,  0.00250561 -0.01793774
 -0.00770433]","[ 0.12024195 -0.12706182  0.21200275 ..., -0.00657243  0.00437047
  0.00229794]"
"[ 0.25542328  0.23586284  0.10935695 ..., -0.06273207  0.00617146
 -0.04949339]","[ 0.32907976  0.25389518 -0.10054114 ..., -0.00352629 -0.01001493
  0.01681442]","[  1.76705082e-01  -6.43844863e-02   3.21641118e-01 ...,   1.70749618e-03
   1.23595118e-05  -8.44712144e-03]","[ 0.2677592   0.26989125  0.13184236 ...,  0.00313084 -0.00602032
 -0.01026059]","[-0.35684833  0.12927928 -0.24160313 ..., -0.00377188 -0.00805063
  0.00938367]","[ 0.14749305  0.2030859   0.17201113 ...,  0.00448362 -0.0012926
 -0.01367535]","[ 0.31862804 -0.26052422  0.10604337 ..., -0.01527536  0.00938737
 -0.01441386]","[-0.21030155 -0.10728895 -0.03456205 ..., -0.00146569  0.00462488
 -0.00311714]","[ 0.08782762  0.28554031 -0.20174253 ...,  0.00323081 -0.01863741
 -0.00944444]","[ 0.12115073 -0.12676991  0.21288201 ..., -0.00645116  0.00497429
  0.00181888]"
"[ 0.2588984   0.23370927  0.10902573 ..., -0.07263389  0.01037674
 -0.04990523]","[ 0.32916814  0.25118007 -0.10217472 ..., -0.0046707  -0.01032948
  0.01680954]","[ 0.17817715 -0.06315029  0.32155968 ...,  0.00219903 -0.00098846
 -0.00918883]","[ 0.26708959  0.27061456  0.13238684 ...,  0.00401773 -0.0062346
 -0.01281651]","[-0.36141789  0.13437639 -0.24094316 ..., -0.00707421 -0.00824023
  0.01021988]","[ 0.14726193  0.20441462  0.17182761 ...,  0.00390594 -0.00146252
 -0.01464513]","[ 0.31865532 -0.26095063  0.10558903 ..., -0.01757583  0.00912191
 -0.01659981]","[-0.21015337 -0.10674587 -0.03369473 ..., -0.00264059  0.0055932
 -0.00336146]","[ 0.08575716  0.28057582 -0.20086659 ...,  0.00315364 -0.02171081
 -0.01166527]","[ 0.12184501 -0.12723027  0.21332357 ..., -0.00697207  0.0051255
  0.00160453]"
"[ 0.26515584  0.23168245  0.11026145 ..., -0.08117406  0.01754581
 -0.05236935]","[ 0.32872535  0.24720496 -0.10339118 ..., -0.00559137 -0.01063407
  0.01724398]","[ 0.17928263 -0.05852315  0.32156508 ...,  0.00186191 -0.00155715
 -0.0093643 ]","[ 0.26625851  0.27114611  0.1333366  ...,  0.00416463 -0.0059293
 -0.01509144]","[-0.36513829  0.13965828 -0.23988253 ..., -0.00873025 -0.00742961
  0.00954041]","[ 0.14766202  0.20534961  0.17140185 ...,  0.0033616  -0.00052587
 -0.01515563]","[ 0.31900417 -0.26022805  0.10380888 ..., -0.019915    0.00840516
 -0.01694879]","[-0.20990318 -0.10680861 -0.03322486 ..., -0.00454501  0.00513892
 -0.0018578 ]","[ 0.08213059  0.27725413 -0.19865147 ...,  0.00325607 -0.02599532
 -0.01233823]","[ 0.12207396 -0.12886332  0.2133428  ..., -0.00798588  0.00352943
  0.00240318]"
