trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 279.93181465    9.98896049    0.          199.93003869  279.93181465
    9.98896049    0.          279.93181465    9.98896049    0.        ]","[ 109.94757708   99.95866913    0.            9.98128389   19.97067728
   39.96468089   19.97022021   19.965579      9.99022728    9.98196355]","[  29.96893994   29.97336476   69.9807731    89.96704254  129.8587352
   59.94303161   39.9851807    69.93427581   59.9682501    29.97024001]","[ 29.95856896  19.97225575  59.97924592  49.97238494  29.961687
  29.98922049  89.95129322  39.98181192  89.91274297  29.9830975 ]","[   0.           39.96402513   29.96718656   19.97333713   29.96216627
   19.96918088   59.95893101  209.84526492   99.96693565   59.98195997]","[ 29.97336062  39.97713208  39.98083222  59.96841489  79.94457215
  29.97356713  19.98718282   9.97964104  69.95319364  39.96251369]","[  39.98516711   69.89769808    9.98357529  119.94789318   49.91866613
    9.9888814   359.85843703  179.88626295    9.98492408   19.9796423 ]","[ 69.94884169  69.94867943  49.9731459   49.95328323  89.9337341
  69.96043187  79.94269842  79.96611414  49.94860113  29.95919323]","[  99.89740358   39.96762839    9.98399128   69.89983413  329.82843779
    9.98093253   59.95554441   79.95082102  229.91380859   99.94164527]","[  49.96642867   39.93872011  109.95684515   99.93868511   49.98529781
  149.93415867   49.97255583   79.96557339  119.89907044  209.90174678]"
"[ 199.94194555   69.946643     49.98766345  199.94194555   69.946643
    9.98896049    0.          199.94194548   69.946643     49.98766345]","[  39.93743024    0.           39.9753186    39.94472874    0.
   49.94192128   39.95384658    9.98032467   79.94767588  169.91614035]","[ 39.96926166  39.97931024  59.97848103  49.98248209  69.90588407
  59.96956974  19.97497866  19.98118202  29.9536166   39.97355587]","[ 29.98542932  29.96563323  69.9809374   39.98918174   0.          49.97023589
  79.97266879  29.97673731  19.96577975  59.96266032]","[ 269.88167438   89.95947429  159.90605052    0.            9.98040867
   79.96548406   49.97161667    9.98275701   39.95933839   89.96773762]","[ 99.96838465   9.97922003  39.98600128  49.97874359   9.98386407
  59.97906347  39.98381733  49.96376547  59.95827609  49.96324329]","[  69.90397847    9.98758573   69.97346484   19.96462332   29.97642681
   99.94475958  169.90951451  199.95301453   49.97203875   19.9702694 ]","[ 79.96785075  39.96002517  59.99034682  29.97655248  49.98278029
  79.92012951  29.96828166  39.96443472  59.95716229  39.97626782]","[   9.98110618  249.9370016    59.95620628   79.89576217   99.86355549
   99.94771438   49.91985339   19.96786063   79.96445316   79.95216929]","[  69.96584397  169.87947113    9.98107459   29.9669319    39.95733922
   99.94830545   79.96020763   19.97181756   69.96398168  209.95072689]"
"[  49.98772334   29.97041272   19.98917937   79.9668987    79.9668987
  159.94449486   29.97041272   19.98917937   79.9668987    69.94718288]","[ 49.96581079  69.97603188   9.98607422   0.          79.96295804
  29.96122091  19.97879123  49.94232235  59.9674708   79.91053842]","[ 29.98797092  49.9795937   39.97314999  39.98699327  59.97833403
  99.96014173  29.96141599  49.95961136  19.98205771  69.98438772]","[ 59.9880226   79.95971836  59.96614864  59.92214666  59.93994316
  59.90725269   9.98078588  49.98054523  39.97817113   9.98011048]","[  69.93622057    9.98502074   69.97185878   99.96397716   39.98013139
   29.97556941  139.93793661  109.92582166   49.96838304   59.95806822]","[  79.93023798   39.98943341   39.98119317   39.96473822   39.97551714
  189.88633419   29.98406686   49.98169032   99.95654807   19.9776995 ]","[  59.93500098   49.96660608   39.97181666   49.97716949   49.96099803
   29.94890979   99.94997971  219.87989855  269.73130489    0.        ]","[  39.97796269    9.98334861   19.9704733     9.98594332   59.954146
  109.89083161   29.9905153    29.9637292    49.97530207  129.94090759]","[  49.96609998   29.96593585   19.97707223   59.92694336  329.84219414
  249.89856251   59.94907251   29.96979693  319.90022624  149.91052384]","[  29.98897271  109.94823161   79.95957414   79.97466078   49.97225
   39.97356207   79.96343941    9.98260731   39.96338143    9.98435434]"
"[  19.98916258   79.96686727  149.96277878  149.9627788    19.9771549
   39.96586548   49.95351445  149.9627788    19.9771549    39.96586548]","[   0.           39.97540381   39.94479048   49.96585484   69.97610007
   19.98513989   39.93279285  119.92520505  139.92998407    9.98994455]","[ 39.9906487   69.97553444  29.96124609  19.97593339   0.          19.96926206
   9.98366645  59.98746761  59.95374361  59.95969428]","[  29.95122213    9.98509912    9.98326376  139.87081168   69.96464139
   39.95978203   39.97116954    9.98162073   79.97261084   59.96888941]","[ 129.88905167   89.96477097   39.94982365    9.98717379   39.98535488
  119.88014418   29.9732933    29.95418599  309.89203095  139.93054423]","[ 69.96789829  19.97257173  39.98669065  69.96726778   9.98549476
  89.95039862  39.98867602   9.98579986  29.97852017  89.96007038]","[ 199.90831898   29.97561199   89.9648285    59.96252908  139.91983589
   19.9779332    79.92639145   69.94935856   89.90553931   99.93368603]","[  9.98074756   9.9872074   19.98660342  29.96947799  89.96551763
  59.97024033  39.96366774  49.93739903  29.98665604   0.        ]","[  69.9678047    59.96059276   99.91862616   39.94116944  149.84149824
  119.93800386   39.95725861   79.94317556    9.98394675  119.91447217]","[   0.           19.98273676   39.98938335   49.97455574  149.94739978
  179.9498282    39.96788966   29.95654928   89.96055318  139.95547598]"
"[  19.97717302   39.9660907    49.95360088    9.98173721  119.92026772
    9.98173721  119.92026772  199.91299245   49.95360088    9.98173721]","[ 159.96062592   59.92225023   49.94882376   29.95293177   79.92642443
   39.98546768   89.9591077     9.98607421    0.           79.96307157]","[ 49.97787498  79.97347577  29.98303624  39.98712703  19.97030162
  99.90169021  39.97816409  59.95711606  29.96776295  49.96549618]","[ 29.98816744  29.95800519  39.99056972  49.96547147  79.96218904
  29.95755086  19.9690564   39.98211012  59.9667432   59.97373665]","[  49.92126227   79.94630717   59.9439791    29.9862879    49.97465475
  239.83083226   19.97307755   29.97163106   59.95668866    9.98775791]","[  9.98608346  59.97223258  99.93643936  29.97511329  29.98946258
  79.92591243  29.98191622  39.98924533  39.98419307  49.94698007]","[ 159.95461299   29.95452127   79.95415539   89.96565666   39.98068638
   29.9775499    39.98579152  289.91987035  349.77191438   39.98265996]","[ 19.97235171  19.97511747  69.97852     19.97188982  39.97878708
  29.96464548  49.94617059   9.98807871  29.99132093  59.90763857]","[  19.96918776    9.98539421  219.89668464  119.9418613    69.92505859
  279.92009073   79.92691893  209.9137272    49.94804407   19.96267743]","[  49.96053361    9.98019714   49.97163188   49.98586745   89.95238579
  149.9665743     9.98126672  209.887249     49.98511475   79.957131  ]"
"[  39.95849921   39.96751484  109.85192898  109.92569782  189.92546342
   59.97199269   79.93351925  189.92546343   59.97199269   69.95446704]","[   9.9792593    99.93623507   29.97630931    9.98486882   59.94849784
   49.94716283   99.94497263   29.95294347   79.92644855  139.91134311]","[  59.98876935   19.97208973  119.95008926  119.92688031   19.97984839
   39.97180585   19.96155412   29.99149061   19.97708742   29.95336763]","[ 119.96209077   69.9617467    99.97548555   19.98346624   99.93393875
  119.96794599   29.9831769    39.97418176   99.94585293  129.94647379]","[  39.95759468  169.84501176   89.95700644   19.97498825   29.95445603
   49.96161691   69.92530066   19.96911412   19.98394488   49.93331009]","[  49.96537052   69.93680623  109.94542461   19.98815817   89.95370662
   19.98289585   49.97261884    0.           39.95762584   39.96304061]","[  99.95443256   19.96625969  199.91886798   39.96742317  359.8052233
  109.94923204   19.96666818  119.85057956   39.93714644  109.97188008]","[ 119.87119512   89.93481985   19.97949553   69.95850295    9.98890068
   49.98111485    9.98062221   19.97434423   29.98659454   29.96867997]","[ 159.93950549   99.90585156  139.90480283   39.94119686   19.96918795
    9.98539414  219.89669589   39.96133193   59.9583313    49.95807992]","[  29.98933387   99.96357575   49.96930444   89.90955514   69.93843468
   39.96949488  219.9067125     9.98436898  219.85657993   29.97269237]"
"[  89.95444628   19.97003016   39.93336798    9.98626053   79.93443752
   39.94369037  119.92968043   39.94369038  119.92968043   89.95444627]","[  59.95822242   29.97690332   59.96155388   19.98330427  269.86433327
  259.84299337   39.98395499   59.9750747    39.98546768   89.95942032]","[ 109.96739545  109.89356011   69.97702579   79.97370334    9.99049145
   19.97276601   39.96801574   29.9646911    39.98316999   19.98001862]","[ 89.93221226   9.98717608  39.97774928  39.93602232  39.9912293
  19.97753041  69.90781547  19.97100698  19.99007249  49.98700921]","[ 99.96651481  29.97045258   9.98804134  59.91507509  89.96399059
  89.97534905  29.97086941  89.93468395  59.96784972  59.95862065]","[ 59.98795072  79.96112275  69.92945085  59.98635338  19.98213477
   9.98205916  49.97735013  69.97935789   0.          69.9544176 ]","[ 179.79763852   59.96598283  109.9364187    39.9458849    49.94474447
   29.98234304   89.95685426  109.93493257    9.98792672  249.82659027]","[ 19.97642071  19.97764105  39.98993466  19.98455148  79.97108042
   9.98659976  39.96994297  69.97443429  29.97625424  39.97733538]","[  29.95499174   69.92796428    0.           99.92103991   89.93605426
  119.86466663  189.81967964  119.94180458   79.96660262  339.86807891]","[  19.98527944   79.96186963   39.96021473  119.89471572   59.96540187
   99.90461259   69.97043702   89.95046593   49.97292504   99.94552471]"
"[  99.95937124   89.92665876  179.9511158     9.98626053   49.95884975
   79.9456966    19.96773143   49.95884973   79.9456966    99.95937124]","[  39.9611133    59.93301331  119.94536643   19.97543949   19.97041322
  119.87623581  169.92838455  309.87649157    9.98424033    9.97931217]","[  9.98116495  39.97479061  89.95013256  29.99069054  79.92763609
  29.98307386  39.98124228   9.98436927  59.93436497  59.97226935]","[  29.97120638   39.98473265   19.97084779  189.86417597   99.95794998
   69.94659265  169.92866049   19.96950276   99.91973678   39.97668093]","[  69.93814172   89.92782852   89.96067613   19.97553828  189.95188759
   39.97404854   49.96200943  259.86673112   49.95353804   39.94706401]","[  69.96108996   39.94285983   29.98197622   19.99302066    9.98140681
   29.97652169  129.91012397   49.97320949    9.98187507   99.95341445]","[ 119.92733542    0.          109.96428245   19.98707703   49.93951428
   29.94233143  159.91989131   39.93414662   79.92899187   69.95287244]","[ 19.98202197  49.97093525  69.96450293  39.97669961  19.98014124
  49.97396866  39.97340052  49.95575132  79.96810894  69.94056719]","[  59.94846923   39.95557146  159.88931597   39.96397108   69.97445189
  159.92875345  149.90645429  149.90395688   59.97381433  139.90337167]","[  49.95809468   79.91222644  129.92445053   49.98203494   69.94787488
  139.94281178  169.93333332    9.97930473  129.95955674    9.98211   ]"
"[   9.98010117   29.9722518     9.98610797   99.89490997  119.95392604
   29.96535162   89.92078078   19.9677911   119.95392604   29.96535162]","[  19.97236227  259.91762619   69.97026531  119.87622951  169.92851266
   59.95347531   49.94206215   89.94029401   79.93244759   19.99439154]","[ 29.9874185   39.98042611  19.98602637  19.99187744  59.98156075
  19.9693429   19.96548937   9.98115607  29.96664798  39.97059785]","[  9.98929504  69.97607517  39.97934425   0.          39.98307064
   9.98686373  49.93254144  39.98344307  29.97257142  29.97158463]","[  59.96940096   79.95416404   79.97217276   79.95115431   89.94404761
    9.98234104   99.91708408   59.96901328  119.92380427   29.97197439]","[  29.98055012   39.95985119   59.9867583    79.94811737   39.97207412
  119.84231018   29.97968328   49.98676617   29.98338148   49.95837641]","[ 109.9621236   189.87582327   29.98099882   79.9403253   199.90898843
    0.           29.9682813    39.96081451   59.96135974  109.9215867 ]","[ 39.97846002  69.97360168  29.98692953  69.96979473  19.96644276
  19.9668038    9.98900637  79.93517032  19.97978494   0.        ]","[  39.94681576  319.84697294  169.89997649   49.9405687    99.92129004
   39.95757613  139.88743914   29.95574406   89.95776071  229.86198502]","[ 29.96083606   0.          49.96554796  29.98767139   0.          29.98698196
  49.96190314   9.98153583  59.93272547  59.9581025 ]"
"[  89.92153362   89.9710632    79.96945214   19.96981961   19.97873953
  269.89718083   99.89602569  269.89718093   89.9710632    79.96945214]","[  59.95352776   49.94214209   89.94031845   79.93251628  329.81235469
  199.88147383  119.9682183    39.95811144   79.96380409  109.89830433]","[ 49.97072997  39.97733686  29.97029565  39.97983083  39.95187523
  89.96988423  59.95775987   9.98268799  39.99210068  59.97832011]","[  49.98516376   19.98043309   19.96740302  129.94500654   29.98155665
   79.96397867   69.93660193   39.95033274   39.97669914   29.97120517]","[  69.92990255   49.97873854    9.98598983   89.95353691   39.97623174
   29.96237053   69.93092763  129.92294143   19.98031842   59.94298017]","[ 59.95625505  39.97890067  49.97495989  29.96108444  19.97349317
  19.97918349  49.97506493  79.97967275  19.98585406  79.93708105]","[  79.91755259   39.95740971   49.96588137   89.96637762  109.93360299
   19.96999464   29.96290774   19.98939567   69.9786762    89.93932538]","[ 29.95775205  29.98676722  79.94944358  89.94945052  49.97869454
  59.96814898  49.97777653  19.96724307  39.98667344  19.96996457]","[ 129.89175285   89.91111176  159.83780034   89.95626679   49.95019197
   19.95866888   19.95953212   49.93134628   39.95170868   99.94933474]","[  29.95809802    0.            9.98369916    9.97914587   29.96438716
   49.9796534    39.97328804   49.98129354   29.97128166  319.92409836]"
