trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 949.68855341  999.72611148  369.90991269  949.6319231   819.80434846
  889.71109638  999.6968561   959.71229189  999.59701248  999.66520277]","[  99.9524994   119.92662484   29.97556307   19.97210254   29.95912612
   49.94370437   69.96131344    9.9794784   159.87206232   29.95008294]","[  59.91611903  149.9716029   149.97685749    9.99038869   69.91431884
   89.94012614  119.95350907    9.9832725    49.94448932  249.87590055]","[ 249.9066806    69.90070376   79.96244197   79.92515221   39.96948611
  139.95609563   59.9251133    69.93532085  269.88939907   49.94937188]","[ 239.82425224  109.95366875   79.95105173  129.93042023   79.95739675
  169.92859668  189.90616028   89.95085378   59.935347     29.97506517]","[ 189.79802815   29.97294563   29.97317016  139.94311857  149.92742241
   29.9646047    19.97793692   59.95816575   49.95953452   39.94266374]","[ 409.80340772   49.96848348   99.90610651   99.95351086   69.8994552
  319.8546106   199.84605213  169.94916177   59.9238968    19.97123347]","[  69.92648587   49.92872988   99.93047294  119.95710626   19.97875577
   79.94444144   79.90005696   39.97449438  169.8849446   169.88800317]","[  39.9580696   109.92461647  169.88873555   39.9475473    59.93795913
  259.85266564  199.7692319    99.87676987  279.82958681  469.91370523]","[ 199.91971027  229.826221     29.99094051  249.89813289   69.96439648
    9.9803077     9.98790044  269.77477618  179.89932957  269.83153006]"
"[ 879.73725348  999.82128663  809.77002911  899.78617868  999.67269498
  979.7646649   909.65108088  999.60655503  829.55437081    9.98029475]","[   0.          399.88795759   49.97047972  119.87549192  219.80511525
  119.95163934   69.88947183   19.97567031   69.93585878   29.96185669]","[  39.96411478   89.90682029   59.9299384    49.95733471   49.9622259
  149.87131245    9.98782094   49.96306246   99.97101202  169.91721956]","[  49.913672    239.79576017   39.98808969   29.9780559   109.9489134
  149.92158101  109.94227548   69.95577086   89.95936322  119.94474854]","[   9.98466393   59.96538056  259.82610963    9.98095364   79.98621749
  279.89319868   49.97763276  209.87787109  199.84632141   69.97046501]","[ 339.85218258   99.94879003   39.94688123  139.90228139  129.87746372
  129.86166009  389.82400097  209.88150265  129.94661701   19.97554437]","[  69.93372871  129.96112496   69.94746857  229.92784357   29.96101435
   19.9754681    89.96720416  279.86477936  119.87360842   69.97104132]","[  89.94404827   49.95837693   49.93576114   49.97528022  129.88421882
   89.88946981  139.92109415   79.9379817     9.98590452    0.        ]","[ 139.8975514   269.88091924  159.93829913   59.96096453   69.94471763
  119.90851471   19.97207527   59.942092     99.94157639   49.94597441]","[ 139.97356154   69.9170564    99.92044669   19.97811708   99.95634713
   29.9638111    29.96142767  159.94019624    9.98693879   79.98103078]"
"[ 999.77414504   19.97211135  999.75730355  999.75035336  759.66421326
  869.69908263   49.91498752    0.          999.78528962  999.75714158]","[ 109.91782201   39.94905218   69.94370019    9.98426624   59.9615946
  149.89929876  149.95859589   89.9427253    49.962109    119.89303141]","[ 129.92711307    9.98528744  109.96697845  119.85921688   99.95063373
  109.949998     79.90006487   69.93957692  159.88696401  259.81836706]","[ 119.9471775    29.95043655   79.96736217   59.9100164    89.95031973
  219.85147985   49.94065107  129.84778007   19.96909532   49.96232721]","[ 139.94071836   29.95971896   29.94657431   49.97277183   69.96202133
   19.96930195  159.910705     49.95768235    9.98076094   69.93984818]","[  49.92923384   19.96374654  119.83305697  169.8532854   129.85345202
  149.90976838  309.79741745   49.93974417   69.93817265   79.97709821]","[  99.94264257  159.89135446  239.92643642   99.93567897   59.95409962
  159.89445977   49.95411243   89.92038105   29.97516608  189.79844257]","[  39.971185     39.97880914  199.92543916  129.91254987   49.967495
   89.90367226   89.97058036   39.96406655   39.97512927   89.9642868 ]","[  69.96058184   39.96532685   59.96908343   79.93230031   39.93991626
  339.82923491   69.94311447   69.90500825  319.85430326  139.87106721]","[ 129.95480104   19.96212009   39.95215086   49.95170307    9.97998295
   19.98063853  129.96668908   89.94048601    9.98339785   49.95631655]"
"[ 809.71691369   19.97298833  999.68565513  999.69864361  839.69573246
  999.64619281  999.84664484  329.7483813   809.77382172  959.53723488]","[  19.96653456   19.97216982  249.85721921  299.87782406   49.94822915
  139.94610176  139.83636403   79.92315808  279.86474572  319.88005266]","[ 189.88508337   69.95265769  269.92208329  179.87808745   69.95784903
   29.96012348  159.78585847   49.93760014   19.99187515  129.89588542]","[  49.93705842    0.          269.84675444   29.98312356   49.93487655
   19.96854933   49.97378914  209.8711645    69.96106933    9.98089729]","[  29.94751683  509.86367387  229.90130573   19.98182738  289.8910828
   69.95729195   69.93940858   29.94516606   69.95834332  109.95204957]","[ 209.91699692  149.84693318   29.95378489  199.8874799   229.92526684
  259.78404648   49.92038819   69.93743844   49.95264699   89.95455501]","[ 149.91523345  129.91943018  149.93904826  159.95045983   29.97237654
  189.96083301  399.83704009  149.87268737   19.96552758    9.98363097]","[ 179.92423222   69.8975171   109.92035706   99.95761368  129.92588181
  109.96131386   59.96406804  109.88243028   89.97036226  139.94285186]","[ 179.92336026   99.89201256   19.97557452   29.97121605   29.96072802
  599.82566542  129.83419947   19.97605554  299.89465404  109.9529576 ]","[ 209.93653778   99.92316679   49.94422788  229.81682762  149.84132506
  159.92572965  199.87451197   19.96556167  259.95231232   49.92984049]"
"[ 759.71684296  939.53172896  909.85677158  749.76060521  939.66383636
  149.88319794  949.55780033    9.98031547  869.82542232  999.68180089]","[  29.9653969   479.80622291    9.9828231   219.8797333     9.98324654
    9.98306191   59.97472147   19.96805739   59.91021632    9.98140467]","[  79.90681736    9.98159645   49.96655641  169.93017756   79.93333879
  309.85481479    9.98716847   59.95639264  179.90140483   19.97238813]","[ 119.91527046  209.84770884   89.92947074   39.95968631   79.93982829
    9.98256233  269.88462738   19.97846076  219.86591378   39.93712056]","[   9.98854306  209.92987348   79.96527071   49.98011062   89.92783585
  129.92203154  289.87613716  129.92683463  229.81497572   39.97353518]","[  19.97310823  159.8547789    49.92994871  209.91626659  209.91877626
  149.95216045  239.92036744   59.95899976   79.97259574    9.98085832]","[ 209.95310186  219.8278981   219.87123889    9.98419981   39.95314267
   49.95441734   89.92998568   39.94894378  129.8656442    79.95098034]","[  89.9249477     9.98924765  159.84368374  129.93676549   79.93560659
  389.81715999    9.98238907  169.85191222   29.98933482   79.9165891 ]","[  39.97282118  239.91379097   79.93951367  129.89857741   69.91301922
  249.9405008   109.94069804   29.97421575   29.96335588   39.96908361]","[ 109.91821093   59.94997606  119.85880027   39.96793758   59.95181835
  129.90948567   49.91611254   79.97100983  119.92718083  169.90055822]"
"[ 999.78015704  899.47697301  899.76705692  929.75782073  859.60163842
  759.66562418  999.69653257  789.7839765   999.84123037  839.80478064]","[  89.92012818  219.82495801  189.91815948   69.9179345   289.88167844
  119.95073946  199.87708238   19.9678432   169.90607487   39.96789814]","[  29.97394078   99.96258256   59.92536772   29.97487978   79.95692122
   69.96279802   49.95376746   39.98274455  109.94876223  189.88672861]","[   9.98728776  219.92699842   59.96622157   39.9838783    29.95369353
   89.88129146    9.98790672  219.81035809   29.95733303   49.96251551]","[   0.          269.8741059    19.96828188  149.9554735    79.95551963
   39.97666219  119.93354003  199.95023243  529.84170979   29.96502503]","[ 229.90379534  179.86026679   49.95313057    0.          169.83483603
   29.96161059   69.96613172  119.92252542    9.98198723   39.96719808]","[ 339.86084513  259.84694933  209.86599605   49.97536729   69.94609684
    9.98717913  319.92632668  119.91838369  139.96607881   39.97458631]","[  29.97091931  249.87106235   69.95965034   49.95881396  299.86524724
   89.94698001   39.94649495   89.96071819   39.95330924   29.97780365]","[ 199.85612577  209.87361745   39.9527081    29.95928232  129.92382124
  209.81552718   59.95941761   79.89815518  109.94040986  209.8605273 ]","[  79.9721063   259.82218346  119.91801657   69.89351207  169.9182486
   49.97282534  519.71964377   69.95866879  229.85868284  259.76242101]"
"[ 729.59665183  759.71659838  129.9626191   659.75116883  999.79922145
  999.70300454  509.58200616  719.5866234   769.75627354  999.79368595]","[  49.94908877   59.96210945   19.96939646  169.86003589   29.94540266
   29.96427049  139.91575225   59.93227823   49.98070739   89.93735688]","[ 299.88899622   89.94321942   79.96113274  209.94901317   89.95482647
   89.90419764  219.84707568   59.94132771  199.87838011   59.96899972]","[ 369.897087    109.94861159  399.75385977  309.89791141  109.92307091
   49.97033517   59.92250099   79.9652117   219.95002968  169.89599005]","[ 139.92069989   59.93035171   69.93983779  319.83192832   19.97458128
    9.9824444    99.95908419  109.94534359   49.95170321  129.91128622]","[  79.92007935    9.98661956  109.89342394  319.73229385   79.92090877
  139.9016371   309.9080063   269.90407427   99.90018173   29.95381191]","[ 139.88211808   59.96525088   39.95512868  229.90169475   49.9586198
  249.83365569   19.9812027   229.95457117  269.87707563   99.94227369]","[ 469.80261568  179.90178177   69.927646     29.96057722   59.94804756
    0.          249.77529833    9.9815226   109.94442712  299.85379091]","[ 319.86065394  129.93786135   99.89544823  209.88220365  179.92048647
   29.96881506   79.97682682   89.91931223   89.97934644  199.87888785]","[ 249.87252538  139.85956062  249.91437213  149.84964947  189.93094295
   89.97698819   79.93920022  119.91615145  159.93292621   69.91705763]"
"[ 769.80904261  999.6355423   999.83525368  749.80011539  169.9133533
  909.80393732  639.75986683  989.79536193  749.81676387  999.70049035]","[  39.9871965   339.82435277   19.97347864   59.96535616   69.94981941
  159.84509021   29.97375454   49.96521238   29.95050987  289.92467014]","[  49.96307417   79.9666201   109.87203337  169.9428088    69.90803973
  259.85798034   29.97636512  179.93691095  249.92403932  119.89287015]","[ 39.96159022  79.95179313   0.          69.97983788  29.96040882
  79.93568729   0.           9.99161316  29.96055145  89.93649975]","[ 249.83877626   69.94226474  109.9257552   139.94451179   39.97448049
  259.85656384   49.97599765   99.92834448   79.92912658   59.95986115]","[ 359.91262951   79.94167269  149.79810839   79.89415607    9.98562407
   19.97290802  149.93387734  169.91714716   79.96056897   89.93763316]","[ 209.861538    109.9410439   159.88471278   49.97217942  109.89367416
  119.95301417   39.95077539  189.85090061    0.           19.97350692]","[  49.95325022   19.97099354   39.96136185  179.87471023   49.97937995
   69.94137569    9.98007832   19.96481822   29.9519506    49.97156282]","[  29.96588698   39.94029533   29.95051924   69.93137212    0.            9.9888018
    9.98950353  139.95955281  149.91951809  159.92134323]","[  99.90279709   69.92131676   89.93858997   69.9841538   209.9441946
  289.80487003   19.96894865  109.87952783  259.84457036   69.9626547 ]"
"[ 849.6761202   849.80271003  739.81123454  779.66537907  859.83049198
  759.69846828  689.72257862  839.73843203    0.          919.77296857]","[ 329.91505137  209.89920245  169.86086355   59.97635534   99.93148753
  129.88844672   69.95623973  319.79137626   59.91334205   69.92417631]","[  69.93641654   89.97036786  139.87339678   79.93613691   89.93529998
   99.90907175   69.96818024    0.           99.9638143    29.96504754]","[   9.98385839  129.94514128  119.94277762  279.95636516   39.97257443
   49.94385938  299.87709701   59.94683775   19.97228553  129.90899011]","[  89.97392246  219.92219292   49.96795487  119.93576215  109.9243279
   49.97446876  289.87229782   49.95216102   79.91046162  129.89671033]","[ 139.90705581  189.90275968  259.84410514  109.87197982   39.9546714
  369.82086422  109.91438292    9.98324435  149.88506334   59.93388811]","[   9.98066208  229.89670863   79.95659695   49.95056681  109.92139668
   69.91189873   69.96787516  389.89849106  229.89803812   29.98758507]","[   9.97978638   49.95009104   79.93272699   59.97674806   19.9787262
  329.76485592   89.97610992   89.95993254  209.90489428    9.98643859]","[ 139.91890707   39.97979652  209.83253035   49.95273931  239.7164186
  189.93767836   49.95544806  179.86391384  239.91562938   49.96408887]","[ 219.83898184  209.87013835   69.96247271  359.78131558  369.84617783
  159.86557956  149.91293879   19.97223219   69.90009087  279.89706425]"
"[ 129.93135012  789.56091986  729.80252996  699.75393915  789.78299276
  499.64614147  739.79323122  419.71930946  939.77661378  919.79661915]","[ 199.93571306  219.92910859   89.93589112    9.98262615  129.90692183
  219.87162733  229.89189548   29.97308431  129.82112309  239.90329423]","[ 149.93332647  119.91048759  159.91222828   19.96860657   59.95403913
   79.89122165   59.94580975   39.95707083   19.96783606   69.94232835]","[ 159.91268231  159.81012273   39.94433767   29.97815824  109.9646336
   69.96673773   29.94274897   59.95276304  119.96624282   79.91589899]","[ 259.84172577   19.98033985  139.94004949  159.92626186  109.84214816
  129.94334783   59.95797733   79.96609657  269.85612528  239.90477623]","[  69.92694275    9.97964504  349.78148694   39.96098533   39.9566836
   59.97429652  109.9127594    79.9346498   289.9284702    69.94589886]","[ 179.83795989   29.95548611  109.88704458  439.75470524  329.91229277
    0.          169.88843242   39.94544715  419.90584294  129.91854161]","[ 129.96641871   79.91414477  179.87579041   39.94754364  159.92310069
   59.97110588   29.96722917   29.96812889   29.97870289   99.9183204 ]","[  49.9669146    49.92402136    9.98670419  169.91549944   79.96829054
  179.93080969  209.8721618    69.95345814   49.95568868   59.94845288]","[  99.96591474   59.93412631  219.94859481  299.85333782   79.90250152
   69.937629    199.93595455   59.96646373  139.91540951  209.92444288]"
