nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
319.0,52,126.0,31.0,70,204.0,82.0,333.0,227.0,44.0
38.0,79,160.0,86.0,125,60.0,53.0,23.0,20.0,55.0
189.0,45,13.0,58.0,28,82.0,65.0,17.0,26.0,25.0
77.0,55,6.0,52.0,15,16.0,13.0,37.0,18.0,30.0
22.0,21,67.0,34.0,35,5.0,107.0,21.0,30.0,41.0
1.0,24,32.0,37.0,19,6.0,21.0,4.0,4.0,72.0
4.0,9,6.0,16.0,18,2.0,22.0,0.0,6.0,77.0
4.0,6,15.0,24.0,11,2.0,11.0,4.0,16.0,2.0
0.0,19,11.0,31.0,10,2.0,9.0,9.0,20.0,6.0
2.0,2,4.0,9.0,6,4.0,1.0,4.0,0.0,3.0
1.0,22,6.0,10.0,1,0.0,5.0,2.0,12.0,2.0
2.0,2,2.0,7.0,1,0.0,1.0,3.0,5.0,4.0
0.0,0,2.0,14.0,4,0.0,3.0,0.0,11.0,0.0
6.0,2,3.0,2.0,1,0.0,4.0,0.0,1.0,4.0
1.0,2,5.0,0.0,1,0.0,2.0,0.0,0.0,0.0
0.0,2,1.0,2.0,1,0.0,0.0,0.0,7.0,1.0
1.0,1,2.0,4.0,1,0.0,1.0,1.0,0.0,0.0
3.0,1,1.0,4.0,1,0.0,1.0,1.0,0.0,4.0
2.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
2.0,0,1.0,1.0,0,0.0,2.0,0.0,0.0,2.0
1.0,0,1.0,2.0,0,0.0,1.0,0.0,0.0,0.0
1.0,0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0
1.0,1,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
0.0,0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
0.0,1,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0
0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
1.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,1,0.0,1.0,0,0.0,0.0,2.0,0.0,0.0
,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
,0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
,0,0.0,2.0,0,0.0,0.0,0.0,1.0,0.0
,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0
,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,0,,1.0,0,0.0,0.0,0.0,0.0,0.0
,0,,2.0,0,0.0,0.0,,0.0,0.0
,0,,1.0,0,0.0,1.0,,0.0,0.0
,1,,0.0,0,0.0,0.0,,0.0,0.0
,0,,,2,0.0,0.0,,0.0,0.0
,1,,,1,0.0,0.0,,0.0,0.0
,0,,,0,0.0,0.0,,,0.0
,0,,,0,1.0,,,,0.0
,0,,,0,0.0,,,,0.0
,0,,,0,,,,,0.0
,0,,,0,,,,,
,0,,,0,,,,,
