rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 11.38312208  11.23834106  15.41944572   4.82902306  11.38312208
  11.38312208  11.23834106   9.82384497  15.41944572  11.23834106]","[  1.02570176 -11.6662066   -6.42024034   4.40391794 -14.10213994
  -0.19906209  -4.09785977  -6.57082942 -18.62402967  -7.35605398]","[ 5.52353084  3.68956434  0.91556711  4.68610022  1.69748143  0.5538251
 -2.40988747 -0.52337173 -3.24084267  4.52897521]","[  2.51068102 -12.83746681  -1.3626801    2.14089166  -6.70317098
  -3.03610959 -11.49406496  -2.43339395  -9.84685556 -10.51322111]","[ 26.82089762  24.03620043  21.34906198  26.77028185  25.95733078
  18.98282804  20.2964011   16.61990257  22.89898777  18.05484549]"
"[  4.83136743  10.60132149   1.46278097   9.4978123    9.4978123
   9.29631818  10.60132149   7.72468204   1.46278097   9.4978123 ]","[-12.28068212   2.49584415  -7.45632626 -12.93011006  -1.94904607
  -2.25701617  -6.45148986  -6.79865001  -8.79369097  -7.48903101]","[ 3.69332348 -7.75255651 -2.01225489 -0.27300257  4.7483175  -5.60089025
  1.48621188  0.5905476   4.60112328 -0.86576554]","[  2.69935961  -1.57490313  -7.16906126   3.18960748  -0.58924743
  -7.86205804  -2.52301928   5.29288879  -3.55479783 -11.21274689]","[ 24.63846744  15.20272706  23.35777139  17.43249778  24.68452111
  20.78065851  20.61168885  16.39092497  21.29399508  20.30459838]"
"[  6.69139867  11.97386412  17.84474238  12.34940912  17.84474238
  12.34940912   9.98741203  17.84474238   6.97533508   6.13934582]","[  7.09990332  -6.2912809   -6.0955082   -6.67140106   2.07160133
 -11.84625315  -6.75897081  -2.29218172   0.361326     3.91295336]","[-0.40755777  2.55593271 -2.35286886  0.26108461 -1.33769558 -3.04214995
 -1.97849299 -0.42420928 -0.52145562  1.37595755]","[ -3.78280913   1.75842263  -6.41103128   1.53305517 -12.41372747
  -9.40050865  -4.62808929   1.74490719 -12.81543269  -7.3244889 ]","[ 23.3921063   20.36179467  23.81329575  17.9003372   24.35120324
  17.11411544  31.16189966  26.55105974  19.81996773  15.50557732]"
"[  9.80005924  22.56034062  11.31611306   5.81831949   8.13126479
   9.80005924   5.81831949   6.83804417  11.31611306   5.81831949]","[-11.7377584   -3.7092371   -1.42684445  -6.23178245  -9.62119272
  -1.29807311   2.68228446   1.64111178   7.65629036  -2.23106525]","[-6.25096025 -1.68315935  3.67279391  2.94871186 -0.24122187 -4.0138237
  0.47347885 -4.62695248 -0.04379657  4.64011254]","[ -0.81997391  -9.19324221  -3.55019503  -6.04666593   0.35393989
  -7.86292565 -12.15417412  -2.81573734  -7.98066211   0.41280508]","[ 27.88687928  20.09240525  26.7974736   28.64572845  26.59322944
  31.21194654  25.84103509  19.22941117  18.47005372  27.48530515]"
"[ 14.76327915  11.62298667  15.57884255  14.89240698  15.57884255
  14.89240698  14.76327915  11.62298667   8.55395914  15.57884255]","[  9.95814153  -5.08009357 -19.38795824 -11.27573435   2.42851256
   4.46529389   4.59944361   4.94313509 -10.02459438 -16.26134499]","[-3.73265038 -0.11130086 -3.28856643  4.46552051 -3.07301209 -0.5325218
  1.90691367  0.29344185 -4.59936416 -7.28683137]","[ -4.98751104  -7.54206741  -6.33407695 -12.01344765 -10.89068624
  -6.50091384 -12.39283224  -3.10633747 -14.00223199 -10.42615061]","[ 21.26695399  22.60517435  20.74218198  28.60734879  24.23424984
  26.0296286   20.99760946  19.62180826  26.05467969  23.69943741]"
"[ 15.509546    18.04976913  22.15775072  22.24805416  20.28513019
  17.70044397  21.9563988   16.70692864  21.9563988   16.70692864]","[-1.05171583 -0.9633645  -5.10706608 -0.92026875 -5.44064578 -4.98205717
 -4.22917845  5.23628668  5.15552638  6.62227629]","[-1.28972207  0.03881744  3.17265988  2.19341891  2.97764925 -1.52320319
 -4.53742497 -2.21289744  0.17521026  8.99991305]","[-10.51478898  -2.7156148   -1.16594578  -6.91611087   1.65007523
 -11.83120812  -2.59999751  -7.98792889   3.80321512 -12.70647399]","[ 26.49226791  19.55606031  30.54312503  22.93717168  25.86989166
  27.65054919  21.37898741  24.29820228  26.49568202  24.43893199]"
"[ 19.81480616  23.17886933  18.34222913  21.26406531  22.39487911
  21.25086718  18.34222913  21.26406531  23.17886933  20.10584662]","[ -8.69424339   1.39521084 -12.19284439   0.3040278   -0.13291185
   3.66348743  -2.07080428 -11.12793894 -14.83556386  -5.6264517 ]","[ 4.09172096  1.6266142  -2.90436526 -5.9921624   4.17097242  5.98582084
 -6.76574649  0.58322571 -0.58110843  2.20242076]","[ -1.03344124   0.18169535  -1.97720981 -12.04742278  -3.05099871
  -7.20840404 -12.49378231  -0.85502998  -2.75162328  -8.42230838]","[ 31.97592008  26.81078778  16.28618975  27.7444798   19.6901798
  26.01772915  25.97732484  20.23590433  22.79692846  27.57333111]"
"[ 21.15209034  17.08267181  22.91996398  21.15209034  17.08267181
  20.39054432  19.90817841  22.88325199  20.89025897   9.80381935]","[  1.18139909   1.80150291 -15.02059885  -9.99331612  -0.66861345
  -8.04860365 -12.17389258  -0.16688149  -6.2968417   -1.87547273]","[ 2.78706535 -3.79067735 -2.72133884 -1.60207405 -7.24894726 -0.77930655
 -1.30590834 -2.38112854  3.47210773 -5.73804318]","[ -0.69896724  -9.93984774 -18.34554913  -6.2324781  -10.16772623
 -12.13359856   2.569407   -11.14810941  -9.54952157  -9.18829202]","[ 29.56394045  17.59911987  24.02785744  26.76057379  22.58413029
  20.82471331  26.0554185   22.44460763  24.9126096   28.6825405 ]"
"[ 26.46909826  24.97312374  21.70654719  22.97740632  22.72512057
  24.78229873  24.78229873  24.90791294  21.70654719  22.97740632]","[-15.64204401 -11.14418188  -6.66939272   0.02759482  -5.83991309
  -9.71735127 -11.73986609  10.84432066 -13.26963434  -0.44867836]","[-6.16341035  2.8788113   0.09472202  2.97360169 -3.38359909 -1.89737221
 -2.0572278   1.95791129  0.71729492 -1.22600637]","[ -5.56020863 -15.92321878  -2.58542348 -11.10798117   4.0359361
  -4.53876158 -14.32266395   1.09133929  -8.94330262 -14.58985462]","[ 25.91881839  24.26900303  28.23097455  26.10113163  21.08669409
  24.71307201  21.08720558  21.71666695  20.41994159  28.20934187]"
"[ 26.37921759  20.53016233  26.37921759  20.53016233  25.55612869
  27.76843551  25.55612869  27.76843551  25.28733999  26.37921759]","[ -4.20994095 -11.42468372 -12.19423882  -1.41918908  -1.20394126
 -11.17017388  -3.64392319  -6.14639275   2.24793475  -5.06362393]","[ 0.34536601  3.86673935 -7.03519587  0.56995533  0.51976295  0.90718371
 -5.47275733  0.79975963 -2.41493094 -2.25707157]","[-12.41008483  -7.97988998 -10.06041659  -0.80644809 -14.14509884
   7.21652852  -2.95773942 -12.91107499  -8.76570795  -0.41749729]","[ 19.90409608  19.4684097   25.10727781  21.73177189  23.33697996
  18.90190662  19.69758288  18.41106443  27.70697564  25.94275824]"
"[ 27.93567612  26.97887487  23.18565794  26.30265781  25.65321357
  22.55683672  23.18565794  26.30265781  27.93567612  26.97887487]","[ -1.94176947  -2.6394156   -3.07500713   3.91963766  -3.79829155
 -16.22530676 -10.58164083 -15.00356852  -9.31430878  -8.42623198]","[-1.04427477 -1.54717606 -4.35989438  0.11124429 -7.60563699  5.63628387
  6.05846114  5.57470666  0.82414631 -7.13468487]","[ -1.98252024 -12.87176761 -10.84595813  -6.20010594 -10.12552822
 -13.96908564  -2.41031191 -13.77196159  -9.42017017 -11.68391567]","[ 21.34432674  23.34373864  17.83825961  24.09237807  24.42998007
  25.28221909  25.7890872   25.30861525  22.33987968  24.90730253]"
"[ 30.8328408   27.30900179  30.69386415  28.60003276  27.30900179
  27.80246872  27.30900179  27.80246872  29.73884299  22.73301714]","[-12.59353216  -1.75761291  -3.72485499   5.44428384 -12.07416261
  -7.87341857 -11.41432185  -5.95561418  -9.80980534 -12.51092568]","[ 1.51095969  3.0001977  -4.57820402 -1.76321658 -4.74770506 -4.86231709
 -4.01326579  3.42730812 -1.8056236   1.35354466]","[ -4.06511705  -5.48115666  -8.00678261   1.38294939 -14.22077808
  -9.02181622   1.49126595 -11.42692869 -11.46643812 -10.47408786]","[ 25.02791043  30.53965702  31.90000504  29.88535451  19.64702768
  18.38633711  28.77998348  24.46897693  29.18609943  23.09226395]"
"[ 26.37700524  20.42637909  26.62271709  35.14776554  23.92415252
  21.90990702  33.67799405  21.90990702  22.68082961  32.54626074]","[-11.6260482   -2.87397898  -2.5468035  -12.17896273  -1.09629415
  -4.35069731 -11.57297105  -1.40658115  -1.00667998   6.20333499]","[-0.94433267 -0.92280012 -4.51518005  2.90575354 -8.82829927 -4.31383029
  0.19162278  6.56959772  0.83857334 -1.19365458]","[ -4.76410321  -9.47053583  -3.78137364  -7.44153343  -6.91496729
  -4.39618324 -13.68043062   1.03490306  -2.06609265 -11.31726757]","[ 25.27156843  30.61612125  21.4477434   23.2033838   32.76535148
  25.28150736  26.25259252  28.46201076  24.00272527  26.13543888]"
"[ 35.47209158  30.08855242  23.18099442  18.72569142  24.68486255
  23.18099442  18.72569142  35.47209158  30.08855242  25.61432893]","[ -8.19730385  -9.08981396   1.2278127  -11.96927398   7.34379436
  -6.00539993  -4.78074739  -6.9249357   -0.02813939 -11.33104922]","[-5.43620738  5.4614996   2.84635686 -2.09521285 -1.27437396 -2.62017499
  4.43749993 -9.71914821  6.65352401 -3.24439153]","[ -6.91911654  -6.23342433  -6.36512548  -2.28472591 -10.43922184
   1.72518261 -14.69599395  -6.04636099  -6.39765506 -12.59667491]","[ 28.43528804  29.23100492  28.77570826  28.58997395  29.46668063
  31.23214862  31.23452194  21.50669612  28.72000415  20.95263164]"
"[ 39.90359161  31.07737676  32.47618858  31.49888981  39.90359161
  31.07737676  34.66550474  36.7434444   26.09055643  39.90359161]","[ -2.15820796  -4.46935537  -2.33615568  -1.08812171  -8.91288526
  -1.25549047   1.00199428   4.51897078  -1.60200978 -12.16763815]","[ 0.97265027  3.69166241 -0.70890562 -4.79814939 -4.51693115  1.58541782
 -5.83082447 -3.22718633 -1.2127483   3.95929534]","[ -6.46506337  -6.37788639  -7.74361717 -13.38420415 -13.43368     -6.62839526
   0.10837379  -2.72654866   0.5844941   -7.91865113]","[ 33.75583249  22.93915719  28.39203581  31.11533546  28.38047093
  30.13937031  25.96264816  27.20127701  26.76848809  29.65794918]"
