trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 89.92658373  29.97582866  19.97321439  49.97802344  89.92658373
  29.97582866  19.97321439  49.97802344  89.92658373  29.97582866]","[ 29.98437903  19.97986636  39.98104492  59.95768869  19.98139629
  39.98004579  19.98447369   9.98334273  89.93255336  19.98139629]","[ 29.99068598  19.98122744  19.98196715   9.9887635   49.98507142
  29.96550262  19.99057335  59.95507343  19.98010006  39.9887502 ]","[ 59.96928815  29.9761066   29.98769383  59.988219    49.96753673
  69.96510502  19.9731721    9.98657659  79.96635778  29.97615884]","[  9.99094606   0.          39.98280283  29.98012823  89.93772051
  19.98630084  39.96381461  19.97900334  29.97706462  39.9781332 ]","[  89.93518329  109.97439716   19.99149015   39.99139386   29.96547295
   49.98672882   49.98174225   19.98002571   49.97942491   19.98576586]","[ 89.96724305  19.9808433   29.97444569   9.98476051  89.96724304
  19.9808433   29.97444569  49.96918956  39.98142965  29.96303807]","[ 19.98881746  59.97051865  59.98555697  99.95406003  39.97293069
  19.97099567   9.98517472  19.97813927   0.          19.98881746]","[ 29.97760376  49.98714508  89.87592572  19.9847012   39.97490463
   9.98832928  29.97500711   9.9816287   59.97299095  69.96441229]","[ 29.97803994   9.98504189  59.94843248   9.98628425  29.98902417
  19.98249657  19.98760847  69.9773674    9.98312551  29.97588968]"
"[ 39.9797506   49.91692425  19.98613064  59.97029781  49.97802344
  39.9797506   49.91692425  39.9797506   49.91692425  19.98613064]","[  19.97926028   59.96781127   19.97426465   19.96956363  109.96668847
    9.97933387   39.97410814    9.98337019   89.93745536   39.97356372]","[ 99.95151209  49.9418805   19.99056392  39.98963782  19.98239314
  69.97910636  29.9666649   19.97056173  99.98657998  29.99067431]","[ 129.94452066   99.97079811   39.99184965  119.97744732   19.98497525
   29.98237583   29.97697955   29.97009716   29.98438289   29.96381405]","[ 39.98133992  59.9599189   69.97893061   0.          89.97523728
  49.97836979  29.98585633   9.98808056  49.96756587  59.97594788]","[ 149.93115509   19.96907532   59.96164644    9.98910155    9.98629976
   19.98898531   19.97765997   59.9815674    29.97430186   19.99037752]","[  9.98476051  59.96764491  59.96514739  69.95334852  59.96764491
  59.96514739  69.95334852   9.98995414  49.9793689   29.98602512]","[  39.97324138   59.96198903   59.98482334   39.98479758   59.9679428
   49.96023852   19.98841102   69.98552501  169.95113998   39.98479758]","[ 29.9715405   79.9465368   49.98452442  19.97638875  99.95650455
   9.98190691  49.97957301  39.97000745  49.9659118   59.96002499]","[ 59.94976362  39.98614421  29.97691377   9.9867715   59.97704275
  29.97068516  79.95282325  29.97808565  29.9826614   49.98085071]"
"[ 49.91665169  19.98613063  59.97051443  59.97051443  19.98507913
  19.96495271  19.98613064  59.97051443  19.98507913  19.98507913]","[ 69.9453166    9.98831661  49.98207066  39.96228065  69.97636378
  69.94531661   9.98831662  49.98207066  39.96228065  49.98481124]","[ 49.98623608  49.96907693  49.98307018  39.97189486  29.99332553
  29.96785571  19.98407939  49.95999491  29.98427206  19.97284291]","[  29.99392886   19.97981513   19.98707358  149.96529269   49.97283601
   39.98678352   49.98776311   39.97839348   59.97690673    9.98650745]","[ 59.97927243  19.96677927   9.98404017  69.93577619  59.96131073
   9.98521141  19.97978905   9.99202399   9.98279893  29.9731287 ]","[ 49.97915253  39.97906073  19.97237253  39.95336277  19.96967035
  49.98879325  39.98567146  39.96945324  39.9857443   49.97421192]","[ 39.98769208  39.98576416  19.99037917  29.95939595  29.97153464
  29.97375154  19.98107943  29.96325377  49.96329759  39.97197249]","[ 29.97545741  49.97391541  39.97617081  39.97469096  29.97545741
  49.97391541  39.97617081  79.96449408  49.97933925  49.97022902]","[ 29.98376955  49.95952241  39.97472088  19.97916007  29.97852991
  59.99107776  29.98958545  39.98667813  29.98775836  19.98224093]","[ 39.9869026   49.95077615  59.97199594   0.           9.98559868
  19.97622409  19.99198504  19.96589788  69.97102083  59.97547226]"
"[ 19.9850359   19.96502016  29.97415672  89.97450679  29.97415672
  89.97450687  29.98134251  19.96502016  29.97415672  89.97450679]","[  9.98712293  39.98218345  29.96302925  29.97603135  59.9622235
  69.97497682  39.97134009  69.96981944  39.97134009  69.96981944]","[ 29.99325788  39.96647531  79.97494209  29.98858014   9.98496195
  39.97171835  19.97300092  29.99038051  39.98803759  39.96284261]","[ 69.97936344  49.97291801  19.97971455  49.96836044  29.97017003
  49.99046785  39.96181075  99.95351081  79.97254928  29.97685157]","[ 39.98216961  99.93631448  19.97868519  59.96316692  29.97642782
  39.96310661  29.97480067  69.96516142  39.97213259  29.98873912]","[ 49.98018791  29.9852225   29.97214674  49.96735621  29.95450622
  39.97498344   9.98157648  39.98824552  39.98359507  39.98587778]","[ 19.97467064   9.98419446  39.97202922  39.9883041   39.97232877
  49.98555739  79.9748479   69.95549104  39.96692109  79.97935934]","[ 59.97162604   0.          39.97103327  19.97055802  39.97445543
  49.97394322  29.99079732   9.98663202  39.98436572  39.98703355]","[ 29.97634587  59.96458405  69.95914173  59.97607261   9.9808517
  19.96685901  19.96783713  19.97635997  29.94657684  29.97925844]","[  19.98603875   19.97487541  129.9438863    49.97774103   19.97315261
   49.96719389   59.95509273   69.97368014    9.98141927   79.96387559]"
"[ 29.98152703  39.96319273  39.98002788  39.97314849  39.96319273
  39.98002788  39.97314849  39.98002788  39.97314849  29.98184159]","[ 39.98368574  19.98752947  39.97235795  39.98263097  29.99003158
   9.98545712  19.98270841  39.98263096  29.99003158  29.97855656]","[  49.98496815   99.97915747    9.98219014   29.99028886   39.97368146
   69.98180833   39.94237432  119.86347513   19.99258685    0.        ]","[ 79.98494274  19.98449217  49.97172724  29.98209222  39.94812736
  39.98063015  39.98249961  59.95026664  19.97862389  59.96891304]","[ 89.93529526  59.96941817  79.97081069  29.98965315  49.97366079
  39.9843955   19.97857591   9.9833696   49.97030503  29.9909913 ]","[  9.98785079  49.9637855   19.96974126  59.97097846  99.94597374
  19.98959239  39.98009602  39.98395485  49.97073611  49.97699254]","[ 29.97017864  49.93454611  59.98205064   9.98094341  29.9931336
  99.92147502   9.99015137  39.98146408  39.97416582  19.99398852]","[  9.98661378  39.97409406  29.95746754  69.9714635   19.97463826
  39.96512173  29.98327835  29.98154882  29.97557032  49.9826942 ]","[ 59.98360801  19.98038411  99.87784374  39.98285749  19.97717918
  19.96991207  29.97696235  49.94834696  79.97608669   9.98932386]","[   9.982818     29.96677877   19.98899667   19.9836912    79.92488595
   49.97179212   29.97771744  119.95412294   69.97861503   39.98381633]"
"[ 39.98027908  39.97341929  29.98189457  29.98189458  39.97284759
   9.98091584  29.98189458  39.97284759   9.98091584  39.97284759]","[ 19.9754777   39.98935774   9.98360167  39.98057852  79.97906274
  59.95657882  29.99298638  29.99187622   9.98534228   9.98545712]","[  29.98682512   39.96491813  129.96420779   79.96006638  109.86699812
   79.9786791    29.9612277    29.98219137   29.9883185    19.97170918]","[  9.98473513  19.97584325  49.97421533  29.96661267   0.          49.97282553
  19.99041706  49.97905326  29.99299782  79.95202305]","[ 29.98977448   9.98952438  79.93764352  19.97821664  19.97269206
  39.99049218  39.95995384  59.96531427  29.98491676  49.97423311]","[ 59.98777794  39.97428851  19.98022975  59.97082883   0.          89.98572475
  39.98827216  79.97248474  29.98520378  19.97333131]","[ 19.97753078  59.98201653  39.98920719  19.97165185  69.96273491
  49.96894106  29.98754762  69.96825506  89.9440924   19.97753078]","[ 69.95338387  39.96937658  49.98277462   9.98269738  39.97900686
   9.98098354   9.98421393   9.98269738  39.97900686   9.98098354]","[ 19.97749742  29.96410944  59.96521731  29.97206726  39.9865231
  49.97403498  39.96505321  79.96055727  99.94324412  29.97324191]","[ 29.98459127  39.97215979   9.98942946  99.97040477  39.98084122
  29.9738829   29.96871146  29.98640522   9.99005277  29.97645963]"
"[ 29.99276374  29.96432825   9.98695513  49.98080169  29.99276374
  29.96432825   9.98695513  49.98080169  39.97282241   9.98091584]","[ 29.9919808   39.96722619  39.96555007  39.98354982  19.96947224
  29.9793285    9.98639     29.96553694  39.98942983   9.98358515]","[  0.           9.98152745   0.          99.96234325  59.97277724
  59.98380775  39.97828253  29.98009851  39.98323337  99.92373592]","[  69.97014184   19.98770404    9.98932223   49.98475983   19.98338606
  109.92611416   39.96204676  109.89831025   39.98553875   69.97715397]","[ 99.97024543  69.97432029  49.96860246  29.98399137  69.92354075
  29.96237966  29.97911961  29.97938674   9.98659921  29.98954894]","[ 49.96259299  49.98436213  29.98964766  29.99045696  29.96512361
  39.9893907   39.96311113  29.97890156  79.95303434  39.97138274]","[ 29.9777234   59.96179248   9.98326506   9.985218    29.96859206
  19.97166977  99.92197857  29.97861299  99.92197858  29.97861299]","[  9.98420057  39.97343396  39.98526703   9.9839002   39.97343396
  39.98526704   9.9839002    9.98760638  19.97352564  59.96975219]","[  0.          49.97443863   9.98625563  49.92789373  19.98900312
   9.98057113  29.97439211  59.9655419   79.97013396  29.98973666]","[ 39.97906843  49.96896169  29.98270508  49.97499503  39.97855469   0.
   9.98301593  59.98088149  59.93879399  39.97728514]"
"[  9.98695513  49.98056582  29.96904056  49.98987411  29.96904056
  49.98987411   9.98709684  29.96904056  49.98987411  29.9644197 ]","[ 69.96337021  29.98427063  19.98570465  39.97580498  19.97451267
  39.99190813  69.9633702   39.98064364  39.97226143  29.9771469 ]","[ 59.97842597  29.98395604  49.94059796  29.98675051  19.98322427
  39.9843535    0.          69.98267414  19.9748352    0.        ]","[  19.96744127   19.966278    109.95831217   29.99097818   69.9179076
   39.9754479    59.96719345   39.98056279   39.97156026   19.96731153]","[ 19.96603616  19.96736299   9.9856918   19.97126451   0.          29.98588135
  29.98404819  29.98031239   9.98210875  19.98888842]","[  39.98853067   49.9621725     9.98049275   19.97658214   19.99134727
   29.96009282  149.93142695   19.98298077   19.98571208   29.97171118]","[ 69.98611457  59.98270891   9.98932308  59.97237761  69.96077924
  49.98180408  69.9677413   79.95215548  59.97689555  29.97918523]","[ 19.97851766  39.98089579  49.98372418   9.98761142  39.97323761
  39.98666499  49.97211683  39.98476057  39.97530799  39.9732376 ]","[ 49.97231628  39.97633356  39.96664174  49.94855042  29.95798829
  19.96176752  99.96433301  29.99102478  29.96798951  29.9864038 ]","[ 99.9729352    9.98554088  59.98865761  19.97534056   9.98428147
   9.98719604  79.965106    19.98459604   9.98595008  29.97725857]"
"[ 29.99198722  39.93536922  39.96974449  19.98877987   9.98710573
  29.99198722  39.93536923  39.96974449   9.98710573  29.99198722]","[ 29.99364164  29.98184439   9.98488124  29.96886597  29.98916147
  49.9865215    9.98395363  79.93934043  69.96251397  19.97396407]","[ 79.96809059   9.98876593  19.97653467   9.98175238  79.92851068
  29.97637843  39.98165958  39.98978328  49.9781561   29.96046586]","[  19.9719067    39.9778933   109.91883491   59.96847953   29.96955119
   59.98214397   99.96690289   29.98870022   19.97076058   19.98199916]","[  19.9802647    29.96354608   49.96915451   79.89954684   29.98877384
   29.97079976  149.95104915    9.98371809   79.98902704   39.96560874]","[ 99.97305218  19.98904722  19.9784591   29.98795146  69.96034314
  19.98221112  49.98307298  19.99069512  49.97535069  29.97656145]","[ 19.97237634  29.96388438  19.96745635  19.98468115  29.97381873
  29.98633089  29.98939155  39.95605094  29.97918232  49.95787033]","[ 29.9873391   29.97844405  39.98477441  29.96276758  29.96997362
  19.97867559   9.99032854  79.97675132  29.9873391   29.97844405]","[  29.99327202    9.98931803   59.96841019   19.99227156   49.96798817
   29.97081826   39.98633568  139.96564169   69.97532461   79.97516294]","[ 49.96466704  99.97840298   9.98244223  29.99071918   0.          19.98133901
  69.96284863  59.9540937   49.99187636  59.96744112]"
"[  9.98711073  29.99201744  39.93537083  39.96985824  49.98223388
  29.98079279  89.96446631  39.96985823  19.98878928  49.98223388]","[ 29.97774228  39.97485785  19.98696839   9.98126237   9.98657626
  19.97656324   9.98392372  19.97859984  39.97548388  29.99370195]","[ 49.9769188   19.98418049  19.98213258  19.97537076  79.97853789
   9.98055634  39.97470816  89.97076248   9.98848644  39.97714398]","[ 19.96936529  19.96838457  19.97039017  39.97649299  19.98484135
  69.95551996  39.9768507   49.96748831  49.98876837  89.96391596]","[ 19.97101678  39.98278064  69.96691525   9.98860492  59.98930671
  19.96748403   9.98653442  39.95045018  69.95276535   9.98190946]","[ 39.9714489   19.97623097  49.97356457   9.98874082  49.96887943
  39.95681826  49.97098231  29.97325401  29.96571497  49.97591452]","[ 79.98123591   9.98989417  79.96661273  29.98941752  79.98123593
   9.98989417  79.96661274  69.96732943  69.94909215  19.98843884]","[ 19.97413137  19.9716186   29.95824494  29.96110179  39.96147663
  49.96949438   9.9822828   29.96289906  29.96999986  29.96622329]","[ 19.99022505  19.9943      19.98334619  29.98744307   9.97998976
  29.97130499  39.98311969  49.98045827  19.97423343  29.98126064]","[ 29.97233542  29.98845664  29.96936267  29.96048318  29.97916825
  29.9641922    0.          29.97491677  69.97073913  29.98371391]"
