trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 19.99082807  19.97826514  19.96952043  19.96548002  59.9658826
  89.98713594  69.94819113  19.96952043  19.96548002  59.9658826 ]","[  59.97645676  139.96439273   19.97903541   49.96892922   19.97973908
   19.98224292   59.92556277   59.97607959   19.98521223    0.        ]","[ 29.9893888   59.96055956  79.95090303  29.99192491  79.98594898
  39.98457347  39.98079447  19.97086004  39.97569275   0.        ]","[ 79.95875675  29.9805758   79.98812835  39.95534521  49.97720999
  49.97850003  19.97444424  19.98995282  29.95549404   9.98770491]","[ 129.90412303   99.97463433   69.98309796   49.94438298   19.9741851
  169.97698769  129.95701319   89.90895937   19.98190083   59.97184166]","[   9.98114223   39.9857676    19.98685632   79.95517564   49.96002625
   39.98468549   29.99178679  109.96265719    9.98263018   29.97881673]","[  39.97192803    9.98459175   79.94846504  119.96291314   29.98635637
   69.94969418   39.97295696   39.98502488   49.96359278   39.97864809]","[  9.98307225  29.9585968   29.9933893   89.9512631   39.95049402
  29.98631679  19.97930154  69.97660186  29.97360955  49.96538955]","[  0.          49.96547452  39.98087506  49.97004346  29.97638105
  69.9548883   79.98320096  19.97141582  79.95831228  29.98186099]","[ 19.96998209  29.9774057   39.98148739  29.9923995   19.98830288
  29.97579808  49.97920503  49.98102044  59.97340355  19.97413034]"
"[ 49.97201826  29.98578819  79.93802261  79.92725632  19.99092728
  39.98319024  19.97842711  19.96986685  19.96548002  59.9651698 ]","[ 39.97993576  59.95477705  19.9815644    9.98560777  39.98287364
  39.98121529  29.98677137  19.96897164  39.98201846  19.99044355]","[ 69.96636931  39.97955952  39.97332853  49.95303877  29.99270373
  29.99157273  19.98764383  29.9898523   19.97689937  39.97756505]","[ 39.96502736   9.98427157  89.95120845  29.96197014  49.96543809
  49.96618934  29.95723028  59.97573953  39.97969     29.98709182]","[ 29.99196775  79.94717999  79.97543465   9.99052725   9.98550061
  29.98169495  39.98711196  99.94912445  49.97746847  49.97287483]","[ 39.97716765  59.9447065   39.97168158  39.98376234  29.98074402
  39.97475633  29.97900939  39.97982044  29.97650375  19.96495636]","[ 29.96811296  39.97413288  19.98738734   9.98476999  59.96869886
  29.99276555  89.94484227   9.98992883  69.97444344  19.97733841]","[ 39.95514828   9.97945955  59.95533899   9.98699656  19.97332355
  59.96395649  29.98952643  39.93048076  59.97039185  19.96427637]","[ 89.97487494  19.97585773  39.97609643  29.99082163  29.98563073
  39.96332684  29.98654617  39.98416189  39.98289019   9.98047775]","[ 39.96018948  39.98351252  39.98078623  19.9715139    9.98651598
  69.9574055   29.96795899  19.97092018  39.97684728  69.9818886 ]"
"[  29.98272574   39.95939367   39.9665216    49.96145748   19.97135956
  109.97374708    0.           49.95070562   39.98329318   29.98272574]","[ 29.96966545  49.97866995  49.97783285  39.99042363  89.97968199
  29.98181177  59.98790507  59.95461283   9.98207703  29.96553027]","[ 19.97021398  29.98954837  19.96754748  39.97925897  79.97692589
  29.98766595  19.98996592  79.9854439   19.969975    39.9826274 ]","[ 19.97335641  79.96621116   9.98774563  69.94000187   9.98336801
  39.97810582  39.97741425  39.98807125  59.95592292  39.96486501]","[  69.97533571   29.98660904  119.85276321   29.96671654   39.9904
   39.98742019   19.96335955   39.98414324   49.98256479   19.96912045]","[ 49.97382119  39.9809938   19.98675951  79.97909321  19.98244832
  19.97315785  29.96631606  29.98021182  19.98315238  59.97546258]","[ 49.96339839  29.98109994  49.9573413   19.9896441   39.96662929
  59.95327065  29.98192089  29.98433076  49.9827524   49.98243754]","[  9.98549231   9.98954359  69.94026318  49.97832325  19.98241417
   9.98350803  49.96344628  39.96129048  19.96874291  29.99257756]","[ 29.98524964  49.97931979  39.98697571  49.97715923  29.97237769
  59.96897039  39.97691318  29.98086912  19.97373808  59.97663732]","[  69.97228715   49.97667627   29.97500087   69.9799214     9.98416639
   69.94705754   39.97705359   19.97583686   49.97291354  189.83956765]"
"[  29.97413425   59.96162066   99.95622038   79.96400956    9.9795292
   79.93302764  149.92040885   49.987226     59.97874619   49.98677767]","[  0.          39.97110401  29.99171565  29.95488737   9.98229058
  29.96604949  19.97716085  39.98470302  29.97387926   9.979443  ]","[ 59.96719229  69.95704348  19.99105251  19.98241297  29.97017218
  79.97355283  19.97243397  39.98680497  19.98549452  29.99282637]","[  59.94866512  119.93986056   39.96918074   39.97666607   29.99249338
   59.97326897   19.98492218   29.97883261   49.966001     39.98411378]","[ 69.97822862  19.98617121  29.96145651   9.98702285  19.97502209
  39.98565288  29.98422846  39.98605271  19.98070978  29.98947729]","[ 19.9798915    9.98202739  39.96945207  39.96708356  39.98452764
  29.97982868  19.98087988   9.98601197  89.92536683  89.93349733]","[  59.96922693   19.96765788   39.9822499    39.95378835    9.98653859
  109.91248271    0.            9.98350287   39.97632268   59.97603123]","[ 39.97714229  19.98224795  39.9833383   39.98375998  39.97519943
  19.98767372   0.          39.94768132  49.9879189    0.        ]","[ 59.9583825   19.97983535   9.98837091  89.96080464  59.95809265
  29.97482278  39.98733157  29.98420955   9.98805771  39.98983154]","[ 19.97397893  39.95214522  19.968237    29.96487838  29.95064847
  49.99006647  49.94439964  19.96970797  59.97501826  29.97845859]"
"[ 89.94512784  49.97128095  69.95600542  39.97364166  59.98515929
  29.97655978  29.98566922  69.95482688  89.95346919  19.97797047]","[ 49.97156516  19.98319526  29.98662064  39.96994452  29.98113452
  39.97257057  39.97263597  29.97655393  49.94353352  39.98951486]","[  79.96850381   19.98113383   49.97704119   79.96337904   39.96095423
  119.956419     29.97191984   39.97030861   39.96584112    9.9817953 ]","[  9.98706428   9.98036735  19.96883283  39.97106219   9.98441029
   9.98112026  39.98546591  39.96905632  99.95556665  39.97062354]","[ 69.98449004  19.97624656  29.97511023  19.97292622  59.96791155
  19.97501937  49.97672163  59.98862049  49.95386199  39.98473069]","[  49.9754882    69.95541059    9.98000933  129.85628552   29.95062102
   39.9876169    19.97283862    9.98382409    9.98890374   39.98113689]","[ 69.93381846  69.94125419  49.97236292   0.           9.98090829
  49.9723647   19.98417193  19.98019737  39.97146009  39.95361496]","[ 49.95732253  39.97635424  59.98041421  19.96164797  39.9499938
  39.97014145  59.96614812  79.95155934  49.96963002  49.97207814]","[  59.96324833   49.9737861    29.98204892   39.9836162    49.96466248
  109.914105     19.97735304   69.97029894   49.96938412   19.99294815]","[  79.96671218   29.97049735   49.97426822   29.99039828   29.9647702
   49.98046226    9.9865333   119.94758134   29.98658955   59.96334875]"
"[  39.97220816  109.93172694   29.97632541  109.95280794   19.97704533
   29.97139501   89.94014005   79.98033982   39.95133544   39.97766759]","[  9.97961195  59.96835693  29.97594157   9.98483376  39.98726242
  19.98472712  29.98885477  39.97639967  19.98434539  19.97175796]","[   0.          109.96285296   29.97225514    9.98570088   79.96637355
   39.97184524    9.98514238   59.97422044   29.9841822    59.95723913]","[ 59.96652571  39.98398432  59.97971189  39.97802061  39.95025888
  29.98686451  19.97632829  39.98199603  19.97299241  29.9665572 ]","[ 19.97948936   9.98630437  79.9818198   19.96930799  39.97724341
  79.9381204   29.96982783  29.96676531  49.97782098  49.97493547]","[ 49.95360615  79.95186632  69.97790932  99.93979834  19.99065049
  19.96841695   9.98702668  39.97957011  19.97624312  39.97442382]","[ 99.95189391  49.956737     9.98015369  29.97994903  29.96068737
  19.98472931  29.9804353   99.97933016  19.96393722  29.98654524]","[ 39.98148874   9.98671021  29.98393934  39.98683542  19.96978001
  39.98097665  59.93566543  39.97048578  49.98173242  39.96615586]","[ 39.98179301  39.98130421   9.98462695  29.99329763   9.9804126
  69.97351206  39.96915043  49.96731559  19.98642586   9.9878979 ]","[ 99.96873223  39.98340248  19.98518355  19.98808605  39.98214333
  39.97539194  19.97953542  19.97420234  59.96008048  39.97542978]"
"[ 39.97585635  79.96722262  79.97049118  19.99252883  19.97863804
  69.9711035   49.98421747  19.9839517   49.96892515  69.97032607]","[ 19.97149423  19.98925573  29.95581258  29.97550985   9.97919257
  29.97954007  69.92938136  19.98068906  29.98986942  59.939172  ]","[  29.96080079   29.98607906   59.97576967   29.99159693  179.88436876
    9.98742417   49.97084449   39.95445807   49.95955065   29.98171206]","[  29.99346794    9.98459399   29.98016842   39.97256827  129.96774245
   39.97748733   29.9842754    39.98507204   39.95943607   39.98770934]","[ 19.97820891  59.97062922  29.98629202   9.98642196   9.98869078
   9.98815121  19.99087908  39.98030109  29.98587945   9.99050415]","[ 79.97245003  19.97949239  69.9678234   49.97069592  29.97025275
  69.97500936  69.92420666  19.97338423  39.97707725  39.98350288]","[ 19.97026023  59.95012362  29.9678048   19.97487836  29.96478802
  39.97388641  59.96338669  19.98391329  29.98840436   9.98567151]","[ 19.97230399  49.97331757  19.96875395  39.97563714  49.9772969
  19.96953893  19.97285945  39.97842046   9.98800948  49.98061325]","[ 29.98903639  59.96260917   9.98528107  29.98653825  39.97785778
  19.97424905   9.98620503   9.98698558  19.97838608  19.98111849]","[  49.97838101   29.97002827   19.9835146    59.96916188   49.97330759
  109.91619577   49.9823166    39.99085552   49.97067543    9.98425142]"
"[ 89.95803026  59.91197097  49.93371062  79.94548768  29.98453459
  39.96692136  49.93319725  39.95947744  49.95942284  79.90466009]","[ 29.97996065  19.97546418   9.98114825   9.98263342  49.97725828
  29.95474113  39.9643656   29.96167056  39.96603466  39.96979608]","[  49.9625921    49.97857302  139.9400195    39.98519195   19.98594892
   19.97331408   79.9469823     9.98371432   19.98401078   59.98670647]","[  29.98715131  129.94556279   29.97438753   39.97551745   39.95529426
   39.98095821   39.98234514   49.98514719   99.94832189   59.96482566]","[  19.98638214   49.98041343   29.97589961   19.99188133  209.87365464
   59.96334369   29.98975834   19.97667948   19.98326789   89.90025665]","[  19.98476645    0.          129.94334957    9.97948167   29.97325509
   59.96614066   19.9877755    69.93630352   29.97544634   19.97836548]","[ 99.95290651   0.           9.9861514   49.98079344  19.98631621
  39.97243739  29.95885963  29.9932442   29.94799364  69.97260028]","[ 29.98917305  19.97011591  29.96870791  39.98333174  29.98916512
   9.98043905  39.98880932  59.98640392  29.971881    19.98080284]","[ 19.96447319  29.98022523  19.98249705   9.9827525   29.97012505
  19.97283252  39.98391595  39.96039276  49.98701248  29.99326884]","[ 19.97973602   9.98236756  39.97516697  99.97584582  19.9741969
  19.97895793  39.9662515   19.99413784  39.98331784  19.97906143]"
"[ 179.81884992   59.97164545    0.           59.9758392    69.96119329
   29.98560167  159.92469488   29.98313611   89.94126088    9.98401346]","[ 69.96910246   9.98762245  29.98866387  39.98070995  39.9909201
   9.98632989  19.98977518  69.96697026  59.98967361  39.98498138]","[ 39.97132187  29.98730436  59.96546324   9.98613892  19.9754621
  19.97472803  49.98077782   9.98819318  19.97720182   9.98527529]","[ 49.97490611  29.99322451  39.97668996  29.98884831  59.97185552
  69.98642055  49.97238482  49.98397439  59.93420326   0.        ]","[  29.98929364   19.9736423    19.9902236   109.88721732   19.98968514
   29.9632616    39.96267963   29.98101554   39.97513484   39.97134204]","[ 49.92172863   9.98575191  19.97805412  49.98599866  39.96355323
  69.95942849  49.96361972  19.97613746  19.98272644  39.98601729]","[  39.96689732   49.97193598   69.96429562    9.98087199   19.99156318
   49.97613324  129.96877965   19.97125402   79.96805841   19.98694343]","[ 29.98633745  19.97850489  29.97968291  29.98793714  59.96972753
   9.99144788  39.97689466   9.98052759  39.95736781  49.97631794]","[ 49.98470284   9.98894752  19.98546499   9.98838146  79.94110186
  49.99084667  39.99007334   9.99054243  39.98503595   9.98097128]","[ 19.9821667   29.98748553  29.96880187  19.98027886  29.98814862
  29.97590492  29.9909801    0.          69.93285903  49.96683466]"
"[  99.95043063  169.93248126   19.96535012   49.92606589    9.98059754
   19.97583833   29.98622303  149.93396673    9.98988538   29.95120778]","[ 49.9631302   29.9798763   29.98111707  49.96466733   9.98442425
  49.98103709  49.96750513  39.97395217  29.98632038  79.97680225]","[ 69.95391285  79.91905318  49.97156721  39.98698069   9.98444315
  49.96851024  49.93557584  49.97392537  69.97350507  69.96875719]","[  49.97535288  129.87705416   49.98167743   39.97205108    0.
   29.98084228   39.97793292    9.9839336    29.97455686   49.96276237]","[  79.96265692   39.98260105  149.92826494   49.97886975   39.97576256
   39.98803297   19.97123003   19.97124017   99.97110759   49.97760996]","[ 149.96285293   49.96843731   29.9854715    39.98143708    9.98399916
   19.98580219   19.99139918   19.96395832   59.97764966   69.96141021]","[ 69.96277027  39.96252808  49.96286673  49.96548764  29.97968557
  39.97783575   9.9870789   39.96973372  39.96339684  69.95492653]","[   0.           39.99105392   39.9881658    29.9800632    19.98644902
   29.97036254   29.97387205  149.9351881    49.96549775   39.98509986]","[ 19.98602747   9.98884056  19.98948369  49.96585037  39.96858224
  29.96232448  19.97509824  69.9482819   29.98740924  69.97379505]","[  19.96919109   69.94671628   29.99160117    9.98882805    9.98706451
   19.97985455   19.98069365   19.99163934   39.93496712  149.87480669]"
