trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 39.98588873   9.98901103  29.96540485  19.96867033  19.96505945
  49.95983034   9.98081258  19.97605225  29.98491552   9.98372942]","[ 119.95003218   79.97571261   29.99297188   29.97163102   99.9481385
   59.96566696   29.98591762   29.96871152   29.99205551  189.95475993]","[  29.97775922   49.96997803   29.97909622   19.98042315   39.96821544
  189.88580698   59.97926788   49.95582728   19.97945298   49.975067  ]","[ 29.9823282   19.99230765  19.97680882  29.98505942  49.978846
  59.97505096   0.          69.97455834  39.96770779  29.98592643]","[ 89.97786813  39.98229108  59.98252415  19.97309712  79.94371819
  29.96442881  29.97470802   9.9889542   19.96641469  29.98684549]","[ 49.98061157  39.95643956  79.95512117  49.96723059  19.98668015
  39.96767685  69.96608586  49.95402377  79.97589711  29.98727304]","[ 39.98046174   9.98854307  49.97608594  29.96556585   9.98761539
  39.9785252    9.97984153  59.97491397   9.98900179  29.96886524]","[ 29.98990999   9.99095484  49.9732519   49.97951575  19.9758326
  49.98121735  19.9876656   39.98244282   9.98776154  19.96909037]","[  19.98326231   29.98349903   19.97058739   19.9671271     9.98397367
   29.99203466   19.97834013  129.95459617   79.9545951    49.98021322]","[ 39.98006076   9.9839623   49.97084186  19.97032519  29.95210487
   9.99050973   9.98729857  69.97927211  19.97284546  49.95398244]"
"[  9.98089699  29.98936714  39.98157451  59.95110176  29.96580682
  59.97329025  39.98476454  39.97952312  29.97883507  49.96329427]","[ 59.95509647  29.97819536  49.97865202  59.96772966  49.98027667
  29.98908978  19.9860178   59.96109065  39.9816302   39.9712508 ]","[ 19.97999593  29.98518515  19.98119747  29.99085506  49.97446448
   9.98043697  29.97285765   9.98210292  39.9622255   29.98809574]","[  9.98419671  49.97306327  69.97342044  49.97151005  69.98532778
  19.98625204   9.98400569  39.98685217  19.98162141   9.98102691]","[ 19.99319932  29.98259909  19.97332472  19.98528574  29.98022055
  69.97701489  39.95521743  99.96924852   9.98120381  49.95364672]","[  39.96974739   59.98031872   49.97782182   19.97140775   49.97478227
  169.82622605   39.9756572    79.95389284    9.98170171    0.        ]","[ 69.97473031  59.97864047  19.97176171   9.98487167  89.97049527
  29.98845357  39.9753979   39.98277528  79.95222314  19.98196624]","[ 39.98226118  29.96091776  29.98939218  49.94311615   9.98131611
  49.97468015  39.95362086  49.97985098  39.96954932   9.98484765]","[ 39.97512859  59.96792464   9.98641471  39.97483541  79.94815541
  19.9860514   19.97989802  29.98749271   9.97922604  39.98219939]","[ 19.98026068  79.93731902  19.97552857  29.96790786   9.98436018
  59.97698151   9.98744843  39.97315266  29.98417143  39.97612601]"
"[   0.           79.96092125   49.95984495   49.98124225   19.97984072
   89.94125665  159.95788173   19.97105264   39.99060024   49.96130218]","[ 29.98321761  19.9749691   49.97620582   9.98987214  39.99071244
  39.97170843  89.93311707  59.97527929  59.97742951  39.98439905]","[ 39.97721042  59.98058962  29.99072293  39.97319442  49.97736974
  19.98004346   9.98985417  99.96649577   9.98888436  19.96355364]","[ 19.97151103  19.98394328  59.96261721   9.98754942  79.94850891
   9.98353366   9.98966254  59.98239039  79.98920186  29.9900201 ]","[  49.97953658   39.97741353   39.97129276   49.96916491  109.88867296
    9.98064718   49.97906454   39.98312831   49.97223379   29.97458067]","[ 39.93539953   9.98590202  29.98557441  19.97325111  29.97496512
  29.99256395  39.98944509   9.99222446  39.97571708  19.97467098]","[ 19.99037558  29.97597027  19.97310863  49.95758604  59.97909339
  29.97421968  19.97952812  19.98821796  49.97721179  39.97830019]","[ 59.97317236  69.87448474  29.98128894  19.986138    29.98364172
  29.96653044  29.98551239  89.94026683  49.98300092  19.97964934]","[ 19.98348128  19.98875827  79.9530308   59.96696338   9.98695803
  29.98018431  49.98079507  79.96770483  39.97250479  89.97489837]","[ 39.98393904  19.97106977  29.96313606  19.97528349  69.97608667
  39.96407908  19.97581228  49.96884649  19.97592268  19.97220951]"
"[ 49.96472032  49.94784039  29.98917309  39.97756242  19.98246044
  39.98734125  29.97661318  69.96813641   9.98728744  79.97949212]","[ 49.97684405  49.97120599  39.98001746   0.          79.96903366
  19.98512069  19.97996824  19.99275377  49.98193455  59.97593602]","[ 39.97211376   9.99014782   0.          39.95070136  39.97100189
   9.99119451  59.97176792   9.99070467  19.97432885  29.9686764 ]","[ 19.97770846  69.96858929  49.97408267  19.97195657   9.98520843
  49.96637049  39.97282182  69.97102827  39.98027813  59.9754049 ]","[  0.          39.94249049   9.9890251   69.9587691   29.97098502
  19.98225783  39.97766853   9.98200639  49.97871462   9.98246676]","[ 49.96694758  29.95152895  39.98620508  19.97068532  59.97572119   0.
  19.97404322  69.9832501   29.96543493  29.97725668]","[ 39.99256405   9.99137661  89.9586586   69.9839591   39.98458116
   9.98137587  29.99009564  29.98690983  39.9813674   29.98750802]","[ 49.96997227  39.98278378  19.97056327  39.97144494  49.98059732
  49.97886361  29.97317994  39.99004511  19.98512519  29.97068141]","[ 39.98556866  29.97150303  49.9768012   19.98367823  29.95651732
  19.97528234  19.98999792  29.98352047  19.98471171  49.95770198]","[ 49.98579111  29.98194936  19.97662022  59.97103322  19.98648608
  29.97267046   9.99034637   9.98386479  19.99048962  59.97152597]"
"[ 89.97003292  19.96600892  19.98635762   0.          19.98729859
  49.97350617  49.97315465  19.98823043  29.99240854   9.98467581]","[  29.97538851   29.98500424   49.97491116   59.97063948  159.95381157
   19.97516773    9.98930551   39.97927473   49.99036565   49.97682518]","[ 119.9757089     9.98577303   49.98601455   19.97367145   19.97355413
   39.9482414    69.96733122   39.97385648   29.98976217   39.96734777]","[ 29.96561188  29.98538001  29.97149529  29.98256898  39.94128416
  59.95518767  49.95239153  59.97284011  59.9646168   39.97511549]","[ 29.98344697  59.95726288  39.97876635  69.97671072  29.98461969
  49.97001737  39.97351377  49.97122713  19.98310059   9.98544674]","[ 29.99017183   9.98267045  79.94813568  29.98391234  29.97379794
  39.9605465   19.98284457   0.          59.98233448  39.97632711]","[ 29.97428963  69.95110211  29.9904462   49.95459491  29.97094813
  49.93852534  29.98577744  39.98029886  59.98138232  59.95664036]","[ 109.95793299   39.97405095   59.98626669   29.99162907   19.97236468
   79.93106977   19.97972218   19.97616757   89.92805807   19.98690284]","[  9.98137521   9.98015529  49.97374894  99.95643624   9.98746012
  39.98142242  19.97971164  39.94483971  39.95948745  29.98318813]","[ 39.97335356  39.98295139  29.95348156  19.97845104  19.988089
  29.98152784   9.98278687   0.           0.          49.97724556]"
"[  19.97081458   89.96907674   39.98619527  129.96261248  109.9772716
   59.96825634   39.98406613  109.95490015   39.9885289    29.98297558]","[ 29.98903319  39.9759386   49.96865521  89.97304417   9.98359625
  99.94396764  59.94554781  89.95973184  19.97401081  19.97497414]","[ 129.95463665   49.95487472   29.9861068    59.97795432   19.98334686
   49.98496994   49.9544404    59.97123118   39.97587731   29.96502619]","[ 19.97105571   9.9794368   19.97822353  49.97805075  29.98016931
  29.96639133   9.98034843  29.97489549  29.97613123  39.98528134]","[ 69.95884073  29.99152797  59.97236101   9.98479519  19.98711873
  39.9673676   19.98073598  49.99057378   9.98874635  49.98083207]","[ 49.97077969  19.98242825  19.98611001  49.98362096   9.98408831
  49.97957314  29.97311343   9.9863095   39.98456872   9.98000287]","[ 29.97508724   9.97983096  39.96526276  49.95981259  39.97309668
  19.97431478  39.97707749  29.97184627  39.98322505   9.98549842]","[  19.98225494   29.98007409   39.98144159   29.97276517  119.94350559
   69.96617296   69.97452109   79.96123066   19.98314322   19.98111857]","[ 49.97548184  29.96642937  29.98411972   0.          49.98841968
  39.96775532  49.97750585  19.98017553  69.94577674  29.97937536]","[ 19.96845363  79.98992293  19.99031788  29.9478801   79.97315226
  49.97007175  39.97770585  29.96457095  29.9714576   29.98697675]"
"[  59.98055586  109.95840263   49.96611239    9.99140943  159.91715336
    9.98030257   39.97733711   39.97718659   49.9584204    49.96599091]","[ 139.95253497   79.94553977   59.94769894   69.9527737     9.98907219
   69.9557835    39.98698541   19.97167235   39.96988922   59.97178936]","[  0.          39.96329264  29.97395269  59.97523975   9.98594907
  19.99036104  79.95484416  39.99301172  39.99017181  29.98964317]","[ 39.98130416  39.96726153   9.98836975  69.96203278  49.96677618
   9.98187172  49.97874333  19.97625313  49.97526239  29.99104169]","[ 39.96854928  19.99089691  29.97735087  29.98989787  49.98060905
  49.97972084  59.97309949  59.98724151  49.97785285  19.97958024]","[ 49.975631    19.97320828   9.98394053  29.98713757  19.97008415
  49.95380876  19.97745333  59.95682955  79.92236184   9.98358594]","[  29.95436508   79.98101301   39.98195042   49.98352234   29.95539029
   49.98825629  129.90933561   59.98113251   29.98513349   19.98633395]","[ 59.95192124  59.97996144  29.98531799  39.95070138  59.99186853
  19.98353409  49.97276724  49.97912469   9.98485369   9.98165053]","[  9.98892849  59.96177786   0.          19.97233702   9.98513027
  19.97276143  39.98640758  19.98941596  29.98433701   9.99104488]","[ 19.97908331  19.98114052  89.96446834   9.98427217  29.97617876
  39.95938256  19.9802784   39.97608564  19.97775698   9.98519833]"
"[  19.96944867   29.975139     39.98194045   39.98629425    9.98678911
   19.99164045  109.97076114   29.95514916   39.97895483  149.9251299 ]","[  0.          59.94774473  19.98763914  19.97121288   9.98363181
   9.9881729    9.98326011  79.96240499  19.98110921  49.96986554]","[ 49.94403457  99.97984132  49.98038919  29.97777939  29.9582789
  39.96120939  49.95854764  49.98560383  79.96989699  19.97686359]","[ 29.9845954    9.98334316  59.96280402  29.98850762  19.98741648
  29.96139082  49.96571975  49.97404678  19.97334375  39.95498907]","[ 49.97581961  29.95840432  19.96933962  49.97584044  39.98427416
  49.98324209  19.97253672  49.97636494  59.9815914   29.97121165]","[  19.9717375   119.98540989    9.98532494   39.98886599   59.9636875
   19.97825281    9.98688164   39.95628977   49.92246054   29.98604611]","[ 59.95860725  59.98683853  99.97091974  49.97841663  49.97071441
  29.97528907  29.99054322  19.97329819  89.95146089  29.98074404]","[ 39.97107544  49.97160737  59.97106488  19.98503917  49.95220543
   9.9891544   79.9651448   59.96250007   9.98858824  49.97855932]","[  39.96028204  109.93982773   29.96499949   39.98355283   19.97378702
   59.95629778   29.97749939   79.94672293   59.97723574   49.97110977]","[  69.97299956   19.97025586   69.976671     19.97354443   19.97024706
    9.98100152   39.9804293    39.97474968    9.98675441  109.92733958]"
"[ 69.98265502  39.9676861   29.97862975  39.98232624   9.98528503
  49.96425303  89.96301243  89.964601    79.9538908   29.98529113]","[ 29.99134922   9.98801093  19.98646995  39.97265625  39.98080167
  29.99031184  19.97834819   9.98573122  29.97065241  29.9695812 ]","[  19.97818114   49.98265886   49.98934523   49.96192971   29.97533961
  119.93334424   19.98254735   19.97860541   59.97211451   79.98031578]","[ 49.95903929  79.97339468   9.98421953  19.97780954  19.96990035
  69.98829154  19.98138042  59.95837607  59.94855016  29.98627534]","[ 19.98248101   9.98604207  99.92461105  29.9852193   19.9719995
  29.9797655   29.98197109  19.97876998  29.97343923  39.9743948 ]","[ 39.98030691  19.98365106  39.97323273  19.98501309  29.97029281
  39.98009209  79.96694212  99.95921564  29.98174205  49.98421765]","[ 99.95618334   9.9926907   49.95716722  49.96371256  39.9556617
   9.98119972   9.99028096  39.97439429  19.98532472  19.97074801]","[ 39.97426743  49.97987103  19.9949012   79.98104744  29.9870199
  29.98063286  29.99084551  89.96824275  59.95325279   9.98752126]","[   0.           39.98245605   19.97463377  129.94818074    9.97990367
   19.989988     19.97764085   59.96301982   29.96912105   69.97935795]","[  59.94750313   29.99207687   29.96266476  119.96470872   59.97173258
   59.98013243   19.97185662    9.97958608    9.98361227   29.98754658]"
"[ 49.95582692  79.94479228   9.98551696  49.92990155  29.97326042
  59.97256373  39.96421164  29.9514993    9.98364264  19.98708252]","[ 29.99068687  89.97356869  29.97246728  49.93653529  79.98464761
   9.97936835  49.97428882  19.99163002  19.98715814  29.97120324]","[ 39.96847819  69.96408613   9.98461054  19.97806175  19.99444282
   9.98568909  49.95180597  29.97063397   9.9855042    9.98641185]","[ 39.97289071  19.98642682  39.97004694  29.98676977  79.96259844   0.
  19.9766996   99.97070904   0.          79.9734569 ]","[ 19.96858414  29.96045959  59.98215068  49.9782598   39.96947591
  59.97016396  39.98266928  29.96630382   0.          69.98312312]","[  19.97361343   39.97293339  119.94975761   79.97789416   39.93719299
   39.97656292   29.98705224   39.98107612   79.96022454    0.        ]","[ 29.9621738   19.98243673  19.96878146   9.99017653  39.97987894
  59.98516287  89.94557177  49.94066394   9.98104905  49.97904927]","[  9.98652736  59.9224548   19.97562529  59.97174632  29.97628795
  49.98576167   0.           9.98358506  49.97395942  39.98419068]","[ 39.96755904  59.97632462  39.97332576  99.98744853  49.96281615
  39.93046364  19.97887094  19.99237564   9.9877685   29.95565676]","[ 59.94766996  19.99337665  59.96415326  39.97473351  29.96069337
  29.99101363  29.98938158  19.98143152  59.95964312  29.98381028]"
