nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
,,0.0,2.0,19.0,1,19.0,3.0,1.0,1.0
,,,4.0,7.0,19,2.0,1.0,2.0,4.0
,,,,9.0,19,19.0,19.0,10.0,3.0
,,,,1.0,4,1.0,2.0,19.0,19.0
,,,,17.0,4,19.0,18.0,13.0,19.0
,,,,1.0,19,1.0,19.0,2.0,8.0
,,,,19.0,1,3.0,2.0,8.0,3.0
,,,,19.0,2,19.0,2.0,5.0,19.0
,,,,19.0,7,19.0,19.0,19.0,8.0
,,,,,4,,,2.0,18.0
,,,,,1,,,3.0,
,,,,,6,,,12.0,
,,,,,4,,,,
,,,,,13,,,,
,,,,,2,,,,
