rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[-127.44278697 -136.79563402 -127.44278697 -136.79563402 -127.44278697
 -136.79563402  -28.30006837  -28.30006837 -127.44278697 -127.44278697]","[-312.14424328 -483.03784527 -423.19211753 -382.32706209 -369.57736976
 -410.96902635 -369.57736976 -410.96902635 -487.22173177 -289.88279995]","[-139.39602901 -249.20198109 -355.40122336 -189.0615261  -162.32963818
  -77.47303026 -294.84113282 -139.39602901 -128.33620956 -235.03995366]","[-147.73714408 -201.60621254 -121.57093378 -251.53140124 -173.29966145
 -191.53646031  -74.22428383 -153.71149522 -311.15547159 -227.51012171]","[ -85.33434245   -6.33343531 -176.06738535  -89.85314684  -49.87646564
   57.96243999  -79.14021606  -71.50462887  -61.88647112   -3.5539212 ]"
"[ -14.28996553    0.72592573    0.72592573  135.27583625  135.27583625
 -102.50001992  135.27583625 -102.50001992  135.27583625 -102.50001992]","[-357.23361682 -340.56819767 -357.23361682 -340.56819767 -443.83000355
 -270.37768539 -384.28697145 -433.00273446 -315.16082705 -248.27963012]","[-360.96495662   -5.8620469  -235.03935554 -271.21637599 -205.06190563
 -141.36190229 -288.78753436  -50.26868876  -22.19633588 -300.55166141]","[-283.17309399 -155.68973195 -166.67316905 -259.95564093 -179.35961095
 -159.65176346 -222.20771675 -189.21826498  -99.24091795 -157.06755361]","[-200.77034303 -154.95179095    1.41866212   28.94433549 -117.83438812
  -21.12094322    7.86427556 -133.40621703 -198.37321286  -22.84098468]"
"[ -28.69682871 -171.84078405 -101.09952934  -28.69682871    4.55792123
 -101.09952934  -28.69682871 -171.84078405  -28.69682871 -171.84078405]","[-239.22824276 -433.27538763 -281.50505813 -381.22483457 -281.50505813
 -381.22483457 -438.22022379 -180.48623994 -359.53760988 -303.45756039]","[ -58.34066633  137.61546132 -332.70552661 -458.62986646  -16.99337173
 -317.52446747   14.70845399 -259.11603269   -3.94443817  198.14601051]","[-206.61591757 -220.68896042 -264.59891961 -225.41007584 -287.57084868
 -389.98511006 -224.60707855 -100.38521924 -275.76539252 -266.68714056]","[-150.86483792 -132.53830995  -82.23941038  -93.51571669  -39.93117708
  124.32608936  -84.52943005 -152.49245812 -213.30486343 -142.37687575]"
"[ -3.22830676 -60.69547497  -3.22830676 -60.69547497 -60.69547497
 -74.3068879   40.26184335  -3.22830676  -3.22830676 -60.69547497]","[-217.71151598  -58.16243736  -93.31388801 -217.71151598 -299.5799175
 -184.41189341 -432.60127557 -193.83871692 -462.82975077 -423.3917234 ]","[-219.42449876  -12.71477408   24.02540069 -117.98883145 -371.29830555
 -145.36968612 -278.61715789 -192.26237532  -94.44282458 -129.49479167]","[-265.33498807 -193.66978999 -268.78042141 -270.42360914 -274.10901817
 -208.85457571 -430.72087104 -221.21321511 -221.80256109 -272.64644654]","[-26.07924852  50.54798667 -13.19839067 -72.15911643 -60.53699533
  18.44313136  -6.0536149  -40.85548982  78.83106179 -59.91760003]"
"[ 110.57746105 -160.87721475  119.21575231  110.57746105  110.57746105
 -160.87721475 -160.87721475  -67.96499636 -160.87721475  -67.96499636]","[-123.43215416 -249.46363952 -264.41908782 -302.68287524 -249.46363952
 -423.72778667 -133.71676525 -243.40485909 -309.1007823   -89.66852859]","[  16.49299578 -161.40742213 -125.11117077 -268.40437679   56.85093073
 -184.97028684 -187.98594317   29.6972418  -455.77337207  -60.43434853]","[-188.41190195 -178.10296162 -230.73581858 -256.77994794 -171.5228327
 -232.09379212 -180.52765129 -183.9297653  -259.10464206 -222.73421628]","[ -57.45499202  -55.60122622 -165.4047933   -93.62470514 -116.2761664
 -114.9961822  -122.43366028  -89.17118139  128.43339046   -8.9192316 ]"
"[-166.05916259 -103.82934709 -166.05916259 -103.82934709 -103.82934709
 -108.27587797 -166.05916259 -103.82934709   22.768899   -166.05916259]","[-449.0127609  -206.41133605 -260.95425249 -524.63113035 -427.22289465
 -249.30332291 -156.11150426 -286.00937964 -156.11150426 -286.00937964]","[-189.62314052 -324.22264249 -171.55246485 -286.32483785 -276.73502116
 -178.54632473  -72.49633497   -9.83267015 -304.89335698 -180.53972287]","[-235.03649987 -278.55121038 -141.94817617 -255.72463846 -245.29044737
 -318.65977852 -256.70129284 -219.87622116 -176.98124655 -208.59013387]","[ -84.53219851  -68.17265128  -19.13843745 -117.66327864   13.43838307
  -55.58452388 -112.59088409 -114.71499727  -30.91587789   37.48322993]"
"[-12.71317907 -97.00242218 -12.71317907 -97.00242218 -97.00242218
  62.96062597  40.69184193 -12.71317907 -12.71317907 -97.00242218]","[-210.630398    -97.96190878 -221.85983571 -454.68039925   17.54000448
 -192.68707055 -229.1530174  -445.99139688 -870.41573486 -455.25594989]","[ -69.40247347 -208.17352255 -146.56914123  -17.48488491 -171.65607166
 -105.35597013  -12.9254387   -77.86663001 -166.63737524   75.24272847]","[ -58.0315916  -138.04205521 -141.84786864 -200.08153387 -222.58794532
 -283.54584447 -265.69884227 -216.53648636 -213.06763002 -292.0232082 ]","[ -61.00585351  -84.27344354   27.95359934 -124.15810729  -85.51004104
  -91.86866528 -205.20187922  -27.9145623   -45.79252712   54.09537803]"
"[ -27.95926102  -63.21436217  -27.95926102  -63.21436217  -27.95926102
  -63.21436217  105.4395298   -27.95926102  -63.21436217    7.08400819]","[ -13.4122486     4.13190657 -360.90182119 -534.78507062 -122.4231003
  -74.13141183 -132.98062949 -171.67125613  -61.80261313 -545.85451118]","[  84.9045796  -248.13646221  -63.34545264 -254.19812326 -519.05007343
 -197.39997896  167.6683932  -164.92934428 -315.08784331   -5.96013589]","[-139.77881155 -214.77678393 -158.50793482 -144.37863716 -191.21052011
 -255.02870194 -116.83095385 -192.32455033 -279.9622226  -237.24852971]","[ -76.11787846  -41.60018441 -161.75956135  -76.11787846 -100.42016741
 -141.10093019 -220.55298363 -154.79431858  -58.2961409   -55.24470437]"
"[-52.12728239 -90.28386228 -52.12728239 -90.28386228 -18.73939398
 -52.12728239 -52.12728239 -90.28386228 -52.12728239 -90.28386228]","[-509.77012542 -321.77561158 -130.66130464 -346.45360184 -209.27600539
 -509.77012542 -214.67290554 -102.21962388  -92.67568434  -53.7819607 ]","[  49.15883119    2.04397162 -115.37738394  -13.91932776 -395.72270963
 -158.25632701   97.61623302   79.22324417 -144.02605323 -269.76971836]","[-260.51555608 -130.35102859 -227.4778631  -187.13971796 -188.24347782
 -214.17197953 -333.44953093 -108.78915523 -257.24818475 -146.37772543]","[-102.50413153  -32.03853059  -55.07871013  -28.1255269   -78.53200709
  -14.46706708   13.78205642 -224.27121979  -10.77962491 -116.24896168]"
"[ 137.1549114  -242.34394005  152.64567666   42.20760802 -242.34394005
  105.04914741  105.04914741  -39.8536834    60.5287836   144.53353474]","[ -65.83887037 -138.70229351 -325.48735131  -68.79862127   86.07283225
 -130.3495992  -609.00871187 -325.48735131  -68.79862127  -79.40785541]","[ 367.1903831  -295.42364215  201.6069954   209.3194467   -51.12415034
  244.49840848 -397.94432754  139.04220477 -397.94432754  139.04220477]","[ -1.09950123e+02  -9.30632773e-02  -7.73771588e+01  -5.89994586e+01
  -9.81990442e+01   1.69475881e+01  -3.64539427e+01   4.26219267e+01
  -1.41775394e+02  -3.73029274e+00]","[  21.6842265    -3.56971856    6.05523718   34.3008625    78.11426992
  125.23872995    7.70129915  -85.86891454  192.15742665  -48.89689196]"
