nSubIter0,nSubIter1,nSubIter2
12.0,49.0,49
22.0,28.0,16
29.0,12.0,37
3.0,9.0,3
5.0,23.0,4
11.0,7.0,18
6.0,11.0,3
9.0,17.0,1
7.0,2.0,4
9.0,4.0,3
1.0,5.0,39
7.0,3.0,16
1.0,3.0,17
8.0,1.0,22
43.0,1.0,49
1.0,10.0,1
23.0,15.0,23
32.0,12.0,3
24.0,2.0,14
49.0,6.0,1
1.0,23.0,4
6.0,5.0,4
1.0,48.0,1
5.0,10.0,2
7.0,2.0,13
5.0,4.0,2
6.0,2.0,3
4.0,3.0,41
4.0,26.0,2
6.0,13.0,49
1.0,4.0,3
1.0,13.0,2
12.0,5.0,12
2.0,5.0,3
39.0,12.0,3
11.0,22.0,49
11.0,5.0,9
3.0,8.0,4
2.0,1.0,24
7.0,1.0,4
11.0,1.0,3
12.0,2.0,5
4.0,10.0,8
1.0,1.0,8
1.0,1.0,24
38.0,3.0,2
21.0,31.0,4
1.0,34.0,4
2.0,13.0,19
2.0,15.0,10
33.0,49.0,3
8.0,30.0,11
9.0,8.0,5
1.0,47.0,7
1.0,49.0,1
9.0,13.0,1
17.0,2.0,49
3.0,1.0,3
1.0,2.0,1
13.0,1.0,1
18.0,3.0,4
14.0,1.0,3
12.0,1.0,9
1.0,2.0,14
5.0,1.0,2
4.0,4.0,2
12.0,31.0,1
49.0,49.0,4
3.0,4.0,1
49.0,6.0,1
2.0,1.0,2
3.0,14.0,7
13.0,1.0,1
6.0,4.0,7
6.0,9.0,1
3.0,5.0,2
3.0,13.0,8
8.0,8.0,9
2.0,2.0,1
5.0,1.0,4
1.0,10.0,2
5.0,4.0,1
8.0,5.0,3
12.0,3.0,2
1.0,6.0,6
2.0,25.0,15
2.0,4.0,4
1.0,1.0,8
5.0,1.0,18
49.0,4.0,3
20.0,1.0,1
1.0,1.0,10
2.0,2.0,42
2.0,1.0,1
2.0,8.0,46
4.0,2.0,49
2.0,23.0,26
3.0,2.0,27
1.0,2.0,3
4.0,3.0,3
1.0,1.0,3
10.0,26.0,6
1.0,1.0,9
2.0,25.0,3
15.0,12.0,7
7.0,12.0,7
49.0,30.0,21
1.0,16.0,4
1.0,5.0,11
2.0,2.0,5
1.0,12.0,2
3.0,6.0,49
12.0,1.0,10
7.0,2.0,1
47.0,7.0,5
5.0,2.0,4
12.0,3.0,1
8.0,5.0,5
5.0,3.0,10
10.0,2.0,4
6.0,4.0,1
5.0,11.0,2
6.0,3.0,14
8.0,11.0,1
14.0,1.0,1
1.0,23.0,16
23.0,8.0,2
18.0,1.0,26
1.0,5.0,11
7.0,8.0,23
2.0,37.0,5
1.0,7.0,1
19.0,2.0,4
3.0,3.0,4
9.0,3.0,15
1.0,40.0,26
2.0,3.0,8
49.0,1.0,1
6.0,1.0,2
16.0,1.0,3
38.0,9.0,1
23.0,3.0,49
7.0,11.0,5
1.0,1.0,8
4.0,1.0,1
25.0,49.0,3
1.0,29.0,2
6.0,4.0,1
1.0,31.0,4
28.0,6.0,10
2.0,23.0,1
20.0,1.0,9
1.0,11.0,4
13.0,12.0,4
7.0,8.0,3
1.0,9.0,2
1.0,7.0,23
13.0,5.0,10
15.0,10.0,10
1.0,4.0,1
49.0,1.0,1
7.0,11.0,3
7.0,9.0,2
10.0,3.0,5
2.0,9.0,7
49.0,1.0,2
7.0,13.0,3
3.0,48.0,1
6.0,1.0,2
10.0,5.0,3
1.0,1.0,2
26.0,8.0,3
13.0,31.0,1
2.0,3.0,8
4.0,2.0,1
6.0,12.0,4
8.0,9.0,8
30.0,1.0,6
3.0,1.0,2
10.0,3.0,7
4.0,9.0,15
1.0,10.0,5
1.0,4.0,7
20.0,6.0,15
5.0,2.0,4
10.0,7.0,11
2.0,1.0,2
26.0,6.0,6
13.0,1.0,5
49.0,37.0,1
38.0,2.0,4
49.0,4.0,27
1.0,3.0,4
2.0,49.0,10
49.0,23.0,9
1.0,20.0,15
2.0,6.0,16
10.0,7.0,2
1.0,5.0,46
1.0,14.0,19
2.0,16.0,20
13.0,49.0,4
14.0,22.0,16
49.0,23.0,12
9.0,1.0,8
1.0,1.0,17
3.0,1.0,19
13.0,46.0,8
24.0,3.0,10
1.0,4.0,1
9.0,5.0,1
5.0,28.0,6
9.0,5.0,5
4.0,6.0,1
4.0,14.0,9
5.0,7.0,9
26.0,3.0,3
5.0,15.0,2
34.0,1.0,10
17.0,7.0,1
5.0,1.0,39
2.0,4.0,49
3.0,1.0,22
8.0,30.0,1
4.0,3.0,6
8.0,2.0,3
1.0,1.0,10
1.0,2.0,3
20.0,2.0,27
16.0,12.0,2
11.0,16.0,2
2.0,8.0,6
20.0,2.0,3
5.0,1.0,7
3.0,1.0,1
4.0,4.0,26
49.0,3.0,5
4.0,10.0,1
1.0,2.0,2
4.0,5.0,6
9.0,9.0,1
41.0,1.0,4
,9.0,2
,1.0,3
,1.0,12
,1.0,4
,9.0,2
,1.0,7
,15.0,1
,1.0,9
,19.0,1
,2.0,1
,2.0,3
,2.0,1
,28.0,3
,,1
,,1
,,7
,,12
,,1
,,11
,,5
,,10
,,4
,,1
