policyParams0,policyParams1,policyParams2
"[ 0.1251553   0.07637572 -0.04634142 ...,  0.36351491 -0.001      -0.05      ]","[-0.18622754  0.21106185 -0.05837637 ..., -0.40917695  0.017      -0.059     ]","[-0.07651779  0.15896959 -0.07199283 ...,  0.37287687 -0.0115     -0.0545    ]"
"[ 0.1261553   0.07637572 -0.04834142 ...,  0.36751491 -0.004      -0.054     ]","[-0.18822754  0.20906185 -0.05937637 ..., -0.41217695  0.017      -0.062     ]","[-0.07901779  0.16146959 -0.06949283 ...,  0.37337687 -0.012      -0.055     ]"
"[ 0.1266553   0.07587572 -0.04884142 ...,  0.36701491 -0.0035     -0.0545    ]","[-0.18922754  0.20806185 -0.05737637 ..., -0.41317695  0.018      -0.062     ]","[-0.07701779  0.15946959 -0.07149283 ...,  0.37437687 -0.01       -0.054     ]"
"[ 0.1271553   0.07537572 -0.04934142 ...,  0.36651491 -0.004      -0.056     ]","[-0.19122754  0.20606185 -0.05537637 ..., -0.41517695  0.016      -0.063     ]","[-0.07501779  0.15646959 -0.07349283 ...,  0.37437687 -0.008      -0.056     ]"
"[ 0.1231553   0.07637572 -0.05034142 ...,  0.3695149  -0.003      -0.059     ]","[-0.19222754  0.20506185 -0.05437637 ..., -0.41617695  0.015      -0.064     ]","[-0.07201779  0.1534696  -0.07549283 ...,  0.37737687 -0.006      -0.056     ]"
"[ 0.1221553   0.07537572 -0.04934142 ...,  0.3705149  -0.002      -0.06      ]","[-0.19272754  0.20456185 -0.05187637 ..., -0.41967695  0.0155     -0.0665    ]","[-0.06901779  0.1504696  -0.07949283 ...,  0.38137687 -0.004      -0.058     ]"
"[ 0.1221553   0.07437572 -0.04834142 ...,  0.3715149  -0.001      -0.065     ]","[-0.19422754  0.20306185 -0.05037637 ..., -0.42217695  0.017      -0.068     ]","[-0.06551779  0.1469696  -0.08299283 ...,  0.38387687 -0.0015     -0.0575    ]"
"[  1.19155305e-01   7.53757218e-02  -4.93414176e-02 ...,   3.75514905e-01
   7.46398054e-10  -6.90000000e-02]","[-0.19522754  0.20206185 -0.04937637 ..., -0.42317695  0.016      -0.069     ]","[-0.06701779  0.1484696  -0.08149283 ...,  0.38637687 -0.001      -0.06      ]"
"[ 0.11515531  0.07637572 -0.05134142 ...,  0.3795149   0.001      -0.072     ]","[-0.19672754  0.20056185 -0.04887637 ..., -0.42467695  0.0165     -0.0695    ]","[-0.07201779  0.1514696  -0.07649283 ...,  0.39137687 -0.001      -0.065     ]"
"[ 0.11315531  0.07637572 -0.05234142 ...,  0.3825149   0.004      -0.077     ]","[-0.19622754  0.20106185 -0.04737637 ..., -0.42617695  0.017      -0.07      ]","[-0.07251779  0.1519696  -0.07599283 ...,  0.39187687  0.0005     -0.0665    ]"
"[ 0.11165531  0.07687572 -0.05284142 ...,  0.3840149   0.0035     -0.0785    ]","[-0.19672754  0.20056185 -0.04687637 ..., -0.42667695  0.0185     -0.0715    ]","[-0.06901779  0.1484696  -0.07949283 ...,  0.39537687 -0.003      -0.071     ]"
"[ 0.11315531  0.07637572 -0.05234142 ...,  0.3825149   0.004      -0.08      ]","[-0.19722754  0.20006185 -0.04437637 ..., -0.42917695  0.015      -0.074     ]","[-0.06701779  0.1464696  -0.08149283 ...,  0.39737687 -0.006      -0.075     ]"
"[ 0.1151553   0.07937572 -0.05434142 ...,  0.3785149   0.003      -0.083     ]","[-0.19872754  0.19856185 -0.04187637 ..., -0.43067695  0.0165     -0.0755    ]","[-0.06801779  0.1474696  -0.08049283 ...,  0.39637687 -0.005      -0.076     ]"
"[ 0.11515529  0.08337572 -0.05734142 ...,  0.3745149   0.003      -0.087     ]","[-0.19622754  0.20106185 -0.04337637 ..., -0.43217695  0.016      -0.078     ]","[-0.07301779  0.1524696  -0.07549283 ...,  0.39437687 -0.001      -0.08      ]"
"[ 0.11365529  0.08387572 -0.05784141 ...,  0.3720149   0.0005     -0.0885    ]","[-0.19622754  0.20106185 -0.04337637 ..., -0.43417695  0.015      -0.079     ]","[-0.07801779  0.1554696  -0.07049283 ...,  0.39137687  0.002      -0.083     ]"
"[ 0.11415529  0.08337572 -0.05634141 ...,  0.3745149   0.003      -0.091     ]","[-0.19722754  0.20006185 -0.04237637 ..., -0.43317695  0.016      -0.08      ]","[-0.07701779  0.1544696  -0.07149283 ...,  0.39037687  0.001      -0.083     ]"
"[ 0.11515529  0.08137572 -0.05434141 ...,  0.3795149   0.008      -0.096     ]","[-0.20022753  0.19706185 -0.03937637 ..., -0.43217695  0.018      -0.083     ]","[-0.08001779  0.1574696  -0.06749283 ...,  0.39337687  0.002      -0.088     ]"
"[ 0.11515529  0.08037572 -0.05334141 ...,  0.3825149   0.011      -0.101     ]","[-0.20022753  0.19706185 -0.03937637 ..., -0.43217695  0.018      -0.083     ]","[-0.07801779  0.1554696  -0.07049283 ...,  0.39337688  0.001      -0.093     ]"
"[ 0.11465529  0.07987572 -0.05284141 ...,  0.3860149   0.0105     -0.1035    ]","[-0.19822754  0.19906185 -0.04137637 ..., -0.43317695  0.018      -0.085     ]","[ -7.80177895e-02   1.56469595e-01  -7.14928270e-02 ...,   3.95376875e-01
   7.38765055e-11  -9.79999999e-02]"
"[ 0.11515529  0.07937572 -0.05234141 ...,  0.3875149   0.011      -0.103     ]","[-0.20022753  0.19906185 -0.03937637 ..., -0.43617695  0.022      -0.088     ]","[ -7.70177895e-02   1.55469595e-01  -7.24928270e-02 ...,   3.96376875e-01
   7.43766840e-11  -1.03000000e-01]"
"[ 0.11615529  0.07737572 -0.05034141 ...,  0.3915149   0.013      -0.101     ]","[-0.20122753  0.19806185 -0.03837637 ..., -0.43717695  0.021      -0.089     ]","[ -7.70177895e-02   1.56469595e-01  -7.54928270e-02 ...,   3.96376875e-01
   6.94236095e-11  -1.08000000e-01]"
"[ 0.11815529  0.07537572 -0.04834141 ...,  0.3935149   0.014      -0.098     ]","[-0.20422753  0.19306185 -0.03337637 ..., -0.44017695  0.018      -0.091     ]","[-0.07651779  0.1559696  -0.07599283 ...,  0.39587688 -0.0005     -0.1085    ]"
"[ 0.11865529  0.07487572 -0.04884141 ...,  0.3930149   0.0145     -0.0965    ]","[-0.20422754  0.19006185 -0.02837637 ..., -0.44317695  0.017      -0.095     ]","[-0.07701779  0.1564696  -0.07549283 ...,  0.39437688 -0.002      -0.11      ]"
"[ 0.12315529  0.07937572 -0.05334141 ...,  0.3895149   0.014      -0.094     ]","[-0.20572754  0.18856185 -0.02687637 ..., -0.44267695  0.0155     -0.0945    ]","[-0.07901779  0.1584696  -0.07249283 ...,  0.39837688 -0.005      -0.112     ]"
"[ 0.12715529  0.08437572 -0.05734141 ...,  0.3885149   0.013      -0.093     ]","[-0.20322754  0.19106185 -0.02437637 ..., -0.44317696  0.014      -0.093     ]","[-0.08101779  0.16046959 -0.07049283 ...,  0.40237688 -0.01       -0.113     ]"
"[ 0.13115529  0.08937572 -0.06234141 ...,  0.3895149   0.01       -0.092     ]","[-0.20122754  0.19306185 -0.02237637 ..., -0.44417696  0.015      -0.095     ]","[-0.08251779  0.1599696  -0.06799283 ...,  0.40487688 -0.0125     -0.1135    ]"
"[ 0.13315529  0.09437572 -0.06434141 ...,  0.3855149   0.011      -0.091     ]","[-0.19622754  0.19806185 -0.01837637 ..., -0.44317695  0.017      -0.099     ]","[-0.08101779  0.1584696  -0.06949283 ...,  0.40237688 -0.011      -0.112     ]"
