policyParams0,policyParams1,policyParams2
"[ 0.09265534  0.08487572 -0.04984145 ...,  0.3890149   0.0065     -0.1585    ]","[-0.17722748  0.18706187 -0.00837655 ..., -0.45817695  0.005      -0.13200001]","[-0.09201782  0.14446963 -0.05149285 ...,  0.41837687 -0.005      -0.143     ]"
"[ 0.09165534  0.08387572 -0.04884145 ...,  0.3910149   0.0045     -0.1605    ]","[-0.17922748  0.18506187 -0.01037655 ..., -0.45617695  0.003      -0.13400001]","[-0.09151782  0.14396963 -0.05199285 ...,  0.41787687 -0.0045     -0.1435    ]"
"[ 0.09015534  0.08237572 -0.04734145 ...,  0.3925149   0.006      -0.159     ]","[-0.18022748  0.18406187 -0.01137655 ..., -0.45317695 -0.002      -0.13800001]","[-0.09201782  0.14546963 -0.05149285 ...,  0.42137687 -0.003      -0.139     ]"
"[ 0.08515534  0.07837572 -0.04234145 ...,  0.3975149   0.008      -0.156     ]","[-0.18072748  0.18356187 -0.01187655 ..., -0.45367695 -0.0015     -0.13950001]","[-0.09201782  0.14546964 -0.05149285 ...,  0.42537687 -0.001      -0.136     ]"
"[ 0.08015534  0.07437572 -0.03734146 ...,  0.4025149   0.012      -0.154     ]","[-0.17822748  0.18706187 -0.00937655 ..., -0.45717695  0.002      -0.14300001]","[-0.09151782  0.14496964 -0.05199285 ...,  0.42687687  0.0015     -0.1355    ]"
"[ 0.07715534  0.07037572 -0.03334146 ...,  0.4055149   0.016      -0.151     ]","[-0.17622748  0.18806187 -0.00437655 ..., -0.46217695  0.005      -0.14800001]","[-0.08951782  0.14296964 -0.05399285 ...,  0.42587687 -0.0005     -0.1355    ]"
"[ 0.07715534  0.07037572 -0.03334146 ...,  0.4065149   0.016      -0.151     ]","[-0.17122748  0.19306187  0.00062345 ..., -0.46617695  0.007      -0.15300001]","[-0.09101782  0.14446964 -0.05249285 ...,  0.42837687  0.001      -0.135     ]"
"[ 0.07415534  0.06737572 -0.02934146 ...,  0.4025149   0.014      -0.156     ]","[-0.16922748  0.19406187  0.00062345 ..., -0.47117695  0.009      -0.15700001]","[-0.09051782  0.14396964 -0.05299285 ...,  0.42887687  0.0005     -0.1345    ]"
"[ 0.07315534  0.06637572 -0.02834147 ...,  0.4015149   0.013      -0.157     ]","[-0.16722748  0.19606187  0.00362345 ..., -0.47317695  0.012      -0.16100001]","[-0.09151782  0.14496964 -0.05199285 ...,  0.42587687  0.0015     -0.1375    ]"
"[ 0.07165534  0.06587572 -0.02884146 ...,  0.3990149   0.0105     -0.1565    ]","[-0.16622748  0.19706187  0.00362345 ..., -0.47417695  0.013      -0.16200001]","[-0.09401782  0.14746964 -0.04949285 ...,  0.42737687 -0.002      -0.14      ]"
"[ 0.07215534  0.06637572 -0.02834147 ...,  0.3985149   0.01       -0.158     ]","[-0.17122748  0.19206187  0.00862344 ..., -0.47017695  0.009      -0.16300001]","[-0.09301782  0.14646964 -0.05049285 ...,  0.42937687 -0.005      -0.14      ]"
"[ 0.07115534  0.06537572 -0.02934146 ...,  0.3995149   0.011      -0.159     ]","[-0.17622748  0.18706187  0.01362344 ..., -0.46517695  0.004      -0.16600001]","[-0.09401782  0.14746964 -0.04949285 ...,  0.42737687 -0.004      -0.14      ]"
"[ 0.07165534  0.06587572 -0.02884146 ...,  0.3990149   0.0105     -0.1585    ]","[-0.17822748  0.18406187  0.01762344 ..., -0.46317695  0.001      -0.16800001]","[-0.09201782  0.14546964 -0.05149285 ...,  0.42437687 -0.008      -0.139     ]"
"[ 0.07115534  0.06537572 -0.03334146 ...,  0.3975149   0.015      -0.162     ]","[ -1.78227479e-01   1.84061868e-01   1.86234444e-02 ...,  -4.63176953e-01
   2.06985576e-11  -1.68000011e-01]","[-0.09101782  0.14446964 -0.05249284 ...,  0.42237687 -0.008      -0.138     ]"
"[ 0.07215534  0.06637572 -0.03434145 ...,  0.3965149   0.014      -0.163     ]","[-0.17422748  0.18706187  0.01962345 ..., -0.46817695 -0.003      -0.17000001]","[-0.09251782  0.14596964 -0.05099284 ...,  0.42387687 -0.0065     -0.1395    ]"
"[ 0.07315534  0.06637572 -0.03534146 ...,  0.3915149   0.011      -0.165     ]","[-0.17322748  0.18806187  0.02062345 ..., -0.46917695 -0.002      -0.17100001]","[-0.09401782  0.14746964 -0.04949285 ...,  0.42637687 -0.009      -0.142     ]"
"[ 0.07465534  0.06687572 -0.03784147 ...,  0.3890149   0.0105     -0.1645    ]","[-0.16822748  0.19206187  0.02562345 ..., -0.47317695  0.001      -0.17000001]","[-0.09301782  0.14746964 -0.05049285 ...,  0.43037687 -0.012      -0.145     ]"
"[ 0.07215534  0.06537572 -0.03834146 ...,  0.3885149   0.012      -0.166     ]","[-0.16522748  0.19506187  0.02962344 ..., -0.47617695  0.006      -0.16800001]","[-0.09401782  0.14846964 -0.04949285 ...,  0.43237687 -0.014      -0.145     ]"
"[ 0.07115534  0.06437572 -0.03734148 ...,  0.3895149   0.013      -0.165     ]","[-0.16222748  0.19706187  0.03462344 ..., -0.48117695  0.011      -0.16900001]","[-0.09451782  0.14896964 -0.04899285 ...,  0.43287687 -0.0155     -0.1465    ]"
"[ 0.07165534  0.06487572 -0.03784148 ...,  0.3900149   0.0125     -0.1645    ]","[-0.15922748  0.19806187  0.03662343 ..., -0.48417695  0.016      -0.16900001]","[-0.09801782  0.15246964 -0.04549285 ...,  0.43037687 -0.015      -0.15      ]"
"[ 0.07715534  0.07037572 -0.04334148 ...,  0.3865149   0.012      -0.165     ]","[-0.15672748  0.19956187  0.04012343 ..., -0.48567695  0.0185     -0.16950001]","[-0.09701782  0.15146964 -0.04649285 ...,  0.42937687 -0.014      -0.149     ]"
"[ 0.07715534  0.07137572 -0.04334148 ...,  0.3865149   0.012      -0.164     ]","[-0.15822748  0.19806187  0.04162343 ..., -0.48617695  0.017      -0.17200001]","[-0.09751782  0.15196964 -0.04599285 ...,  0.42887687 -0.0145     -0.1495    ]"
"[ 0.07515534  0.06937572 -0.04134148 ...,  0.3825149   0.01       -0.165     ]","[-0.16222748  0.19306187  0.04662343 ..., -0.48717695  0.013      -0.17200001]","[-0.09801782  0.15246964 -0.04549285 ...,  0.42737687 -0.016      -0.151     ]"
"[ 0.07215535  0.06637572 -0.03934148 ...,  0.3815149   0.007      -0.169     ]","[-0.16722748  0.18806187  0.05162343 ..., -0.48717695  0.009      -0.17200001]","[-0.09301782  0.14746964 -0.05049285 ...,  0.43037687 -0.013      -0.149     ]"
"[ 0.07315534  0.06737572 -0.04034148 ...,  0.3805149   0.006      -0.17      ]","[-0.16922748  0.18306187  0.05462344 ..., -0.48717695  0.004      -0.17000001]","[-0.08801782  0.14246964 -0.05549285 ...,  0.43037687 -0.008      -0.152     ]"
"[ 0.07615534  0.06837572 -0.04234148 ...,  0.3765149   0.008      -0.173     ]","[-0.16922748  0.17906187  0.05562344 ..., -0.48717695 -0.001      -0.16700001]","[-0.08301782  0.13746964 -0.06049285 ...,  0.43437687 -0.003      -0.151     ]"
"[ 0.07715534  0.06837572 -0.04334148 ...,  0.3735149   0.009      -0.174     ]","[-0.17022748  0.17606187  0.05662344 ..., -0.48717695 -0.004      -0.16700001]","[-0.07801782  0.13246964 -0.06549285 ...,  0.43737687  0.001      -0.148     ]"
"[ 0.07615535  0.06737572 -0.04234148 ...,  0.3745149   0.012      -0.176     ]","[-0.16722748  0.17906187  0.05362344 ..., -0.48917695 -0.007      -0.17000001]","[-0.07301782  0.12746964 -0.07049285 ...,  0.43937687  0.006      -0.146     ]"
"[ 0.07715534  0.06637572 -0.04134148 ...,  0.3785149   0.015      -0.178     ]","[-0.16472748  0.18156187  0.05112344 ..., -0.49367695 -0.0115     -0.17450001]","[-0.07251782  0.12696964 -0.07099285 ...,  0.43987687  0.0065     -0.1455    ]"
"[ 0.07765534  0.06687572 -0.04184148 ...,  0.3790149   0.0145     -0.1775    ]","[-0.16322748  0.18306187  0.04962344 ..., -0.49417695 -0.012      -0.17300001]","[-0.07001782  0.12846964 -0.07349285 ...,  0.43737687  0.005      -0.144     ]"
"[ 0.07915534  0.06837572 -0.04334148 ...,  0.3805149   0.013      -0.179     ]","[-0.16372748  0.18256187  0.05012344 ..., -0.49467695 -0.0115     -0.17250001]","[-0.07151782  0.12696964 -0.07199285 ...,  0.43587687  0.0065     -0.1435    ]"
"[ 0.07915534  0.06937572 -0.04334148 ...,  0.3825149   0.013      -0.179     ]","[-0.16522748  0.18106187  0.05162344 ..., -0.49517695 -0.012      -0.17100001]","[-0.07201782  0.12646964 -0.07149285 ...,  0.43637687  0.005      -0.145     ]"
"[ 0.08115534  0.06637572 -0.04434146 ...,  0.3845149   0.012      -0.181     ]","[-0.16622748  0.18006187  0.05262344 ..., -0.49617695 -0.013      -0.16900001]","[-0.07301782  0.12546964 -0.07049285 ...,  0.43737687  0.007      -0.147     ]"
"[ 0.08315534  0.06537572 -0.04534146 ...,  0.3825149   0.013      -0.183     ]","[-0.16472748  0.18156187  0.05112344 ..., -0.49467695 -0.0125     -0.17050001]","[-0.07401782  0.12446964 -0.06949285 ...,  0.43637687  0.008      -0.148     ]"
"[ 0.08515534  0.06337572 -0.04234146 ...,  0.3785149   0.015      -0.185     ]","[-0.16422748  0.18206187  0.05062344 ..., -0.49517695 -0.01       -0.17200001]","[-0.07451782  0.12396964 -0.06899285 ...,  0.43487687  0.0085     -0.1495    ]"
"[ 0.08615534  0.06437572 -0.04334146 ...,  0.3795149   0.014      -0.186     ]","[-0.16572748  0.18056187  0.05212344 ..., -0.49667695 -0.0095     -0.17050001]","[-0.07501781  0.12446963 -0.07049284 ...,  0.43037687  0.007      -0.153     ]"
"[ 0.09015534  0.06837572 -0.04734146 ...,  0.3835149   0.011      -0.186     ]","[-0.16522748  0.18106187  0.05162344 ..., -0.49617695 -0.009      -0.16900001]","[-0.07501781  0.12446963 -0.07049284 ...,  0.42937687  0.006      -0.154     ]"
"[ 0.09515534  0.07337572 -0.05234146 ...,  0.3885149   0.007      -0.186     ]","[-0.16622748  0.18006187  0.05262344 ..., -0.49517695 -0.01       -0.16800001]","[-0.07601781  0.12446963 -0.06949284 ...,  0.43437687  0.01       -0.156     ]"
"[ 0.10015534  0.07837572 -0.05734146 ...,  0.3935149   0.003      -0.188     ]","[-0.16622748  0.18106187  0.05262344 ..., -0.49517695 -0.011      -0.16800001]","[-0.07601781  0.12446963 -0.06949284 ...,  0.43437687  0.011      -0.156     ]"
"[  1.04155339e-01   8.23757210e-02  -6.13414617e-02 ...,   3.97514902e-01
   4.36453045e-09  -1.90999997e-01]","[-0.16572748  0.18156187  0.05212344 ..., -0.49467695 -0.0095     -0.16650001]","[-0.07601781  0.12446963 -0.06949284 ...,  0.43237687  0.009      -0.158     ]"
"[ 0.10765534  0.08587572 -0.06484146 ...,  0.4010149  -0.0015     -0.1935    ]","[-0.16372748  0.18356187  0.05112343 ..., -0.49367695 -0.0075     -0.16550001]","[-0.07801781  0.12246963 -0.06749284 ...,  0.43037687  0.008      -0.159     ]"
"[  1.07155339e-01   8.53757210e-02  -6.43414616e-02 ...,   4.02514902e-01
   4.36784614e-09  -1.94999997e-01]","[-0.16122748  0.18606187  0.04862343 ..., -0.49117695 -0.01       -0.16800001]","[-0.07901781  0.12146963 -0.06649284 ...,  0.43137687  0.009      -0.158     ]"
"[  1.06155339e-01   8.43757210e-02  -6.33414616e-02 ...,   4.02514902e-01
   4.36751018e-09  -1.94999997e-01]","[-0.15722748  0.19006187  0.04462343 ..., -0.48717695 -0.012      -0.17200001]","[-0.07951781  0.12096963 -0.06599284 ...,  0.43187687  0.0095     -0.1575    ]"
"[ 0.1011554   0.08037572 -0.05834146 ...,  0.4035149   0.004      -0.197     ]","[-0.15222748  0.19406187  0.03962343 ..., -0.48217695 -0.011      -0.17600001]","[-0.08251781  0.11796963 -0.06299284 ...,  0.43287687  0.0095     -0.1595    ]"
"[ 0.0961554   0.07537572 -0.05334146 ...,  0.4025149   0.008      -0.201     ]","[-0.15022748  0.19606187  0.03662343 ..., -0.47917695 -0.011      -0.17600001]","[-0.08401781  0.11646963 -0.06149284 ...,  0.43337687  0.009      -0.158     ]"
"[ 0.0911554   0.07037572 -0.04834146 ...,  0.4055149   0.012      -0.204     ]","[-0.15222748  0.19406187  0.03862343 ..., -0.47717695 -0.012      -0.17700001]","[-0.08351781  0.11696963 -0.06199284 ...,  0.43387687  0.0105     -0.1595    ]"
"[ 0.0861554   0.06537572 -0.04334146 ...,  0.4065149   0.015      -0.207     ]","[-0.15722748  0.18906187  0.04362343 ..., -0.47717695 -0.015      -0.18100001]","[-0.08151781  0.11896963 -0.06399284 ...,  0.43187687  0.0095     -0.1595    ]"
"[ 0.0811554   0.06237572 -0.04034146 ...,  0.4075149   0.017      -0.209     ]","[-0.15922748  0.18406187  0.04762343 ..., -0.47417695 -0.018      -0.18000001]","[-0.08001781  0.12046963 -0.06549284 ...,  0.43337687  0.009      -0.158     ]"
"[ 0.0806554   0.06187572 -0.03984146 ...,  0.4080149   0.0175     -0.2095    ]","[-0.16222748  0.17906187  0.05062343 ..., -0.47217695 -0.022      -0.17900001]","[-0.07801781  0.12246963 -0.06749284 ...,  0.43337687  0.007      -0.157     ]"
"[ 0.0796554   0.06087572 -0.03884146 ...,  0.4070149   0.0175     -0.2115    ]","[-0.16622748  0.17406187  0.05362343 ..., -0.46717695 -0.025      -0.18200001]","[-0.07951781  0.12096963 -0.06599284 ...,  0.43487687  0.0075     -0.1555    ]"
"[ 0.0781554   0.05937572 -0.03734146 ...,  0.4055149   0.019      -0.21      ]","[-0.16872748  0.17056187  0.05612343 ..., -0.46667695 -0.0265     -0.18350001]","[-0.08201781  0.11846963 -0.06349284 ...,  0.43237687  0.006      -0.158     ]"
"[ 0.07815542  0.06237572 -0.04034146 ...,  0.4055149   0.02       -0.212     ]","[-0.16622748  0.17306187  0.05362343 ..., -0.46517695 -0.028      -0.18400001]","[-0.08301781  0.11746963 -0.06249284 ...,  0.43137687  0.006      -0.16      ]"
"[ 0.07765542  0.06287571 -0.04084145 ...,  0.4050149   0.0215     -0.2145    ]","[-0.16572748  0.17356187  0.05312343 ..., -0.46567695 -0.0275     -0.18450001]","[-0.08151781  0.11896963 -0.06399284 ...,  0.43087687  0.0075     -0.1595    ]"
"[ 0.07715542  0.06237571 -0.04034145 ...,  0.4035149   0.022      -0.213     ]","[-0.16172748  0.17756187  0.04912343 ..., -0.46267695 -0.0255     -0.18750001]","[-0.08351781  0.11896963 -0.06199284 ...,  0.43087687  0.0095     -0.1575    ]"
"[ 0.07465542  0.05987571 -0.03784145 ...,  0.4010149   0.0235     -0.2125    ]","[-0.16222748  0.17706187  0.04962343 ..., -0.46117695 -0.024      -0.18800001]","[-0.08201781  0.12046962 -0.06349284 ...,  0.42937687  0.008      -0.16      ]"
"[ 0.07315542  0.05837571 -0.03734145 ...,  0.3985149   0.026      -0.215     ]","[-0.16022748  0.17906187  0.04762343 ..., -0.45917695 -0.026      -0.19000001]","[-0.08051781  0.12196962 -0.06499284 ...,  0.42787687  0.0075     -0.1625    ]"
"[ 0.07265542  0.05787571 -0.03684145 ...,  0.3980149   0.0265     -0.2155    ]","[-0.16022748  0.18006187  0.04562343 ..., -0.45517695 -0.028      -0.19200001]","[-0.08101781  0.12146962 -0.06449284 ...,  0.42537687  0.011      -0.164     ]"
"[ 0.07215542  0.05737571 -0.03634145 ...,  0.4005149   0.024      -0.217     ]","[-0.16022748  0.18006187  0.04562343 ..., -0.45517695 -0.028      -0.19300001]","[-0.0810178   0.12046963 -0.06549283 ...,  0.42437687  0.011      -0.165     ]"
"[ 0.07165542  0.05587571 -0.03484149 ...,  0.3990149   0.0235     -0.2185    ]","[-0.16172748  0.17856187  0.04712343 ..., -0.45567695 -0.0265     -0.19450001]","[-0.07951781  0.12196962 -0.06699278 ...,  0.42287687  0.0115     -0.1635    ]"
"[ 0.07315542  0.05737571 -0.03534149 ...,  0.3985149   0.022      -0.217     ]","[-0.16272748  0.18056187  0.04512344 ..., -0.45867695 -0.0295     -0.19750001]","[-0.08051781  0.12096962 -0.06599278 ...,  0.42587687  0.0125     -0.1655    ]"
"[ 0.07365542  0.05787571 -0.03584149 ...,  0.3970149   0.0215     -0.2165    ]","[-0.16422747  0.18106187  0.04462344 ..., -0.45617695 -0.031      -0.19600001]","[-0.08201781  0.11946962 -0.06449278 ...,  0.42537687  0.011      -0.164     ]"
"[ 0.07565542  0.05987571 -0.03784149 ...,  0.3960149   0.0215     -0.2185    ]","[-0.16622747  0.18006187  0.04662344 ..., -0.45517695 -0.031      -0.19400001]","[-0.08151781  0.11996962 -0.06499278 ...,  0.42487687  0.0105     -0.1635    ]"
"[ 0.07515542  0.05937571 -0.03734149 ...,  0.3955149   0.024      -0.217     ]","[-0.16822747  0.17806187  0.04862344 ..., -0.45417695 -0.028      -0.19400001]","[-0.08001781  0.12146962 -0.06649278 ...,  0.42437687  0.011      -0.165     ]"
"[ 0.07515542  0.05837571 -0.03734149 ...,  0.3955149   0.025      -0.218     ]","[-0.16772747  0.17856187  0.04812344 ..., -0.45467695 -0.0285     -0.19450001]","[-0.07951781  0.12196962 -0.06699278 ...,  0.42687687  0.0095     -0.1625    ]"
"[ 0.07465542  0.05787571 -0.03684149 ...,  0.3940149   0.0235     -0.2175    ]","[-0.16522747  0.18206186  0.04462344 ..., -0.45017695 -0.023      -0.19400001]","[-0.08051781  0.12096962 -0.06599278 ...,  0.42487687  0.0085     -0.1635    ]"
"[ 0.07515542  0.06037571 -0.03934149 ...,  0.3905149   0.025      -0.214     ]","[-0.16322747  0.18406186  0.04262344 ..., -0.44817695 -0.021      -0.19400001]","[-0.08101781  0.12046962 -0.06549278 ...,  0.42737687  0.006      -0.165     ]"
"[ 0.07515542  0.06037571 -0.03934149 ...,  0.3895149   0.027      -0.216     ]","[-0.15922747  0.18706186  0.03862344 ..., -0.44817695 -0.024      -0.19400001]","[-0.08151781  0.11996962 -0.06499278 ...,  0.42887687  0.0055     -0.1655    ]"
"[ 0.07315542  0.05837571 -0.03734149 ...,  0.3885149   0.03       -0.216     ]","[-0.15922747  0.18706186  0.03862344 ..., -0.44817695 -0.025      -0.19500001]","[-0.07901781  0.12246962 -0.06749278 ...,  0.42437687  0.002      -0.167     ]"
"[ 0.07015542  0.05637571 -0.03534149 ...,  0.3875149   0.027      -0.214     ]","[-0.16022747  0.18606186  0.03962344 ..., -0.45017695 -0.026      -0.19400001]","[-0.07801781  0.12346962 -0.06849278 ...,  0.42237687  0.001      -0.168     ]"
"[ 0.06815542  0.05437571 -0.03334149 ...,  0.3855149   0.023      -0.215     ]","[-0.15872747  0.18756186  0.03812344 ..., -0.44867695 -0.0275     -0.19250001]","[-0.07801781  0.12346962 -0.06849278 ...,  0.42437687  0.003      -0.167     ]"
"[ 0.06865542  0.05487571 -0.03384149 ...,  0.3870149   0.0225     -0.2145    ]","[-0.15722747  0.18806186  0.03762344 ..., -0.45117695 -0.025      -0.19500001]","[-0.07801781  0.12346962 -0.06849278 ...,  0.42437687  0.004      -0.166     ]"
"[ 0.06815542  0.05437571 -0.03334149 ...,  0.3855149   0.023      -0.216     ]","[-0.15572747  0.19056186  0.03612344 ..., -0.45267695 -0.0235     -0.19650001]","[-0.07901781  0.12246961 -0.06749278 ...,  0.42037687  0.006      -0.164     ]"
"[ 0.06865542  0.05487571 -0.03384149 ...,  0.3850149   0.0225     -0.2155    ]","[-0.15572747  0.19156186  0.03412346 ..., -0.44967695 -0.0245     -0.19450001]","[-0.08001781  0.12146962 -0.06649278 ...,  0.41937687  0.007      -0.163     ]"
"[ 0.06765542  0.05387571 -0.03284149 ...,  0.3840149   0.0215     -0.2145    ]","[-0.15522747  0.19206186  0.03362346 ..., -0.45117695 -0.023      -0.19300001]","[-0.08201781  0.11946962 -0.06449278 ...,  0.42037687  0.007      -0.163     ]"
"[ 0.06915542  0.05337571 -0.03234149 ...,  0.3835149   0.022      -0.215     ]","[-0.15322747  0.19406186  0.03162346 ..., -0.45117695 -0.023      -0.19200001]","[-0.08201781  0.11946962 -0.06449278 ...,  0.41937687  0.005      -0.159     ]"
"[ 0.06765542  0.05187571 -0.03084149 ...,  0.3850149   0.0205     -0.2175    ]","[-0.15272747  0.19456186  0.03312343 ..., -0.44967695 -0.0205     -0.19350001]","[-0.08401781  0.11746962 -0.06249278 ...,  0.41737687  0.004      -0.158     ]"
"[ 0.06915542  0.05337571 -0.03234149 ...,  0.3865149   0.019      -0.216     ]","[-0.15322747  0.19206186  0.03562343 ..., -0.44717695 -0.018      -0.19600001]","[-0.08451781  0.11696962 -0.06199278 ...,  0.41787687  0.0045     -0.1585    ]"
"[ 0.07415542  0.05837571 -0.03734149 ...,  0.3885149   0.016      -0.212     ]","[-0.15372747  0.19156186  0.03612343 ..., -0.44667695 -0.0165     -0.19750001]","[-0.08301781  0.11846961 -0.06349278 ...,  0.41937687  0.003      -0.158     ]"
"[ 0.07915542  0.06337571 -0.04234149 ...,  0.3905149   0.013      -0.209     ]","[-0.15022747  0.19606186  0.03162343 ..., -0.44617695 -0.021      -0.19900001]","[-0.08401781  0.11746961 -0.06249278 ...,  0.41437687  0.008      -0.158     ]"
"[ 0.08415542  0.06837571 -0.04734149 ...,  0.3925149   0.008      -0.204     ]","[-0.15022747  0.19706185  0.03062344 ..., -0.44617695 -0.025      -0.20000001]","[-0.08501781  0.11646961 -0.06149278 ...,  0.41437687  0.008      -0.157     ]"
"[ 0.08915542  0.07337571 -0.05234149 ...,  0.3915149   0.004      -0.201     ]","[-0.15122747  0.19506186  0.03262343 ..., -0.44717695 -0.026      -0.20000001]","[-0.08801781  0.11346961 -0.05849278 ...,  0.41237687  0.005      -0.16      ]"
"[ 0.09315542  0.07737571 -0.05634149 ...,  0.3905149   0.001      -0.199     ]","[-0.14922747  0.19606186  0.03162343 ..., -0.44517695 -0.024      -0.20200001]","[ -9.20178081e-02   1.09469613e-01  -5.44927812e-02 ...,   4.12376875e-01
  -4.57561997e-10  -1.57999999e-01]"
"[ 0.09115542  0.07537571 -0.05434149 ...,  0.3915149  -0.001      -0.197     ]","[-0.14822747  0.19706185  0.03062343 ..., -0.44417695 -0.025      -0.20300001]","[-0.09501782  0.10646961 -0.05249278 ...,  0.41437687 -0.003      -0.16      ]"
"[ 0.08615542  0.07037571 -0.04934149 ...,  0.3965149  -0.003      -0.194     ]","[-0.14872747  0.19656186  0.03112343 ..., -0.44567695 -0.0245     -0.20250001]","[-0.09801782  0.10446961 -0.05049278 ...,  0.41737687 -0.004      -0.16      ]"
"[ 0.08515542  0.06937571 -0.04834149 ...,  0.4005149  -0.006      -0.193     ]","[-0.15022746  0.19706185  0.03062344 ..., -0.44617695 -0.026      -0.20200001]","[-0.09901782  0.10346961 -0.04949278 ...,  0.41637687 -0.004      -0.159     ]"
"[ 0.08365542  0.06787571 -0.04684149 ...,  0.4000149  -0.0075     -0.1945    ]","[-0.14822746  0.20006185  0.02862344 ..., -0.44817695 -0.025      -0.20400001]","[-0.09951782  0.10296961 -0.04899278 ...,  0.41787685 -0.0035     -0.1575    ]"
"[ 0.08515542  0.06937571 -0.04834149 ...,  0.4015149  -0.008      -0.194     ]","[-0.14872746  0.19956185  0.02912343 ..., -0.44667695 -0.0245     -0.20350001]","[-0.09701782  0.10546961 -0.05149278 ...,  0.42037685 -0.007      -0.157     ]"
"[ 0.08465542  0.06887571 -0.04784149 ...,  0.4020149  -0.0085     -0.1935    ]","[-0.14822746  0.20006185  0.02862343 ..., -0.44817695 -0.023      -0.20300001]","[-0.09201782  0.11046961 -0.05649278 ...,  0.42037685 -0.011      -0.153     ]"
"[ 0.08465542  0.06887571 -0.04784149 ...,  0.4040149  -0.0075     -0.1915    ]","[-0.14722746  0.20106185  0.02762344 ..., -0.44717695 -0.024      -0.20400001]","[-0.09001782  0.11546961 -0.05949278 ...,  0.42137685 -0.016      -0.153     ]"
"[ 0.08665542  0.07087571 -0.04984149 ...,  0.4060149  -0.0055     -0.1905    ]","[-0.14822746  0.20006185  0.02862344 ..., -0.44717695 -0.023      -0.20400001]","[-0.08601782  0.12046961 -0.06449278 ...,  0.42437685 -0.021      -0.151     ]"
"[ 0.08365542  0.06787571 -0.04684149 ...,  0.4080149  -0.0055     -0.1925    ]","[-0.14872746  0.20156185  0.02712344 ..., -0.44567695 -0.0245     -0.20550001]","[-0.08401781  0.12546961 -0.06949278 ...,  0.42737685 -0.025      -0.149     ]"
"[ 0.08215542  0.06637571 -0.04534149 ...,  0.4085149  -0.005      -0.191     ]","[-0.14622746  0.20306185  0.02562344 ..., -0.44217695 -0.022      -0.20500001]","[-0.08351781  0.12596961 -0.06999278 ...,  0.42787685 -0.0255     -0.1495    ]"
"[ 0.08265542  0.06687571 -0.04584149 ...,  0.4080149  -0.0045     -0.1905    ]","[-0.14572746  0.20256185  0.02612344 ..., -0.44267695 -0.0215     -0.20550001]","[-0.08701781  0.12946961 -0.06649278 ...,  0.43037685 -0.022      -0.153     ]"
"[ 0.08515542  0.06937571 -0.04834149 ...,  0.4055149  -0.002      -0.193     ]","[-0.14572745  0.20356185  0.02612344 ..., -0.44167695 -0.0195     -0.20750001]","[-0.08701781  0.12846961 -0.06749278 ...,  0.42837685 -0.018      -0.154     ]"
"[ 0.08365542  0.06787571 -0.04684149 ...,  0.4070149  -0.0035     -0.1925    ]","[-0.14422745  0.20506185  0.02462344 ..., -0.43817695 -0.021      -0.20600001]","[-0.09001781  0.13146961 -0.06449278 ...,  0.42937686 -0.017      -0.154     ]"
"[ 0.08265542  0.06687571 -0.04584149 ...,  0.4050149  -0.0005     -0.1905    ]","[-0.14322745  0.20506185  0.02262344 ..., -0.43317695 -0.024      -0.20300001]","[-0.08901781  0.13046961 -0.06549278 ...,  0.43137686 -0.014      -0.153     ]"
"[ 0.08415542  0.06837571 -0.04734149 ...,  0.4055149   0.001      -0.192     ]","[-0.14422745  0.20706184  0.02162344 ..., -0.43217695 -0.024      -0.20200001]","[-0.08901781  0.13146961 -0.06449278 ...,  0.42937686 -0.014      -0.152     ]"
"[  8.51554124e-02   6.93757103e-02  -4.83414935e-02 ...,   4.06514901e-01
   4.43508390e-09  -1.90999997e-01]","[-0.14622745  0.20706184  0.02162344 ..., -0.43117695 -0.022      -0.20000001]","[-0.09001781  0.13246961 -0.06349278 ...,  0.42837686 -0.013      -0.153     ]"
"[  8.71554129e-02   7.23757101e-02  -5.13414931e-02 ...,   4.11514901e-01
   4.50467214e-09  -1.86999998e-01]","[-0.14522745  0.20706184  0.02062344 ..., -0.43017695 -0.022      -0.19900001]","[-0.09501781  0.13746961 -0.05849278 ...,  0.42337686 -0.008      -0.158     ]"
"[ 0.08615541  0.07137571 -0.05034149 ...,  0.4105149  -0.001      -0.188     ]","[-0.14622744  0.20806183  0.02162344 ..., -0.42917695 -0.023      -0.19800001]","[-0.09701781  0.13846961 -0.05549278 ...,  0.41937686 -0.004      -0.161     ]"
"[ 0.08565541  0.07087571 -0.04984149 ...,  0.4100149  -0.0005     -0.1885    ]","[-0.14672744  0.20956183  0.02112344 ..., -0.42867695 -0.0245     -0.19650001]","[-0.09701781  0.13846961 -0.05549278 ...,  0.41937686 -0.003      -0.164     ]"
"[ 0.08365541  0.06887571 -0.04884149 ...,  0.4080149  -0.0025     -0.1895    ]","[-0.14522744  0.21106182  0.01962344 ..., -0.42717695 -0.024      -0.19800001]","[-0.09501781  0.13546961 -0.05849278 ...,  0.41737686 -0.004      -0.161     ]"
"[ 0.08415541  0.06937571 -0.04934149 ...,  0.4045149  -0.007      -0.191     ]","[-0.14322744  0.21306182  0.01762344 ..., -0.42817695 -0.022      -0.19800001]","[-0.09001781  0.13046961 -0.06349278 ...,  0.41537686 -0.006      -0.16      ]"
