rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 69.98683942  19.98815736  29.98909753  59.96716248  89.98416505
  69.98683942  19.98815736  29.98909753  89.98324418  59.96716248]","[  29.97689203   89.95820473   29.96997199   29.99038503  119.96470035
   79.97906007   79.9051549    19.98922486   39.97209189   79.9773628 ]","[  39.96577372   39.96388629   19.9660043    59.96617951  139.85744084
   49.9338446    69.96943765   59.97283612  179.93871275  149.90184188]"
"[  39.9749578     9.98435668   29.96929883  179.95635482   49.95225363
   19.9725802    59.9818001    19.99089085   29.98848229   19.96971765]","[  29.99341565   49.92993261  109.95503769   49.97326772   89.97690709
   29.99011307   39.9561184   259.88253437   59.97388721    9.98701319]","[ 269.87904833   59.95253577   49.95056764   49.97915734   59.96625303
    9.9799789    79.96292727   19.96507132   19.97347732   59.96469375]"
"[ 19.99099676  49.98885423  19.96764845  19.97295984  59.98331936
  19.99099676  49.98885423  19.96764845  59.98226781  49.95582716]","[  69.95652218    0.           49.98460367   59.97463551   69.97307847
   49.982233     29.98544111   39.93245398  119.96928591   39.98664313]","[  19.97842769   69.93155203   29.97292242   29.97137685   19.9734469
   89.96673465   19.9804568     9.9804432   259.88730757  399.69289123]"
"[ 109.97155894   59.97698039   29.97893443   39.93603348   29.95860267
   69.92124864   69.96841552    0.           69.92124864   19.97576999]","[ 49.9786363   59.93233564  39.98235564  39.97957747  29.96479123
  99.93944903  79.96105284  49.95063469  19.97341468  29.96427933]","[ 119.94935764    9.98851654   79.95994331   69.95905468   79.92220679
   49.92743152   59.96322495  129.95609512   59.97064393   39.9504035 ]"
"[  29.98048802   29.97945631   39.97340297  149.95841549   39.95622402
   99.95345584   89.96544955   29.97339346   19.97603637    9.98334698]","[ 59.96708798  39.96656862  29.97278756  29.9609424   29.96849235
  79.96366134  39.97035582  19.96641722  59.94968839  29.97261854]","[  89.96050115  119.92629266   79.95147551   39.95114316   99.98045258
   19.97698968  139.93686649  189.93788605  309.84661811   79.98240039]"
"[  19.97665595    9.98350987   29.98117948   29.98030387   39.97391564
  129.97088379   59.96890745   99.92366782   49.96523414  129.97088379]","[ 39.97063842  19.97981348  29.96775769  19.9841859   49.95907704
  99.94121475  39.99100927  29.98607841  29.98336024  39.96718044]","[ 289.85000402    9.98382186  129.92678096   49.94340307   29.97421544
   39.95758148  109.88739949  189.8107708    49.94994034    9.9830454 ]"
"[  29.96572619   69.97150183   39.96883159   19.98373892   99.97238321
   49.98459692  139.95843069   29.96871322   29.96884316   79.96455441]","[  29.97702917    9.9883605    29.9528216    69.95027455  109.91660468
   39.9777596    29.96999697   39.96846474   19.9837286    39.97035991]","[  69.88719876  149.86797177    9.99123128   79.92271359  189.89428857
   29.96114894   69.95776387   19.97791514  129.95936347  129.91407241]"
"[ 99.93929248  29.96458793  69.97355077  39.96978795  19.98390577
  99.93929248  19.9823629   29.95914414   9.9836955   59.96581466]","[ 69.96913677  49.97969222  19.97649698   9.98450066  49.95914353
  89.95996383  29.97250217  19.97748884  49.96593782   9.9833196 ]","[  29.97739569  129.95277433  149.75614726   29.97131242  119.91240736
  179.92844164  119.87175598  179.93678155  129.92767335   69.91549704]"
"[  9.98176164  59.9652022    9.98363725  99.8929731   39.97504435
  79.97238444  69.96689569  49.9650287   39.98923964  59.96246043]","[ 29.9912888   19.98831286  49.97858498   9.98491163  19.98525805
  79.96407243  59.95590985  29.98666592  39.98453954  29.98225833]","[ 159.87590123   49.9494688   209.9422319    99.89997059    9.98098137
   29.96313918  189.894782     49.96818016  109.91932227  119.92441339]"
"[ 149.84938806   19.96781255   89.94154018  199.85866476   29.96064789
   19.96940112   19.98477412  149.84938806   19.96781255   49.96564358]","[ 39.9827373    9.98620696  59.96127397  59.92850233   9.98229843
  49.97004592   9.98841388  19.96873817  79.97880206  59.96079992]","[  19.96896392   59.9740533   119.94380664  259.91468233    0.
  139.81156902   69.93793164  199.90459558  169.94680421  249.78989411]"
