variancceSgd0,variancceSgd1,variancceSgd2
1283.381388438713,1309.5706940723207,8215.005100927743
1998.764356381716,21496.429974238286,16265.245392123314
874.5454853346632,3411.091756429758,68815.98583539389
1481.5168992260567,1068.0492205274538,1725.7822147737234
655.5587583685151,2266.1170652588366,36949.95792057445
1605.2301075633368,2039.5868412213179,19831.07008737552
1936.3155979639382,3103.712151457284,3714.67754332663
1178.7940837401695,1404.0164172867715,7323.468794266439
477.73143266232194,1111.9143929638458,10103.090373035204
2152.3972052894305,870.0008795930596,102974.77854497322
5357.181280854886,1246.6287610509207,15713.52098729633
118530.05693943688,2906.171891128986,7729.112255559281
33936.57948718054,1548.3063042308113,36138.55013823667
51911.49542222147,2082.8217487603756,3944.6500228399373
49372.962597865,3155.2377241307145,20727.15687087815
24340.91140181885,1299.578582669817,10506.078490790167
225567.3874289931,1957.494371321319,19266.17654943332
476456.0749854767,1572.562917366531,40155.67154002693
214143.91648667536,1853.2482788502691,91329.53348509196
169122.34773292375,1326.3877980401878,30391.053046041743
82786.71179113114,2104.546803135145,42952.28381202752
150485.7552161485,1091.9079476517704,40168.51730983835
47628.47205177617,1196.910661603176,6806.779384916993
32432.79497781175,1504.8094658014895,497039.1986195799
225373.02617118205,1400.6814388776197,90200.81628454363
31042.89919016939,2067.7306535970765,188543.6773044166
532053.0574309023,1309.7578632781529,106728.6673588886
79547.62066658902,885.7182643413831,12720.433184511556
52619.22006273624,1438.5422024920217,35204.63466589137
88455.55909328026,1643.7281739721925,18028.751067071724
341380.1539608133,701.8818656191867,127419.45232961446
2729732.651463981,429.98016882288647,1225555.8066702974
179683.566421716,788.650905981112,426097.2033688458
149104.59244213754,1449.088024740497,156581.24912373096
183547.2327794197,1403.191843731345,360087.716762525
322072.3521011668,2100.0357957504652,477503.4579592764
223903.7499929076,851.6564619076028,966768.3250903896
1548639.8857823913,2005.0307317270285,75816.84682603134
2135133.25202673,840.3853468361056,87809.13265841863
443505.0208823533,1132.2000662966543,42303.28287870785
3319448.1794051547,2026.3615048910442,24779.279389701253
684413.3965156858,1874.0593516671124,64731.932129810455
217354.25304913253,1274.7667905229237,24264.946156866903
651707.9072710022,1981.7821278015695,7361.08582288407
933422.1967377212,1569.3149430157828,66522.75088898782
341390.59306076233,1560.2360621870819,402356.6614090051
680867.299793231,3405.0459805357705,82424.2646241201
1355334.8460670551,1730.0230207710877,110173.15539486514
2745640.1221113135,717.4272900371889,785669.1280490058
2367598.237860919,21.328854630660246,31191.029378802163
611364.884510872,41.922834490683755,148299.69824566803
543136.8680522782,117.88445045196575,39821.242413283515
520831.1192444271,41.83623173512246,43635.91209191146
1066055.0374467298,959.2112624200889,855315.80124376
890586.6448614757,393.5444170030004,116027.46795989983
1835779.908923462,599.5619737279601,64988.92788677073
5441800.376566748,75.14901282573919,62182.019163673205
1694550.1807269484,1226.4041809080031,50974.687495312435
