rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  49.98037314   29.9870397    39.98207392    9.98400926    9.98095397
   29.9870397    39.98207392   29.98667993   69.94101493  109.96175042
   29.98667993   69.94101493  139.91602328]","[  29.96185571    0.          129.95994616   69.95539477   39.9524992
   29.96830054   89.9072172   209.88740628   59.94182963   89.94436117
   59.97397104   69.92550328   89.95279167]","[   9.99100111    9.97986596   89.89770656   69.97666364  209.94117424
   79.8877186   119.90909982   79.94825114    9.98746995   29.96229915
  139.93932292    9.9856256    69.89010551]","[  69.95406702   29.96030319  139.90453322   79.92615403  429.66730397
   79.94393264  279.84902585  219.90993572   99.96787771    9.97970523
   49.95642943   39.94593118  149.93818153]","[ 119.93400109   19.97037632   89.91113667   19.96772838    9.98840638
   49.95245367  179.87780857  229.83282302  219.93513631   19.96976557
  319.92259071  299.8958412 ]"
"[  99.95143062    0.           59.93284153   69.94152616   19.97423398
   39.98664421   19.97998378   79.90138894   39.9334204   109.96446684
   29.98889352   89.94641383   69.94281398]","[  59.96031621   39.9498642    59.97405713  209.88959842   59.96337462
  179.9412828   199.8587851   109.92647796   79.9222898   159.89293651
   49.97229716   29.96703098    9.98452476]","[  29.95796381  159.93112001   79.94342196   79.97474595  119.91096506
   19.96809663  359.93426609   59.91850994  229.84358982  239.77475463
   49.94079437  279.9177852    29.98039985]","[  39.93980375  369.7461875    49.96198552  159.90425351   19.97276182
   59.95943841  439.82984496  129.95115291   89.89887413   99.90993173
   29.98680736    9.97911671  169.91873299]","[   0.           19.96813972   39.95856558  159.90626255   89.96927424
  129.95955548   39.93286227   59.93566497  189.93251606   59.90720737
   49.93721265   49.93057556   29.9611869 ]"
"[  19.97472545   39.98803062   29.96098019   29.98586143   19.97815234
   39.98635642   49.97648196   29.97343669   39.97053107  119.96816038
   69.96609055   29.96851348   39.97172962]","[  79.95616437  219.84970253  189.9375094    39.9511356   109.84542954
  139.95125384    9.98585724   89.96944462   99.92766333   59.94335384
   79.90680782   99.89337271   29.9628013 ]","[  99.90609954   99.96729141  129.91079489  149.9346578    49.97945702
  109.9352785   329.90419747   99.94740912  319.90104717  149.94155638
   89.96334357   29.9606812   579.80138295]","[ 379.92051098   99.90950938  109.92460554  129.89842959   69.96602039
  189.81901159    9.98032818   99.95079405   49.93632538   89.9433461
    9.98160116   39.94276176   49.94957017]","[ 119.91280756   29.97828165   99.91353929  189.92830037  169.83936842
   19.97204675  179.89023276  239.92327936   39.95430329    9.98431478
    9.98767042   19.96293684   49.96393543]"
"[  69.97574821   29.95569027    0.          159.87686716   39.97916926
   69.88416071    9.98013066  109.94579835   29.97868483   39.96292032
   99.928831     79.96749078   99.96572254]","[ 109.90123191   89.86037455   29.95984133   89.90345724   49.95890725
  109.86887091  199.8937598    69.91985742  139.91432765   79.9530411
  109.91059012  159.83720749  149.91385133]","[ 109.96419954   79.90188407   39.96337343   29.96123965   49.92337666
    9.98273302  119.8872161    29.9497756    19.96367646   79.90140845
   89.96328236   49.97368871  369.81647633]","[  19.97778598   29.9584165   129.96004225   39.93459682  219.93543629
   59.97290341   99.96576671  169.94996046  199.89772986   59.92526892
  149.94359389   59.94631293  289.83867153]","[  79.95360532  149.88768092   69.94767627   79.96938179   59.9842772
  319.91417632  169.94814797   79.92439898  389.88541833  249.84955631
  319.90931854   89.95944612  149.96688773]"
"[  39.98017316   29.99111475  139.92203667   49.97822941   49.9830845
    9.98282132   49.97717704   79.98596295    9.98094883   29.98298834
   29.97687849   69.97696041   29.98606957]","[   9.98858843   49.97672354  169.94818259   69.968238     69.91012881
  209.93504621  179.91895777  109.91353744  129.85620025  269.89016561
   29.97261891  109.94825228  169.88861547]","[  39.96347501  299.87975866  569.73621389   49.91770638  119.92080791
  139.96431853   79.95183165  109.90218519   69.95558126  329.77152027
   69.92740722  329.7848067   129.93160984]","[ 579.7103182    99.96220044    9.98018612   49.92178726  119.8704648
   39.93343772  389.84737062    0.          149.87170786  199.91454147
   29.95316433  189.94336978  369.72473718]","[ 169.84671451  139.90399224  419.7861647   389.75725105   29.95174705
   29.95097942  109.86050071   89.952074    269.8959771    49.93986883
   19.96002141   69.95242967  369.87826402]"
"[  69.97971105   29.95812242   49.96388128   59.96503725    9.98349907
  239.83202043   19.98171196   49.95263695   29.97566417   79.95666267
   19.97335874   39.98343193   59.96553419]","[ 199.90873043   59.96348705   79.92597861   49.94375536  159.93761666
  439.87227459   59.93242401   59.9553639   109.91707259   29.96236367
  169.92344418   79.9500714    49.9603742 ]","[ 199.84177911  259.89852502   39.95367248  559.75769218  539.87747065
   69.97979164    9.98067779  129.91018941   19.97468659   79.92180956
   49.94981437   19.97180537   79.91436056]","[ 199.937247    279.82839508   99.94590719   89.89875226   19.9729559
   99.94852307   99.95138958   99.90953606  139.9179447   249.80723375
   59.95565445  139.83680783  369.80867039]","[ 159.88236652   19.97276596   59.92852179   29.96578774  299.78696755
  209.79943162  139.8886859   169.89320036  229.91720028  109.9310267
   19.95948479   99.92273431  129.92132529]"
"[  79.96990747   29.9838279   139.87764446    9.98096753   29.97570435
  189.88494382  189.88494388   59.96870628   39.96716259    9.98198326
   19.98728018   89.96580115   49.96303057]","[  79.90259577  289.80868037   69.97120031   19.9801426    39.95841556
  109.94484736  239.87101532   59.97003997  149.92349874   69.90068378
    9.98179805   49.93675357  219.84322358]","[ 249.84979434   99.95098802  209.88161482   59.90508609  369.87584231
  159.83246019   59.96402601  209.92085859   19.96762743  259.82596566
    9.98569789   59.94012876  199.90363749]","[ 119.96578215  219.89582048   69.95449636   39.97120555  229.88950488
  119.95098168  979.55779044  349.73954481   19.96923539   79.92838884
  129.95268208   39.97072612  479.84007145]","[  69.97175095   59.94970485   99.94526172   19.97858256  189.91706459
   39.93159812   39.96728694   29.96003678  149.94384971  149.92850651
   19.97548824  159.83164623  219.89878072]"
"[  59.97039624   49.95605172  129.89256583   49.95605171  199.88417285
   39.95746019  139.96829238  129.9788102    29.97577428  129.90431726
   69.91710338   39.94752313   59.96663874]","[ 139.86383978  279.87600244   29.97223276  109.92501116  179.86270865
   29.95396417  119.89532146   79.91400705   69.89634666   49.95949088
   59.93234026  119.87669344   59.90020584]","[  99.865793    419.70518967  459.88852451  109.92460294  109.92549418
   59.9586492   229.90146747  129.87772155    9.98277469   19.97644096
  189.94353859   29.95810602  709.81775785]","[ 159.9057093   159.94677119  299.87058367  489.83082105   59.97981508
   19.96264767   39.93067455   79.95096712  149.94119482   99.91401234
  169.84619252  199.90538774  179.84654548]","[ 109.89644359   19.96204814  299.83005089   79.96802824    9.9818185
  229.94089504   19.97766154   59.96352504  189.84946807   19.97102366
  249.89225437  159.89089244  259.93490902]"
"[ 169.93501648  219.81397613   19.97028202   69.96764597   79.95694545
   79.95645654   79.97442627  119.8774546   209.87423677   29.98005814
   49.94373306   89.94788233]","[ 109.89433952  259.92189846  139.92581034   69.93332376   19.96735984
  429.9066781   119.91778698  109.89096954  169.86084784  129.9210346
  109.87569815  169.76241863   89.93788998]","[  49.90525767   29.96601934    0.           29.95925504   49.96422298
  519.77495585  359.8204952     9.98415332  559.8722583    79.93842226
  319.88806969   79.90555224  269.87260938]","[   9.97911015  269.82088985  639.70139352  119.94147941  619.65048017
  139.89018028  409.85432764  249.88033532  879.72009909  429.89266764
  219.94315019  149.83372286  119.92924416]","[ 149.88845058   49.93649926   19.96817137   19.96355455   89.92189202
   89.92905338  169.89991643  139.89434721  229.82360503    9.98378265
   89.897222     49.96285424]"
"[ 189.93375769   89.95187238    9.98508087   49.96386696   89.9481955
  109.94046867   89.93942102   29.95772399    0.           99.97116598
  229.87184725   29.96933894    0.        ]","[ 199.87839488  299.71053005   69.93368071   99.90029774  149.94926655
  179.81664133   29.95695336  329.82239134  159.83682679   69.90147115
  169.88131945  279.89469323  129.8961945 ]","[  69.89485233  279.86699529   19.96156499  279.81564167   29.97233876
  129.95112991  489.88240934  239.79774027   39.94715071  109.92368252
   19.96299533  209.88377508  329.85120771]","[ 149.92899641   89.9332765   469.76461867  149.89589345  899.77147753
   39.93639522   59.93996788  489.64477303  349.92348591  519.72711727
  119.92409432   99.92192664   19.96647424]","[ 309.86998721  159.91134007  309.88826075   29.97818594  149.88166832
   59.94308198   89.92997755   79.9334448   139.86700828   49.96329982
   39.93543137  429.69795229]"
