rewardsSubIter0
"[-11.97620881  -6.98299642 -11.97620881  -6.98299642 -12.60019046
 -11.97620881 -12.60019046 -11.97620881 -12.60019046 -12.60019046]"
"[-12.06129163 -12.06129163 -12.06129163  -7.1849181  -12.06129163
 -12.06129163  -7.1849181   -5.6908617   -5.74390618  -7.1849181 ]"
"[ -7.20786114  -5.8190607   -5.8190607   -4.20551232  -7.20786114
  -5.8190607   -5.8190607   -4.20551232  -5.07526734 -10.78916553]"
"[-3.31909226 -4.17595381 -3.31909226 -4.17595381 -3.31909226 -3.63713582
 -4.17595381 -4.17595381 -6.5010271  -6.5010271 ]"
"[ -5.46157727  -3.71997936  -5.46157727  -3.71997936 -10.01714227
  -9.88123676 -10.0800172   -3.51654379  -5.46157727  -4.92359159]"
"[ -3.40478501 -10.02290541  -3.40478501  -4.7834701   -3.40478501
 -10.02290541  -3.0788441   -4.7834701   -3.40478501 -10.02290541]"
"[-10.64590284  -3.41906431  -9.44821831  -3.41906431  -9.44821831
  -3.41906431  -9.44821831  -5.02479734  -3.67613529  -3.41906431]"
"[-10.03560169  -5.88429251  -3.46803066 -10.69891029  -3.6706806
 -10.03560169 -10.03560169  -5.88429251  -5.88429251  -3.46803066]"
"[ -8.84091769  -2.6889823   -5.31288733  -9.92806662  -2.6889823
 -10.3548541   -4.45991255  -8.84091769  -2.6889823   -2.6889823 ]"
"[-9.93951369 -4.22010988 -4.60298745 -5.98853619 -5.60439005 -4.60298745
 -4.22010988 -5.60439005 -4.22010988 -5.60439005]"
"[-5.52242595 -3.80090729 -5.52242595 -3.80090729 -5.52242595 -3.80090729
 -3.98585068 -5.52242595 -5.52242595 -3.80090729]"
"[ -7.43307411  -9.88520957  -3.16624557  -5.95276411  -8.76613696
  -7.43307411 -10.15146878  -7.94365667  -5.95276411 -10.15146878]"
"[-10.05958317  -8.01907739  -5.63114724 -10.05958317 -10.05958317
  -8.01907739 -10.05958317  -8.01907739 -10.05958317  -8.01907739]"
"[-8.05152395 -6.2512682  -6.21919073 -6.2512682  -8.53262734 -8.05152395
 -9.51741689 -8.05152395 -6.2512682  -8.53262734]"
"[-6.12966187 -8.72413617 -4.78057877 -2.38834442 -8.72413617 -6.42626072
 -9.08562966 -9.40785529 -8.72413617 -6.12966187]"
"[-6.28162174 -9.15241878 -9.15241878 -9.71077301 -9.71077301 -7.44580584
 -8.18477979 -6.28162174 -6.28162174 -9.15241878]"
"[-9.69917522 -0.79299172 -4.50005226 -4.17939365 -0.79299172 -9.69917522
 -7.89650829 -9.69917522 -4.17939365 -4.17939365]"
"[-9.10503095 -9.9197472  -7.70654031 -3.69356916 -7.70654031 -3.69356916
 -7.70654031 -7.70654031 -3.69356916  1.45215996]"
"[ -3.56529909  -4.66203042  -5.56836828  -4.66203042  -3.56529909
  -0.35925026  -3.56529909  -0.35925026  -5.56836828 -12.67706977]"
"[-4.76467758 -9.26578587 -1.76799176 -6.04589786 -9.26578587 -1.75462243
 -4.54564347 -7.17430051 -5.47509267 -9.71026883]"
"[-5.34936928 -4.51371478 -6.0606936  -5.34936928 -4.20743471 -9.68207639
 -5.34936928 -1.12706095 -9.51184614 -4.20743471]"
"[-4.1102462  -8.63507811 -2.04690919 -3.86060687 -6.57050713 -7.6414872
 -5.99444563  2.21413417 -4.88387589 -9.37108601]"
"[-3.68356427 -9.78599064 -9.75876495 -1.71307024 -8.53759203 -2.60915249
 -3.68356427 -3.68356427 -9.78599064 -2.60915249]"
"[-9.82997354 -8.86258099 -2.96975298 -6.25636114 -5.169459   -3.2144947
 -9.82997354 -3.2144947  -3.2144947  -3.2144947 ]"
"[  1.31199143  -8.34456429  -1.53686775 -10.93433254  -5.65056566
 -10.93433254  -8.34456429  -5.65056566   1.31199143  -7.9322184 ]"
