variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
4763.478526647172,6797.571483820056,1615.3953004157727,41939.423157604346,8325.89622515202,9127.193748641042,4070.633338032288,16313.601255101912,19065.012035199245,9653.108249290959
3368.701632909204,13365.264736623847,3990.438486931367,4043.805955185697,2563.7779544291434,28661.70782439918,25067.37499256055,19085.899594908704,20832.21654361624,17056.392033990807
3275.4856897608365,13941.38600752933,10378.069642474633,4399.210471170605,1940.1877115288924,4200.762707192949,10077.64096620709,7634.23881253754,6144.1109912479515,2463.118634451604
6049.1839202436295,3284.174038856746,1183.0798216519656,9876.481233099286,3672.9991755062683,16441.961611718467,8850.129831388462,6084.541203285427,4270.500630674103,101093.22595173835
7508.6248487309185,11866.973666647462,3368.9428088558534,7415.950268491837,4082.781721378253,5945.6120279762545,2196.698080748346,3806.2324873325115,41322.655295331744,18457.0717363159
8119.850160000171,24476.87068796404,4204.50603352689,26252.51414016095,7312.403969438762,3425.9353588167496,14667.975339764922,7275.127769789954,31850.155992061296,11779.10771998739
22536.549222034602,7759.743968874907,50183.475390938416,22482.21830636092,7060.804821265695,22212.165864155937,10702.298310717712,11447.800118738594,4303.184110913089,4601.74137846679
17066.200265501597,23345.207616247673,4527.317433423532,4412.053631110262,9099.191219371118,6174.387839811223,9506.751423964615,8011.016520065659,3014.619798503053,4415.273726471549
16547.304037585945,8731.727994704532,97486.12486776948,40616.809705129825,3737.3891617845024,34362.26183720822,12073.075617716506,24923.07741382846,10534.276854495258,4548.99645029206
5475.362378659326,13189.435033194564,560.9953127979949,14693.791628509047,8227.895363083477,10588.882398166279,2014.9984228680416,9487.623630056396,2982.269299493958,15392.304212497544
14934.170409632472,66347.19738959815,54601.88362169618,4188.757183203382,1681.2631477920272,4315.350688335555,4847.077700467571,13966.882312486638,18153.818167099507,153014.098422526
13151.543763317659,3907.084617333247,3640.795618511251,14105.72945095263,2789.1850430275745,16363.66819657145,4807.144676957855,1952.0049536541078,2843.27301220175,3262.0730927905356
11493.253209102491,8000.74026399654,2080.6782096385764,15001.110319017036,20495.34039761617,7390.694502174039,4051.500957489705,7038.299571306474,3998.54964986681,14188.746179285095
7037.792075120342,19573.1772184252,3353.2985144905347,4194.587710330112,17147.99357391848,11281.551627801888,3673.442370214292,6447.0257933818675,3103.2886522560893,12398.259368406169
7440.602799211303,22247.11610405762,7947.715543647304,9780.565093145273,25835.053099676625,8127.368986195403,2469.7971052779735,20957.27298113642,3806.0893504383803,21777.326093237032
5920.408688729043,6092.90980385934,13599.711998088205,4278.884792204302,13940.446033118296,2247.035846084465,31403.034858923922,6774.079830575087,8624.95675376673,5248.10684686457
35228.42732430792,13865.263192189072,2498.1954999891436,35321.53265405907,6235.497834613825,19925.63706796708,14920.129934384726,19395.92256808831,5118.32494052798,10814.16064399166
34433.94171192141,14591.335577004926,16459.024426419848,7484.0012643433,9578.283803908795,4323.6582992443045,116045.36921912737,12738.878496801532,33655.62767776153,12534.78389151794
42946.11194160362,6844.458348647145,5797.167483260973,5353.528741174008,4628.08913166626,13360.837583080352,46566.99032919132,34956.538737927265,13719.784348932484,6286.60886777138
41919.42143229561,9341.179258786626,14635.85957571338,9561.51920432964,7642.1749784926415,17518.47909167557,7163.782889399134,9129.83494996196,2075.1191783779154,16780.661355587516
8410.264891821767,11524.457592936662,6341.425513106594,3587.1003312526395,8619.124172472886,2662.1110242912855,6438.096691443306,5794.794481642031,11893.969138528772,13762.83947799757
7263.226448852187,48964.36842343065,6762.253354278837,15443.33528789042,16326.135561619829,28184.59026973945,2861.794133711688,3825.832894528795,10404.068266310042,18962.100553793312
130513.05063959438,11938.39651454788,5347.707874621351,14214.702218174094,7930.935898305548,9732.335682715116,40984.67453448126,31170.68794496264,4389.5008540658655,5026.921161858954
4005.171401272846,13255.552177633483,6779.170119682663,7749.3971531601155,4972.123497561417,12118.610983946342,42321.81271208794,8229.112360239922,3713.1599745460926,6876.112920451825
19380.938735637224,26423.151703698553,5953.986571147224,6167.322853945987,5825.581440734013,6362.082870781827,16902.66986710248,17155.65784493936,14408.395522678844,20278.87647391914
3656.4610387973034,52171.73258023378,30656.809995821255,71889.38163568942,16485.610631380296,4411.547233235187,18195.312022769853,17660.025197044633,8825.91962497694,7721.73263396159
5087.3912570577295,10376.979578334578,25937.42704385481,4625.805356454161,1499.9292803640496,10425.364958906195,16092.335633476174,12291.38651257868,22432.998562426215,23436.055558768814
10694.781664643255,11569.44880530515,4072.4110325478996,62642.92309193271,51321.369533191726,6984.2465843669215,6529.815467557066,6734.751083293002,14182.464286207225,34230.86289691797
5691.1306853049155,8574.651771476143,2624.959221435071,5750.69525159159,36981.23446057679,11342.692011822966,5786.275936541528,9579.33423100169,3012.503402994881,7959.615429159131
74282.59775138993,6925.809092969728,4942.280726883267,10671.045309536084,13453.291281843694,4074.77026919941,24115.5194306387,13340.572663262486,16291.092778854148,25316.18613594377
11406.86876572436,9094.087831571487,16093.54889894596,5545.036266659223,37514.88752817674,8941.630872670754,7261.6050508889775,7997.43520249679,7355.669485792545,4562.995481926628
52720.89333127129,19222.18362707561,36338.95855288085,18624.476242157907,4628.544807429074,17659.373625565564,58090.34637946726,42027.35587741399,17281.15586228608,2126.1821757070265
29232.8568924969,14407.414401127015,4906.57885902764,14874.073240621481,6513.551708071194,18784.630262927596,187963.6960734462,3093.721919669285,24490.188801481403,12536.439025496613
26371.610462937264,278159.2723011732,1104.9895221658694,20849.65543662308,18416.573670809757,61382.13626805987,41424.78514285802,118017.6309483338,24869.71555430718,35104.37520580275
12857.128762701432,29459.7055236962,5912.081410679162,16670.8741807218,11149.683022868077,5782.432202420875,4731.976497578773,15388.21943924382,2668.419601058783,25037.2110550595
8073.382941801974,91078.35039424925,3901.550863533975,16838.01809939001,17215.239753770784,21081.76011559923,57234.43728793972,35409.45551952607,12767.278205036113,8336.232088143162
3072.150570691103,10400.811690090133,1999.2833866570636,7434.591241004002,23969.99816755376,5000.75070915129,16219.690947109739,30413.119398593022,19817.660632431664,2890.0794366057917
37097.18135970702,14894.733769499859,15005.421263661807,16259.217005567341,13557.600766492404,23444.178240893845,3271.895323374253,1405.7731393086133,20511.081813787405,7713.586392566724
11443.11555125451,21282.926473161522,10736.330136841938,7565.442670747619,15212.777722821544,41573.77309338704,50392.37722490824,13850.368184059284,4705.20938697477,47054.21916171576
27810.618007259174,20825.824802557174,25706.556677417815,9025.358689295754,31185.9712076679,28920.530968734834,37697.49326237529,161283.4117169673,17701.244600129685,40546.36812785084
33470.22069556329,83386.42571240693,3180.753848126489,22223.32916032514,3750.838787763978,13888.154946860148,11490.530529773907,61940.28701839398,57621.84541969485,11945.299165549564
16312.49789583097,75388.21762340081,56282.44745868336,16981.265213848143,6108.8656724337925,33165.79567772123,43939.98326861348,7729.00458168705,21006.70188824576,20759.79837645952
3982.010118794485,13734.733717668365,7619.0426562610155,10757.709098563473,9246.564357323594,21896.95333084206,4665.35865718635,30052.669936836654,8909.017333800795,77091.50828367853
