avgReturn0,avgReturn1,avgReturn2
43.48919035575594,30.397334063445456,36.29268876212366
61.27916631225886,53.75026069879075,48.320911924538954
65.27156814856667,65.32094776720909,44.03727017365042
70.79511607160195,75.86136074501427,57.942853441946234
82.87264176087739,80.76009013377599,70.2080839436018
58.767686970676664,71.75259045407465,71.5795323784778
82.38243121469459,72.27502395121557,66.4463285539273
101.326339323389,66.57519346154477,66.7591189772192
78.0540828997332,76.26145498975471,76.76802448480743
116.71669523493301,77.6380474766086,64.36080795081133
76.40083110953681,99.57784305720428,77.66861497185783
101.60105325836831,108.49140503657596,76.26455746175647
135.3482974412074,113.27193848326255,82.06770768190385
90.6619051306788,107.39798261369542,67.2698016909407
79.90105863453124,108.56610881759313,64.29200085154848
108.71454950246117,85.03624420502881,63.306344066023996
114.73279325421142,107.11854827511083,77.81221218988907
114.31145529250979,111.6951105271756,77.09364365011255
99.98294659656618,112.66299484918504,52.09737602870599
114.8855236983216,103.10940035709565,55.45221576916561
125.82508802468595,113.85534469543582,71.36674991720842
125.39414114162558,119.2091934794866,71.74378368755163
106.03644164999166,125.43892289126002,81.7298489759893
110.3504778136442,124.17520427180106,76.97379037568265
91.60432620134704,128.24991246732733,90.61574241445778
123.405320951863,133.32374444432932,54.50874442658698
131.89243403530693,134.49106806091007,66.07436984547007
146.903145082233,163.35761880101435,88.58020782656637
121.81570979746138,155.11013746305312,76.11143790559645
149.71569405197587,157.3094551420581,85.62464427305093
113.56359656784834,146.5151912983484,84.09539105322463
132.81831194477937,143.84996357981746,74.78855656685691
126.31578213231914,159.8936210812193,79.76961034855067
143.81210483498916,144.47634615648897,112.47124006431011
160.546705486975,160.70140227723024,98.76289510698477
136.77510120008284,172.1970724179247,121.62273201560731
132.75727087531277,170.81084851636368,101.90142127005805
142.3950977406896,154.2629866672539,104.85968530549569
135.0003611491429,156.87648177245603,101.43021846190095
135.39272404888672,165.08022169558888,106.5704586276333
182.65690222596456,165.79513983365842,149.4254952680275
187.89233518085106,186.67310764690964,126.98665066342262
154.18909678809703,154.5077366675596,140.92210508060836
155.67786633130942,154.73571499932726,167.50534722551959
156.5819612995626,160.28908485739706,139.62228317528442
178.98273920205474,163.30990306330796,144.31491748261857
171.10788546446886,160.40774263893772,122.54888968916089
156.3347358048644,153.00110299895428,152.76508687702042
149.66785021719934,166.76003559094704,129.05437661998295
175.2538810474865,162.0601165975145,147.91779207217232
174.0795008701336,163.9346384016217,163.57563072756216
187.78552696370437,174.70718170753227,150.91559274300118
191.39621084383984,173.1842314780755,159.05900252134575
164.5320911886535,160.10280262270257,160.4862204123922
170.32906823777623,159.01698614697156,163.08997421506078
194.48100180877805,158.76361603939753,160.30875563908964
174.15119828098105,149.41094442974733,173.17055931965263
166.45431601369435,174.35816209586685,193.62280287741075
190.57804399882266,160.961458800141,169.27420342258833
199.5856811544618,156.49038853929747,153.09688555167796
189.02367679199457,167.5346538946448,168.65964746253294
189.94404300511496,172.4739732378149,190.08127222502165
216.11627408214676,155.56470624393748,199.91679033026946
205.78217544851327,170.67199288003437,178.91221780950505
193.53295396670885,180.49731558252367,160.9884973761015
193.9784750523343,191.5643512179612,180.4554310135219
209.88014972889573,186.95734803087774,182.55830347488913
204.7604453004491,170.94754658254956,168.61590774393855
210.4984218118186,147.00313176612846,177.20283282691037
199.19355982842936,161.19886547446453,157.70764965997083
225.21185751301974,178.9749357771628,170.65383904927066
223.76942191801245,174.4047807815972,146.99385311759062
204.24444507822605,189.92611990663764,153.3923616675563
194.62729399621995,185.14823963913963,169.73861313446886
210.88210615061115,186.58101615454902,199.85697781991016
219.1027299152237,187.53500501495338,164.89431831232784
212.2796453966033,193.4592225504274,167.9317369646079
220.9389666051106,185.30011750023098,177.70799612159541
216.4410688370971,183.0255190157903,202.02942596612706
225.97862606851763,182.825881299242,174.10362440408267
233.05495208895593,174.72911214602152,188.34223325352696
216.29312425770866,175.15896632094288,172.45347215179
232.4935271197858,192.0825963222775,167.14191228667025
213.59170545993263,200.60731368742066,171.81927137996834
221.37206627002408,198.49769164627196,172.98185157640947
216.96626743559625,184.5896990386399,142.1841042214376
199.06278747247336,177.52453949612405,163.51389526071668
205.61564314701104,203.9333092589661,168.05952206724527
213.57488087562945,186.73273691526848,152.96965653232104
204.1327378674106,195.99080798502166,181.05551280143467
223.04979875007754,207.1700434196848,143.25157984253096
211.1162955490703,212.80074713399517,143.36572463717928
213.46212785623482,191.9500415858017,173.74268243341442
207.545069134329,214.93734990471668,151.48704893931628
214.29371833648997,208.79706829791976,174.13457098529616
230.33670697392108,199.50193442738455,175.65732867700683
228.942812204578,219.07401098260402,170.88044237749355
205.02877031345773,203.6566554376835,167.41272654136768
216.28689074433748,202.63827751085228,150.78032130509
224.30096083271496,209.8306832079401,159.2499256619714
227.3052855677045,204.39182005726175,169.5244251054157
228.2339775381048,209.9621246582036,175.7904886913981
227.63618164291702,184.33898045818924,162.41396196543081
232.37904242794022,197.4050771027405,150.81056621418216
221.98242699319573,212.09286313539653,156.29966761326247
248.66229721152243,206.2792587672374,182.2294418745117
230.31753442251693,213.02124029436854,140.96839123562748
221.0828109691214,204.2048397182654,161.95001136933183
232.20998506064458,201.58334957508816,164.6136485097704
244.23383456930483,195.89434548188248,173.6800472763042
