rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[  96.87752373  106.04843823   26.28626055   90.39201203   96.87752373
  106.04843823   26.28626055   90.39201203   96.87752373  106.04843823
   26.28626055   90.39201203]","[  93.59838158  124.66833979  112.1726352   119.909854    112.1726352
  119.909854     73.85965864   91.48029071  126.53593793  110.21899739
   93.59838158  124.66833979]","[ 64.22273625  60.72645383  39.17125761  92.65232918  92.65232918
  67.75182217  71.32382858  26.23047655  64.22273625  60.72645383
  39.17125761  92.65232918]"
"[ 145.57275575   72.19843683   73.18031743  143.90668799  145.57275575
   72.19843683   73.18031743  143.90668799  145.57275575   72.19843683
   73.18031743  143.90668799]","[  67.06196258   91.63001538   96.21079796   44.76673474   96.21079796
   44.76673474   65.81691877  107.83852904  143.8852581   103.55520324
   67.06196258   91.63001538]","[  55.73006704   47.9715578    57.62378097   90.75677975   66.15426527
  107.4885854    24.4240539    55.73006704   66.15426527  107.4885854
   24.4240539    55.73006704]"
"[  52.86664196  105.98565057  112.21579465  160.98205068  105.98565057
  112.21579465  160.98205068  139.42042461  150.01531796   52.86664196
  105.98565057  112.21579465]","[ 131.05240644  113.42222182  149.51438726  111.7021055    68.69825724
  118.3049829   131.05240644  113.42222182  100.06623242   61.18411733
   68.69825724  118.3049829 ]","[ 86.35205783  90.61006788  60.52187178  90.40623796  86.35205783
  90.61006788  60.52187178  90.40623796  90.40623796  47.29377491
  80.10394383  60.16211866]"
"[  86.7000569   123.0326548    95.55258345  124.8707104   109.85505378
   86.7000569   123.0326548    95.55258345   34.91123918  109.85505378
   86.7000569   123.0326548 ]","[ 124.74207917   79.52138588  115.98511791  126.32397668  137.86840143
   94.63667488  124.74207917   79.52138588  136.91689463   87.5782544
  137.86840143   94.63667488]","[ 56.62912767  82.97899275  75.30480685  97.87526016  56.62912767
  82.97899275  75.30480685  97.87526016  97.87526016  74.56280248
  87.80309771  39.30618859]"
"[  53.50956788  148.96673937  157.63039545  141.15592444  106.36015757
   53.50956788  148.96673937  157.63039545  102.06033213  106.36015757
   53.50956788  148.96673937]","[ 109.80754247  102.94403044  103.04980557  128.52827734  103.04980557
  128.52827734  122.16504766  123.5253216   122.16504766  123.5253216
  100.07669468   84.59076626]","[ 42.95456741  45.64983939  59.90356196  85.07854065  31.41398416
  85.60542204  35.81702785  42.95456741  31.41398416  85.60542204
  35.81702785  42.95456741]"
"[ 145.94327271   93.24041076  129.8790388   134.607321     93.24041076
  129.8790388   134.607321    125.92613614  153.51538404  145.94327271
   93.24041076  129.8790388 ]","[ 123.20674786  120.56410234   99.93495432   89.52773276  125.83218378
   88.10835964  116.02861141   70.70688165   99.93495432   89.52773276
  125.83218378   88.10835964]","[ 47.45299785  76.64511249  65.99577842  43.54363677  47.45299785
  76.64511249  65.99577842  43.54363677  43.54363677  64.9868823
   3.72556238  85.89545671]"
"[ 119.2692472   123.86823615  129.79661667  122.64389732  123.86823615
  129.79661667  122.64389732  129.84094411  129.79661667  122.64389732
  129.84094411  120.72054399]","[ 117.66473842  128.09670162   76.85201202  125.97160385  116.70414832
  108.69220872  117.66473842  128.09670162   76.85201202  125.97160385
  177.70816605  130.23568686]","[  78.07389231   38.59523064   76.01364202   82.30773446   78.07389231
   38.59523064   76.01364202   82.30773446   82.30773446   57.57879043
  100.43108111   70.62679939]"
"[  43.98206101  148.74087898  105.71566934  160.05425411   97.31361195
   43.98206101  148.74087898  105.71566934  128.15566315   97.31361195
   43.98206101  148.74087898]","[  39.05140096  123.57455358  172.87586761   92.95263232  105.62726358
  159.23006312  153.02383216  128.24563472  172.87586761   92.95263232
  105.62726358  159.23006312]","[ 120.67737406   71.47121905   73.13693054   83.76880877   83.76880877
   42.87632734   89.66109687   66.34328989  120.67737406   71.47121905
   73.13693054   83.76880877]"
"[ 105.1659254    88.02405592  132.99871123   97.70108636  117.19968152
  105.1659254    88.02405592  132.99871123  146.53791793  117.19968152
  105.1659254    88.02405592]","[ 110.04313824  149.46601593  151.6830004   126.51706585  151.6830004
  126.51706585  120.2808838    79.51855951  120.2808838    79.51855951
  150.02339052  124.57088746]","[  49.07636491   87.89082471   61.57433829  104.04362651  104.04362651
   78.46053176   67.27944409   68.73157331   49.07636491   87.89082471
   61.57433829  104.04362651]"
"[ 121.16956902  126.2981858   113.57675285   23.92251867  126.2981858
  113.57675285   23.92251867   86.25862237  113.57675285   23.92251867
   86.25862237  140.47091448]","[ 122.99651902  144.16642386  142.9464595    77.60880857  142.9464595
   77.60880857  117.26391503  190.6180364   125.61355511  130.06702117
  122.99651902  144.16642386]","[ 126.56668976   71.23827812   83.00571847   96.65720395   96.65720395
   60.8869858    93.36247645   81.54646215  126.56668976   71.23827812
   83.00571847   96.65720395]"
"[ 140.24948809  110.96482781  115.60125423  152.88985317  110.96482781
  115.60125423  152.88985317  126.08933354   88.79758925  140.24948809
  110.96482781  115.60125423]","[ 123.49957661  179.97871199   76.12680577  143.31746499  141.69868532
  113.43588874  123.49957661  179.97871199   76.12680577  143.31746499
  127.26971489  171.63552568]","[ 30.99318244  96.62054724  79.93129867  44.77530091  30.99318244
  96.62054724  79.93129867  44.77530091  44.77530091  42.50090455
   3.44554012  58.74252905]"
