rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 32.99618829  74.21190966  32.99618829  74.21190966  26.45783498
  32.99618829  32.99618829  74.21190966  32.99618829  74.21190966
  32.99618829  32.99618829  74.21190966  32.99618829  74.21190966
  32.99618829  74.21190966  32.99618829  74.21190966]","[ 40.65271239  72.75516901   9.63062412  36.1780316   21.13491144
  16.27200737  57.71817652  59.1470243   21.16292024  -8.06707999
 -15.11709296  19.1790823    0.42354414  58.26718876  36.99552698
  40.52995899   8.30588602  18.4686039  -15.11709296]","[ 28.31503676  25.81876952  -5.2091139   34.9603257   78.12286278
  46.00063246  -5.26113823  49.02358555  48.88177979  44.58586648
  72.39813996  36.67033201  12.49496707 -25.68293973   3.43578775
  35.7002184   95.02374053  13.82827343  57.69720933]"
"[ 41.69528084  84.00188447  92.17223356  41.69528084  41.69528084
  84.00188447  41.69528084  84.00188447  41.69528084  84.00188447
  41.69528084  41.69528084  84.00188447  41.69528084  84.00188447
  41.69528084  84.00188447  92.17223356  41.69528084]","[ 81.83200238  15.29468849  28.04471923  -6.00984359  65.55985315
   0.75984004  58.07593886  10.86049801  52.79185648  31.50795046
  59.17646169  11.26880365  54.99260805  17.18010868  17.18010868
  14.85404554  31.34537736  43.17538468  19.02956256]","[ 27.25238166  42.67748613  19.1876795   51.05407562  28.98272772
   1.78023108  15.17083571 -18.53177241 -10.16328746 -19.29426225
  75.92764119  81.05229249  64.97569905  20.64810889  37.61459571
  57.4488539   24.2029031   24.81928448  53.33359755]"
"[  82.59694138  105.83828105  105.83828105   47.09073314   82.59694138
  105.83828105  105.83828105  105.83828105   47.09073314  105.83828105
   47.09073314  105.83828105   47.09073314  105.83828105   47.09073314
  105.83828105   47.09073314   82.59694138  105.83828105]","[ -0.69955306  43.53978883  11.46662653  23.55941055  46.22763699
  25.8243339   -6.31684625  42.75726076  18.36058415  48.69960703
  -1.1593788   38.1630664   68.83834378  -9.75849193  20.10477357
  38.1630664   55.06956292  52.78167337  -2.60303064]","[ 37.71873719  21.83643452 -18.33391826  -8.24250815  64.13215603
  55.59601218  59.02184162  65.31593751  24.02876859  37.41216737
  49.05876488  83.53411397  49.27926653  61.89302297  50.87928135
  51.23674108  59.69821602  18.1737291    3.36735372]"
"[ -2.39811278  97.21181067  -2.39811278  97.21181067  -2.39811278
  97.21181067  97.21181067  97.21181067  17.6299733   97.21181067
  17.6299733   -2.39811278  97.21181067  97.21181067  17.6299733
  97.21181067  17.6299733   97.21181067  17.6299733 ]","[ 39.26519007  68.90150214  80.44481906  66.55830768  22.37462796
  26.75915097  32.41133763  60.18279294  22.76005161  39.91499129
  10.42799437  18.15426246  45.14141484  43.19486962  45.27282597
  69.28816249  39.91499129  46.18006725  20.78672424]","[  62.54382295   53.93389052   68.41266853   68.90133802   33.56023707
   76.97819414  119.81927896   36.75149636   73.93214367   39.15164591
   29.96981398   60.00328204   -0.900179     10.63516587   43.30769853
    5.87769933   54.04690091   43.65061911   30.10953737]"
"[ 98.31690089  88.38756777  98.31690089  88.38756777  54.36981281
  98.31690089  98.31690089  88.38756777  88.38756777  45.31731279
  88.38756777  45.31731279  88.38756777  45.31731279  88.38756777
  45.31731279  98.31690089  88.38756777  88.38756777]","[  65.39554044   17.02246853   85.92853719   58.85776905   59.61275138
   92.83693758   77.10975785   40.74491119   57.16605569   53.71416689
   43.63544048   64.92849632    6.43962222   55.76004834   65.9742664
   77.10975785  107.92898226   45.39406595  116.24415839]","[ 71.80002427  65.56626725  78.89310162  41.7878024   89.66744323
  36.25474806  75.59167351  54.9253428   47.66138352  47.71171673
  57.54041397  70.63487983  57.4897303   68.56026835  87.44013638
  52.3294732   84.38344161  53.2479748   50.25663813]"
"[  76.07077826   70.97370964   70.97370964  104.07419049   62.30075489
   76.07077826   70.97370964  104.07419049   76.07077826   70.97370964
   76.07077826   70.97370964   70.97370964  104.07419049   70.97370964
   76.07077826   70.97370964   76.07077826   70.97370964]","[  45.35426244   41.26873205   69.30799344   57.92220336   62.65875279
   60.37342954  104.1090108    45.35426244   76.85545718   66.8849339
   45.20326393   57.66184149   49.19023369   30.44725666   90.5784207
   42.97365209   99.11240799   30.30406789   76.12992198]","[ -6.99472527  90.59837667  56.6262831   24.32276907  35.13106113
  85.50216901  74.28142755  84.24468918  53.29506316  90.62577551
  79.52363344  99.31844341  42.1477346   52.79167235  78.87056095
  47.7722531   36.62555889  22.85092159  50.93361993]"
"[ 100.54567261   62.56286637  100.54567261   62.56286637   62.56286637
  100.83866872   62.56286637  100.83866872  100.54567261   62.56286637
   52.63276628  100.54567261  100.54567261   62.56286637  100.54567261
   62.56286637  100.54567261   62.56286637   62.56286637]","[  62.95186508   73.10722522   56.42963122   47.45367559   47.45367559
   75.69246442  127.27332053  -25.03566956   42.23291924   57.70467307
   43.75362172   60.59456307   55.3912707    57.36015112   53.08070564
   79.86808455   62.52339928   82.27118621   46.8012481 ]","[ 96.95058139  77.31486792  48.59635745  44.98175597  63.63247434
  51.94452014  51.77807806  53.54913972  58.93069352  44.67251468
  84.56662308  56.61729944  18.76864663  66.80174493  66.4628468
  56.62097235  54.01048068  70.82164735  74.40181077]"
"[  56.0094125    92.07298839   75.40915372   56.0094125    92.07298839
  128.52748183   56.0094125    92.07298839   75.40915372   56.0094125
   56.0094125    75.40915372   56.0094125    92.07298839  128.52748183
   56.0094125    92.07298839   92.07298839  128.52748183]","[ 65.38963994  86.99810103  93.41245225  78.27783216  90.5500819
  94.3850593   28.27583652  54.02132189  71.6803344   73.22133854
  83.23737946  82.30290635  78.27783216  96.27944888  74.15105071
  75.95978069  81.11400021  62.03859068  28.54235733]","[  32.38408557   70.08854569   95.26603719   99.22779397   75.87086507
   50.94056282   57.1020433   106.56483195   65.25195066   49.51526455
   58.94512326   47.97072404   96.88830191   77.05308324   85.42037826
   74.2059463   119.22118125   70.04268889   58.83514635]"
"[ 126.59486725   22.19892972  126.59486725   22.19892972   97.31937405
  126.59486725   97.31937405  126.59486725   22.19892972   41.21094879
   97.31937405  126.59486725   97.31937405  126.59486725  126.59486725
   22.19892972   22.19892972   41.21094879   22.19892972]","[  56.04224306   81.47322066   77.63937489  100.54164924   58.67313501
   68.2727366   101.33809685   71.87223674  105.93795379   73.57136626
   68.53071752  110.61026452   71.87223674   74.38960784  104.61758444
   70.33406      79.11663135   55.01098744   64.05240243]","[  77.65250039   75.66434669   86.57076492   99.11016139   93.71834282
   42.23736163   71.16442609   78.60038169   35.96643562   75.72396965
  101.15654354   67.02691421   94.09895808   96.82607021   81.93282936
   78.95581156  117.19832374   89.17834781  125.14858486]"
"[ 46.10238791  42.20035106  53.70738917  46.10238791  53.70738917
  46.10238791  46.10238791  42.20035106  53.70738917  46.10238791
  42.20035106  90.48665645  46.10238791  42.20035106  46.10238791
  42.20035106  42.20035106  90.48665645  53.70738917]","[  69.17119517   67.58239545   80.26387687  116.88888647  105.58663476
  117.38106197   94.65990851   57.38311796  109.40828332   84.69059997
  116.88888647   66.93846128   43.98861841   54.48015864   52.51316723
   97.89116463   71.62595891   43.89777626   55.40638697]","[   3.8434735   107.87215602  119.89443123  119.4288787   119.09116813
  104.39113185   81.80063518    5.78267339  108.21910589   90.09336308
   62.07914759   55.67301172   87.48687485  110.51703721   29.83025792
  109.03140382   68.1078182   128.43662908]"
