nSubIter0
2
6
16
6
9
8
5
9
17
6
8
5
3
11
12
7
15
19
14
12
4
6
5
7
6
4
5
12
4
3
3
5
3
15
3
6
2
3
2
18
12
8
10
7
20
4
6
6
4
6
22
15
7
12
8
4
5
2
19
12
8
13
4
5
10
2
3
5
5
4
4
7
7
11
6
5
7
8
