High,Low,Mean
100.9076008730039,32.8625735919504,66.88508723247715
103.35950653415478,33.147027069627036,68.2532668018909
102.06398783783118,34.65034087986243,68.3571643588468
106.73153380829731,33.39076898142117,70.06115139485924
106.61248809755031,35.085379501417634,70.84893379948397
107.70858838180678,33.271776022589876,70.49018220219833
109.34944019455969,33.69199697123748,71.52071858289858
110.51894805112593,33.68703436798709,72.1029912095565
106.13189096516754,35.435246255463944,70.78356861031574
114.06785985495864,33.48340410329933,73.77563197912899
122.19855404419405,31.845486455064524,77.02202024962929
115.53615817723698,34.83844244108827,75.18730030916262
115.70654699317211,34.46199120666532,75.08426909991871
122.78021513032127,34.305814491897685,78.54301481110947
127.60574977501253,31.836712217570607,79.72123099629157
126.5825814028066,34.25113057529584,80.41685598905121
135.47444146165816,31.368439314260357,83.42144038795927
137.3268802536298,31.374144095100945,84.35051217436538
131.56236408526757,34.59626722951485,83.07931565739122
141.81014426419512,33.05841346620041,87.43427886519777
145.4915298501823,30.090845584391687,87.79118771728699
158.02104317194335,28.473441385141754,93.24724227854256
156.025751407321,28.60815386549305,92.31695263640702
168.19421600942383,22.442248956671236,95.31823248304752
162.16300331784475,26.099350173302525,94.13117674557364
174.08683271469638,23.647524190619123,98.86717845265775
172.93727686802328,26.090078926702404,99.51367789736284
197.1246814398336,16.22766727543444,106.67617435763403
199.01497867068076,14.784212061317973,106.89959536599936
195.16897416148484,18.54433811577306,106.85665613862895
215.30818926138772,10.738157009973648,113.0231731356807
217.3557807088915,13.902784949503484,115.62928282919749
231.36494909361426,4.207684254238401,117.78631667392634
270.86699284180645,-14.796666339284911,128.03516325126077
261.4298865907939,-6.231915025904726,127.5989857824446
267.78961004537246,-10.401509492840063,128.6940502762662
312.12210483910815,-30.667582337572327,140.72726125076792
359.0565007939688,-52.10847087664902,153.4740149586599
378.62401833443454,-60.970666792011116,158.8266757712117
438.27407844679504,-96.35980762796731,170.95713540941387
486.17432496096546,-119.02927227979754,183.57252634058395
515.3426502147744,-130.17584830261788,192.58340095607824
572.1259076921922,-154.68931705784797,208.71829531717214
597.1819556339599,-162.5991833389717,217.29138614749408
631.0673220026014,-173.58951656825232,228.7389027171745
629.7349873644478,-165.90667753883434,231.91415491280668
651.380615920089,-180.44016145424752,235.4702272329207
673.8679165195183,-186.15151084518794,243.8582028371652
735.4847227810801,-202.84499597115644,266.31986340496184
773.7110523554954,-216.32704853463088,278.6920019104323
819.903400460669,-230.9371023614981,294.48314904958545
836.3100857164864,-236.06159825621194,300.1242437301372
868.6867133513239,-246.90960972215305,310.8885518145854
885.9986442514992,-252.20282422432518,316.897910013587
951.5417927940648,-275.5879817848406,337.9769055046121
960.9719392317079,-278.4337535539981,341.2690928388549
964.8937277563816,-276.4734588962087,344.2101344300865
993.30715087957,-288.83828843480785,352.2344312223811
1010.9995927303733,-293.86583562979587,358.56687855028866
1010.4318046103837,-285.94232285324586,362.2447408785689
1019.7825227473263,-289.9792391002045,364.9016418235609
1013.733548946991,-273.16038985644013,370.28657954527546
1021.4060260151799,-274.9490075774671,373.2285092188564
1034.6742263158335,-274.7473798752941,379.96342322026965
1023.9745798775717,-258.01542670533615,382.9795765861178
1035.4080111785909,-255.46200197261754,389.9730046029867
1062.0459755904546,-260.9814298419819,400.5322728742364
1061.7358549869518,-252.14082369512596,404.7975156459129
1083.1790375601802,-262.0041575516407,410.58744000426975
1075.8781307992765,-242.2038730416911,416.8371288787927
1079.603421743178,-228.07891144481516,425.76225514918144
1090.2111474354228,-234.1534392826572,428.02885407638286
1107.1519519631738,-222.03249064344618,442.5597306598638
1119.1937706138342,-215.96048431056204,451.61664315163614
1134.3174527738538,-209.36882471646368,462.47431402869506
1142.674359945724,-201.42592858046203,470.6242156826311
1145.7528321362634,-193.80697030059855,475.9729309178324
1164.6089050719147,-191.42238206325726,486.5932615043288
1173.8670529932824,-189.52105193925735,492.17300052701256
1165.0796788159078,-175.9002201767184,494.5897293195947
1193.430782098737,-179.27903700278864,507.0758725479741
1210.4853840995963,-179.6972332425794,515.3940754285085
1212.165507907704,-169.56147623418042,521.3020158367618
1212.2886987585957,-163.77965369667731,524.2545225309592
1222.8458755214326,-157.70951733053766,532.5681790954475
1242.2513754416598,-162.1952875891152,540.0280439262723
1225.345717838227,-145.00098986137073,540.1723639884282
1222.6969579036959,-143.74466825810111,539.4761448227973
1216.1717019768598,-139.30479217961636,538.4334548986217
1197.3890477722011,-129.03290088159235,534.1780734453044
1199.7498123013947,-128.74183796060322,535.5039871703957
1189.2285304180523,-115.0334739485171,537.0975282347677
1205.9869170761876,-105.69998028901068,550.1434683935885
1224.0629999007801,-108.21606205633987,557.9234689222201
1231.2533734705974,-102.97982596779298,564.1367737514022
1240.2905021748193,-89.01927056000034,575.6356158074094
1223.9684781134858,-72.03524678475651,575.9666156643647
1224.226354668147,-61.6746114532167,581.2758716074652
1238.5155317627282,-60.82204846321247,588.8467416497579
1242.6706698974963,-43.12583273833445,599.7724185795809
