rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 1218.84472173  1600.32580576  1425.45889412  1650.16664665  1441.2027011
  1333.91640956  1635.68938379  1569.86673317  1418.46314449  1497.5422317 ]","[ 2031.45322658  2032.64214874  2124.21921535  2006.91339937  2072.22023568
  2065.1903745   1936.49667601  2085.16135006  2008.11985887  2113.60576093]","[  963.80025982   867.30079275   575.39049697   805.91009472   867.30079275
   901.06963414  1044.61603837   981.64963072   255.08495139  1057.93639746]","[ 2223.60457285  2213.39438018  1980.27910025  1805.84213053  1476.04720903
  2034.913819    1027.04827291  2157.74466277  2046.93616339  2029.45477548]","[ 2117.48730113  1457.19832839  1808.70001061  2136.82557306  1948.23425052
  2201.46402712  2061.59387681  2090.94054515  1581.45513557  2092.8888796 ]"
"[ 1684.42108165  1535.01639567  1623.63517578  1570.84988671  1622.7806281
  1374.36132137  1586.9638471   1612.22283625  1588.52346475  1440.29993032]","[ 1940.46120874  2035.13684711  1987.39114266  2082.33204803  2025.70920222
  2063.52733773  1894.29446708  2024.15501796  2102.53054819  2083.10342889]","[  975.07325673   -91.41237319   -65.38771611   812.38805951   618.63893498
  1125.90925041   271.98065291   936.73353734   936.73353734   725.59779816]","[ 1987.94961307  2243.76892888  2090.66120102  2161.06066232  1785.399735
  2057.00626005  2003.14247404  2094.62586714   981.83254119  2000.81380339]","[ 2081.08457249  2077.70864783  1177.06207191  2129.18661419  2031.03575455
  2139.65237749  1839.86524384  2164.58175643  2161.26865872  2075.93428441]"
"[ 1771.58005002  1654.59738686  1702.53098851  1558.86201336  1515.50773248
  1538.46672632  1515.50773248  1588.49676834  1566.11791125  1280.91301563]","[ 1991.70850678  1818.73748238  2125.04296273  2019.21721963  2042.83982709
  1851.3219604   1970.45458214  2083.50347109  2068.90347105  2041.12860227]","[  720.88929737   654.19536683  1018.06021385   350.12614225   732.71330517
   548.98451576  1509.246414    1110.25532357   585.77867553    16.17529185]","[ 1141.33056145  2173.69057279  2175.7501265   1610.99719237  1620.35406524
  2231.7644666   1550.81311547  2156.63158649  2087.42830359   535.92283066]","[ 2150.62665806  2206.58576364  2228.74132033  1784.8966383   2249.79272631
  1816.15405329  1307.73947727  2098.85217355  2215.85352475  2268.79031472]"
"[ 1621.10025347  1595.14853663  1655.65118899  1563.83707266  1641.79412178
  1594.39500078  1620.37178064  1562.80519743  1660.67138841  1584.26035016]","[ 2114.82617446  1962.52761495  2080.58631042  2117.08836366  2080.48553374
  2130.5886503   2176.01403253  2053.00200073  1936.80896189  2012.07474251]","[  823.63757844   673.81805534   979.58990425  1059.83400901  1205.87816879
  1150.49687631   551.13340019   335.97420979   325.64302426  1533.36340215]","[ 2175.65258492  2229.06463849  1792.83766067  2152.89819498  1964.9610341
  1900.66434887  1102.34270973  2055.52488895  2262.37079326  2008.24244707]","[ 2201.48037141  2118.48831999  2182.46693439  2064.24485139  2108.07655637
  1925.25697534  2189.90474901  2089.03059062  2204.27482799  2230.81942917]"
"[ 1533.4292293   1522.75630928  1574.72372611  1580.52358262  1600.25156476
  1422.21439863  1083.00423241  1733.61013448  1513.62162248  1592.40908048]","[ 2042.26266342  1951.93539466  2050.24404075  2110.22316346  2172.78768471
  2108.60701289  2017.2098762   2074.23138036  1870.2546125   2057.65743082]","[  576.43011268  1220.65158837  1382.10808883   844.73599362  1107.61315426
   950.95798545   889.46954013   926.25127369  1272.75405333   290.47036535]","[ 2186.19085236  2140.06665417  1954.31429021   452.1672048   2138.81143457
  1971.32139765  1908.46864193  1804.66765708  2145.2731807   2060.29380376]","[ 2067.2184531   2192.76568097  2128.85045262  2156.12874332  2077.18560951
  1892.05781444  2097.15767734  1748.59971232  1805.69509318  2179.88726794]"
"[ 1147.01433927  1548.30720067  1421.48539661  1567.33995705  1703.43687132
  1685.90203248  1578.65146351  1557.17812059  1592.04762277  1609.66720677]","[ 2066.42921926  2196.87708268  2131.92322722  1690.85722066  2215.68390677
  2051.44286885  1939.38496652  2036.45499838  2136.85675586  2010.2714633 ]","[  974.09584669  1868.54147582   924.02362663   810.11182427  1328.13515761
  1440.16866842   835.0321382    404.85022311  1518.70769115   550.04562754]","[ 2201.9663452   2181.01077508  2208.13706901  2129.87322093  1984.81170877
  2137.27552487  2283.31729248  2180.603609    1984.84593074  1522.29189932]","[ 2064.64243215  2171.2260499   2207.17307262  1794.99258407  2142.19609079
  2131.03694073  2215.59660889  2082.29210163  2118.50459347  2086.58413362]"
"[ 1495.65267837  1430.68921049  1660.8778449   1495.65267837  1539.654595
  1579.59041369  1534.42650385  1644.35307238  1546.16978848  1599.65552718]","[ 2073.47346809  2162.23926892  2100.77523341  2051.14413709  2136.74243026
  2182.52797952  2050.40905766  2042.7525286   2166.25593372  1810.96238883]","[ 1080.59792272   748.64633816   455.5754642    997.8513431   1220.10581927
   752.56548421   105.37213924  1124.53515036   734.63611965   884.5170004 ]","[ 2221.05901207  2095.90678337  1650.63294029  2086.08882912  1485.23084962
  1165.08867091  1800.12152678  2098.49659127  1133.48161339  2063.190611  ]","[ 1991.66002589  2078.52748668  2100.436007    2168.12225173  2077.27138006
  2014.18707839  2153.75640251  2254.16657724  2023.20215726  2152.96052798]"
"[ 1721.18476698  1738.53779814  1613.50098089  1755.90936855  1617.12357988
  1665.06420606  1651.9658193   1651.43364156  1434.54231883  1601.32446845]","[ 2119.29918127  2052.77046729  2147.85531974  2136.35323619  1999.10555728
  2161.67619387  1097.56877321  2050.25780033  2146.13097943  2123.52048015]","[  518.41868956    28.07936546   284.00818314    46.19404129    46.19404129
   214.74212407  1202.47676792   519.59762129  1054.65799257   746.43060582]","[ 1396.55615298  2064.21488341  1830.90034556  2044.43089236  1557.38666274
  2161.65486921  2041.97352316  2123.48338762  1091.01169757  2123.9086338 ]","[ 1845.16454945  1721.99155983  2131.29406035  2306.47942662  1761.89535949
   902.29573311  2173.92246214  2161.01827143  1095.3399909   1773.5336612 ]"
"[ 1435.08803873  1654.8039747   1632.95570343  1424.11113947  1686.09426451
  1644.01264988  1522.65253182  1724.10918711  1480.38882952  1831.95408575]","[ 2133.44885484  2053.41118016  2171.91700576  2034.36139517  2097.90408712
  1919.1604246   2095.68416201  2135.49838808  2127.31889957  2167.94247612]","[  100.02431994   146.74094811  1222.86990228  1468.97738296   644.56477592
   706.38661305  1466.48106864   446.28944663   574.53438434  1175.15547049]","[ 2107.17048102  1883.92249173  1894.37422261  2121.69112974  2196.27225734
  2129.68640111  2153.24173329  2173.69793     1466.57054828  1655.61796782]","[  298.91481289  2118.54775233  1959.35334299  1942.41152265  2047.41934816
  2149.19992749  2067.85198678  1892.87044504  2029.99608155  2086.08694359]"
"[  1.83783589e+03   1.59185602e+03   1.83783589e+03   1.82628062e+03
   1.71021429e+03   1.62008873e+03   1.81307761e+03   1.55212213e+00
   1.56986824e+03   1.69279488e+03]","[ 2089.93169887  1741.6418797   2007.91009004   489.53919498  2107.71702529
  2022.37845204  2007.19209912  2119.24007562  2039.38881896  2097.27676996]","[ 1124.71959588  1062.92007505   863.20996609  1410.70691536  1177.61599839
   384.98592856   995.79163992   -12.08293727  1502.45527896   969.23383415]","[ 1726.49840053  2179.91316689  1954.23693204  1463.87510095  2115.31358677
  1893.01155708  2013.53184051  2137.14053802  2236.08928757  2151.12406081]","[ 2238.99596044  2173.83093943  2031.37134421  2147.68448153  2085.08628793
  1864.45736469  2175.36343533  2183.5294825   1991.69673309  2117.42117171]"
