rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4
"[-165.38915859  -62.27354842 -141.47387901 -163.30703568 -184.06178887
   -8.61348706 -154.00413782 -110.8622035  -101.58175142 -216.20869192
 -162.49768582 -165.38915859  -62.27354842 -141.47387901 -163.30703568
 -184.06178887   -8.61348706 -154.00413782 -110.8622035  -101.58175142
 -216.20869192 -165.38915859  -62.27354842 -141.47387901 -163.30703568
 -184.06178887   -8.61348706 -154.00413782 -110.8622035  -101.58175142
 -216.20869192 -162.49768582 -165.38915859  -62.27354842 -141.47387901
 -163.30703568 -184.06178887   -8.61348706 -154.00413782 -110.8622035
 -101.58175142 -216.20869192 -162.49768582 -165.38915859  -62.27354842
 -141.47387901 -163.30703568 -184.06178887   -8.61348706 -154.00413782
 -110.8622035  -101.58175142 -216.20869192 -162.49768582 -103.47887953
 -165.38915859  -62.27354842 -141.47387901 -163.30703568 -184.06178887
   -8.61348706 -154.00413782 -110.8622035  -101.58175142 -216.20869192
 -162.49768582 -165.38915859  -62.27354842 -141.47387901 -163.30703568
 -184.06178887   -8.61348706 -154.00413782 -110.8622035  -101.58175142
 -216.20869192 -165.38915859  -62.27354842 -141.47387901 -163.30703568
 -184.06178887   -8.61348706 -154.00413782 -110.8622035  -101.58175142
 -216.20869192 -162.49768582 -165.38915859  -62.27354842 -141.47387901
 -163.30703568 -184.06178887   -8.61348706 -154.00413782 -110.8622035
 -101.58175142 -216.20869192 -162.49768582 -165.38915859  -62.27354842]","[-511.10050386 -383.81641872 -319.81063912 -517.57342042 -374.86116761
 -331.85658804 -469.1185349  -172.19961282 -404.45528356 -464.91369195
 -468.45315018 -368.97697124 -346.19813899 -114.06115106 -441.62448716
 -287.35301307 -258.38697667 -359.69351076 -469.22000668 -229.62847401
 -421.4386555  -291.48135773 -384.14217426 -426.12979763 -241.54591681
 -537.07634322 -285.19002521 -236.58620059 -217.44196869 -430.46492858
 -246.0458262  -245.64283516 -268.37809638 -397.23968271 -234.99017243
 -375.10460824 -134.58317987 -323.741845   -465.16233488 -409.28748137
 -304.40208815 -242.60209871 -497.42408689 -385.34063341 -346.72436983
 -364.26986853 -313.18767624 -427.41317621 -443.017825   -394.5641174
 -185.11507185 -423.69838518 -495.54616685 -417.26758225 -277.75211439
 -240.13926438 -411.68686444 -298.9226078  -357.89631299 -381.94992909
 -493.91089803 -512.31794509 -494.26366956 -367.69670419 -319.96472679
 -350.28365691 -379.09780666 -264.45315314 -551.85984701 -580.8156756
 -433.26805415 -396.32454185 -373.63609564 -232.79157369 -319.79786074
  -46.74051812 -604.00036543 -466.80812043 -586.20700325 -373.45102049
 -236.42536551 -244.4077449  -474.28006913 -560.18783211 -228.111431
 -358.196021   -497.36712456 -131.98858247 -447.139117   -473.38877057
 -401.64623282 -385.7495368  -551.72113737 -439.15835038 -377.64574877
 -322.54491754 -442.25580802 -291.42286488 -277.3461209  -192.6427923 ]","[ -6.65972634e+01  -2.07898927e+02   3.31607384e+01  -2.77025206e+01
  -1.71987238e+02  -2.05122599e+02  -1.57100518e+02  -4.24238458e+01
   3.77731540e+01  -1.61437362e+02  -1.08710873e+02   5.09876347e+01
  -1.50314502e+02  -2.42382759e+02  -9.55924974e+01  -4.20806128e+01
  -2.32439870e+02   1.78261158e+01  -2.59537414e+02  -2.55284082e+02
  -1.70203896e+02  -6.89611142e+01  -6.20781163e+01  -1.18560592e+02
  -1.90034910e+02  -2.16590188e+02  -5.51807359e+01  -3.88185837e+01
  -1.45435829e+02  -2.46988646e+02   5.83552781e+01  -2.10623643e+02
  -1.17467091e+02  -2.21231440e+02  -2.64664449e+02  -1.45866764e+02
  -1.89594656e+02  -2.65926984e+02  -1.09267878e+02  -1.98310450e+02
  -2.35198953e+02  -1.58714181e+02  -1.04848457e+02  -3.37928159e+00
  -4.87654336e+01  -3.26227401e+01  -2.11695761e+01  -1.90684777e+02
  -8.15312148e+01  -1.34241536e+02  -2.32740928e+01  -2.84805108e-01
  -1.00442868e+02  -1.71889348e+02  -5.43491395e+01   6.41865488e+01
   1.08291299e+01  -3.26065640e+02  -1.47540120e+02   8.78002808e+01
  -1.65041685e+02  -2.32953826e+02  -3.16719837e+02  -6.19152667e+01
  -1.01401130e+02  -2.29456731e+02  -2.39480599e+02  -6.78944139e+00
  -9.79371199e+01  -1.69570171e+02  -1.44437449e+02  -1.56200154e+02
  -8.26959772e+01  -9.48307749e+01  -3.09762064e+02  -4.03219869e+01
  -1.73989976e+02  -1.24713630e+02   2.81249469e+01   2.49857559e+01
  -1.45604329e+02  -1.82600284e+02  -1.26268607e+02   1.18426199e+02
  -2.22611788e+02  -1.48998163e+02   8.03316089e+01  -1.02038048e+02
  -2.98285859e+01  -1.31587846e+02  -1.74573103e+02  -2.30855393e+02
  -2.16771774e+02  -1.84981562e+02  -4.97606060e+01   3.97408222e+01
  -8.75946732e+01  -1.88157696e+02  -1.19103598e+02  -1.86906758e+02]","[-116.65087698 -147.94320318  -51.0335169  -249.01916481  -85.32634774
  -60.07232546 -148.79175959 -228.57141595 -183.84476061 -161.62793307
 -157.36714096 -160.38841783 -107.70950015 -118.3183781  -207.00010279
  -89.2000911   -55.78665923  -57.54837393 -121.79600704 -110.31278585
  -98.57025493 -232.3590826  -185.61159686 -217.03940474  -94.89448836
 -204.77868924 -159.99402054 -221.22453793 -228.86872986 -101.10041759
  -42.53529158 -143.40139268  -88.69523466 -203.9887177  -114.16364368
 -141.66060579  -77.39628844 -125.5585055  -124.65682883 -256.81193742
 -128.65771888 -229.88470231 -142.07179919 -210.12476863 -182.38829524
 -163.75576315 -114.143327    -41.80813434  -21.38491002 -144.65309193
  -32.70390904 -162.85169253 -140.14215372 -224.75427616  -41.4801378
 -184.47651686 -178.44418332 -103.55590985 -127.53411388   55.42775243
  -62.22239578 -170.15914494 -109.79631502  -51.82892563   67.31283563
 -187.81989281  -44.69077974 -129.00283135  -71.55575796   42.21686201
 -243.63002214 -206.74331287  -91.50979014 -200.24567581 -199.56252558
 -111.98569364 -142.46442744 -129.77473414  -94.97490779 -116.14451463
  -65.43862198 -153.66300332 -187.64707656 -128.65066878 -173.65587777
  -76.98529648  -96.01659088 -117.22549105 -189.58704981  -66.09933503
 -133.79784552 -238.7935782   -51.73366616 -320.16265631 -205.43595721
 -120.6245392  -101.8187069   -25.63862161 -104.18026485 -107.56143424]","[-163.36665518 -244.76397316 -172.10604326 -130.05619792  -88.27673094
 -115.1005644  -143.26933202 -110.79635838  -37.36517335 -127.68739475
 -122.90635753   38.4698169     9.67697685 -220.01330129 -254.24724912
 -176.1408985  -136.62600115 -155.49910459 -108.56082574 -121.15830699
 -162.0661363  -113.39177058   -6.87508385 -229.02196441 -224.05756355
 -215.68613494 -329.34840333  -40.70278515  -72.18197679 -164.39213017
   59.65925082   35.86405647 -295.26518257   90.30506435 -158.48983215
 -177.78827118 -181.26309827  -82.31759841 -193.56857712  -26.83145967
 -110.49880557   65.11288313 -153.32623097  -69.84886374 -278.5532675
 -131.8613505   -56.38025662    1.51409079  -57.62984184  -89.91607828
 -273.21693044 -105.87270508 -269.94472656 -229.37151171  -59.79132205
 -235.56675169 -146.21053162 -188.28762285 -267.17681547 -151.74432704
 -289.22525716 -235.69802118 -164.71285458   -7.99815199 -165.80653254
 -289.22525716 -235.69802118 -164.71285458   -7.99815199 -165.80653254
  -97.87770715 -187.21386108 -223.39362747  -13.70978124 -251.75129352
 -184.17913679   30.68262773  -11.33896357 -200.47194965 -197.98158437
  112.47369238 -117.89712527  -52.33866682  -96.09943467 -142.82922418
 -134.46152753   -8.76599733  -68.65558125 -196.31176676 -178.94795657
 -202.80430006  -72.27316614 -252.95409721  -75.84118617 -177.69404266
  -62.64325891 -165.59528668 -121.49302905  -23.47807944   41.64746179]"
"[ -54.03232562  -64.05567114  -88.23824456  -48.74222485 -240.88920469
 -380.62296296 -194.93383104 -337.05360233 -277.76772918 -175.03131675
  -13.80884909  -60.12326932  -88.23824456  -48.74222485 -240.88920469
 -380.62296296 -194.93383104 -337.05360233 -277.76772918 -175.03131675
  -13.80884909  -60.12326932  -54.03232562  -64.05567114  -88.23824456
  -48.74222485 -240.88920469 -380.62296296 -194.93383104 -337.05360233
 -277.76772918 -175.03131675  -13.80884909  -88.23824456  -48.74222485
 -240.88920469 -380.62296296 -194.93383104 -337.05360233 -277.76772918
 -175.03131675  -13.80884909  -60.12326932  -56.80052844 -245.44072377
  -64.05567114  -88.23824456  -48.74222485 -240.88920469 -380.62296296
 -194.93383104 -337.05360233 -277.76772918 -175.03131675  -13.80884909
  -54.03232562  -64.05567114  -88.23824456  -48.74222485 -240.88920469
 -380.62296296 -194.93383104 -337.05360233 -277.76772918 -175.03131675
  -13.80884909  -64.05567114  -88.23824456  -48.74222485 -240.88920469
 -380.62296296 -194.93383104 -337.05360233 -277.76772918 -175.03131675
  -13.80884909  -60.12326932  -54.03232562  -64.05567114  -88.23824456
  -48.74222485 -240.88920469 -380.62296296 -194.93383104 -337.05360233
 -277.76772918 -175.03131675  -13.80884909  -88.23824456  -48.74222485
 -240.88920469 -380.62296296 -194.93383104 -337.05360233 -277.76772918
 -175.03131675  -13.80884909  -60.12326932  -56.80052844  -88.23824456]","[-173.2005299  -372.04406862 -260.56867141 -106.31449175 -234.88737277
  148.49598848   43.10982121 -108.87214943   14.92407577  -55.03573413
  -94.11705353  -54.730052   -333.08321961 -475.69750206   43.63469863
 -348.08523298 -309.74403048  -23.69457369 -267.40502831 -163.93349715
 -135.00282402 -449.28578062 -261.27130085 -202.10833089  -52.0528747
 -212.98672573 -175.96867053   -2.59326258 -295.22525732  -73.99201409
 -142.07013714 -109.73441503 -143.57589036 -156.19191831 -109.62917847
 -257.09546059 -431.94624831  -70.92443559 -273.43402275 -310.92709487
 -341.52979553 -261.65582624 -134.12642918 -178.28241531 -246.56009201
 -178.32040509  -67.88977005  -43.93349037 -329.16204968  -29.92112816
 -204.20003907 -156.7876411  -152.76975024  -34.60788365 -179.48732636
  -31.39112652 -116.08895266 -257.18187505 -148.58496059 -214.53176979
  -92.19144088 -295.4665125  -221.62205215  -53.64471697 -313.54144891
 -132.79983939 -268.75979205  -33.42819909 -273.71499024  -82.25042575
  -91.38086283   86.7594288  -190.0306314  -230.70252896 -265.27228256
 -169.4347093  -250.75851802 -155.89645399 -170.91243871 -109.8062261
 -111.30516069 -246.55358753 -259.21100688 -312.46276131 -108.48273409
 -149.96284997 -172.33410903 -166.45473846  -63.51116402 -267.20923085
 -171.6479471   -76.55503187 -160.76521114 -131.24329707 -125.74572611
   27.03745771   62.22864224 -129.23793917 -237.56036653  128.94674316]","[-425.05025505 -495.934697   -492.73344199 -577.01659748 -581.10753109
 -342.61759079 -397.45139834 -403.41502431 -539.48512722 -571.89972671
 -238.87566468 -140.43086492 -136.38742486 -529.18157909 -646.75896176
 -524.57339219 -310.8053322  -197.1094471  -308.44534147 -232.89245644
 -301.53542871 -574.4140006  -303.87288866 -353.67971166 -470.69876027
 -238.67695866 -327.40273655 -512.3098517  -166.10206195 -247.97909465
 -652.98575388 -142.19884955 -213.70516085 -338.689553   -378.79678802
 -179.96840611   86.58213012 -294.5636865  -202.4912504  -165.99876064
 -405.53033256 -246.4223119  -535.6861101  -460.23186795 -393.01980407
 -449.18813964 -558.55735791  -72.6314897  -209.81038428  -28.93413309
 -471.95298425 -580.10496404 -633.58361155 -253.34039329 -305.61661683
 -357.96608765 -642.32363781 -530.10054099 -669.708486   -298.95956189
 -546.24866944 -737.76849942 -379.43501631 -488.46518422 -501.5498127
 -495.27715571 -379.42262612 -420.72708943   22.2741785  -363.80812329
 -698.47203861 -317.6199728  -254.39818058 -347.95513934  127.41578599
 -342.0860022  -505.69462089 -634.82496474 -204.49561216 -394.0062238
 -245.92369061 -274.27155314 -303.7466964  -295.32903615 -471.10825073
 -219.49495131 -336.6967231  -663.60577048 -549.11086504 -451.63805968
 -403.49345212 -111.35405719 -244.81755722 -366.40846613 -429.36073394
 -803.31894678 -571.72543165 -584.90948478 -451.76906565 -573.90594274]","[-306.2175472    28.79022368 -270.46555484 -397.635445   -306.03499253
 -319.98250428 -251.89616654 -407.4331998  -248.19276411 -135.13137721
 -234.22313419 -380.70488333 -122.98198099 -158.08387598 -140.19812661
 -373.71302765  -90.00990939 -208.02750752 -380.20371101 -353.2648799
 -120.73319002 -140.0670981  -263.93041699 -234.19342867 -152.85148606
 -132.74591472 -229.87707559 -149.10581262 -175.82863878 -174.93680056
   53.08570004  -83.24344821 -209.74808817  -62.06424082 -298.28389707
 -119.66321536 -138.0063443  -272.08834022 -401.31705818  -28.06019298
 -355.64258841  -98.37628732 -322.51434491 -163.74571125 -226.8798692
 -204.0444969  -221.55714617  -77.17974477   97.75508999 -162.97177589
 -299.62637097 -256.38437976 -193.6184967  -262.16370732   64.42565638
 -256.42895553 -131.30525834 -362.45570186 -287.1509106   -88.0815641
 -117.83906751 -197.65039797 -135.47411515  -84.56877427 -142.2683151
 -178.18708137  -39.19771502 -241.72585841 -264.78546926 -445.47920961
 -355.3506254  -415.21224192 -127.77515939 -262.89297892 -240.75911222
 -381.19097354 -391.63327343 -221.97662689 -203.64924756 -133.24771905
 -224.40574274 -354.56278467 -258.35444261 -205.22735184 -182.42381897
  -53.92417864 -315.84269246 -112.62377046 -135.45105724 -137.13924675
 -266.34887542 -238.75133243 -284.96099081 -107.92083932 -245.35107922
 -226.48097756  101.16141919 -104.43296938   -5.82474447 -156.10411667]","[ -78.60846817  -73.17384112  -24.9622725   -81.96446238  -51.19553402
  -94.12729395 -107.22519464  -68.47987157  -17.19147031   38.38508584
  -78.13375097  -35.7034164   -67.53958347 -131.76293528  -40.6537487
   -9.83289954  -70.51616037   25.42276484  -86.88229531  -49.16120488
  -17.84546622  -53.81132901 -108.15433314    2.32411252  -52.15968785
  -91.84359604  -92.89890694  -39.3037782  -143.36515855  -52.20272408
  -91.69571243 -153.56221935    7.08708265 -101.05850485  -59.28192741
  -57.44708063  -66.39675441  -15.63883212    3.3253005  -103.64731266
 -100.19339824  -72.30744812  -37.15981981  -85.53413136   -5.18573087
  -58.93653799  -82.67002053 -193.53112475  -24.99934094 -101.05850485
  -59.28192741  -57.44708063  -66.39675441  -15.63883212   -3.58364454
  126.62045827   -9.10103021  -23.66547268   42.23890822  -21.15488092
   -6.60263513  -62.33475975  -64.80126274  -22.5887836    12.92701525
  -18.12401257  -76.9870026  -135.13867778  -39.38856289  -78.0117754
  -40.39525881 -131.46410133 -241.7141944    -4.61355053  -78.85309125
 -104.19157269 -117.27204978  -46.40879306  -63.75442024  -45.62422282
  -64.19185824  -18.61981847  -33.68286209 -112.35770315   -1.4316934
 -112.74776187 -105.90898933   15.40172423    3.04210667  -37.45234748
 -137.34149244  -23.95975708  -23.91187358  -77.28589495  -55.61400222
   28.25263755  -36.54790428  -91.2293704     5.59616278  -13.44435795]"
"[ 252.23146503   -0.41473253  131.86398979 -171.42016333   55.12918495
   -4.42759437 -290.83932827  149.89724019  -51.48683284  113.03702018
   82.3356371    -0.41473253  131.86398979 -171.42016333   55.12918495
   -4.42759437 -290.83932827  149.89724019  -51.48683284  113.03702018
   82.3356371     9.75507077   55.12918495   -4.42759437 -290.83932827
  149.89724019  -51.48683284  113.03702018   82.3356371     9.75507077
 -139.18477435  268.63665891   98.37352236 -171.42016333   55.12918495
   -4.42759437 -290.83932827  149.89724019  -51.48683284  113.03702018
   82.3356371     9.75507077 -139.18477435  252.23146503   -0.41473253
  131.86398979 -171.42016333   55.12918495   -4.42759437 -290.83932827
  149.89724019  -51.48683284  113.03702018   82.3356371   131.86398979
 -171.42016333   55.12918495   -4.42759437 -290.83932827  149.89724019
  -51.48683284  113.03702018   82.3356371     9.75507077 -139.18477435
  252.23146503   -0.41473253  131.86398979 -171.42016333   55.12918495
   -4.42759437 -290.83932827  149.89724019  -51.48683284  113.03702018
   82.3356371  -196.00144744  252.23146503   -0.41473253  131.86398979
 -171.42016333   55.12918495   -4.42759437 -290.83932827  149.89724019
  -51.48683284  113.03702018    8.27126198 -196.00144744  252.23146503
   -0.41473253  131.86398979 -171.42016333   55.12918495   -4.42759437
 -290.83932827  149.89724019  -51.48683284  131.86398979 -171.42016333]","[ 222.60203538  350.18125608  446.61170551   35.77893949  188.77465999
    3.72257926  366.46960623  463.46045866  -12.960608    266.89521671
  510.35168726   61.67936355  269.19275536  410.10445185  488.18630975
  327.534294    482.74467657  194.71272791  297.14465567  405.92007286
  300.08592288  342.82490611  287.71548535  473.03018679  426.22092416
  295.14931353  213.55712463  444.90010494   22.47028975  255.10993056
  264.94085113  202.55810743  199.32689787  366.34724552   72.46097863
  515.10688945  134.72321224  267.74609197  311.75905142  341.1817936
  142.05031394  -96.99196695  325.94331902   57.59564205  467.20417517
  240.42693875  518.0155672   301.70468653  -65.3968256   216.54159308
  319.49648566  140.10622554  378.82272864  448.08926065  142.01863176
  358.40070586  104.77564584  -31.4380135   323.86317889   30.22329099
  243.39895253  229.32203814  378.41303892   91.97976953  444.96936523
  283.03548085  364.56882233 -147.32822182  354.64108888  222.33233638
  471.34714898 -111.27322322  258.40249802  353.46281972  304.63338566
   88.08301118  467.17977     447.56062562  309.23348533  394.01781253
  215.18233982  601.34390484  171.20182569  459.28256888  619.51091633
  280.54844249  238.77038357  493.94353848  567.40090126  101.27066087
  311.83553123  337.70566707  366.18234838  177.51143158  181.78044069
   16.85598444   -5.59547974  428.44678811  385.26003358  469.88996639]","[ -65.11832583  -89.69410794    0.72829136   12.79907046  -49.71512869
   45.79116513  174.63788762  117.46821825   70.96961708  -59.1827934
 -148.94464393   71.99984638  -42.86112097 -148.32639028  185.66631988
 -171.14777382 -232.94433793   51.12160251  -76.16790433   10.09612568
 -151.33806397 -156.89491822  370.45517821  159.03316551  168.52740045
  -15.8465055   140.00309409   -0.78121352  -32.2854437    14.9811757
 -188.69633952   14.2097584   109.96393969  192.5280973   187.8496021
 -122.21064666   82.8317401   214.9834235   126.13461022   15.49094803
   17.96666253 -165.35172021  149.67638274  152.03994963   95.24122916
  103.42518671   -4.54824747 -262.76244267  176.21100685   30.34338428
   99.6832471   -20.11707931   23.36797782   33.90804508  227.84662286
 -119.51913978  283.27027429  -31.44030943 -102.57304917  102.918805
   99.23647209   57.52446982 -111.65684246   35.89271435  146.01058537
   80.28789825   -8.06190035    8.77835103   35.73779411   56.22049039
   31.11874998  227.40905748 -156.16055116  -49.77062502   -0.62848332
 -101.12162782  -19.06508738  189.63142791   92.86384469   64.41849632
  -36.95224471   73.80503841   98.88032462  -41.68959118  -75.35819359
  -94.57376987   13.63908593    4.04734789  148.54433224   71.22215298
 -220.12885387 -189.66793865 -377.71298038  -65.12350781  161.92046608
  172.68670168  -28.67609987 -500.17006085 -347.07655659 -208.91309393]","[-207.7249109    41.15940581 -111.53808926   23.54505821   95.84815281
  129.89097019   66.99997569 -225.79921261   33.59391205   -0.54300606
 -184.25550977   88.4645061  -274.54981204   -3.51853376  -67.09342449
   80.38004409 -169.67799131   38.15538367  -65.41608557 -199.84926543
 -349.23725515   66.56682483  246.09616266  157.96815565    5.23099766
  -94.93136902 -232.88770129  -16.67705734 -142.57569586 -321.27911839
 -102.17480044  -92.35858965 -167.55111592  252.31792891  152.09985658
  -53.2382897  -173.55643624  135.59655885  250.70223348 -107.13176525
 -130.46087135    7.42959351  134.88999323  102.54475597  -32.22218517
  101.72438018   99.11829534   28.07998046  -30.12645027 -155.67965541
  -52.08902478  -47.45751196  -60.13671905   55.88449358 -239.27064406
 -106.22798418  -10.86756508 -184.18777823 -177.74912164   -3.46070384
   45.85857309  135.15598297 -289.01747965   77.36749123 -296.49858769
 -260.6028985   127.32502863 -233.61119051 -157.8985502    13.35519347
 -183.14194358   -3.84702691  133.34630337   92.84693795   81.7151647
 -132.28902152    5.19051711 -134.32013332  -44.7283594   -85.17509498
  -68.99735316 -127.26320579 -264.2855456   209.45105674 -265.09276426
   83.49788035   88.07952243   49.96552026  -23.02941917   37.94807119
  -79.25316545   79.4635413   -22.36185518 -179.4784421    51.57948153
  -13.8301255  -256.42596696  -48.48389644   35.14068279 -197.87520628]","[  36.32520807  153.29123741  155.64977414  128.01180573  -46.97761599
    7.65140333   39.81543533  175.67247458   -7.34951337  184.17286127
  246.91091969   -4.01340995  137.64801677   65.02632533  214.90759488
  152.24223999  126.62216637  -30.99585901  139.4092347     6.91367654
   -7.85204331  105.03459557  142.5294194   128.18361417  148.36017245
   90.77022551  -15.85538228   85.11261069  -29.8343646   247.60934002
  162.97070205  147.23323838  121.26354527  122.9516989   124.1696931
   55.87346344 -114.83912738   60.33094981  118.20564534   87.28567268
   94.82615209  165.24346089   95.33571762  130.10152176   57.85443562
  169.85290515   45.98308598  104.70081836  153.08623106   33.00551944
  182.6248721    15.37097029  280.10911768   76.6792726   -77.84464732
  182.6248721    15.37097029  280.10911768   76.6792726   -77.84464732
   27.97062838   41.99960445  175.34002936  119.15515042  209.06051743
   61.68414591   33.32926905  118.42030642   98.69446188  209.36088094
  118.34110974   33.09565373   69.56942931   22.03009751  178.81683093
  202.52195348   97.47954161   69.42714301   57.68714459  129.06264541
  -47.573781      2.35718467  154.35137878   69.07309093  264.58072732
   72.701053    -13.59172087  120.77777154   84.75459107   61.77206605
   93.70649472  287.65314201   -6.05437962  202.96836526  -19.54829676
    8.27091269   52.48311927  182.75265086  139.24218259  -66.49510862]"
