rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  19.98296737  179.88662525   59.96956977    9.98266851   79.95499374
   79.95300635  179.95161543    9.98209306  119.88621556   49.93460635]","[ 19.98957072  89.96594056  69.94349924  29.97116044  39.97332469
  19.97172375   9.98047748  29.99185544  39.97324441  49.96864932]","[ 219.8525232   179.9230425   109.91151523   89.86133409   19.96182235
   49.91988699   79.9019832    19.97652585   89.94845366   69.94303566]","[ 39.98765665  39.97647486  39.9686966   19.98924965  39.97268923
  49.9822279   19.96692984  19.98053056   9.98577438  29.98520391]","[  49.91868615    9.98352253    0.          139.93768069   29.97667615
   19.97579792   39.9707282   129.91159981   19.97811992   59.97169929]"
"[ 139.93348915  289.90264188  199.90602881   19.98093822   29.97779235
   69.91129726  109.91287428  129.90738743   19.96283984  109.95844004]","[ 49.97004287  19.98561554  69.96222838  49.96917158  59.96690541
   9.98582186  19.97646368   9.98934994  29.97837878  59.96754508]","[   9.98066013   29.95861247  339.87959179   89.96519168  169.89385229
   79.95029337  139.85704919  189.90143428   59.90366575  249.91198377]","[  9.98647481  29.97652117  19.98019852   9.98516327  29.98871598
  39.98040238  29.96827797  49.98230472  29.98542086  29.98828053]","[  39.97373713  279.80138542   59.9406477   119.84801973  109.95225744
  269.8086517    19.9762941    99.89756442   19.96801171  279.85404483]"
"[  39.98029782   49.94598256   99.95351498   69.9080299    19.9693223
  409.77588376   69.97047084   59.93958535   19.9693223   409.77588376]","[ 189.95140001    9.99005215   39.97446216   19.98515567   49.95996108
   39.97825314    0.            9.9821217    39.98894558  139.95758769]","[ 179.86140462   29.9545376    19.97108289    9.98457809   49.94553138
  139.93782396  169.92381229   99.92736074  169.91759573    9.98098984]","[ 39.97918007  39.9849245   19.97824083  69.96766135  39.98328192
  59.94309335  29.96329889  19.97846466  39.9866714   19.97414674]","[   9.98029291   79.96393723  149.93889048  109.92961307  159.87999782
  119.94180136   49.97046484   39.94502421   99.95153827   69.92058573]"
"[  59.93526651   19.96894131  299.76473466   29.96032151  139.92771231
    0.          359.79752711  159.93470716   69.96532294    0.        ]","[ 49.97480725  49.9762446   29.97276701  29.97332252  49.97703451   0.
  29.96588977  89.95068173  39.9757432   19.97837141]","[ 159.95113226    9.9836954    19.96842207   49.94256868   79.92017943
   29.95079021   69.90126079    9.98016704  159.94628843  279.91472213]","[ 59.96454979  19.98224035  59.96153841  19.9842197   39.94581672
  39.9813875   29.98598536  49.98834207  19.97170566  39.95673616]","[ 179.9168446    29.9491746    19.97652002   59.92704484   49.92013204
   29.96186688  199.91355116   69.91545072   19.96948053   39.95585638]"
"[ 259.82398844    9.99150999  189.84211684   99.88410461   69.94911789
   39.96020402   69.95956314  119.91351758   39.95977632  159.94116917]","[  9.98203802  19.97611196  19.97572228   9.98091165  79.98440822
  29.96869114  59.96853422  49.96975537  49.97572312  29.98102965]","[ 129.92383095  189.90180728    9.98585196   89.88012752  199.85135525
  109.95537808  109.90109722  199.82027133   29.96445216  149.91232183]","[ 29.97712803  49.93236788  29.97624221  19.98003909  19.98920622
  29.98147152  29.99186705  39.97585     39.97624383   9.97997409]","[ 189.92625102  229.88827155   79.9642113     0.           99.96068145
  349.91957753   49.97824299  139.86224702  149.92246342   49.93524566]"
"[  39.95912761   19.96615032   29.96493497    9.98236207   29.97090101
  219.85920748   39.96351707   39.95912761   19.96615032   29.96493497]","[ 29.97136816  49.98502225  19.98932873  89.94193661  99.94614885
  49.98051001  39.98079176  69.95302428  49.9439688    9.98859764]","[  19.96640773  229.88854592  259.85888531  109.84313848  129.94066671
  259.88626293   89.94170575  159.79352427  169.90860372   69.93667684]","[ 29.99186172  39.97077561  29.98665117  29.98825978  29.97808669
  19.97772673  19.98295088  19.97715984  29.9857387   39.98302716]","[  39.95504532   19.97137497  179.8516085    79.9038701   209.90897145
  119.93890527   99.94283916   19.97169573  239.88517851   19.9738176 ]"
"[  39.94817913  139.89478634  519.88730793  149.96578772  259.79097209
   39.93419887   39.94532139   59.95880788   69.9498194    89.88468217]","[  29.95966561   59.92379399   39.98608239  109.94825167   29.97856458
   59.94755305   39.97360267   79.89558728   29.98648811   49.96220215]","[  99.8802169   129.88643187  199.90584334   39.94864581  219.8866795
  349.88673236   79.91323518   59.923828    549.85134012  199.86869518]","[ 29.98714267  39.98275242  49.98327298  49.98510055  39.97569443
   9.99158432  29.98202764  19.98741507  39.97584326   9.98041209]","[  69.89580545    9.98607154   59.91888195   99.97296694   19.97185115
  129.94884116   89.94893815  139.94531699   79.96598921   29.95522022]"
"[  19.96955207    9.98473592   99.94597433  429.7081869    89.91359098
  159.89862139  719.70808408    9.98499882  119.94026113  189.76426985]","[  69.93487027   29.97200872   19.97215901   49.95798459  109.94057783
    9.9799807    69.94387845   29.95543853   79.96510731   39.95516511]","[ 229.91703185  109.90588477    9.98088946  279.92845539  129.92892737
  149.87545302  129.85581067   79.91709844   39.9264333    89.97724173]","[  29.99087399   69.96638552   49.9668655   109.96756176    9.98591125
   29.97228751   19.97947517   49.98150397   39.93072936   39.97503058]","[ 139.87283619   99.89945089   49.98511798    9.97972026   39.95711371
  259.87149526   39.96113782  209.91205137   19.97549067  129.96270127]"
"[ 169.90554599  249.75153858   69.91815379   39.95723784   49.92218392
  369.74530956  109.85814857  159.92989768   29.95349807  259.74371139]","[ 119.91729568   49.96852101   69.90390969    9.98429349    9.98018126
   59.96775975   59.93792671   49.96705437   29.96264911   59.94293346]","[ 309.91949364  419.8681528   119.86429723  279.89287583   89.92103965
   59.9396307    89.93391281   49.93935158  109.89667169   59.91560912]","[ 19.97735001   9.98010666   0.           9.98085812   9.99185856
  69.965472    29.98928954  49.97823864  49.97142489   0.        ]","[  59.94362236  279.82220338   59.92617299  289.88332428  149.89308332
  149.88628645   59.93185255  189.95920019   59.96274027   19.96432646]"
"[ 389.83838387  409.8329775   179.90536693  219.7357859    79.89881189
  499.81465705  109.94481792    9.98182861  379.801574    139.90481852]","[  29.94633796  139.88537583   79.9749749    59.98013842   29.96987976
   19.96842805    0.           29.97442631   39.98450907   99.94553934]","[  19.96709775  249.83727341  109.86930394  259.873283     49.92742727
   79.89172256  159.90369153   59.93566214  129.8569667   219.81900392]","[ 59.96520366  49.95996178  29.97687256  39.97790579  29.98720919
  19.97757897  59.97397545  29.9740885   19.98507808   9.98475888]","[  89.92840192   59.92658443    9.98313652  149.88392229  129.81507778
  439.89278414   69.96593746   89.95835704   29.96674512  219.88121389]"
