rewardsSubIter0
"[ 29.96809379  39.97399567  69.96856309  59.97991766  19.9753765
  19.9734681   29.97598932  39.94384571  19.9753765   19.9734681 ]"
"[  19.97278767   29.97776421   29.96240154   39.9866797    29.97776421
   29.96240154   39.9866797    39.97480461  229.8467811    19.96896667]"
"[  39.97406172   49.97755892   39.97526599    9.98167108  199.94236351
   59.96963932  119.91668192   39.98288092  119.92931024   59.96963932]"
"[  99.94275713   49.97747396   39.98452017  119.91694103   39.9709575
  129.94155025   19.97892265   39.98531505   79.94503643   19.97567202]"
"[ 49.96269609  19.9760974   89.95952895  79.95317285  49.95549189
  99.901932    49.95549189  99.90193199   0.          39.98481611]"
"[ 169.92487836   29.96063616   59.9449848    29.9738072   139.8306773
   79.94260173    0.           49.97288946  109.92856363   79.94119613]"
"[  69.95551654   19.96654552   99.96756361   99.91028136  239.90190444
   29.95042609  139.85856675   59.97575628  229.82343611  129.85110849]"
"[ 649.64449106   79.94986552   79.96985952   79.96209442   19.96775146
   99.9682607    99.91102841  649.64449524   19.96880113  229.87063609]"
"[  69.93165822   59.93029205  119.92923895   89.95856368  129.94755149
   69.93165823   59.93029205  189.88597981  119.91008778  179.8659966 ]"
"[ 219.88796164  259.80875006  279.90950877   49.95189018   79.9686876
  109.89329266   99.86827965  119.93873155  139.88867044    9.99007162]"
"[  89.89685495    9.98467645  289.89323616  219.93244695   89.89685496
    9.98467645  289.89323619  219.93244697  419.90035189  169.87760432]"
"[ 289.84601429   29.95691897  219.85860699   79.91332382  129.92702943
   99.86900937  169.93443135  109.88084809  189.919828     69.91879978]"
"[ 299.90828712  309.83506661  109.86315262  259.88813907  109.89272214
  139.95833776  439.87464078   79.95427336   59.94376008   39.92583575]"
"[ 289.87882307  129.90521251   19.97551914   99.95080848   49.96215037
   99.87873345  339.91668867  129.97203823   99.87873344  339.91668842]"
"[ 119.85177789  119.86850355   59.97146381   79.96623119  169.87121807
  139.9178926   119.85177791  119.86850355   59.97146381   49.93328975]"
"[ 299.90037028  159.88096816   79.96448019  299.90037046  159.88096828
  199.90915099  299.91319602  159.93811629   99.96493647  139.912811  ]"
"[ 139.90263773   89.95091737  309.75261807  139.90263772   89.95091737
  309.75261807   49.94257626   49.96539855  269.89372646  169.9322049 ]"
"[ 169.90085169  129.94890597  329.9111428   189.95422078  199.94251965
  409.86894139  169.90040996   69.92131878   39.94626684  209.89845341]"
"[   0.          279.86175705  169.94899925  159.94988608  279.86736313
  149.88821875  369.8817788   119.92223942   99.93250306   89.9165277 ]"
"[ 179.87694308   69.92265452  269.81947432  189.81726621  179.91224372
  179.87694308  249.87811305  209.85476941  349.86806502   29.96581719]"
"[ 539.77575151  239.90064527  559.79769307  259.89328087  149.92527772
   89.89465785    9.99110021  219.78403188  559.79769296  279.86224146]"
"[ 119.90932598  789.79078318  149.88823148  249.81039956  199.86517339
  349.79390059  169.92774395  379.81680555    9.98041219  439.91684197]"
"[ 279.82961701  469.83446956  209.95342202  309.88835241  139.94962332
  429.87661676   59.94395206  219.90066156   19.9806099   219.92316492]"
"[ 189.79062489   29.98300987  169.87350297   99.93506594  379.84058411
  249.93648508  169.87350297  259.87686196  349.74758814  319.82573266]"
"[ 329.81604426  419.85043034  709.79239586  449.87835229   99.965268
  269.87686683  139.92916129  309.86420624  299.81953182  429.88337291]"
"[ 359.78943714  359.78709954  369.85367349    0.          229.77583922
   19.96598028  369.88867142  249.8165734   339.83347224  399.81397914]"
"[ 609.7126212   469.83201047  859.55859632  829.58922553  539.8067965
    9.99040092  449.80891741  639.60797314  399.66101356  629.70081591]"
"[ 629.65512071   59.91616786  349.84177102  679.64973378  129.89586949
   49.9467457   609.73506372  439.69070348  729.72090948  309.74356142]"
"[ 559.82242737  879.82732264  779.75781595  549.77198354   19.96725092
  459.74889122  779.63072755  749.73643941  759.76810297  549.68314987]"
"[  569.56534262   939.59577759   579.75497841     9.98443028  1489.74255228
  1299.47611178   619.73908719   569.7912254    819.76997696   739.71297288]"
"[  329.81171313   659.68161976   639.71327366   589.64379118  1219.68191668
   469.80036598   419.74427904   689.74310892   799.55631311   369.83379431]"
"[  739.78262083   419.91391295   389.83154232   429.8089362    709.84218864
   739.73451466   229.85117765   159.94376056   859.60336637  1899.29840788]"
"[  689.70526621  1309.55641862   759.81201283   619.70904245   449.74324956
   189.93176989    19.96881458   279.9124792    749.64235741   219.91541266]"
"[ 889.706804    769.70680485  559.56919979  789.76848276  449.8281297
