rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[-0.35578455 -4.91083473 -8.62163899 -0.35578455 -0.35578455 -4.91083473
 -0.35578455 -4.91083473 -0.35578455 -4.91083473]","[  5.04996226  16.63880144  11.84304896   9.28497325  10.14652336
   7.53390962  15.05556648  11.07857253   0.76213697   9.94083621]","[  4.44728147  -2.47147839   4.44728147  -2.47147839   6.48997435
  10.94467104   6.54145012  -5.15068931   3.89001959   1.56477165]","[ -2.44290601  -9.98329329 -10.30033215  -4.38460555  -2.21389009
 -12.29277353  -1.86915134  -4.46380621  -5.10171075  -6.93792237]","[ -1.82950817 -12.04850321  -0.41753171 -14.94801968  -3.16620835
 -10.14978273   2.70576432   0.96674879  -4.05868063 -11.0894819 ]"
"[-3.52144688  8.40153527  8.40153527 -8.39317463 -3.52144688  8.40153527
  8.40153527 -8.39317463  8.40153527  8.40153527]","[  9.23670029  13.52662801   8.50088298  11.42880391   6.32344661
  11.04927199  10.92194327   6.35771365   5.89203662   6.3904459 ]","[  7.87580994  -4.5799177   -3.50838437   7.8964269   11.43251873
   1.20230163   3.65636965   4.71934267  11.42536605  12.88602619]","[ -1.9393089   -4.4332738   -5.274197    -5.12770647 -11.07965525
   0.21427706  -6.29416423  -6.87839825 -11.20780595 -12.18973665]","[-3.79135649 -3.80311138  0.35740586 -9.7259758  -1.4422008  -8.82938481
  5.31880128 -7.59334334 -0.35312516 -0.9562409 ]"
"[-7.79394456 -4.30369479 -7.79394456 -4.30369479 -4.30369479 -9.69451026
 -4.30369479 -9.69451026 -7.79394456 -4.30369479]","[ 10.87579184  14.48477546   9.9075681    9.44823783  12.31035551
   4.83249616  11.03541932  12.00941358  11.91816111  16.53590827]","[  0.35328441   3.91391432  -1.36750255   5.22271289   7.64581542
  13.04783152  16.33189092  14.25579083  10.70350516   9.84756254]","[ -6.08744545 -11.69568465  -6.44687227  -3.9998629   -6.4992262
 -13.08762109  -7.99943611  -7.29490759  -5.41424919  -4.63506994]","[-15.90210262  -1.53455337   0.06651023 -10.44031804  -2.42030601
  -3.08687109 -14.99320732   1.95755521  -9.31301802  -8.71447559]"
"[-11.86104214  -5.33617887 -11.86104214  -5.33617887  -5.33617887
   5.1585034   -5.33617887   5.1585034   -5.33617887   5.1585034 ]","[  5.92238972  16.91848989  12.43731441  16.3907466   15.74688491
  21.68910778   9.75652228  13.70060069  18.83643999  18.01880346]","[  4.87225835  -0.24871177  14.23873247   6.73076127  11.05479906
  15.99459148   9.45219338   8.52375916  -7.96022215   1.70247927]","[ -1.48347972  -3.33683626  -2.68141688  -5.84962269  -5.89279833
 -10.58735864   1.59613955 -10.13244797  -5.89279833 -10.58735864]","[-11.93740089   4.45635834   1.08018448  -9.7331864  -13.63963586
  -1.8346217    3.23081705  -5.78575206  -2.72412923   1.18426159]"
"[ 9.78341735 -0.04465769 -0.04465769 -0.88278857 -0.04465769 -0.88278857
 -0.04465769 -0.88278857  9.78341735 -0.04465769]","[  6.71114858  12.61437633  10.90545128  15.24303593  23.41211671
  16.53100219   9.82139055  16.6697609   13.02501217  14.12487746]","[  4.55306101  11.59503723  18.61189223   6.10009965  17.99090262
   8.23448243  16.95610788   3.53648259   5.54982994  -1.86448311]","[ -5.36647125  -6.51921617 -12.09441483 -13.04684583  -4.99059948
  -8.0700096   -5.43434925  -9.10861096  -7.93498167  -5.91451482]","[-10.29027461   1.48127269  -9.87335854  -7.26467033 -16.48486778
  -0.21631344   0.40317438  -5.46001138 -12.15653838  -5.64227809]"
"[ 0.35846699  1.58016134  1.58016134  9.20583135  9.20583135 -6.83762951
  9.20583135 -6.83762951  1.58016134  9.20583135]","[ 11.23851891  12.52739597  13.69804528  15.07454542  16.37461957
   8.53899997  12.51571887  11.18456953  11.73470116  14.97612491]","[  7.4689994   15.24124921  14.05380566   9.63440397   6.43373456
  11.76800726   1.84501474   6.57158312  12.5129618    6.0853299 ]","[-13.82583231  -3.19272763  -9.66903511  -0.45388314 -10.98582943
  -1.52507002  -9.34934878  -1.5843338   -3.30648745  -5.58757533]","[-5.23749788 -6.89001837  0.11815286 -1.70620186 -3.77155427 -9.94322069
 -2.76599387 -2.37469182 -9.12765776 -1.54430868]"
"[ -2.9235503   -5.0376065   -2.9235503   -5.0376065   -5.0376065
  -2.9235503   -5.0376065   11.28231535  -2.9235503   -5.0376065 ]","[ 15.81322336  11.83227113   8.75806935  14.91566976  11.92725817
  17.06129119   9.10196298  10.62514038  18.01612688  14.4900166 ]","[  6.48758624  16.09543824  11.0345589   10.16635618   5.45093765
   7.01328351  13.05668378  10.54983732  -6.16296453   5.78149414]","[ -9.70724246 -10.09812776  -7.18946219  -9.20213247  -6.69324589
  -6.5062479  -11.684785    -4.47342583  -1.38905438 -11.41569614]","[-12.24422306  -3.23506825   1.11266534 -14.32642062   4.24528123
  -2.54477665  -1.2340701  -12.96351977  -9.78702395  -6.72218909]"
"[ 6.05318818  1.58489944 -4.26721791  6.05318818  6.05318818  1.58489944
  1.58489944  2.50808811  6.05318818  1.58489944]","[ 15.92514432  19.93925292  14.82640072  14.30525011  15.83767394
  11.20236711   6.45245947  13.49716418  12.74198804  11.66435662]","[  7.73595478   6.06011136  10.99473797  19.34680875  12.48188385
   9.71990071  18.17396819   9.83990599  13.27502883   6.29520913]","[ -7.70151788 -12.37979602 -11.70308401  -5.36887398 -11.80835848
  -7.11469158  -6.99136032  -4.50582718   1.72752064  -8.20393876]","[ -3.05168848  -7.97358506  -4.50878948   2.80871099 -10.58434494
  -8.35287404  -7.20106498  -3.82372796 -13.61251338   0.87453119]"
"[ 3.63405608  5.40762556  1.87733509  3.63405608  3.63405608  5.40762556
  5.40762556 -0.2330996   3.63405608  5.40762556]","[ 15.71854722  15.09176571   9.9808383   18.10138925  13.50505012
  15.9490118    5.33324597  15.36468356  13.00351345  13.68517776]","[ 12.49218321  10.7445172   17.02067198   8.16970309  11.1925967
   5.60301181   9.33019752  17.02067198   3.65449669  11.46201098]","[ -5.89838829  -5.06814224  -7.32243325 -13.81446329  -6.14232938
  -2.23932834  -5.91015667  -7.33274077 -10.01876686  -3.46769906]","[-4.70926476 -2.27608223 -8.5152843  -8.01947747 -9.94901368 -3.00103708
 -1.97045928 -9.15393219 -4.36586431  0.24487854]"
"[ 10.18048745   4.09260837  10.18048745   4.09260837  10.18048745
   4.09260837  28.10686947  19.18163164  28.10686947  19.18163164]","[ 12.13796079  17.81627401  19.29667707  22.28573344  19.01252709
  12.15284128  18.7583799   20.13333247  14.98043337  14.29331768]","[ 13.7958216   17.20639479  21.39456993   9.21294879  20.60375873
  14.8654105   22.83587056  15.59673137  17.64018782   8.03436992]","[-10.05190338  -5.64749786  -6.96819232  -6.04659693  -3.3880193
  -7.84141756  -8.76871064 -14.4843775   -9.68215714  -5.1732431 ]","[  1.66278398   1.15261737 -14.36957309   1.16199316 -14.63708469
  -1.09719246 -10.13275118   0.51492079   4.00006364  -8.15546486]"
